球団,選手名,URL,区分種別,区分名,打率,試合,打席,打数,得点,安打,2B,3B,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
横浜DeNA,林琢真,https://nf3.sakura.ne.jp/Central/DB/f/00_stat.htm,対戦相手,阪神,.118,7,20,17,3,2,0,0,0,2,1,6,2,0,0,1,0,1,0,2,.211,.118,.328
横浜DeNA,林琢真,https://nf3.sakura.ne.jp/Central/DB/f/00_stat.htm,対戦相手,巨人,.231,4,15,13,0,3,1,0,0,4,1,3,2,1,0,0,0,0,0,0,.333,.308,.641
横浜DeNA,林琢真,https://nf3.sakura.ne.jp/Central/DB/f/00_stat.htm,対戦相手,中日,.214,6,14,14,2,3,1,0,0,4,4,6,0,0,0,0,0,1,0,0,.214,.286,.500
横浜DeNA,林琢真,https://nf3.sakura.ne.jp/Central/DB/f/00_stat.htm,対戦相手,広島,.286,6,16,14,3,4,2,0,1,9,6,4,1,0,0,0,1,1,0,0,.313,.643,.955
横浜DeNA,林琢真,https://nf3.sakura.ne.jp/Central/DB/f/00_stat.htm,対戦相手,ヤクルト,.316,6,20,19,1,6,3,0,0,9,2,5,1,0,0,0,0,1,0,2,.350,.474,.824
横浜DeNA,林琢真,https://nf3.sakura.ne.jp/Central/DB/f/00_stat.htm,対戦相手,ソフトバンク,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,.000
横浜DeNA,林琢真,https://nf3.sakura.ne.jp/Central/DB/f/00_stat.htm,対戦相手,日本ハム,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,.000
横浜DeNA,林琢真,https://nf3.sakura.ne.jp/Central/DB/f/00_stat.htm,対戦相手,オリックス,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,.000
横浜DeNA,林琢真,https://nf3.sakura.ne.jp/Central/DB/f/00_stat.htm,対戦相手,楽天,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,.000
横浜DeNA,林琢真,https://nf3.sakura.ne.jp/Central/DB/f/00_stat.htm,対戦相手,西武,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,.000
横浜DeNA,林琢真,https://nf3.sakura.ne.jp/Central/DB/f/00_stat.htm,対戦相手,ロッテ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,.000
横浜DeNA,林琢真,https://nf3.sakura.ne.jp/Central/DB/f/00_stat.htm,球場,横浜,.182,13,36,33,4,6,3,0,1,12,7,12,3,0,0,0,0,4,0,1,.250,.364,.614
横浜DeNA,林琢真,https://nf3.sakura.ne.jp/Central/DB/f/00_stat.htm,球場,甲子園,.125,3,10,8,2,1,0,0,0,1,0,3,1,0,0,1,0,0,0,2,.222,.125,.347
横浜DeNA,林琢真,https://nf3.sakura.ne.jp/Central/DB/f/00_stat.htm,球場,東京ドーム,.222,3,11,9,0,2,0,0,0,2,1,2,2,1,0,0,0,0,0,0,.364,.222,.586
横浜DeNA,林琢真,https://nf3.sakura.ne.jp/Central/DB/f/00_stat.htm,球場,バンテリンドーム,.375,2,8,8,1,3,1,0,0,4,3,2,0,0,0,0,0,0,0,0,.375,.500,.875
横浜DeNA,林琢真,https://nf3.sakura.ne.jp/Central/DB/f/00_stat.htm,球場,マツダスタジアム,.333,2,4,3,1,1,0,0,0,1,2,0,0,0,0,0,1,0,0,0,.250,.333,.583
横浜DeNA,林琢真,https://nf3.sakura.ne.jp/Central/DB/f/00_stat.htm,球場,神宮,.417,4,12,12,1,5,3,0,0,8,1,3,0,0,0,0,0,0,0,1,.417,.667,1.083
横浜DeNA,林琢真,https://nf3.sakura.ne.jp/Central/DB/f/00_stat.htm,球場,Ce その他,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,.000
横浜DeNA,林琢真,https://nf3.sakura.ne.jp/Central/DB/f/00_stat.htm,球場,みずほPayPay,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,.000
横浜DeNA,林琢真,https://nf3.sakura.ne.jp/Central/DB/f/00_stat.htm,球場,エスコンＦ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,.000
横浜DeNA,林琢真,https://nf3.sakura.ne.jp/Central/DB/f/00_stat.htm,球場,京セラD大阪,.000,2,4,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.000,.000,.000
横浜DeNA,林琢真,https://nf3.sakura.ne.jp/Central/DB/f/00_stat.htm,球場,楽天モバイル,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,.000
横浜DeNA,林琢真,https://nf3.sakura.ne.jp/Central/DB/f/00_stat.htm,球場,ベルーナドーム,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,.000
横浜DeNA,林琢真,https://nf3.sakura.ne.jp/Central/DB/f/00_stat.htm,球場,ZOZOマリン,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,.000
横浜DeNA,林琢真,https://nf3.sakura.ne.jp/Central/DB/f/00_stat.htm,球場,Pa その他,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,.000
