球団,選手名,URL,区分種別,区分名,打率,試合,打席,打数,得点,安打,2B,3B,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
阪神,木浪聖也,https://nf3.sakura.ne.jp/./Central/T/f/0_stat.htm,対戦相手,DeNA,0.364,7,26,22,2,8,1,0,0,9,4,8,3,0,0,0,1,1,1,0,0.423,0.409,0.832
阪神,木浪聖也,https://nf3.sakura.ne.jp/./Central/T/f/0_stat.htm,対戦相手,巨人,0.167,8,20,18,1,3,0,0,0,3,3,2,2,0,0,0,0,0,0,2,0.25,0.167,0.417
阪神,木浪聖也,https://nf3.sakura.ne.jp/./Central/T/f/0_stat.htm,対戦相手,中日,0.259,10,30,27,3,7,0,0,0,7,2,4,2,0,1,0,0,0,0,0,0.333,0.259,0.593
阪神,木浪聖也,https://nf3.sakura.ne.jp/./Central/T/f/0_stat.htm,対戦相手,広島,0.231,10,27,26,4,6,1,0,1,10,3,8,1,0,0,0,0,0,1,0,0.259,0.385,0.644
阪神,木浪聖也,https://nf3.sakura.ne.jp/./Central/T/f/0_stat.htm,対戦相手,ヤクルト,0.231,5,13,13,0,3,0,0,0,3,2,5,0,0,0,0,0,0,0,0,0.231,0.231,0.462
阪神,木浪聖也,https://nf3.sakura.ne.jp/./Central/T/f/0_stat.htm,対戦相手,ソフトバンク,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0
阪神,木浪聖也,https://nf3.sakura.ne.jp/./Central/T/f/0_stat.htm,対戦相手,日本ハム,0.25,2,8,8,1,2,1,0,0,3,0,2,0,0,0,0,0,0,0,0,0.25,0.375,0.625
阪神,木浪聖也,https://nf3.sakura.ne.jp/./Central/T/f/0_stat.htm,対戦相手,オリックス,0.0,2,8,7,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0.125,0.0,0.125
阪神,木浪聖也,https://nf3.sakura.ne.jp/./Central/T/f/0_stat.htm,対戦相手,楽天,0.0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0
阪神,木浪聖也,https://nf3.sakura.ne.jp/./Central/T/f/0_stat.htm,対戦相手,西武,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0
阪神,木浪聖也,https://nf3.sakura.ne.jp/./Central/T/f/0_stat.htm,対戦相手,ロッテ,0.0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0
阪神,木浪聖也,https://nf3.sakura.ne.jp/./Central/T/f/0_stat.htm,球場,甲子園,0.229,21,53,48,4,11,1,0,0,12,5,17,4,0,0,0,1,1,0,1,0.283,0.25,0.533
阪神,木浪聖也,https://nf3.sakura.ne.jp/./Central/T/f/0_stat.htm,球場,横浜,0.0,2,8,7,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0.125,0.0,0.125
阪神,木浪聖也,https://nf3.sakura.ne.jp/./Central/T/f/0_stat.htm,球場,東京ドーム,0.2,6,16,15,1,3,0,0,0,3,3,1,1,0,0,0,0,0,0,1,0.25,0.2,0.45
阪神,木浪聖也,https://nf3.sakura.ne.jp/./Central/T/f/0_stat.htm,球場,バンテリンドーム,0.143,4,15,14,1,2,0,0,0,2,0,2,0,0,1,0,0,0,0,0,0.2,0.143,0.343
阪神,木浪聖也,https://nf3.sakura.ne.jp/./Central/T/f/0_stat.htm,球場,マツダスタジアム,0.353,5,17,17,4,6,1,0,1,10,3,5,0,0,0,0,0,0,1,0,0.353,0.588,0.941
阪神,木浪聖也,https://nf3.sakura.ne.jp/./Central/T/f/0_stat.htm,球場,神宮,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
阪神,木浪聖也,https://nf3.sakura.ne.jp/./Central/T/f/0_stat.htm,球場,Ce その他,0.25,1,4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.5
阪神,木浪聖也,https://nf3.sakura.ne.jp/./Central/T/f/0_stat.htm,球場,みずほPayPay,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0
阪神,木浪聖也,https://nf3.sakura.ne.jp/./Central/T/f/0_stat.htm,球場,エスコンF,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0
阪神,木浪聖也,https://nf3.sakura.ne.jp/./Central/T/f/0_stat.htm,球場,京セラD大阪,0.375,5,19,16,1,6,1,0,0,7,2,3,3,0,0,0,0,0,1,1,0.474,0.438,0.911
阪神,木浪聖也,https://nf3.sakura.ne.jp/./Central/T/f/0_stat.htm,球場,楽天モバイル,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0
阪神,木浪聖也,https://nf3.sakura.ne.jp/./Central/T/f/0_stat.htm,球場,ベルーナドーム,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0
阪神,木浪聖也,https://nf3.sakura.ne.jp/./Central/T/f/0_stat.htm,球場,ZOZOマリン,0.0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0
阪神,木浪聖也,https://nf3.sakura.ne.jp/./Central/T/f/0_stat.htm,球場,Pa その他,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0
阪神,元山飛優,https://nf3.sakura.ne.jp/./Central/T/f/00_stat.htm,対戦相手,DeNA,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
阪神,元山飛優,https://nf3.sakura.ne.jp/./Central/T/f/00_stat.htm,対戦相手,巨人,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
阪神,元山飛優,https://nf3.sakura.ne.jp/./Central/T/f/00_stat.htm,対戦相手,中日,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0
阪神,元山飛優,https://nf3.sakura.ne.jp/./Central/T/f/00_stat.htm,対戦相手,広島,0.0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0
阪神,元山飛優,https://nf3.sakura.ne.jp/./Central/T/f/00_stat.htm,対戦相手,ヤクルト,0.5,3,3,2,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.5,0.5,1.0
