イニング,打席順,打順,選手名,アウト,ランナー,本文
1回表,1,1.0,水谷 瞬,0,,見逃し三振 1アウト
1回表,2,2.0,清宮 幸太郎,1,,死球を受ける 一塁
1回表,3,3.0,レイエス,1,1塁,5-4-3のダブルプレー 3アウト
1回裏,1,1.0,周東 佑京,0,,低めのストレートを打つもライトフライ 1アウト
1回裏,2,2.0,近藤 健介,1,,見逃し三振でバッターアウト！ 2アウト
1回裏,3,3.0,柳町 達,2,,ファーストゴロ 3アウト
2回表,1,4.0,郡司 裕也,0,,サードゴロ 1アウト
2回表,2,5.0,万波 中正,1,,内角の真っ直ぐを打つもセンターフライ 2アウト
2回表,3,6.0,野村 佑希,2,,1-1からレフトスタンドへの先制ホームラン！ ソ 0-1 日
2回表,4,7.0,カストロ,2,,捕逸による振り逃げ 一塁
2回表,5,8.0,田宮 裕涼,2,1塁,ショートゴロ 3アウト
2回裏,1,4.0,柳田 悠岐,0,,ど真ん中のフォークを打つもライトフライ 1アウト
2回裏,2,5.0,山川 穂高,1,,空振り三振 2アウト
2回裏,3,6.0,今宮 健太,2,,ショートゴロ 3アウト
3回表,1,9.0,水野 達稀,0,,四球を選ぶ 一塁
3回表,2,1.0,水谷 瞬,0,1塁,一塁けん制:ランナー水野戻りきれずタッチアウト！ 1アウトライトへのヒット 一塁
3回表,3,2.0,清宮 幸太郎,1,1塁,空振り三振でバッターアウト 2アウト
3回表,4,3.0,レイエス,2,1塁,レフトへのヒットを放つ 一二塁
3回表,5,4.0,郡司 裕也,2,"1,2塁",外角低めの球を打つもセンターフライ 3アウト
3回裏,1,7.0,栗原 陵矢,0,,外角の球を打つもレフトフライ 1アウト
3回裏,2,8.0,海野 隆司,1,,見逃し三振 2アウト
3回裏,3,9.0,牧原 大成,2,,高めの球を打つもレフトフライ 3アウト
4回表,1,5.0,万波 中正,0,,低めの球を打つもライトフライ 1アウト
4回表,2,6.0,野村 佑希,1,,空振りの三振を喫する 2アウト
4回表,3,7.0,カストロ,2,,ホームラン ソ 0-2 日1:05【4回表】初ホームラン!! ファイターズ新外国人・カストロ NPB初ヒットがレフトスタンドへのソロアーチ!! 2026年3月28日 福岡ソフトバンクホークス 対 北海道日本ハムファイターズ
4回表,4,8.0,田宮 裕涼,2,,センターへのヒットを放つ 一塁
4回表,5,9.0,水野 達稀,2,1塁,一塁けん制:ランナー田宮帰塁ワンバウンドした球を空振り三振 3アウト
4回裏,1,1.0,周東 佑京,0,,ショートゴロ 1アウト
4回裏,2,2.0,近藤 健介,1,,レフトへのツーベース 二塁
4回裏,3,3.0,柳町 達,1,2塁,フォアボールを選ぶ 一二塁
4回裏,4,4.0,柳田 悠岐,1,"1,2塁",空振りの三振を喫する 2アウト
4回裏,5,5.0,山川 穂高,2,"1,2塁",ショートゴロ 3アウト
5回表,1,1.0,水谷 瞬,0,,ショートゴロ 1アウト
5回表,2,2.0,清宮 幸太郎,1,,セカンドへの内野安打 一塁
5回表,3,3.0,レイエス,1,1塁,死球を受ける 一二塁
5回表,4,4.0,郡司 裕也,1,"1,2塁",今宮(遊)のファンブルにより出塁する 満塁
5回表,5,5.0,万波 中正,1,満塁,併殺打 3アウト
5回裏,1,6.0,今宮 健太,0,,セカンドゴロ 1アウト
5回裏,2,7.0,栗原 陵矢,1,,フォアボールを選ぶ 一塁
5回裏,3,8.0,海野 隆司,1,1塁,ライトへのヒットを放つ 一二塁
5回裏,4,9.0,牧原 大成,1,"1,2塁",－日本ハム:コーチマウンドへむかう－ショートゴロ 2アウト一三塁
5回裏,5,1.0,周東 佑京,2,"1,3塁",デッドボールを受ける 満塁
5回裏,6,2.0,近藤 健介,2,満塁,2アウト満塁の2-1から逆転のタイムリーツーベース！ ソ 3-2 日 二塁1:09【5回裏】頼れる男の一打!! ホークス・近藤健介 走者一掃の逆転タイムリー2ベースヒット!! 2026年3月28日 福岡ソフトバンクホークス 対 北海道日本ハムファイターズ
5回裏,7,3.0,柳町 達,2,2塁,ランナー二塁の0-1からセンターへのタイムリーヒット ソ 4-2 日 一塁
5回裏,8,4.0,柳田 悠岐,2,1塁,センターへのヒットで出塁 一二塁
5回裏,9,5.0,山川 穂高,2,"1,2塁",2アウト一二塁の0-2からレフトへのタイムリーヒット ソ 5-2 日 一二塁
5回裏,10,6.0,今宮 健太,2,"1,2塁",投手交代:達→池田ファウルフライを田宮(捕)がつかんでバッターアウト 3アウト
6回表,1,6.0,野村 佑希,0,,空振り三振でバッターアウト 1アウト
6回表,2,7.0,カストロ,1,,空振り三振でバッターアウト 2アウト
6回表,3,8.0,田宮 裕涼,2,,ワンバウンドした球を空振り三振 3アウト0:19【6回表】この回3者連続三振!! ホークス・松本晴 6回8奪三振2失点の好投を魅せる!! 2026年3月28日 福岡ソフトバンクホークス 対 北海道日本ハムファイターズ
6回裏,1,7.0,栗原 陵矢,0,,投手交代:池田→山﨑福也セカンドゴロ 1アウト
6回裏,2,8.0,海野 隆司,1,,外角低めの球を打つもレフトフライ 2アウト
6回裏,3,9.0,牧原 大成,2,,低めの変化球をライトへ打ってヒット 一塁
6回裏,4,1.0,周東 佑京,2,1塁,一塁けん制:ランナー牧原大帰塁一塁けん制:ランナー牧原大帰塁ファウルフライを郡司(三)がつかんでバッターアウト 3アウト
7回表,1,9.0,水野 達稀,0,,ピッチャー松本晴に代わって木村光がマウンドにあがる外角のストレートを打つもセンターフライ 1アウト
7回表,2,1.0,水谷 瞬,1,,外角高めの真っ直ぐを打つもセンターフライ 2アウト
7回表,3,2.0,清宮 幸太郎,2,,ファーストゴロ 3アウト
7回裏,1,2.0,近藤 健介,0,,投手交代:山﨑福也→山本セカンドゴロ 1アウト
