イニング,打席順,打順,選手名,アウト,ランナー,本文
1回表,1,1.0,近本 光司,0,,10球目のストレートをセンターへ打ってヒット 一塁
1回表,2,2.0,中野 拓夢,0,1塁,一塁けん制:ランナー近本帰塁一塁走者近本:盗塁を試みるもアウト 1アウトピッチャーゴロ 2アウト
1回表,3,3.0,森下 翔太,2,,フォアボールを選ぶ 一塁
1回表,4,4.0,佐藤 輝明,2,1塁,ワンバウンドした球を空振り三振 3アウト
1回裏,1,1.0,キャベッジ,0,,レフトへのヒットで出塁 一塁
1回裏,2,2.0,松本 剛,0,1塁,一塁けん制:ランナーキャベッジ帰塁送りバントを試みるもフライとなりアウト一塁走者キャベッジも自らの塁へ戻りきれずダブルプレー！ 2アウト
1回裏,3,3.0,泉口 友汰,2,,ツーベース 二塁
1回裏,4,4.0,ダルベック,2,2塁,2アウト二塁の2-1から先制のタイムリーツーベース！ 巨 1-0 神 二塁0:503/29【巨人vs阪神】1回裏 新4番ダルベックのタイムリーツーベースで巨人先制！
1回裏,5,5.0,岸田 行倫,2,2塁,2アウト二塁からセカンドゴロ 3アウト
2回表,1,5.0,大山 悠輔,0,,死球を受ける 一塁
2回表,2,6.0,中川 勇斗,0,1塁,ショートゴロ 1アウト一塁
2回表,3,7.0,伏見 寅威,1,1塁,一塁けん制:ランナー中川帰塁死球を受ける 一二塁
2回表,4,8.0,小幡 竜平,1,"1,2塁",－巨人:コーチマウンドへむかう－内角のストレートを打つもピッチャーライナー 2アウト
2回表,5,9.0,伊藤 将司,2,"1,2塁",ランナー一二塁の3-2からレフトへの逆転タイムリーツーベース！ 巨 1-2 神 二塁
2回表,6,1.0,近本 光司,2,2塁,2アウト二塁からど真ん中のストレートを打つもレフトフライ 3アウト
2回裏,1,6.0,中山 礼都,0,,全く手が出ず見逃し三振でバッターアウト 1アウト
2回裏,2,7.0,坂本 勇人,1,,外角高めの球を打つもライトフライ 2アウト
2回裏,3,8.0,浦田 俊輔,2,,セカンドゴロ 3アウト
3回表,1,2.0,中野 拓夢,0,,レフトへのツーベース 二塁
3回表,2,3.0,森下 翔太,0,2塁,ストレートのフォアボールで出塁 一二塁
3回表,3,4.0,佐藤 輝明,0,"1,2塁",－巨人:コーチマウンドへむかう－四球を選ぶ。ピッチャー山城にとって痛いフォアボールとなる 満塁
3回表,4,5.0,大山 悠輔,0,満塁,投手交代:山城→赤星セカンドフライ 1アウト
3回表,5,6.0,中川 勇斗,1,満塁,ランナーフルベースの0-1からセンターへ2点タイムリーツーベース！ 巨 1-4 神 二三塁
3回表,6,7.0,伏見 寅威,1,"2,3塁",ショートゴロの間に阪神1点をあげる 巨 1-5 神 2アウト三塁
3回表,7,8.0,小幡 竜平,2,3塁,高めの球を打つもレフトフライ 3アウト
3回裏,1,9.0,赤星 優志,0,,ピッチャーゴロ 1アウト
3回裏,2,1.0,キャベッジ,1,,レフトへのヒットを放つ 一塁
3回裏,3,2.0,松本 剛,1,1塁,レフトへのヒットで出塁 一二塁
3回裏,4,3.0,泉口 友汰,1,"1,2塁",一塁けん制:ランナー松本帰塁1アウト一二塁からセンターへのヒットを放つ 満塁
3回裏,5,4.0,ダルベック,1,満塁,－阪神:コーチマウンドへむかう－1アウト満塁の3-0から押し出しのフォアボール 巨 2-5 神 満塁
