イニング,打席順,打順,選手名,アウト,ランナー,本文
1回表,1,1.0,佐藤 直樹,0,,フェンス直撃のスリーベースを放つ 三塁
1回表,2,2.0,中島 大輔,0,3塁,ランナー三塁の0-1からレフトへのタイムリーツーベースで楽天先制！ オ 0-1 楽 二塁
1回表,3,3.0,ボイト,0,2塁,セカンドゴロ 1アウト三塁
1回表,4,4.0,マッカスカー,1,3塁,1アウト三塁の1-0から犠飛 オ 0-2 楽 2アウト
1回表,5,5.0,黒川 史陽,2,,レフトへのツーベース 二塁
1回表,6,6.0,浅村 栄斗,2,2塁,－オリックス:コーチマウンドへむかう－ピッチャーゴロ 3アウト
1回裏,1,1.0,宗 佑磨,0,,レフトへのヒット 一塁
1回裏,2,2.0,廣岡 大志,0,1塁,ライトへのヒットを放つ 一二塁
1回裏,3,3.0,西川 龍馬,0,"1,2塁",0アウト一二塁の1-1からセンターへのタイムリーヒット オ 1-2 楽 一二塁
1回裏,4,4.0,太田 椋,0,"1,2塁",四球を選ぶ。ピッチャー藤原にとって痛いフォアボールとなる 満塁
1回裏,5,5.0,中川 圭太,0,満塁,ランナーフルベースの2-1から内角低めのストレートをセンターへ打ってヒット中島(中):ファンブルオリックス逆転！ オ 3-2 楽 一三塁
1回裏,6,6.0,森 友哉,0,"1,3塁",高めの真っ直ぐを打つもレフトフライ 1アウト
1回裏,7,7.0,西野 真弘,1,"1,3塁",一塁けん制:ランナー中川帰塁一塁走者中川:盗塁成功 二三塁外角高めの球を打つもセンターフライ二塁走者中川も戻れずダブルプレー！ 3アウト
2回表,1,7.0,村林 一輝,0,,投手交代:田嶋大→横山楓ショートゴロ 1アウト
2回表,2,8.0,太田 光,1,,ストレートのフォアボールで出塁 一塁
2回表,3,9.0,入江 大樹,1,1塁,ワンバウンドした球を空振り三振 2アウト
2回表,4,1.0,佐藤 直樹,2,1塁,レフトへのヒットを放つ 一二塁
2回表,5,2.0,中島 大輔,2,"1,2塁",カウント1-2からワンバウンドした球を空振り三振 3アウト
2回裏,1,8.0,若月 健矢,0,,ピッチャーゴロ 1アウト
2回裏,2,9.0,紅林 弘太郎,1,,ライトへのヒットを放つ 一塁
2回裏,3,1.0,宗 佑磨,1,1塁,死球を受ける 一二塁
2回裏,4,2.0,廣岡 大志,1,"1,2塁",－治療中－藤原(投):ボーク 二三塁1アウト二三塁の2-0からタイムリーヒット オ 4-2 楽 一三塁
2回裏,5,3.0,西川 龍馬,1,"1,3塁",ランナー一三塁から3-6-3のダブルプレー 3アウト
3回表,1,3.0,ボイト,0,,投手交代:横山楓→山﨑空振り三振でバッターアウト 1アウト
3回表,2,4.0,マッカスカー,1,,見逃し三振 2アウト
3回表,3,5.0,黒川 史陽,2,,ファーストゴロ 3アウト
3回裏,1,4.0,太田 椋,0,,レフトへのヒットを放つ 一塁
3回裏,2,5.0,中川 圭太,0,1塁,一塁けん制:ランナー太田帰塁ショートゴロ 1アウト一塁
3回裏,3,6.0,森 友哉,1,1塁,一塁走者中川:盗塁を試みるもアウト 2アウトライトへのヒットで出塁 一塁
3回裏,4,7.0,西野 真弘,2,1塁,空振りの三振を喫する 3アウト0:23【3回裏】プロ初登板!! イーグルス・藤原聡大 最後は初奪三振で次回登板に繋げる!! 2026年3月29日 オリックス・バファローズ 対 東北楽天ゴールデンイーグルス
4回表,1,6.0,浅村 栄斗,0,,セカンドフライ 1アウト
4回表,2,7.0,村林 一輝,1,,セカンドゴロ 2アウト
4回表,3,8.0,太田 光,2,,内角高めのストレートを打つもレフトフライ 3アウト
