イニング,打席順,打順,選手名,アウト,ランナー,本文
1回表,1,1.0,キャベッジ,0,,空振りの三振を喫する 1アウト
1回表,2,2.0,松本 剛,1,,サードゴロ 2アウト
1回表,3,3.0,泉口 友汰,2,,ハーフスイングを取られて空振りの三振を喫する 3アウト
1回裏,1,1.0,田中 幹也,0,,サードゴロ 1アウト
1回裏,2,2.0,カリステ,1,,センターへのヒットで出塁 一塁
1回裏,3,3.0,岡林 勇希,1,1塁,外角の真っ直ぐを打つもレフトフライ 2アウト
1回裏,4,4.0,細川 成也,2,1塁,一塁けん制:ランナーカリステ帰塁空振りの三振を喫する 3アウト
2回表,1,4.0,ダルベック,0,,内角の球を打つもセカンドライナー 1アウト
2回表,2,5.0,岸田 行倫,1,,外角低めの球を打つもライトフライ 2アウト
2回表,3,6.0,坂本 勇人,2,,空振りの三振を喫する 3アウト
2回裏,1,5.0,石川 昂弥,0,,ファーストへのファウルフライに倒れる 1アウト
2回裏,2,6.0,サノー,1,,フルカウントからレフトスタンドへのホームランで中日先制！ 中 1-0 巨
2回裏,3,7.0,木下 拓哉,1,,空振りの三振を喫する 2アウト
2回裏,4,8.0,村松 開人,2,,センターへのスリーベース 三塁
2回裏,5,9.0,金丸 夢斗,2,3塁,ショートゴロ 3アウト
3回表,1,7.0,中山 礼都,0,,レフトへのヒットを放つ 一塁
3回表,2,8.0,浦田 俊輔,0,1塁,6-4-3のダブルプレー 2アウト
3回表,3,9.0,ウィットリー,2,,見逃し三振でバッターアウト！ 3アウト
3回裏,1,1.0,田中 幹也,0,,高めの球を打つもレフトフライ 1アウト
3回裏,2,2.0,カリステ,1,,内角のチェンジアップを打つもショートライナー 2アウト
3回裏,3,3.0,岡林 勇希,2,,内角高めのカットボールを打つもライトフライ 3アウト
4回表,1,1.0,キャベッジ,0,,空振り三振 1アウト
4回表,2,2.0,松本 剛,1,,低めの球を打つもライトフライ 2アウト
4回表,3,3.0,泉口 友汰,2,,見逃し三振でバッターアウト！ 3アウト
4回裏,1,4.0,細川 成也,0,,空振りの三振を喫する 1アウト
4回裏,2,5.0,石川 昂弥,1,,ファーストフライ 2アウト
4回裏,3,6.0,サノー,2,,高めの真っ直ぐを打つもライトフライ 3アウト
5回表,1,4.0,ダルベック,0,,高めの球をレフトへ打ってヒット 一塁
5回表,2,5.0,岸田 行倫,0,1塁,ど真ん中のスプリットを打つもライトフライ 1アウト
5回表,3,6.0,坂本 勇人,1,1塁,4-6-3のダブルプレー 3アウト
5回裏,1,7.0,木下 拓哉,0,,センターへのヒットを放つ 一塁
5回裏,2,8.0,村松 開人,0,1塁,ライトへの二塁打 二三塁
5回裏,3,9.0,金丸 夢斗,0,"2,3塁",空振り三振でバッターアウト 1アウト
5回裏,4,1.0,田中 幹也,1,"2,3塁",ランナー二三塁の1-1からレフトへのタイムリーヒット二塁走者村松は走塁死 中 2-0 巨 2アウト二塁
5回裏,5,2.0,カリステ,2,2塁,外角高めのカットボールを打つもライトフライ 3アウト
6回表,1,7.0,中山 礼都,0,,ファーストゴロ 1アウト
6回表,2,8.0,浦田 俊輔,1,,センターへのヒットを放つ 一塁
