イニング,打席順,打順,選手名,アウト,ランナー,本文
1回表,1,1.0,牧 秀悟,0,,ファウルフライを佐藤(三)が捕球してバッターアウト 1アウト
1回表,2,2.0,度会 隆輝,1,,空振りの三振を喫する 2アウト
1回表,3,3.0,筒香 嘉智,2,,四球を選ぶ 一塁
1回表,4,4.0,佐野 恵太,2,1塁,ファーストゴロ 3アウト
1回裏,1,1.0,近本 光司,0,,センターへのヒットを放つ 一塁
1回裏,2,2.0,中野 拓夢,0,1塁,見事送りバントを決める 1アウト二塁
1回裏,3,3.0,森下 翔太,1,2塁,高めのつり球に空振り三振 2アウト
1回裏,4,4.0,佐藤 輝明,2,2塁,2アウト二塁の3-2からライトへの先制タイムリーツーベース！ 神 1-0 デ 二塁0:46【1回裏】佐藤 詰まりながらもライト前へ!! タイムリーツーベースヒットで先制!! 2026/03/31 T-DeNA
1回裏,5,5.0,大山 悠輔,2,2塁,ファウルフライを山本(捕)がつかんでバッターアウト 3アウト
2回表,1,5.0,山本 祐大,0,,レフトへのツーベース 二塁
2回表,2,6.0,ヒュンメル,0,2塁,0アウト二塁から低めの球を打つもレフトフライ 1アウト
2回表,3,7.0,梶原 昂希,1,2塁,ワンバウンドした球に空振り、三振を喫する 2アウト
2回表,4,8.0,石上 泰輝,2,2塁,ショートゴロ 3アウト
2回裏,1,6.0,髙寺 望夢,0,,高めのストレートを打つもレフトフライ 1アウト
2回裏,2,7.0,木浪 聖也,1,,フォアボールを選ぶ 一塁
2回裏,3,8.0,坂本 誠志郎,1,1塁,一塁けん制:ランナー木浪帰塁ど真ん中のチェンジアップを打つもセンターフライ 2アウト
2回裏,4,9.0,才木 浩人,2,1塁,見逃し三振でバッターアウト！ 3アウト
3回表,1,9.0,デュプランティエ,0,,低めのストレートを打つもレフトフライ 1アウト
3回表,2,1.0,牧 秀悟,1,,見逃し三振 2アウト
3回表,3,2.0,度会 隆輝,2,,ライトへのヒットで出塁 一塁
3回表,4,3.0,筒香 嘉智,2,1塁,一塁走者度会:盗塁成功 二塁低めの落ちる球を打つもライトフライ 3アウト
3回裏,1,1.0,近本 光司,0,,空振り三振でバッターアウト 1アウト
3回裏,2,2.0,中野 拓夢,1,,外角のストレートを打つもレフトフライ 2アウト
3回裏,3,3.0,森下 翔太,2,,サードゴロ 3アウト
4回表,1,4.0,佐野 恵太,0,,ファーストゴロ 1アウト
4回表,2,5.0,山本 祐大,1,,内角低めのストレートを打つもセンターフライ 2アウト
4回表,3,6.0,ヒュンメル,2,,フォアボールを選ぶ 一塁
4回表,4,7.0,梶原 昂希,2,1塁,一塁けん制:ランナーヒュンメル帰塁見逃し三振 3アウト
4回裏,1,4.0,佐藤 輝明,0,,ハーフスイングを取られて三球三振 1アウト
4回裏,2,5.0,大山 悠輔,1,,高めのストレートを打つもセンターフライ 2アウト
4回裏,3,6.0,髙寺 望夢,2,,ショートゴロ 3アウト
5回表,1,8.0,石上 泰輝,0,,ファウルフライを佐藤(三)がつかんでバッターアウト 1アウト
5回表,2,9.0,デュプランティエ,1,,ファーストゴロ 2アウト
5回表,3,1.0,牧 秀悟,2,,8球粘った末にフォアボールを選ぶ 一塁
5回表,4,2.0,度会 隆輝,2,1塁,内角の真っ直ぐを打つもライトフライ 3アウト
5回裏,1,7.0,木浪 聖也,0,,フォアボールを選ぶ 一塁
5回裏,2,8.0,坂本 誠志郎,0,1塁,一塁けん制:ランナー木浪帰塁一塁けん制:ランナー木浪帰塁見事送りバントを決める 1アウト二塁
5回裏,3,9.0,才木 浩人,1,2塁,四球を選ぶ 一二塁
5回裏,4,1.0,近本 光司,1,"1,2塁",－DeNA:コーチマウンドへむかう－四球を選ぶ。ピッチャーデュプランティエにとって痛いフォアボールとなる 満塁
5回裏,5,2.0,中野 拓夢,1,満塁,セカンドゴロの間に阪神1点をあげる 神 2-0 デ 2アウト一三塁0:31【5回裏】中野 通算100盗塁達成!! 2026/03/31 T-DeNA
5回裏,6,3.0,森下 翔太,2,"1,3塁",一塁けん制:ランナー中野帰塁一塁走者中野:盗塁成功 二三塁外角の真っ直ぐを打つもライトフライ 3アウト
6回表,1,3.0,筒香 嘉智,0,,カウント0-1からライトスタンドへのホームラン 神 2-1 デ
6回表,2,4.0,佐野 恵太,0,,ショートへの内野安打 一塁
6回表,3,5.0,山本 祐大,0,1塁,5-4-3のダブルプレー 2アウト
6回表,4,6.0,ヒュンメル,2,,見逃し三振 3アウト
6回裏,1,4.0,佐藤 輝明,0,,投手交代:デュプランティエ→坂本サードへの内野安打 一塁
6回裏,2,5.0,大山 悠輔,0,1塁,レフトへのツーベース 二三塁
6回裏,3,6.0,髙寺 望夢,0,"2,3塁",0アウト二三塁の0-1から犠牲フライ 神 3-1 デ 1アウト二塁1:00【6回裏】髙寺 犠牲フライで今シーズン初打点!! 2026/03/31 T-DeNA
6回裏,4,7.0,木浪 聖也,1,2塁,1アウト二塁からセンターへのヒットを放つ 一三塁
6回裏,5,8.0,坂本 誠志郎,1,"1,3塁",1アウト一三塁の3-2から犠牲フライ 神 4-1 デ 2アウト一塁
6回裏,6,,中川 勇斗,2,1塁,才木→代打:中川ショートゴロ 3アウト
7回表,1,7.0,梶原 昂希,0,,ピッチャー才木に代わって桐敷がマウンドにあがるセカンドゴロ 1アウト
7回表,2,,蝦名 達夫,1,,石上→代打:蝦名ショートへの内野安打 一塁
7回表,3,,ビシエド,1,1塁,坂本→代打:ビシエドレフトへのヒットで出塁 一二塁
7回表,4,1.0,牧 秀悟,1,"1,2塁",一塁走者ビシエド→代走:京田－阪神:内野手マウンドへ集まる－ど真ん中の球を打つもレフトフライ 2アウト
7回表,5,2.0,度会 隆輝,2,"1,2塁",セカンドフライ 3アウト
7回裏,1,1.0,近本 光司,0,,投手交代:坂本→マルセリーノ守備変更:蝦名→センター　守備変更:京田→ショートセカンドゴロ 1アウト
7回裏,2,2.0,中野 拓夢,1,,センターへのヒットを放つ 一塁
7回裏,3,3.0,森下 翔太,1,1塁,キャッチャーへのファウルフライに倒れる 2アウト
7回裏,4,4.0,佐藤 輝明,2,1塁,ワンバウンドした球に空振り、三振を喫する 3アウト
8回表,1,3.0,筒香 嘉智,0,,ピッチャー桐敷に代わってドリスがマウンドにあがる　守備交代:ショート小幡空振り三振 1アウト
8回表,2,4.0,佐野 恵太,1,,ど真ん中の球を打つもセンターフライ 2アウト
8回表,3,5.0,山本 祐大,2,,センターへのヒットで出塁 一塁
8回表,4,6.0,ヒュンメル,2,1塁,センターへのヒットで出塁 一二塁
