イニング,打席順,打順,選手名,アウト,ランナー,本文
1回表,1,1.0,宗 佑磨,0,,フォアボールを選ぶ 一塁
1回表,2,2.0,廣岡 大志,0,1塁,5-4-3のダブルプレー 2アウト
1回表,3,3.0,西川 龍馬,2,,セカンドゴロ 3アウト
1回裏,1,1.0,桑原 将志,0,,低めのスライダーを打つもセンターフライ 1アウト
1回裏,2,2.0,長谷川 信哉,1,,サードゴロ 2アウト
1回裏,3,3.0,外崎 修汰,2,,サードゴロ 3アウト
2回表,1,4.0,太田 椋,0,,セカンドゴロ 1アウト
2回表,2,5.0,森 友哉,1,,ハーフスイングを取られて三球三振 2アウト
2回表,3,6.0,中川 圭太,2,,外角低めのカーブを打つもセンターフライ 3アウト
2回裏,1,4.0,林 安可,0,,空振り三振でバッターアウト 1アウト
2回裏,2,5.0,渡部 聖弥,1,,空振りの三振を喫する 2アウト
2回裏,3,6.0,岸 潤一郎,2,,ライトへのヒットで出塁 一塁
2回裏,4,7.0,カナリオ,2,1塁,一塁けん制:ランナー岸帰塁空振り三振でバッターアウト 3アウト
3回表,1,7.0,紅林 弘太郎,0,,外角高めの落ちる球を引っかけてサードゴロ 1アウト
3回表,2,8.0,若月 健矢,1,,ど真ん中のストレートを打つもセンターフライ 2アウト
3回表,3,9.0,大城 滉二,2,,内角高めの球を打つもレフトフライ 3アウト
3回裏,1,8.0,古賀 悠斗,0,,センターへのヒットで出塁 一塁
3回裏,2,9.0,源田 壮亮,0,1塁,見逃し三振でバッターアウト！ 1アウト
3回裏,3,1.0,桑原 将志,1,1塁,フルカウントからレフトへのタイムリーツーベースで西武先制！ 西 1-0 オ 二塁1:05【3回裏】移籍後初打点!! ライオンズ・桑原将志 レフトへのタイムリー2ベースで先制!! 2026年4月2日 埼玉西武ライオンズ 対 オリックス・バファローズ
3回裏,4,2.0,長谷川 信哉,1,2塁,見逃し三振でバッターアウト！ 2アウト
3回裏,5,3.0,外崎 修汰,2,2塁,2アウト二塁からライトへのヒットを放つ 一三塁
3回裏,6,4.0,林 安可,2,"1,3塁",－オリックス:コーチマウンドへむかう－カウント1-2から空振りの三振を喫する 3アウト
4回表,1,1.0,宗 佑磨,0,,高めのストレートを打つもセンターフライ 1アウト
4回表,2,2.0,廣岡 大志,1,,フォアボールを選ぶ 一塁
4回表,3,3.0,西川 龍馬,1,1塁,外角低めの変化球を引っかけてファーストゴロ 2アウト一塁
4回表,4,4.0,太田 椋,2,1塁,内角高めの真っ直ぐを打つもレフトフライ 3アウト
4回裏,1,5.0,渡部 聖弥,0,,当てるだけのバッティングでショートゴロ 1アウト
4回裏,2,6.0,岸 潤一郎,1,,外角高めのストレートを打つもライトフライ 2アウト
4回裏,3,7.0,カナリオ,2,,空振り三振でバッターアウト 3アウト
5回表,1,5.0,森 友哉,0,,粘りを見せて8球目にフォアボールを選ぶ 一塁
5回表,2,6.0,中川 圭太,0,1塁,ライトへのヒットを放つ 一二塁
5回表,3,7.0,紅林 弘太郎,0,"1,2塁",見事送りバントを決める 1アウト二三塁
5回表,4,8.0,若月 健矢,1,"2,3塁",セカンドフライ 2アウト
5回表,5,9.0,大城 滉二,2,"2,3塁",ランナー二三塁の2-2からライトへの逆転タイムリーヒット！ 西 1-2 オ 一塁
