イニング,打席順,打順,選手名,アウト,ランナー,本文
1回表,1,1.0,宗 佑磨,0,,空振り三振でバッターアウト 1アウト
1回表,2,2.0,廣岡 大志,1,,空振りの三振を喫する 2アウト
1回表,3,3.0,西川 龍馬,2,,外角低めのストレートを打つもレフトフライ 3アウト
1回裏,1,1.0,野村 佑希,0,,サードゴロ 1アウト
1回裏,2,2.0,清宮 幸太郎,1,,ハーフスイングを取られて空振り三振でバッターアウト 2アウト
1回裏,3,3.0,吉田 賢吾,2,,低めのカーブを打つもライトフライ 3アウト
2回表,1,4.0,太田 椋,0,,ワンバウンドした球に空振り、三振を喫する 1アウト
2回表,2,5.0,西野 真弘,1,,ショートへの内野安打 一塁
2回表,3,6.0,中川 圭太,1,1塁,ど真ん中の球を打つもセンターフライ 2アウト
2回表,4,7.0,シーモア,2,1塁,デッドボールを受ける 一二塁
2回表,5,8.0,森 友哉,2,"1,2塁",フォアボールを選ぶ 満塁
2回表,6,9.0,紅林 弘太郎,2,満塁,一打先制の場面で外角高めのストレートを打つもライトフライ 3アウト
2回裏,1,4.0,郡司 裕也,0,,高めの真っ直ぐをレフトへ打ってヒット 一塁
2回裏,2,5.0,万波 中正,0,1塁,見逃し三振でバッターアウト！ 1アウト
2回裏,3,6.0,西川 遥輝,1,1塁,一塁けん制:ランナー郡司帰塁ライトへのヒットを放つ 一二塁
2回裏,4,7.0,田宮 裕涼,1,"1,2塁",ランナー一二塁から内角高めのストレートを打つもセンターフライ 2アウト
2回裏,5,8.0,奈良間 大己,2,"1,2塁",フォアボールを選ぶ 満塁
2回裏,6,9.0,水野 達稀,2,満塁,ランナーフルベースの2-1からレフトへの先制タイムリーツーベース！ 日 3-0 オ 二塁1:09【2回裏】一気に3点を先制!! ファイターズ・水野達稀 走者一掃のタイムリー2ベース!! 2026年4月3日 北海道日本ハムファイターズ 対 オリックス・バファローズ
2回裏,7,1.0,野村 佑希,2,2塁,ランナー二塁からセカンドゴロ 3アウト
3回表,1,1.0,宗 佑磨,0,,セカンドゴロ 1アウト
3回表,2,2.0,廣岡 大志,1,,空振り三振でバッターアウト 2アウト
3回表,3,3.0,西川 龍馬,2,,センターへのヒットを放つ 一塁
3回表,4,4.0,太田 椋,2,1塁,センターへのヒットを放つ 一二塁
3回表,5,5.0,西野 真弘,2,"1,2塁",カウント2-2から空振り三振！決定機を逃す 3アウト
3回裏,1,2.0,清宮 幸太郎,0,,センターへのヒットで出塁 一塁
3回裏,2,3.0,吉田 賢吾,0,1塁,6-4-3のダブルプレー 2アウト
3回裏,3,4.0,郡司 裕也,2,,センターへのヒットで出塁 一塁
