イニング,打席順,打順,選手名,アウト,ランナー,本文
1回表,1,1.0,ブライト 健太,0,,空振りの三振を喫する 1アウト
1回表,2,2.0,田中 幹也,1,,たたきつける打球で内野安打 一塁
1回表,3,3.0,福永 裕基,1,1塁,一塁けん制:ランナー田中帰塁また一塁けん制:ランナー田中帰塁レフトへのヒットを放つ 一三塁
1回表,4,4.0,細川 成也,1,"1,3塁",1アウト一三塁の1-1からライトへの犠牲フライを放つ中日先制！ ヤ 0-1 中 2アウト一塁
1回表,5,5.0,サノー,2,1塁,一塁けん制:ランナー福永帰塁一塁けん制:ランナー福永帰塁一塁走者福永:盗塁成功 二塁死球を受ける 一二塁
1回表,6,6.0,木下 拓哉,2,"1,2塁",－ヤクルト:コーチマウンドへむかう－ピッチャーゴロ 3アウト
1回裏,1,1.0,長岡 秀樹,0,,ライトへのヒットで出塁 一塁
1回裏,2,2.0,サンタナ,0,1塁,フォアボールを選ぶ 一二塁
1回裏,3,3.0,鈴木 叶,0,"1,2塁",低めのフォークを打つもセンターフライ 1アウト
1回裏,4,4.0,オスナ,1,"1,2塁",ランナー一二塁から外角低めのストレートを打つもライトフライ 2アウト一三塁
1回裏,5,5.0,岩田 幸宏,2,"1,3塁",外角低めの落ちる球を引っかけてセカンドゴロ 3アウト
2回表,1,7.0,花田 旭,0,,内角低めのスライダーを打つもレフトフライ 1アウト
2回表,2,8.0,村松 開人,1,,外角高めのスライダーを打つもライトフライ 2アウト
2回表,3,9.0,櫻井 頼之介,2,,打つ気なく三振に倒れる 3アウト
2回裏,1,6.0,増田 珠,0,,外角高めのカットボールを打つもセンターフライ 1アウト
2回裏,2,7.0,伊藤 琉偉,1,,レフトスタンドへのホームランでヤクルト同点！ ヤ 1-1 中
2回裏,3,8.0,山野 太一,1,,空振り三振でバッターアウト 2アウト
2回裏,4,9.0,田中 陽翔,2,,センターへのヒットを放つ 一塁
2回裏,5,1.0,長岡 秀樹,2,1塁,セカンドゴロ 3アウト
3回表,1,1.0,ブライト 健太,0,,見逃し三振でバッターアウト！ 1アウト
3回表,2,2.0,田中 幹也,1,,サードゴロ 2アウト
3回表,3,3.0,福永 裕基,2,,高めの真っ直ぐを打つもセンターフライ 3アウト
3回裏,1,2.0,サンタナ,0,,カウント2-1からレフトスタンドへの勝ち越しホームラン！ ヤ 2-1 中
3回裏,2,3.0,鈴木 叶,0,,泳ぎながらもセンターへヒットを放つ 一塁
3回裏,3,4.0,オスナ,0,1塁,レフトへのヒットを放つ 一三塁
3回裏,4,5.0,岩田 幸宏,0,"1,3塁",－中日:コーチマウンドへむかう－0アウト一三塁の1-2からファーストへのタイムリー内野安打 ヤ 3-1 中 一二塁
3回裏,5,6.0,増田 珠,0,"1,2塁",ランナー一二塁の3-1からセンターへの3ランホームラン ヤ 6-1 中
3回裏,6,7.0,伊藤 琉偉,0,,投手交代:櫻井→牧野フォアボールを選ぶ 一塁
3回裏,7,8.0,山野 太一,0,1塁,一塁けん制:ランナー伊藤帰塁外角低めの真っ直ぐを打つもセンターフライ 1アウト
3回裏,8,9.0,田中 陽翔,1,1塁,牧野(投):暴投 二塁空振り三振でバッターアウト 2アウト
3回裏,9,1.0,長岡 秀樹,2,2塁,2アウト二塁からファーストゴロ 3アウト
4回表,1,4.0,細川 成也,0,,二塁打 二塁
4回表,2,5.0,サノー,0,2塁,四球を選ぶ 一二塁
4回表,3,6.0,木下 拓哉,0,"1,2塁",－ヤクルト:内野手マウンドへ集まる－0アウト一二塁から内角低めのワンシームを打つもライトフライ 1アウト
4回表,4,7.0,花田 旭,1,"1,2塁",1アウト一二塁からレフトへのヒットで出塁 満塁
4回表,5,8.0,村松 開人,1,満塁,1アウト満塁からセンターへの犠牲フライを放つ ヤ 6-2 中 2アウト一二塁
4回表,6,,カリステ,2,"1,2塁",牧野→代打:カリステカウント0-2からワンバウンドした球に空振り、三振を喫する 3アウト
4回裏,1,2.0,サンタナ,0,,投手交代:牧野→梅野外角高めの真っ直ぐを引っかけてサードゴロ 1アウト
4回裏,2,3.0,鈴木 叶,1,,空振り三振 2アウト
4回裏,3,4.0,オスナ,2,,フォアボールを選ぶ 一塁
4回裏,4,5.0,岩田 幸宏,2,1塁,一塁走者オスナ:盗塁を試みるもアウト 3アウト
5回表,1,1.0,ブライト 健太,0,,ショートゴロ 1アウト
5回表,2,2.0,田中 幹也,1,,センターへのヒットで出塁 一塁
5回表,3,3.0,福永 裕基,1,1塁,一塁けん制:ランナー田中帰塁また一塁けん制:ランナー田中帰塁一塁走者田中:盗塁成功 二塁粘りを見せるも8球目を空振り、三振を喫する 2アウト
5回表,4,4.0,細川 成也,2,2塁,ランナー二塁から2ランホームラン ヤ 6-4 中
5回表,5,5.0,サノー,2,,－ヤクルト:監督マウンドへむかう－空振りの三振を喫する 3アウト
5回裏,1,5.0,岩田 幸宏,0,,粘りを見せて9球目にフォアボールを選ぶ 一塁
