イニング,打席順,打順,選手名,アウト,ランナー,本文
1回表,1,1.0,中島 大輔,0,,サードゴロ 1アウト
1回表,2,2.0,佐藤 直樹,1,,レフトへのヒット 一塁
1回表,3,3.0,黒川 史陽,1,1塁,一塁けん制:ランナー佐藤戻りきれずタッチアウト！ 2アウトセンターへのヒットで出塁 一塁
1回表,4,4.0,ボイト,2,1塁,高めのストレートを打つもレフトフライ 3アウト
1回裏,1,1.0,桑原 将志,0,,村林(遊)の悪送球により出塁する 二塁
1回裏,2,2.0,石井 一成,0,2塁,ど真ん中の球を打つもレフトフライ 1アウト
1回裏,3,3.0,小島 大河,1,2塁,ど真ん中のチェンジアップを打つもセンターフライ 2アウト三塁
1回裏,4,4.0,林 安可,2,3塁,フォアボールを選ぶ 一三塁
1回裏,5,5.0,渡部 聖弥,2,"1,3塁",一打先制の場面でセカンドゴロ 3アウト
2回表,1,5.0,村林 一輝,0,,空振りの三振を喫する 1アウト
2回表,2,6.0,浅村 栄斗,1,,空振りの三振を喫する 2アウト
2回表,3,7.0,マッカスカー,2,,空振り三振でバッターアウト 3アウト
2回裏,1,6.0,外崎 修汰,0,,一度もバットを振ることなく三球三振 1アウト
2回裏,2,7.0,長谷川 信哉,1,,ファウルフライを佐藤(右)が捕球してバッターアウト 2アウト
2回裏,3,8.0,カナリオ,2,,見逃し三振でバッターアウト！ 3アウト
3回表,1,8.0,伊藤 光,0,,7球粘るも外角低めの真っ直ぐに空振り三振 1アウト
3回表,2,9.0,小深田 大翔,1,,外角低めの球を打つもセンターフライ 2アウト
3回表,3,1.0,中島 大輔,2,,空振りの三振を喫する 3アウト
3回裏,1,9.0,源田 壮亮,0,,レフトへのツーベース 二塁
3回裏,2,1.0,桑原 将志,0,2塁,サードゴロ 1アウト
3回裏,3,2.0,石井 一成,1,2塁,空振り三振 2アウト
3回裏,4,3.0,小島 大河,2,2塁,一打先制の場面で高めの球を打つもセンターフライ 3アウト
4回表,1,2.0,佐藤 直樹,0,,空振りの三振を喫する 1アウト
4回表,2,3.0,黒川 史陽,1,,見逃し三振でバッターアウト！ 2アウト
4回表,3,4.0,ボイト,2,,サードゴロ 3アウト
4回裏,1,4.0,林 安可,0,,外角低めのチェンジアップを打つもレフトフライ 1アウト
4回裏,2,5.0,渡部 聖弥,1,,見逃し三振 2アウト
4回裏,3,6.0,外崎 修汰,2,,外角低めのスライダーを打つもセンターフライ 3アウト
5回表,1,5.0,村林 一輝,0,,空振り三振 1アウト
5回表,2,6.0,浅村 栄斗,1,,外角の球を打つもセンターフライ 2アウト
5回表,3,7.0,マッカスカー,2,,高めのつり球に空振り三振 3アウト
5回裏,1,7.0,長谷川 信哉,0,,外角のストレートを打つもライトフライ 1アウト
5回裏,2,8.0,カナリオ,1,,ショートゴロ 2アウト
5回裏,3,9.0,源田 壮亮,2,,9球粘った末にフォアボールを選ぶ 一塁
5回裏,4,1.0,桑原 将志,2,1塁,－楽天:コーチマウンドへむかう－一塁けん制:ランナー源田帰塁一塁けん制:ランナー源田帰塁空振りの三振を喫する 3アウト
6回表,1,8.0,伊藤 光,0,,キャッチャーゴロ打者走者伊藤光は守備妨害によりアウト 1アウト
6回表,2,9.0,小深田 大翔,1,,セカンドゴロ 2アウト
6回表,3,1.0,中島 大輔,2,,セカンドゴロ 3アウト
6回裏,1,2.0,石井 一成,0,,低めの落ちる球を打つもライトフライ 1アウト
6回裏,2,3.0,小島 大河,1,,内角のストレートを打つもセンターフライ 2アウト
6回裏,3,4.0,林 安可,2,,ライトへのヒットで出塁 一塁
6回裏,4,5.0,渡部 聖弥,2,1塁,ピッチャーゴロ 3アウト
7回表,1,2.0,佐藤 直樹,0,,ショートゴロ 1アウト
7回表,2,3.0,黒川 史陽,1,,空振り三振でバッターアウト 2アウト0:37【7回表】自身初の2桁奪三振!! ライオンズ・武内夏暉 前回登板の悔しさを晴らす無失点ピッチング!! 2026年4月4日 埼玉西武ライオンズ 対 東北楽天ゴールデンイーグルス
7回表,3,4.0,ボイト,2,,サードゴロ 3アウト
7回裏,1,6.0,外崎 修汰,0,,投手交代:瀧中→宋家豪レフトへのヒットで出塁 一塁
7回裏,2,7.0,長谷川 信哉,0,1塁,一塁走者外崎→代走:西川一塁けん制:ランナー西川帰塁見事送りバントを決める 1アウト二塁
7回裏,3,8.0,カナリオ,1,2塁,1アウト二塁からレフトへのヒットで出塁 一二塁
7回裏,4,9.0,源田 壮亮,1,"1,2塁",二塁けん制:ランナー西川帰塁見逃し三振 2アウト
7回裏,5,1.0,桑原 将志,2,"1,2塁",ランナー一二塁から内角のツーシームを打つもレフトフライ 3アウト
8回表,1,5.0,村林 一輝,0,,投手交代:武内→甲斐野守備変更:西川→センター　守備変更:長谷川センター→ファーストピッチャーゴロ 1アウト
8回表,2,6.0,浅村 栄斗,1,,ライトへのヒットで出塁 一塁
8回表,3,7.0,マッカスカー,1,1塁,一塁走者浅村→代走:平良セカンドフライ 2アウト
8回表,4,,辰己 涼介,2,1塁,伊藤光→代打:辰己一塁けん制:ランナー平良帰塁一塁走者平良:盗塁成功 二塁－西武:コーチマウンドへむかう－四球を選ぶ 一二塁
8回表,5,9.0,小深田 大翔,2,"1,2塁",2アウト一二塁の2-1からライトへの先制タイムリースリーベース！ 西 0-2 楽 三塁0:53【8回表】均衡を破る一打!! イーグルス・小深田大翔 右中間への2点タイムリー3ベースで先制!! 2026年4月4日 埼玉西武ライオンズ 対 東北楽天ゴールデンイーグルス
8回表,6,1.0,中島 大輔,2,3塁,カウント0-2から空振り三振でバッターアウト 3アウト
8回裏,1,,古賀 悠斗,0,,ピッチャー宋家豪に代わって鈴木翔がマウンドにあがる　守備交代:サード鈴木大守備交代:キャッチャー太田守備変更:中島センター→レフト　守備変更:黒川サード→ファースト　守備変更:辰己→センター石井→代打:古賀悠空振り三振でバッターアウト 1アウト
8回裏,2,3.0,小島 大河,1,,外角高めの球を打つもレフトフライ 2アウト
8回裏,3,4.0,林 安可,2,,ど真ん中のスライダーを打つもライトフライ 3アウト
9回表,1,2.0,佐藤 直樹,0,,投手交代:甲斐野→E.ラミレス守備交代:セカンド滝澤守備変更:古賀悠→キャッチャー楽天・佐藤の一塁アウトの判定を巡り、楽天がリクエストリプレー検証後判定覆るショートへの内野安打 一塁
9回表,2,3.0,黒川 史陽,0,1塁,一塁けん制:ランナー佐藤帰塁見事送りバントを成功させる 1アウト二塁
9回表,3,4.0,ボイト,1,2塁,空振り三振でバッターアウト 2アウト
9回表,4,5.0,村林 一輝,2,2塁,－西武:コーチマウンドへむかう－外角のストレートを打つもレフトフライ 3アウト
9回裏,1,5.0,渡部 聖弥,0,,ピッチャー鈴木翔に代わって田中千がマウンドにあがるサードゴロ 1アウト
9回裏,2,6.0,西川 愛也,1,,空振り三振でバッターアウト 2アウト
9回裏,3,7.0,長谷川 信哉,2,,フォアボールを選ぶ 一塁
9回裏,4,8.0,カナリオ,2,1塁,0-1からセンターへのヒットを放つ小深田(二):悪送球 西 1-2 楽 一塁
9回裏,5,9.0,源田 壮亮,2,1塁,一発出れば逆転サヨナラの場面でセカンドゴロ 3アウト試合終了0:26【9回裏】プロ初セーブ!! イーグルス・田中千晴 リードを守り切りチームの3連勝に貢献!! 2026年4月4日 埼玉西武ライオンズ 対 東北楽天ゴールデンイーグルス
