イニング,打席順,打順,選手名,アウト,ランナー,本文
1回表,1,1.0,野村 勇,0,,ファウルフライを寺地(三)がつかんでバッターアウト 1アウト
1回表,2,2.0,近藤 健介,1,,ショートフライ 2アウト
1回表,3,3.0,栗原 陵矢,2,,ショートゴロ 3アウト
1回裏,1,1.0,岡 大海,0,,ど真ん中のストレートを打つもセンターフライ 1アウト
1回裏,2,2.0,藤原 恭大,1,,外角の球を打つもセンターフライ 2アウト
1回裏,3,3.0,西川 史礁,2,,デッドボールを受ける 一塁
1回裏,4,4.0,ポランコ,2,1塁,一塁走者西川:積極的に初球から走って盗塁成功 二塁2アウト二塁の2-2からショートへのタイムリー内野安打でロッテ先制！二塁走者西川はさらに三塁も回って本塁生還 ロ 1-0 ソ 一塁
1回裏,5,5.0,寺地 隆成,2,1塁,低めのストレートを打つもレフトフライ 3アウト
2回表,1,4.0,柳田 悠岐,0,,ライトへのヒットを放つ 一塁
2回表,2,5.0,山川 穂高,0,1塁,内角の真っ直ぐを打つもレフトフライ 1アウト
2回表,3,6.0,今宮 健太,1,1塁,ど真ん中のフォークを打つもレフトフライ 2アウト
2回表,4,7.0,牧原 大成,2,1塁,センターへのヒットで出塁 一二塁
2回表,5,8.0,谷川原 健太,2,"1,2塁",寺地(三)のファンブルにより出塁する 満塁
2回表,6,9.0,周東 佑京,2,満塁,外角高めの真っ直ぐを打つもレフトフライ 3アウト
2回裏,1,6.0,ソト,0,,空振りの三振を喫する 1アウト
2回裏,2,7.0,石垣 勝海,1,,セカンドゴロ 2アウト
2回裏,3,8.0,佐藤 都志也,2,,空振りの三振を喫する 3アウト
3回表,1,1.0,野村 勇,0,,空振り三振でバッターアウト 1アウト
3回表,2,2.0,近藤 健介,1,,セカンドゴロ 2アウト
3回表,3,3.0,栗原 陵矢,2,,空振り三振でバッターアウト 3アウト
3回裏,1,9.0,友杉 篤輝,0,,ど真ん中の変化球を打つもセンターフライ 1アウト
3回裏,2,1.0,岡 大海,1,,詰まった打球はサードゴロ 2アウト
3回裏,3,2.0,藤原 恭大,2,,外角低めの球を打つもライトフライ 3アウト
4回表,1,4.0,柳田 悠岐,0,,外角の球を打つもショートライナー 1アウト
4回表,2,5.0,山川 穂高,1,,レフトへのツーベース 二塁
4回表,3,6.0,今宮 健太,1,2塁,ランナー二塁の1-1からレフトへの同点タイムリーツーベース！ ロ 1-1 ソ 二塁
4回表,4,7.0,牧原 大成,1,2塁,セカンドゴロ 2アウト三塁
4回表,5,8.0,谷川原 健太,2,3塁,ランナー三塁の1-0から勝ち越しのタイムリーヒット！ ロ 1-2 ソ 一塁0:45【4回表】ホークス・谷川原健太 今季初ヒットは勝ち越しのタイムリーヒット!! 2026年4月5日 千葉ロッテマリーンズ 対 福岡ソフトバンクホークス
4回表,6,9.0,周東 佑京,2,1塁,ファウルフライを寺地(三)がつかんでバッターアウト 3アウト
4回裏,1,3.0,西川 史礁,0,,ライトへのヒットを放つ 一塁
4回裏,2,4.0,ポランコ,0,1塁,一塁けん制:ランナー西川帰塁また一塁けん制:ランナー西川帰塁またも一塁けん制:ランナー西川帰塁ライトへのツーベース 二三塁
4回裏,3,5.0,寺地 隆成,0,"2,3塁",ランナー二三塁の0-2からライトへの犠牲フライを放つロッテ同点！ ロ 2-2 ソ 1アウト三塁
4回裏,4,6.0,ソト,1,3塁,1アウト三塁からショートゴロ 2アウト
4回裏,5,7.0,石垣 勝海,2,3塁,カウント2-2から空振り三振でバッターアウト 3アウト
5回表,1,1.0,野村 勇,0,,ストレートのフォアボールで出塁 一塁
5回表,2,2.0,近藤 健介,0,1塁,一塁けん制:ランナー野村帰塁一塁けん制:ランナー野村帰塁また一塁けん制:ランナー野村帰塁ライトへのヒットを放つ 一三塁
5回表,3,3.0,栗原 陵矢,0,"1,3塁",0アウト一三塁の1-1からレフトへの犠牲フライを放つソフトバンク勝ち越し！ ロ 2-3 ソ 1アウト一塁
5回表,4,4.0,柳田 悠岐,1,1塁,死球を受ける 一二塁
5回表,5,5.0,山川 穂高,1,"1,2塁",－治療中－投手交代:小島→廣池1アウト一二塁からセカンドゴロ 2アウト二三塁
5回表,6,6.0,今宮 健太,2,"2,3塁",2アウト二三塁の0-1からレフトへのタイムリーヒット ロ 2-4 ソ 一三塁0:47【5回表】2打席連続タイムリー!! ホークス・今宮健太 変化球に上手く対応してレフト前に運ぶ!! 2026年4月5日 千葉ロッテマリーンズ 対 福岡ソフトバンクホークス
5回表,7,7.0,牧原 大成,2,"1,3塁",サードゴロ 3アウト
5回裏,1,8.0,佐藤 都志也,0,,守備交代:ライト柳町守備変更:近藤ライト→レフト外角高めのストレートを打つもレフトフライ 1アウト
5回裏,2,9.0,友杉 篤輝,1,,ファウルフライを谷川原(捕)がつかんでバッターアウト 2アウト
5回裏,3,1.0,岡 大海,2,,ショートへの内野安打 一塁
5回裏,4,2.0,藤原 恭大,2,1塁,一塁走者岡:盗塁成功 二塁フォアボールを選ぶ 一二塁
5回裏,5,3.0,西川 史礁,2,"1,2塁",粘りを見せるも9球目を見逃し三振でバッターアウト！ 3アウト
6回表,1,8.0,谷川原 健太,0,,セカンドゴロ 1アウト
6回表,2,9.0,周東 佑京,1,,身体付近への投球が死球かどうかの判定を巡り、ロッテがリクエストリプレー検証後判定覆る粘りを見せて8球目に四球を選ぶ 一塁
6回表,3,1.0,野村 勇,1,1塁,一塁けん制:ランナー周東帰塁一塁走者周東:盗塁成功 二塁空振りの三振を喫する 2アウト
6回表,4,2.0,近藤 健介,2,2塁,ショートゴロ 3アウト
6回裏,1,4.0,ポランコ,0,,ハーフスイングを取られて空振り三振でバッターアウト 1アウト
6回裏,2,5.0,寺地 隆成,1,,ピッチャーゴロ 2アウト
6回裏,3,6.0,ソト,2,,外角低めの真っ直ぐを打つもライトフライ 3アウト
7回表,1,3.0,栗原 陵矢,0,,外角低めのチェンジアップを打つもレフトフライ 1アウト
7回表,2,4.0,柳町 達,1,,高めの真っ直ぐを打つもセンターフライ 2アウト
7回表,3,5.0,山川 穂高,2,,フォアボールを選ぶ 一塁
7回表,4,6.0,今宮 健太,2,1塁,センターへのヒット 一二塁
7回表,5,7.0,牧原 大成,2,"1,2塁",セカンドゴロ 3アウト
7回裏,1,7.0,石垣 勝海,0,,ピッチャースチュワート・ジュニアに代わって上茶谷がマウンドにあがる低めのスライダーを打つもセンターフライ 1アウト
7回裏,2,8.0,佐藤 都志也,1,,フォアボールを選ぶ 一塁
7回裏,3,9.0,友杉 篤輝,1,1塁,併殺打 3アウト
8回表,1,8.0,谷川原 健太,0,,高めのストレートを打つもセンターフライ 1アウト
8回表,2,9.0,周東 佑京,1,,ショートゴロ 2アウト
8回表,3,1.0,野村 勇,2,,全く反応できず見逃し三振でバッターアウト 3アウト
8回裏,1,1.0,岡 大海,0,,外角のカットボールを打つもライトフライ 1アウト
8回裏,2,2.0,藤原 恭大,1,,フルカウントからライトスタンドへのホームラン ロ 3-4 ソ0:43【8回裏】待望の今季第1号!! マリーンズ・藤原恭大 ライトスタンドへのHRで食らいつく!! 2026年4月5日 千葉ロッテマリーンズ 対 福岡ソフトバンクホークス
8回裏,3,3.0,西川 史礁,1,,ショートゴロ 2アウト
8回裏,4,4.0,ポランコ,2,,ライトへのヒットで出塁 一塁
8回裏,5,5.0,寺地 隆成,2,1塁,－ソフトバンク:コーチマウンドへむかう－一塁走者ポランコ→代走:和田ロッテ・和田の一塁けん制セーフの判定を巡り、ソフトバンクがリクエストリプレー検証後判定変わらず一塁けん制:ランナー和田帰塁ロッテ・和田の二塁盗塁アウトの判定を巡り、ロッテがリクエストリプレー検証後判定覆る一塁走者和田:盗塁成功 二塁一打同点の場面で空振りの三振を喫する 3アウト
9回表,1,2.0,近藤 健介,0,,投手交代:廣池→澤田ショートフライ 1アウト
9回表,2,3.0,栗原 陵矢,1,,空振り三振でバッターアウト 2アウト
9回表,3,4.0,柳町 達,2,,キャッチャーへのファウルフライに倒れる 3アウト
9回裏,1,6.0,ソト,0,,ピッチャー上茶谷に代わって松本裕がマウンドにあがる　守備交代:ライト川村全く反応できず三球三振 1アウト
9回裏,2,,髙部 瑛斗,1,,石垣勝→代打:髙部センターへのヒットを放つ 一塁
9回裏,3,8.0,佐藤 都志也,1,1塁,一塁けん制:ランナー髙部帰塁一塁けん制:ランナー髙部帰塁ヒット 一三塁
9回裏,4,9.0,友杉 篤輝,1,"1,3塁",－ソフトバンク:コーチマウンドへむかう－一塁走者佐藤→代走:小川セーフティスクイズを試みるもキャッチャーゴロとなる三塁走者髙部は走塁死　一塁走者小川は走塁死 3アウト試合終了
