イニング,打席順,打順,選手名,アウト,ランナー,本文
1回表,1,1.0,西川 史礁,0,,ど真ん中の球を打つもセンターフライ 1アウト
1回表,2,2.0,藤原 恭大,1,,外角低めのストレートをセンターへ打ってヒット 一塁
1回表,3,3.0,山本 大斗,1,1塁,空振りの三振を喫する 2アウト
1回表,4,4.0,ソト,2,1塁,低めの球を打つもセンターフライ 3アウト
1回裏,1,1.0,宗 佑磨,0,,フォアボールを選ぶ 一塁
1回裏,2,2.0,廣岡 大志,0,1塁,一塁けん制:ランナー宗帰塁ショートフライ 1アウト
1回裏,3,3.0,西川 龍馬,1,1塁,一塁けん制:ランナー宗帰塁外角高めの真っ直ぐを引っかけてセカンドゴロ 2アウト一塁
1回裏,4,4.0,太田 椋,2,1塁,セカンドフライ 3アウト
2回表,1,5.0,寺地 隆成,0,,外角のスライダーを打つもレフトフライ 1アウト
2回表,2,6.0,藤岡 裕大,1,,7球粘るも外角低めの変化球に空振り三振 2アウト
2回表,3,7.0,佐藤 都志也,2,,見逃し三振 3アウト
2回裏,1,5.0,シーモア,0,,空振りの三振を喫する 1アウト
2回裏,2,6.0,紅林 弘太郎,1,,外角低めの球を打つもレフトフライ 2アウト
2回裏,3,7.0,杉澤 龍,2,,ファウルフライを佐藤(捕)が捕球してバッターアウト 3アウト
3回表,1,8.0,友杉 篤輝,0,,センターへの二塁打 二塁
3回表,2,9.0,髙部 瑛斗,0,2塁,ピッチャーゴロ二塁走者友杉は走塁死 1アウト二塁
3回表,3,1.0,西川 史礁,1,2塁,ストレートのフォアボールで出塁 2アウト一塁
3回表,4,2.0,藤原 恭大,2,1塁,レフトへのヒットで出塁 一二塁
3回表,5,3.0,山本 大斗,2,"1,2塁",－オリックス:コーチマウンドへむかう－一塁けん制:ランナー藤原帰塁一打先制の場面で内角のストレートを打つもレフトフライ 3アウト
3回裏,1,8.0,若月 健矢,0,,高めのスライダーを打つもセンターフライ 1アウト
3回裏,2,9.0,野口 智哉,1,,レフトへのヒット 一塁
3回裏,3,1.0,宗 佑磨,1,1塁,一塁けん制:ランナー野口帰塁レフトへのヒットで出塁 一二塁
3回裏,4,2.0,廣岡 大志,1,"1,2塁",キャッチャーフライ 2アウト
3回裏,5,3.0,西川 龍馬,2,"1,2塁",ランナー一二塁からあたりそこないの打球がサードへ転がり内野安打で出塁 満塁
3回裏,6,4.0,太田 椋,2,満塁,ランナーフルベースの1-1からライトへのタイムリーヒットでオリックス先制！二塁走者宗は走塁死 オ 1-0 ロ 3アウト0:20【3回裏】バファローズ・太田椋 ライトへ弾き返し先制タイムリー!! マリーンズ・藤原恭大も好返球を見せる!! 2026年4月9日 オリックス・バファローズ 対 千葉ロッテマリーンズ
4回表,1,4.0,ソト,0,,内角のスライダーを打つもレフトフライ 1アウト
4回表,2,5.0,寺地 隆成,1,,センターへのヒットで出塁 一塁
4回表,3,6.0,藤岡 裕大,1,1塁,見逃し三振でバッターアウト！ 2アウト
