イニング,打席順,打順,選手名,アウト,ランナー,本文
1回表,1,1.0,西川 史礁,0,,外角のスイーパーを打つもレフトフライ 1アウト
1回表,2,2.0,藤原 恭大,1,,ど真ん中のストレートを打つもレフトフライ 2アウト
1回表,3,3.0,上田 希由翔,2,,ショートゴロ 3アウト
1回裏,1,1.0,桑原 将志,0,,ショートゴロ 1アウト
1回裏,2,2.0,源田 壮亮,1,,外角の変化球を打つもレフトフライ 2アウト
1回裏,3,3.0,岸 潤一郎,2,,粘りを見せるも9球目を空振り、三振を喫する 3アウト
2回表,1,4.0,ソト,0,,ど真ん中の球を打つもライトフライ 1アウト
2回表,2,5.0,ポランコ,1,,フェンス直撃のツーベースを放つ 二塁
2回表,3,6.0,寺地 隆成,1,2塁,ランナー二塁の2-2からセンターへの先制タイムリーヒット！ 西 0-1 ロ 一塁0:57【2回表】11球粘って先制!! マリーンズ・寺地隆成 センターへのタイムリーヒットを放つ!! 2026年4月10日 埼玉西武ライオンズ 対 千葉ロッテマリーンズ
2回表,4,7.0,岡 大海,1,1塁,空振り三振でバッターアウト 2アウト
2回表,5,8.0,松川 虎生,2,1塁,外角高めのストレートを打つもライトフライ 3アウト
2回裏,1,4.0,仲三 優太,0,,空振り三振でバッターアウト 1アウト
2回裏,2,5.0,渡部 聖弥,1,,低めの変化球を打つもファーストライナー 2アウト
2回裏,3,6.0,平沢 大河,2,,内角の真っ直ぐを打つもライトフライ 3アウト
3回表,1,9.0,友杉 篤輝,0,,外角の変化球を引っかけてショートゴロ 1アウト
3回表,2,1.0,西川 史礁,1,,ショートゴロ 2アウト
3回表,3,2.0,藤原 恭大,2,,ファーストゴロ 3アウト
3回裏,1,7.0,カナリオ,0,,内角高めの球を打つもセンターフライ 1アウト
3回裏,2,8.0,古賀 悠斗,1,,サードゴロ 2アウト
3回裏,3,9.0,仲田 慶介,2,,センターへの三塁打 三塁
3回裏,4,1.0,桑原 将志,2,3塁,ランナー三塁からショートゴロ 3アウト
4回表,1,3.0,上田 希由翔,0,,二塁打 二塁
4回表,2,4.0,ソト,0,2塁,高めの球を打つもライトフライ 1アウト三塁
4回表,3,5.0,ポランコ,1,3塁,ストレートのフォアボールで出塁 一三塁
4回表,4,6.0,寺地 隆成,1,"1,3塁",－西武:内野手マウンドへ集まる－1アウト一三塁の2-2からレフトへのタイムリーヒット 西 0-2 ロ 一二塁
4回表,5,7.0,岡 大海,1,"1,2塁",内角低めのストレートを打つもセンターフライ 2アウト一三塁
4回表,6,8.0,松川 虎生,2,"1,3塁",外角高めのカットボールを打つもセンターフライ 3アウト
4回裏,1,2.0,源田 壮亮,0,,内角低めのストレートを打つもショートライナー 1アウト
4回裏,2,3.0,岸 潤一郎,1,,セカンドゴロ 2アウト
4回裏,3,4.0,仲三 優太,2,,高めのつり球に空振り三振 3アウト
5回表,1,9.0,友杉 篤輝,0,,ど真ん中のストレートを打つもセンターフライ 1アウト
5回表,2,1.0,西川 史礁,1,,セカンドゴロ 2アウト
5回表,3,2.0,藤原 恭大,2,,ライトへのヒットを放つ 一塁
5回表,4,3.0,上田 希由翔,2,1塁,一塁けん制:ランナー藤原帰塁セカンドゴロ 3アウト
5回裏,1,5.0,渡部 聖弥,0,,センターへのヒットで出塁 一塁
5回裏,2,6.0,平沢 大河,0,1塁,低めの球を打つもセンターフライ 1アウト
5回裏,3,7.0,カナリオ,1,1塁,カウント2-1からレフトへタイムリーツーベース！ 西 1-2 ロ 二塁
5回裏,4,8.0,古賀 悠斗,1,2塁,空振りの三振を喫する 2アウト
5回裏,5,9.0,仲田 慶介,2,2塁,二塁けん制:ランナーカナリオ帰塁2アウト二塁からセカンドゴロ 3アウト
6回表,1,4.0,ソト,0,,サードゴロ 1アウト
6回表,2,5.0,ポランコ,1,,ストレートのフォアボールで出塁 一塁
6回表,3,6.0,寺地 隆成,1,1塁,内角のカットボールを打つもショートライナー 2アウト
6回表,4,7.0,岡 大海,2,1塁,外角高めのストレートを打つもレフトフライ 3アウト
6回裏,1,1.0,桑原 将志,0,,外角低めのカーブを打つもレフトフライ 1アウト
6回裏,2,2.0,源田 壮亮,1,,ツーベース 二塁
6回裏,3,3.0,岸 潤一郎,1,2塁,空振り三振でバッターアウト 2アウト
6回裏,4,,小島 大河,2,2塁,仲三→代打:小島一打同点の場面でショートゴロ 3アウト
7回表,1,8.0,松川 虎生,0,,セカンドゴロ 1アウト
7回表,2,9.0,友杉 篤輝,1,,低めの変化球を引っかけてサードゴロ 2アウト
7回表,3,1.0,西川 史礁,2,,ライトへの二塁打 二塁
7回表,4,2.0,藤原 恭大,2,2塁,－西武:監督マウンドへむかう－投手交代:渡邉→浜屋サードゴロ 3アウト
7回裏,1,5.0,渡部 聖弥,0,,ピッチャー河村に代わってロングがマウンドにあがる内角のストレートを打つもライトフライ 1アウト
7回裏,2,6.0,平沢 大河,1,,ワンバウンドした球に空振り、三振を喫する 2アウト
7回裏,3,7.0,カナリオ,2,,高めの球を打つもライトフライ 3アウト
8回表,1,3.0,上田 希由翔,0,,投手交代:浜屋→羽田ピッチャーゴロ 1アウト
8回表,2,4.0,ソト,1,,フォアボールを選ぶ 一塁
8回表,3,5.0,ポランコ,1,1塁,ショートフライ 2アウト
8回表,4,6.0,寺地 隆成,2,1塁,高めのスライダーを打つもライトフライ 3アウト
8回裏,1,8.0,古賀 悠斗,0,,ピッチャーロングに代わって鈴木がマウンドにあがる　守備交代:セカンド小川守備交代:サード宮崎竜7球粘った末に空振り三振でバッターアウト 1アウト
8回裏,2,9.0,仲田 慶介,1,,空振りの三振を喫する 2アウト
8回裏,3,1.0,桑原 将志,2,,センターへのヒットで出塁 一塁
8回裏,4,2.0,源田 壮亮,2,1塁,一塁けん制:ランナー桑原帰塁西武・源田の一塁セーフの判定を巡り、ロッテがリクエストリプレー検証後判定変わらずショートへの内野安打 一二塁
8回裏,5,3.0,岸 潤一郎,2,"1,2塁",2アウト一二塁の1-1からレフトへの逆転タイムリーツーベース！ 西 3-2 ロ 二塁1:21【8回裏】フェンス直撃の逆転打!! ライオンズ・岸潤一郎 レフトへの2点タイムリー2ベースを放つ!! 2026年4月10日 埼玉西武ライオンズ 対 千葉ロッテマリーンズ
8回裏,6,4.0,小島 大河,2,2塁,カウント2-2から空振り三振でバッターアウト 3アウト
9回表,1,7.0,岡 大海,0,,ピッチャー羽田に代わって篠原がマウンドにあがる　守備交代:セカンド滝澤センターへのヒットを放つ 一塁
9回表,2,8.0,松川 虎生,0,1塁,一塁けん制:ランナー岡帰塁見事送りバントを成功させる 1アウト二塁
9回表,3,,佐藤 都志也,1,2塁,友杉→代打:佐藤ストレートのフォアボールで出塁 一二塁
9回表,4,1.0,西川 史礁,1,"1,2塁",－西武:コーチマウンドへむかう－一塁走者佐藤→代走:髙部1アウト一二塁からライトへのヒットで出塁 満塁
9回表,5,2.0,藤原 恭大,1,満塁,空振りの三振を喫する 2アウト
9回表,6,3.0,小川 龍成,2,満塁,ロッテ・小川の一塁セーフの判定を巡り、西武がリクエストリプレー検証後判定変わらず源田(遊)のファンブルにより出塁するロッテ逆転！ 西 3-4 ロ 一二塁
9回表,7,4.0,ソト,2,"1,2塁",死球を受ける 満塁
9回表,8,5.0,ポランコ,2,満塁,2アウト満塁の1-0からレフトへのタイムリーヒット 西 3-6 ロ 一二塁0:17【9回表】マリーンズ・ポランコ 勝利を大きく引き寄せる2点タイムリーヒットを放つ!! 2026年4月10日 埼玉西武ライオンズ 対 千葉ロッテマリーンズ
9回表,9,6.0,宮崎 竜成,2,"1,2塁",－西武:監督マウンドへむかう－投手交代:篠原→黒田カウント2-2からワンバウンドした球を空振り三振 3アウト
9回裏,1,5.0,渡部 聖弥,0,,ピッチャー鈴木に代わって横山がマウンドにあがる　守備交代:セカンド藤岡守備変更:小川セカンド→ショートフォアボールを選ぶ 一塁
9回裏,2,6.0,平沢 大河,0,1塁,内角のストレートを打つもライトフライ 1アウト
9回裏,3,7.0,カナリオ,1,1塁,フォアボールを選ぶ 一二塁
9回裏,4,,林 安可,1,"1,2塁",－ロッテ:コーチマウンドへむかう－古賀悠→代打:林安可外角低めのストレートを打つもセンターフライ 2アウト一三塁
9回裏,5,9.0,滝澤 夏央,2,"1,3塁",西武・滝澤の一塁アウトの判定を巡り、西武がリクエストリプレー検証後判定変わらず一発出れば同点の場面でファーストゴロ 3アウト試合終了
