イニング,打席順,打順,選手名,アウト,ランナー,本文
1回表,1,1.0,宗 佑磨,0,,セカンドゴロ 1アウト
1回表,2,2.0,西野 真弘,1,,セカンドゴロ 2アウト
1回表,3,3.0,西川 龍馬,2,,外角低めのシンカーを打つもライトフライ 3アウト
1回裏,1,1.0,小郷 裕哉,0,,あたりそこないの打球がキャッチャーへ転がり内野安打で出塁 一塁
1回裏,2,2.0,小深田 大翔,0,1塁,見事送りバントを決める 1アウト二塁
1回裏,3,3.0,辰己 涼介,1,2塁,ランナー二塁からショートゴロ 2アウト三塁
1回裏,4,4.0,黒川 史陽,2,3塁,フォアボールを選ぶ 一三塁
1回裏,5,5.0,村林 一輝,2,"1,3塁",一打先制の場面でショートゴロ 3アウト
2回表,1,4.0,太田 椋,0,,空振り三振 1アウト
2回表,2,5.0,シーモア,1,,ワンバウンドした球に空振り、三振を喫する 2アウト
2回表,3,6.0,中川 圭太,2,,内角のシュートを打つもレフトフライ 3アウト
2回裏,1,6.0,鈴木 大地,0,,セカンドゴロ 1アウト
2回裏,2,7.0,YG安田,1,,詰まった打球はファーストゴロとなる 2アウト
2回裏,3,8.0,中島 大輔,2,,外角高めの球を打つもライトフライ 3アウト
3回表,1,7.0,森 友哉,0,,フォアボールを選ぶ 一塁
3回表,2,8.0,紅林 弘太郎,0,1塁,一塁けん制:ランナー森友帰塁サードゴロ 1アウト二塁
3回表,3,9.0,麦谷 祐介,1,2塁,ランナー二塁からど真ん中の変化球を打つもレフトフライ 2アウト
3回表,4,1.0,宗 佑磨,2,2塁,一打先制の場面でショートゴロ 3アウト
3回裏,1,9.0,伊藤 光,0,,空振り三振 1アウト
3回裏,2,1.0,小郷 裕哉,1,,空振り三振でバッターアウト 2アウト
3回裏,3,2.0,小深田 大翔,2,,フォアボールを選ぶ 一塁
3回裏,4,3.0,辰己 涼介,2,1塁,一塁けん制:ランナー小深田帰塁また一塁けん制:ランナー小深田帰塁外角高めの球を打つもセンターフライ 3アウト
4回表,1,2.0,西野 真弘,0,,低めの変化球を打つもセンターフライ 1アウト
4回表,2,3.0,西川 龍馬,1,,ど真ん中のスライダーを打つもライトフライ 2アウト
4回表,3,4.0,太田 椋,2,,ショートゴロ 3アウト
4回裏,1,4.0,黒川 史陽,0,,フォアボールを選ぶ 一塁
4回裏,2,5.0,村林 一輝,0,1塁,ピッチャーゴロ 1アウト二塁
4回裏,3,6.0,鈴木 大地,1,2塁,1アウト二塁から高めのツーシームを打つもセンターフライ 2アウト
4回裏,4,7.0,YG安田,2,2塁,一打先制の場面で低めの球を打つもレフトフライ 3アウト
5回表,1,5.0,シーモア,0,,見逃し三振でバッターアウト！ 1アウト
5回表,2,6.0,中川 圭太,1,,ど真ん中のストレートを打つもショートライナー 2アウト
5回表,3,7.0,森 友哉,2,,センターへのツーベース 二塁
5回表,4,8.0,紅林 弘太郎,2,2塁,一打先制の場面で高めのスライダーを打つもレフトフライ 3アウト
5回裏,1,8.0,中島 大輔,0,,ライトへの二塁打 二塁
5回裏,2,9.0,伊藤 光,0,2塁,セカンドゴロ 1アウト三塁
5回裏,3,1.0,小郷 裕哉,1,3塁,1アウト三塁の0-2からセンターへの先制タイムリーヒット！ 楽 1-0 オ 一塁0:43【5回裏】均衡を破る!! イーグルス・小郷裕哉 センターへの先制タイムリーヒット!! 2026年4月12日 東北楽天ゴールデンイーグルス 対 オリックス・バファローズ
5回裏,4,2.0,小深田 大翔,1,1塁,一塁けん制:ランナー小郷帰塁ファウルライナーを太田(一)が捕球してバッターアウト 2アウト0:42【5回裏】素晴らしい反応!! バファローズ・太田椋 鋭い打球をダイビングキャッチ!! 2026年4月12日 東北楽天ゴールデンイーグルス 対 オリックス・バファローズ
5回裏,5,3.0,辰己 涼介,2,1塁,一塁けん制:ランナー小郷帰塁一塁走者小郷:盗塁成功 二塁セカンドゴロ 3アウト
6回表,1,9.0,麦谷 祐介,0,,外角高めのスライダーを打つもセンターフライ 1アウト
6回表,2,1.0,宗 佑磨,1,,高めの球を打つもレフトフライ 2アウト
6回表,3,2.0,西野 真弘,2,,ど真ん中のスライダーを打つもセンターフライ 3アウト
6回裏,1,4.0,黒川 史陽,0,,ライトへのヒットで出塁 一塁
6回裏,2,5.0,村林 一輝,0,1塁,見事送りバントを決める 1アウト二塁
6回裏,3,6.0,鈴木 大地,1,2塁,－オリックス:コーチマウンドへむかう－セカンドゴロ 2アウト三塁
6回裏,4,7.0,YG安田,2,3塁,カウント0-2から空振り三振 3アウト
7回表,1,3.0,西川 龍馬,0,,外角の変化球を打つもレフトフライ 1アウト
7回表,2,4.0,太田 椋,1,,レフトへのツーベース 二塁
7回表,3,5.0,シーモア,1,2塁,－楽天:コーチマウンドへむかう－ピッチャー瀧中に代わって田中千がマウンドにあがる外角低めのフォークを打つもレフトフライ 2アウト
7回表,4,6.0,中川 圭太,2,2塁,－楽天:コーチマウンドへむかう－一打同点の場面でショートゴロ 3アウト
7回裏,1,8.0,中島 大輔,0,,投手交代:ジェリー→山﨑外角高めのストレートを打つもレフトフライ 1アウト
7回裏,2,9.0,伊藤 光,1,,ど真ん中の球を打つもセンターフライ 2アウト
7回裏,3,1.0,小郷 裕哉,2,,空振り三振 3アウト
8回表,1,7.0,森 友哉,0,,ピッチャー田中千に代わって西垣がマウンドにあがるライトへのヒットを放つ 一塁
8回表,2,8.0,紅林 弘太郎,0,1塁,一塁走者森友→代走:野口一塁けん制:ランナー野口帰塁4-6-3のダブルプレー 2アウト
8回表,3,9.0,麦谷 祐介,2,,空振りの三振を喫する 3アウト
8回裏,1,2.0,小深田 大翔,0,,投手交代:山﨑→古田島守備交代:キャッチャー若月死球を受ける 一塁
8回裏,2,3.0,辰己 涼介,0,1塁,0-1から左中間への2ランホームラン 楽 3-0 オ0:46【8回裏】今季第1号!! イーグルス・辰己涼介 左中間への2ランHRで点差を広げる!! 2026年4月12日 東北楽天ゴールデンイーグルス 対 オリックス・バファローズ
8回裏,3,4.0,黒川 史陽,0,,センターへのヒットで出塁 一塁
8回裏,4,5.0,村林 一輝,0,1塁,－オリックス:コーチマウンドへむかう－レフトへのヒットで出塁 一二塁
8回裏,5,6.0,鈴木 大地,0,"1,2塁",ファーストゴロ 1アウト一三塁
8回裏,6,,浅村 栄斗,1,"1,3塁",YG安田→代打:浅村古田島(投):ボーク 楽 4-0 オ 二塁－抗議中－ボテボテのサードゴロ 2アウト三塁
8回裏,7,8.0,中島 大輔,2,3塁,フォアボールを選ぶ 一三塁
8回裏,8,9.0,伊藤 光,2,"1,3塁",一塁走者中島:盗塁成功 二三塁7球粘った末にフォアボールを選ぶ 満塁
8回裏,9,1.0,小郷 裕哉,2,満塁,－オリックス:監督マウンドへむかう－投手交代:古田島→山田カウント1-2から空振り三振でバッターアウト 3アウト
9回表,1,1.0,宗 佑磨,0,,投手交代:西垣→藤平ど真ん中の球を打つもライトフライ 1アウト
9回表,2,2.0,西野 真弘,1,,外角のストレートを打つもレフトフライ 2アウト
9回表,3,3.0,西川 龍馬,2,,ショートゴロ 3アウト試合終了
