イニング,打席順,打順,選手名,アウト,ランナー,本文
1回表,1,1.0,牧 秀悟,0,,フォアボールを選ぶ 一塁
1回表,2,2.0,ヒュンメル,0,1塁,高めの球を打つもレフトフライ 1アウト
1回表,3,3.0,佐野 恵太,1,1塁,フォアボールを選ぶ 一二塁
1回表,4,4.0,宮﨑 敏郎,1,"1,2塁",外角高めの球を打つもライトフライ 2アウト一三塁
1回表,5,5.0,度会 隆輝,2,"1,3塁",ストレートのフォアボールで出塁 満塁
1回表,6,6.0,宮下 朝陽,2,満塁,－ヤクルト:コーチマウンドへむかう－一打先制の場面で空振り三振！決定機を逃す 3アウト
1回裏,1,1.0,長岡 秀樹,0,,ピッチャーゴロ 1アウト
1回裏,2,2.0,サンタナ,1,,フォアボールを選ぶ 一塁
1回裏,3,3.0,古賀 優大,1,1塁,カウント0-1からサードへの内野安打宮﨑(三):悪送球ヤクルト先制！ ヤ 1-0 デ 三塁
1回裏,4,4.0,オスナ,1,3塁,セカンドゴロ 2アウト
1回裏,5,5.0,岩田 幸宏,2,3塁,カウント1-2から空振り三振でバッターアウト 3アウト
2回表,1,7.0,蝦名 達夫,0,,ど真ん中のストレートを打つもセンターフライ 1アウト
2回表,2,8.0,松尾 汐恩,1,,高めの球を打つもライトフライ 2アウト
2回表,3,9.0,竹田 祐,2,,ショートゴロ 3アウト
2回裏,1,6.0,赤羽 由紘,0,,内角高めの球を打つもライトフライ 1アウト
2回裏,2,7.0,武岡 龍世,1,,外角高めの球を打つもセンターフライ 2アウト
2回裏,3,8.0,小川 泰弘,2,,見逃し三振 3アウト
3回表,1,1.0,牧 秀悟,0,,外角高めのストレートを打つもレフトフライ 1アウト
3回表,2,2.0,ヒュンメル,1,,空振り三振 2アウト
3回表,3,3.0,佐野 恵太,2,,センターへのヒットで出塁 一塁
3回表,4,4.0,宮﨑 敏郎,2,1塁,高めのチェンジアップを打つもレフトフライ 3アウト
3回裏,1,9.0,丸山 和郁,0,,高めの球を打つもセンターフライ 1アウト
3回裏,2,1.0,長岡 秀樹,1,,外角の真っ直ぐを打つもライトフライ 2アウト
3回裏,3,2.0,サンタナ,2,,セカンドゴロ 3アウト
4回表,1,5.0,度会 隆輝,0,,センターへの二塁打 二塁
4回表,2,6.0,宮下 朝陽,0,2塁,高めのつり球に空振り三振 1アウト
4回表,3,7.0,蝦名 達夫,1,2塁,内角高めのストレートを打つもライトフライ 2アウト
4回表,4,8.0,松尾 汐恩,2,2塁,一塁が空いているため敬遠で勝負を避けられる 一二塁
4回表,5,9.0,竹田 祐,2,"1,2塁",カウント1-2から空振り三振！決定機を逃す 3アウト
4回裏,1,3.0,古賀 優大,0,,センターへのヒットで出塁 一塁
4回裏,2,4.0,オスナ,0,1塁,6-4-3のダブルプレー 2アウト
4回裏,3,5.0,岩田 幸宏,2,,セカンドゴロ 3アウト
5回表,1,1.0,牧 秀悟,0,,ショートゴロ 1アウト
5回表,2,2.0,ヒュンメル,1,,フォアボールを選ぶ 一塁
5回表,3,3.0,佐野 恵太,1,1塁,センターへのヒットを放つ 一二塁
5回表,4,4.0,宮﨑 敏郎,1,"1,2塁",ランナー一二塁の1-2からレフトへのタイムリーヒットでDeNA同点！ ヤ 1-1 デ 一二塁
5回表,5,5.0,度会 隆輝,1,"1,2塁",－ヤクルト:監督マウンドへむかう－投手交代:小川→田口DeNA・佐野の本塁セーフの判定を巡り、ヤクルトがリクエストリプレー検証後判定変わらず1アウト一二塁の3-2からレフトへのタイムリーヒットでDeNA勝ち越し！ ヤ 1-2 デ 一二塁
5回表,6,6.0,宮下 朝陽,1,"1,2塁",1アウト一二塁からセンターへのタイムリーヒット ヤ 1-3 デ 一二塁
5回表,7,7.0,蝦名 達夫,1,"1,2塁",内角のストレートを打つもライトフライ 2アウト一三塁
5回表,8,8.0,松尾 汐恩,2,"1,3塁",満塁策で敬遠される 満塁
5回表,9,9.0,竹田 祐,2,満塁,ショートゴロ 3アウト
5回裏,1,6.0,赤羽 由紘,0,,ヒット 一塁
5回裏,2,7.0,武岡 龍世,0,1塁,一塁けん制:ランナー赤羽帰塁詰まりながらもライトへヒットを放つ 一二塁
5回裏,3,,橋本 星哉,0,"1,2塁",田口→代打:橋本0アウト一二塁からセンターへのヒット 満塁
5回裏,4,9.0,丸山 和郁,0,満塁,ヤクルト・武岡の本塁セーフの判定を巡り、DeNAがリクエストリプレー検証後判定変わらずランナーフルベースからライトへの同点タイムリーヒット！ ヤ 3-3 デ 一二塁
5回裏,5,1.0,長岡 秀樹,0,"1,2塁",ショートフライ 1アウト
5回裏,6,2.0,サンタナ,1,"1,2塁",－DeNA:監督マウンドへむかう－投手交代:竹田→坂本1アウト一二塁からライトへのヒットで出塁 満塁
5回裏,7,3.0,古賀 優大,1,満塁,一塁走者サンタナ→代走:伊藤ランナーフルベースからレフトへのタイムリーヒットでヤクルト勝ち越し！ ヤ 5-3 デ 一二塁
5回裏,8,4.0,オスナ,1,"1,2塁",坂本(投):ワイルドピッチ 二三塁1アウト二三塁からセカンドフライ 2アウト
5回裏,9,5.0,岩田 幸宏,2,"2,3塁",サードゴロ 3アウト
