イニング,打席順,打順,選手名,アウト,ランナー,本文
1回表,1,1.0,清宮 幸太郎,0,,空振り三振 1アウト
1回表,2,2.0,水野 達稀,1,,ファウルフライを西川(左)がつかんでバッターアウト 2アウト
1回表,3,3.0,レイエス,2,,ショートゴロ 3アウト
1回裏,1,1.0,藤原 恭大,0,,レフトへのヒットで出塁 一塁
1回裏,2,2.0,西川 史礁,0,1塁,高めの球を打つもセンターフライ 1アウト
1回裏,3,3.0,寺地 隆成,1,1塁,一塁けん制:ランナー藤原帰塁一塁けん制:ランナー藤原帰塁また一塁けん制:ランナー藤原帰塁ショートゴロ 2アウト二塁
1回裏,4,4.0,山本 大斗,2,2塁,一打先制の場面で低めのストレートを打つもセンターフライ 3アウト
2回表,1,4.0,郡司 裕也,0,,詰まった打球はピッチャーゴロ 1アウト
2回表,2,5.0,万波 中正,1,,ハーフスイングを取られて三球三振 2アウト
2回表,3,6.0,野村 佑希,2,,ライトへのヒットで出塁 一塁
2回表,4,7.0,西川 遥輝,2,1塁,フォアボールを選ぶ 一二塁
2回表,5,8.0,矢澤 宏太,2,"1,2塁",一打先制の場面で空振り三振！決定機を逃す 3アウト
2回裏,1,5.0,ソト,0,,西川(左)の落球により出塁する 二塁
2回裏,2,6.0,藤岡 裕大,0,2塁,当てるだけのバッティングでピッチャーゴロ 1アウト
2回裏,3,7.0,髙部 瑛斗,1,2塁,ロッテ・高部の一塁アウトの判定を巡り、ロッテがリクエストリプレー検証後判定変わらずサードゴロ 2アウト
2回裏,4,8.0,佐藤 都志也,2,2塁,一打先制の場面で空振り三振！決定機を逃す 3アウト
3回表,1,9.0,田宮 裕涼,0,,フェンス直撃の二塁打を放つ 二塁
3回表,2,1.0,清宮 幸太郎,0,2塁,ランナー二塁からセンターへのヒットを放つ 一三塁
3回表,3,2.0,水野 達稀,0,"1,3塁",ランナー一三塁から犠飛日本ハム先制！ ロ 0-1 日 1アウト一塁
3回表,4,3.0,レイエス,1,1塁,内角高めのストレートを打つもレフトフライ 2アウト
3回表,5,4.0,郡司 裕也,2,1塁,9球粘った末にフォアボールを選ぶ 一二塁
3回表,6,5.0,万波 中正,2,"1,2塁",－ロッテ:コーチマウンドへむかう－木村(投):ワイルドピッチ二塁走者清宮幸はさらに三塁も回って本塁生還 ロ 0-2 日 三塁カウント1-2から空振り三振 3アウト
3回裏,1,9.0,小川 龍成,0,,四球を選ぶ 一塁
3回裏,2,1.0,藤原 恭大,0,1塁,デッドボールを受ける 一二塁
3回裏,3,2.0,西川 史礁,0,"1,2塁",0アウト一二塁からレフトへのヒットを放つ 満塁
3回裏,4,3.0,寺地 隆成,0,満塁,ファーストゴロの間にロッテ1点をあげる ロ 1-2 日 1アウト二三塁
3回裏,5,4.0,山本 大斗,1,"2,3塁",四球を選ぶ 満塁
3回裏,6,5.0,ソト,1,満塁,－日本ハム:コーチマウンドへむかう－ランナーフルベースの3-2からライトへの同点タイムリーヒット！ ロ 2-2 日 満塁0:54【3回裏】久しぶりの打点!! マリーンズ・ソト 満塁のチャンスで一二塁間を破る同点タイムリーヒット!! 2026年4月16日 千葉ロッテマリーンズ 対 北海道日本ハムファイターズ
3回裏,7,6.0,藤岡 裕大,1,満塁,1アウト満塁の0-2から犠牲フライロッテ勝ち越し！ ロ 3-2 日 2アウト一二塁
3回裏,8,7.0,髙部 瑛斗,2,"1,2塁",カウント1-2から見逃し三振 3アウト
4回表,1,6.0,野村 佑希,0,,内角低めの球を打つもセカンドライナー 1アウト
4回表,2,7.0,西川 遥輝,1,,内角低めのカットボールを打つもセンターフライ 2アウト
4回表,3,8.0,矢澤 宏太,2,,1-1から同点ホームラン！ ロ 3-3 日0:54【4回表】打球は伸びてスタンドへ!! ファイターズ・矢澤宏太 今季第2号ホームランですぐさま同点!! 2026年4月16日 千葉ロッテマリーンズ 対 北海道日本ハムファイターズ
4回表,4,9.0,田宮 裕涼,2,,ファーストゴロ 3アウト
4回裏,1,8.0,佐藤 都志也,0,,フォアボールを選ぶ 一塁
4回裏,2,9.0,小川 龍成,0,1塁,見事送りバントを決める 1アウト二塁
4回裏,3,1.0,藤原 恭大,1,2塁,全く手が出ず見逃し三振 2アウト
4回裏,4,2.0,西川 史礁,2,2塁,一塁が空いているため敬遠で勝負を避けられる 一二塁
4回裏,5,3.0,寺地 隆成,2,"1,2塁",カウント2-2から空振り三振 3アウト
5回表,1,1.0,清宮 幸太郎,0,,投手交代:木村→八木ど真ん中のフォークを打つもセンターフライ 1アウト
5回表,2,2.0,水野 達稀,1,,外角低めの落ちる球を打つもライトフライ 2アウト
5回表,3,3.0,レイエス,2,,ショートゴロ 3アウト
5回裏,1,4.0,山本 大斗,0,,空振りの三振を喫する 1アウト
5回裏,2,5.0,ソト,1,,センターへのヒットで出塁 一塁
5回裏,3,6.0,藤岡 裕大,1,1塁,レフトへのヒットを放つ西川(左):ファンブル 二三塁
5回裏,4,7.0,髙部 瑛斗,1,"2,3塁",外角高めのスライダーを打つもセンターフライ 2アウト
5回裏,5,8.0,佐藤 都志也,2,"2,3塁",カウント2-2から見逃し三振でバッターアウト！ 3アウト
6回表,1,4.0,郡司 裕也,0,,セカンドゴロ 1アウト
6回表,2,5.0,万波 中正,1,,センターへのヒットで出塁 一塁
6回表,3,6.0,野村 佑希,1,1塁,高めの球を打つもセンターフライ 2アウト
6回表,4,7.0,西川 遥輝,2,1塁,当てるだけのバッティングでサードゴロ 3アウト
6回裏,1,9.0,小川 龍成,0,,投手交代:細野→齋藤センターへのヒットで出塁 一塁
6回裏,2,1.0,藤原 恭大,0,1塁,一塁けん制:ランナー小川帰塁ファーストゴロ 1アウト一塁
6回裏,3,2.0,西川 史礁,1,1塁,一塁けん制:ランナー藤原帰塁ワンバウンドした球に空振り、三振を喫する 2アウト
6回裏,4,3.0,寺地 隆成,2,1塁,一塁けん制:ランナー藤原帰塁ライトへのヒットで出塁 一三塁
6回裏,5,,ポランコ,2,"1,3塁",－日本ハム:コーチマウンドへむかう－山本→代打:ポランコランナー一三塁の1-1からレフトへの勝ち越しタイムリーヒット！ ロ 4-3 日 一二塁0:54【6回裏】代打起用に応える!! マリーンズ・ポランコ 逆方向へ勝ち越しタイムリーヒット!! 2026年4月16日 千葉ロッテマリーンズ 対 北海道日本ハムファイターズ
6回裏,6,5.0,ソト,2,"1,2塁",カウント1-2から空振り三振でバッターアウト 3アウト
7回表,1,8.0,矢澤 宏太,0,,ピッチャー八木に代わって坂本がマウンドにあがる空振りの三振を喫する 1アウト
7回表,2,9.0,田宮 裕涼,1,,空振り三振でバッターアウト 2アウト
7回表,3,1.0,清宮 幸太郎,2,,ショートゴロ 3アウト
7回裏,1,6.0,藤岡 裕大,0,,投手交代:齋藤→島本内角の真っ直ぐを打つもファーストライナー 1アウト
7回裏,2,,岡 大海,1,,髙部→代打:岡サードへの内野安打郡司(三):悪送球 二塁
7回裏,3,8.0,佐藤 都志也,1,2塁,1アウト二塁からショートフライ 2アウト
7回裏,4,9.0,小川 龍成,2,2塁,2アウト二塁の0-1からライトへのタイムリーヒット田宮(捕):送球ミス ロ 5-3 日 三塁
7回裏,5,1.0,藤原 恭大,2,3塁,高めの真っ直ぐを打つもセンターフライ 3アウト
8回表,1,2.0,水野 達稀,0,,ピッチャー坂本に代わって澤田がマウンドにあがる　守備変更:岡→センターファーストゴロ 1アウト
8回表,2,3.0,レイエス,1,,外角高めの真っ直ぐを打つもライトフライ 2アウト
8回表,3,4.0,郡司 裕也,2,,センターへのヒット 一塁
8回表,4,5.0,万波 中正,2,1塁,空振り三振 3アウト
8回裏,1,2.0,西川 史礁,0,,投手交代:島本→玉井ピッチャーへの痛烈な打球の内野安打玉井(投):悪送球 二塁
8回裏,2,3.0,寺地 隆成,0,2塁,ロッテ・西川の三塁アウトの判定を巡り、ロッテがリクエストリプレー検証後判定変わらずショートゴロ二塁走者西川は走塁死 1アウト一塁
8回裏,3,4.0,ポランコ,1,1塁,一塁走者寺地→代走:友杉7球粘るも外角低めの落ちる球に空振り三振 2アウト
