イニング,打席順,打順,選手名,アウト,ランナー,本文
1回表,1,1.0,佐々木 俊輔,0,,見逃し三振でバッターアウト！ 1アウト
1回表,2,2.0,キャベッジ,1,,死球を受ける 一塁
1回表,3,3.0,泉口 友汰,1,1塁,当てただけのバッティングはレフトへのヒットとなる 一二塁
1回表,4,4.0,ダルベック,1,"1,2塁",ランナー一二塁からライトへのヒットを放つ 満塁
1回表,5,5.0,大城 卓三,1,満塁,ランナーフルベースの3-0から押し出しのフォアボール ヤ 0-1 巨 満塁
1回表,6,6.0,丸 佳浩,1,満塁,－ヤクルト:コーチマウンドへむかう－セカンドゴロの間に巨人1点をあげる ヤ 0-2 巨 2アウト二三塁
1回表,7,7.0,増田 陸,2,"2,3塁",2アウト二三塁の2-0からレフトへのタイムリーヒット ヤ 0-4 巨 一塁
1回表,8,8.0,浦田 俊輔,2,1塁,一塁けん制:ランナー増田陸帰塁一塁けん制:ランナー増田陸帰塁詰まった打球はサードゴロとなる 3アウト
1回裏,1,1.0,長岡 秀樹,0,,ライトへのヒットで出塁 一塁
1回裏,2,2.0,サンタナ,0,1塁,4-6-3のダブルプレー 2アウト
1回裏,3,3.0,中村 悠平,2,,セカンドへの内野安打 一塁
1回裏,4,4.0,オスナ,2,1塁,ショートゴロ 3アウト
2回表,1,9.0,ウィットリー,0,,セカンドゴロ 1アウト
2回表,2,1.0,佐々木 俊輔,1,,ライトへのヒットを放つ 一塁
2回表,3,2.0,キャベッジ,1,1塁,一塁けん制:ランナー佐々木帰塁また一塁けん制:ランナー佐々木帰塁一塁けん制:ランナー佐々木帰塁空振り三振 2アウト
2回表,4,3.0,泉口 友汰,2,1塁,センターへのヒットで出塁 一二塁
2回表,5,4.0,ダルベック,2,"1,2塁",2アウト一二塁からファーストフライ 3アウト
2回裏,1,5.0,岩田 幸宏,0,,ハーフスイングを取られて空振り三振でバッターアウト 1アウト
2回裏,2,6.0,伊藤 琉偉,1,,ワンバウンドした球を空振り三振 2アウト
2回裏,3,7.0,武岡 龍世,2,,フォアボールを選ぶ 一塁
2回裏,4,8.0,ウォルターズ,2,1塁,空振り三振でバッターアウト 3アウト
3回表,1,5.0,大城 卓三,0,,ライトへのヒットを放つ 一塁
3回表,2,6.0,丸 佳浩,0,1塁,ウォルターズ(投):暴投 二塁粘りを見せて8球目にフォアボールを選ぶ 一二塁
3回表,3,7.0,増田 陸,0,"1,2塁",空振りの三振を喫する 1アウト
3回表,4,8.0,浦田 俊輔,1,"1,2塁",1アウト一二塁からライトへのヒットで出塁 満塁
3回表,5,9.0,ウィットリー,1,満塁,ランナーフルベースの3-1から押し出しのフォアボール ヤ 0-5 巨 満塁
3回表,6,1.0,佐々木 俊輔,1,満塁,－ヤクルト:コーチマウンドへむかう－空振り三振でバッターアウト 2アウト
3回表,7,2.0,キャベッジ,2,満塁,ランナーフルベースの1-2からレフトへ2点タイムリーツーベース！ ヤ 0-7 巨 二三塁
3回表,8,3.0,泉口 友汰,2,"2,3塁",－ヤクルト:監督マウンドへむかう－投手交代:ウォルターズ→丸山翔2アウト二三塁からど真ん中のストレートを打つもセンターフライ 3アウト
3回裏,1,9.0,丸山 和郁,0,,ショートフライ 1アウト
3回裏,2,1.0,長岡 秀樹,1,,空振り三振でバッターアウト 2アウト
3回裏,3,2.0,サンタナ,2,,ど真ん中の変化球を打つもショートライナー 3アウト
