イニング,打席順,打順,選手名,アウト,ランナー,本文
1回表,1,1.0,宗 佑磨,0,,右中間への先制ホームラン！ ソ 0-1 オ0:51【1回表】初球先頭打者ホームラン!! バファローズ・宗佑磨 ライトスタンドへ会心の一発を叩きこむ!! 2026年4月17日 福岡ソフトバンクホークス 対 オリックス・バファローズ
1回表,2,2.0,渡部 遼人,0,,フォアボールを選ぶ 一塁
1回表,3,3.0,西川 龍馬,0,1塁,一塁けん制:ランナー渡部帰塁サードフライ 1アウト
1回表,4,4.0,中川 圭太,1,1塁,一塁けん制:ランナー渡部帰塁ストレートのフォアボールで出塁 一二塁
1回表,5,5.0,太田 椋,1,"1,2塁",1アウト一二塁の1-0からライトへのタイムリーヒット ソ 0-2 オ 一三塁
1回表,6,6.0,森 友哉,1,"1,3塁",内角高めの球を打つもレフトフライ 2アウト
1回表,7,7.0,シーモア,2,"1,3塁",カウント2-2から空振り三振 3アウト
1回裏,1,1.0,周東 佑京,0,,センターへのヒット 一塁
1回裏,2,2.0,近藤 健介,0,1塁,カウント2-2からレフトへタイムリーツーベース！ ソ 1-2 オ 二塁
1回裏,3,3.0,栗原 陵矢,0,2塁,外角の球を打つもセンターフライ 1アウト三塁
1回裏,4,4.0,山川 穂高,1,3塁,ファウルフライを宗(三)が捕球してバッターアウト 2アウト
1回裏,5,5.0,牧原 大成,2,3塁,ピッチャーゴロ 3アウト
2回表,1,8.0,若月 健矢,0,,二塁打 二塁
2回表,2,9.0,紅林 弘太郎,0,2塁,フォアボールを選ぶ 一二塁
2回表,3,1.0,宗 佑磨,0,"1,2塁",外角の球を打つもレフトフライ 1アウト
2回表,4,2.0,渡部 遼人,1,"1,2塁",デッドボール。ソフトバンク、満塁のピンチをまねく 満塁
2回表,5,3.0,西川 龍馬,1,満塁,ショートゴロの間にオリックス1点をあげる ソ 1-3 オ 2アウト一三塁
2回表,6,4.0,中川 圭太,2,"1,3塁",ランナー一三塁の2-2からレフトへのタイムリーヒット ソ 1-4 オ 一二塁
