イニング,打席順,打順,選手名,アウト,ランナー,本文
1回表,1,1.0,藤原 恭大,0,,レフトへの二塁打 二塁
1回表,2,2.0,西川 史礁,0,2塁,粘りを見せて8球目にフォアボールを選ぶ 一二塁
1回表,3,3.0,寺地 隆成,0,"1,2塁",ど真ん中のスライダーを打つもセンターフライ 1アウト二三塁
1回表,4,4.0,ソト,1,"2,3塁",空振りの三振を喫する 2アウト
1回表,5,5.0,ポランコ,2,"2,3塁",一打先制の場面でど真ん中のチェンジアップを打つもライトフライ 3アウト
1回裏,1,1.0,中島 大輔,0,,セカンドへの内野安打 一塁
1回裏,2,2.0,小深田 大翔,0,1塁,一塁けん制:ランナー中島帰塁セカンドゴロ 1アウト二塁
1回裏,3,3.0,辰己 涼介,1,2塁,セカンドゴロ 2アウト三塁
1回裏,4,4.0,黒川 史陽,2,3塁,一打先制の場面でセカンドゴロ 3アウト
2回表,1,6.0,山本 大斗,0,,内角高めのストレートを打つもレフトフライ 1アウト
2回表,2,7.0,上田 希由翔,1,,空振り三振でバッターアウト 2アウト
2回表,3,8.0,松川 虎生,2,,センターへのヒットで出塁 一塁
2回表,4,9.0,小川 龍成,2,1塁,一塁けん制:ランナー松川帰塁また一塁けん制:ランナー松川帰塁ショートゴロ 3アウト
2回裏,1,5.0,村林 一輝,0,,ショートゴロ 1アウト
2回裏,2,6.0,浅村 栄斗,1,,見逃し三振 2アウト
2回裏,3,7.0,伊藤 裕季也,2,,ストレートのフォアボールで出塁 一塁
2回裏,4,8.0,小郷 裕哉,2,1塁,ファーストゴロ 3アウト
3回表,1,1.0,藤原 恭大,0,,ショートゴロ 1アウト
3回表,2,2.0,西川 史礁,1,,外角高めのスライダーをライトへ打ってヒット 一塁
3回表,3,3.0,寺地 隆成,1,1塁,一塁けん制:ランナー西川帰塁ウレーニャ(投):ワイルドピッチ 二塁ピッチャーゴロ 2アウト三塁
3回表,4,4.0,ソト,2,3塁,一打先制の場面で外角高めのストレートを打つもセンターフライ 3アウト
3回裏,1,9.0,伊藤 光,0,,ファーストゴロ 1アウト
3回裏,2,1.0,中島 大輔,1,,フォアボールを選ぶ 一塁
3回裏,3,2.0,小深田 大翔,1,1塁,ライトへのヒットで出塁 一三塁
