イニング,打席順,打順,選手名,アウト,ランナー,本文
1回表,1,1.0,大島 洋平,0,,空振り三振 1アウト
1回表,2,2.0,田中 幹也,1,,フォアボールを選ぶ 一塁
1回表,3,3.0,石伊 雄太,1,1塁,レフトへのヒットを放つ 一二塁
1回表,4,4.0,細川 成也,1,"1,2塁",見逃し三振 2アウト
1回表,5,5.0,鵜飼 航丞,2,"1,2塁",一打先制の場面で空振り三振！決定機を逃す 3アウト
1回裏,1,1.0,佐々木 俊輔,0,,ライトへのヒットを放つ 一塁
1回裏,2,2.0,キャベッジ,0,1塁,ライトへの二塁打 二三塁
1回裏,3,3.0,石塚 裕惺,0,"2,3塁",見逃し三振でバッターアウト！ 1アウト
1回裏,4,4.0,ダルベック,1,"2,3塁",空振りの三振を喫する 2アウト
1回裏,5,5.0,大城 卓三,2,"2,3塁",フォアボールを選ぶ 満塁
1回裏,6,6.0,小濱 佑斗,2,満塁,一打先制の場面でサードゴロ 3アウト
2回表,1,6.0,阿部 寿樹,0,,センターへのヒットを放つ 一塁
2回表,2,7.0,ボスラー,0,1塁,空振り三振でバッターアウト 1アウト
2回表,3,8.0,櫻井 頼之介,1,1塁,スリーバントを試みるも失敗！ 2アウト
2回表,4,9.0,ロドリゲス,2,1塁,ワンバウンドした球を空振り三振 3アウト
2回裏,1,7.0,平山 功太,0,,ストレートのフォアボールで出塁 一塁
2回裏,2,8.0,浦田 俊輔,0,1塁,一塁けん制:ランナー平山帰塁一塁けん制:ランナー平山帰塁ショートゴロ 1アウト二塁
2回裏,3,9.0,竹丸 和幸,1,2塁,ランナー二塁からセンターへのヒットを放つ 一三塁
2回裏,4,1.0,佐々木 俊輔,1,"1,3塁",ランナー一三塁の1-0からライトへの先制タイムリーヒット！ 巨 1-0 中 一二塁
2回裏,5,2.0,キャベッジ,1,"1,2塁",ショートゴロ 2アウト一三塁
2回裏,6,3.0,石塚 裕惺,2,"1,3塁",一塁けん制:ランナーキャベッジ帰塁ランナー一三塁の0-1からライトへのタイムリースリーベース！ 巨 3-0 中 三塁1:104/22【巨人vs中日】2回表 石塚がライトへのタイムリー3ベース！初スタメン2打席目でプロ初打点！
2回裏,7,4.0,ダルベック,2,3塁,サードへのタイムリー内野安打 巨 4-0 中 一塁
2回裏,8,5.0,大城 卓三,2,1塁,セカンドゴロ 3アウト
3回表,1,1.0,大島 洋平,0,,10球目のストレートを打つもサードゴロ 1アウト
3回表,2,2.0,田中 幹也,1,,空振り三振 2アウト
3回表,3,3.0,石伊 雄太,2,,外角高めの真っ直ぐを打つもライトフライ 3アウト
3回裏,1,6.0,小濱 佑斗,0,,外角のカットボールを打つもライトフライ 1アウト
3回裏,2,7.0,平山 功太,1,,空振り三振でバッターアウト 2アウト
3回裏,3,8.0,浦田 俊輔,2,,ライトへのヒットを放つ 一塁
3回裏,4,9.0,竹丸 和幸,2,1塁,見逃し三振 3アウト
4回表,1,4.0,細川 成也,0,,ライトへのヒットで出塁 一塁
4回表,2,5.0,鵜飼 航丞,0,1塁,レフトへのヒットを放つ 一二塁
4回表,3,6.0,阿部 寿樹,0,"1,2塁",外角高めのチェンジアップを打つもセンターフライ 1アウト一三塁
4回表,4,7.0,ボスラー,1,"1,3塁",空振りの三振を喫する 2アウト
4回表,5,,辻本 倫太郎,2,"1,3塁",櫻井→代打:辻本カウント1-2から見逃し三振！決定機を逃す 3アウト
4回裏,1,1.0,佐々木 俊輔,0,,投手交代:櫻井→仲地空振り三振 1アウト
4回裏,2,2.0,キャベッジ,1,,レフトへのヒットを放つ 一塁
4回裏,3,3.0,石塚 裕惺,1,1塁,空振り三振でバッターアウト 2アウト
4回裏,4,4.0,ダルベック,2,1塁,一塁けん制:ランナーキャベッジ帰塁セカンドゴロ 3アウト
5回表,1,9.0,ロドリゲス,0,,ワンバウンドした球を空振り三振 1アウト
5回表,2,1.0,大島 洋平,1,,セカンドへの内野安打 一塁
5回表,3,2.0,田中 幹也,1,1塁,内角の真っ直ぐを打つもライトフライ 2アウト
5回表,4,3.0,石伊 雄太,2,1塁,カウント2-2からレフトへタイムリーツーベース！ 巨 4-1 中 二塁
5回表,5,4.0,細川 成也,2,2塁,ショートゴロ 3アウト
5回裏,1,5.0,大城 卓三,0,,ライトへのヒットで出塁 一塁
5回裏,2,6.0,小濱 佑斗,0,1塁,6-4-3のダブルプレー 2アウト
5回裏,3,7.0,平山 功太,2,,内角高めの球を打つもレフトフライ 3アウト
6回表,1,5.0,鵜飼 航丞,0,,投手交代:竹丸→田中瑛ストレートのフォアボールで出塁 一塁
6回表,2,6.0,阿部 寿樹,0,1塁,5-4-3のダブルプレー 2アウト
6回表,3,7.0,ボスラー,2,,投手交代:田中瑛→中川ワンバウンドした球に空振り、三振を喫する 3アウト
