イニング,打席順,打順,選手名,アウト,ランナー,本文
1回表,1,1.0,長岡 秀樹,0,,ショートゴロ 1アウト
1回表,2,2.0,サンタナ,1,,見逃し三振 2アウト
1回表,3,3.0,古賀 優大,2,,セカンドゴロ 3アウト
1回裏,1,1.0,大島 洋平,0,,詰まった打球はセカンドゴロとなる 1アウト
1回裏,2,2.0,石伊 雄太,1,,高めの真っ直ぐを打つもライトフライ 2アウト
1回裏,3,3.0,高橋 周平,2,,空振りの三振を喫する 3アウト
2回表,1,4.0,オスナ,0,,セカンドゴロ 1アウト
2回表,2,5.0,増田 珠,1,,ライトへのヒットを放つ 一塁
2回表,3,6.0,赤羽 由紘,1,1塁,一塁けん制:ランナー増田帰塁外角の球を打つもレフトフライ 2アウト
2回表,4,7.0,伊藤 琉偉,2,1塁,外角低めのツーシームを打つもライトフライ 3アウト
2回裏,1,4.0,細川 成也,0,,レフトへのヒットで出塁 一塁
2回裏,2,5.0,ボスラー,0,1塁,セカンドフライ 1アウト
2回裏,3,6.0,鵜飼 航丞,1,1塁,レフトへのヒットを放つ 一二塁
2回裏,4,7.0,村松 開人,1,"1,2塁",フォアボール。ヤクルト、満塁のピンチをまねく 満塁
2回裏,5,8.0,板山 祐太郎,1,満塁,－ヤクルト:内野手マウンドへ集まる－1アウト満塁から先制満塁ホームラン！ 中 4-0 ヤ
2回裏,6,9.0,大野 雄大,1,,見逃し三振 2アウト
2回裏,7,1.0,大島 洋平,2,,セカンドフライ 3アウト
3回表,1,8.0,小川 泰弘,0,,ボテボテのキャッチャーゴロ 1アウト
3回表,2,9.0,並木 秀尊,1,,大野(投)のファンブルにより出塁する 一塁
3回表,3,1.0,長岡 秀樹,1,1塁,空振り三振でバッターアウト 2アウト
3回表,4,2.0,サンタナ,2,1塁,空振りの三振を喫する 3アウト
3回裏,1,2.0,石伊 雄太,0,,サードゴロ 1アウト
3回裏,2,3.0,高橋 周平,1,,低めの変化球を打つもライトフライ 2アウト
3回裏,3,4.0,細川 成也,2,,フォアボールを選ぶ 一塁
3回裏,4,5.0,ボスラー,2,1塁,ファウルフライを赤羽(三)が捕球してバッターアウト 3アウト
4回表,1,3.0,古賀 優大,0,,内角低めのカットボールを打つもショートライナー 1アウト
4回表,2,4.0,オスナ,1,,ショートゴロ 2アウト
4回表,3,5.0,増田 珠,2,,デッドボールを受ける 一塁
4回表,4,6.0,赤羽 由紘,2,1塁,空振り三振 3アウト
4回裏,1,6.0,鵜飼 航丞,0,,外角のスライダーを打つもライトフライ 1アウト
4回裏,2,7.0,村松 開人,1,,外角低めのストレートを打つもレフトフライ 2アウト
4回裏,3,8.0,板山 祐太郎,2,,ど真ん中の球を打つもセンターフライ 3アウト
5回表,1,7.0,伊藤 琉偉,0,,空振り三振 1アウト
5回表,2,8.0,小川 泰弘,1,,空振り三振でバッターアウト 2アウト
5回表,3,9.0,並木 秀尊,2,,外角のストレートを打つもセカンドライナー 3アウト
5回裏,1,9.0,大野 雄大,0,,外角高めのストレートを打つもレフトフライ 1アウト
5回裏,2,1.0,大島 洋平,1,,ショートゴロ 2アウト
5回裏,3,2.0,石伊 雄太,2,,カウント0-2からレフトスタンドへのホームラン 中 5-0 ヤ
5回裏,4,3.0,高橋 周平,2,,ファウルフライを古賀(捕)がつかんでバッターアウト 3アウト
6回表,1,1.0,長岡 秀樹,0,,ファーストゴロ 1アウト
6回表,2,2.0,サンタナ,1,,低めの球を打つもライトフライ 2アウト
6回表,3,3.0,古賀 優大,2,,センターへのヒットで出塁 一塁
6回表,4,4.0,オスナ,2,1塁,ピッチャーゴロ 3アウト
6回裏,1,4.0,細川 成也,0,,外角のカットボールを打つもセンターフライ 1アウト
6回裏,2,5.0,ボスラー,1,,外角低めの落ちる球を打つもライトフライ 2アウト
6回裏,3,6.0,鵜飼 航丞,2,,外角の球を打つもライトフライ 3アウト
7回表,1,5.0,増田 珠,0,,ショートフライ 1アウト
7回表,2,6.0,赤羽 由紘,1,,ショートゴロ 2アウト
7回表,3,7.0,伊藤 琉偉,2,,センターへのヒットで出塁 一塁
7回表,4,,橋本 星哉,2,1塁,小川→代打:橋本セカンドゴロ 3アウト
7回裏,1,7.0,村松 開人,0,,投手交代:小川→拓也セカンドゴロ 1アウト
7回裏,2,8.0,板山 祐太郎,1,,空振りの三振を喫する 2アウト
7回裏,3,,土田 龍空,2,,大野→代打:土田オスナ(一)の後逸により出塁する 二塁
7回裏,4,1.0,大島 洋平,2,2塁,拓也(投):ワイルドピッチ 三塁10球目の落ちる球を打つもファーストゴロ 3アウト
8回表,1,9.0,並木 秀尊,0,,投手交代:大野→根尾守備交代:センター尾田外角高めの球を打つもセンターフライ 1アウト
8回表,2,1.0,長岡 秀樹,1,,ストレートのフォアボールで出塁 一塁
8回表,3,2.0,サンタナ,1,1塁,センターへのヒットを放つ 一三塁
8回表,4,3.0,古賀 優大,1,"1,3塁",一塁走者サンタナ→代走:岩田－中日:コーチマウンドへむかう－ランナー一三塁からライトへのタイムリーヒット 中 5-1 ヤ 一二塁
8回表,5,4.0,オスナ,1,"1,2塁",ワンバウンドした球に空振り、三振を喫する 2アウト
8回表,6,5.0,増田 珠,2,"1,2塁",－治療中－ランナー一二塁の2-0からセンターへのタイムリーヒット 中 5-2 ヤ 一二塁
8回表,7,6.0,赤羽 由紘,2,"1,2塁",ピッチャー根尾に代わってメヒアがマウンドにあがるショートゴロ 3アウト
