イニング,打席順,打順,選手名,アウト,ランナー,本文
1回表,1,1.0,秋山 翔吾,0,,ファーストゴロ 1アウト
1回表,2,2.0,大盛 穂,1,,ライトへのヒットで出塁 一塁
1回表,3,3.0,小園 海斗,1,1塁,一塁走者大盛:盗塁成功 二塁外角低めの球を打つもレフトフライ 2アウト
1回表,4,4.0,坂倉 将吾,2,2塁,広島・大盛の二塁セーフの判定を巡り、阪神がリクエストリプレー検証後判定変わらず二塁けん制:ランナー大盛帰塁ランナー二塁の3-2から先制のタイムリーヒット！ 神 0-1 広 一塁
1回表,5,5.0,野間 峻祥,2,1塁,ライトへのヒットで出塁 一二塁
1回表,6,6.0,佐々木 泰,2,"1,2塁",ショートゴロ 3アウト
1回裏,1,1.0,近本 光司,0,,センターへのヒットを放つ 一塁
1回裏,2,2.0,中野 拓夢,0,1塁,一塁けん制:ランナー近本帰塁キャッチャーゴロ 1アウト二塁
1回裏,3,3.0,森下 翔太,1,2塁,デッドボールを受ける 一二塁
1回裏,4,4.0,佐藤 輝明,1,"1,2塁",－治療中－四球を選ぶ。ピッチャーターノックにとって痛いフォアボールとなる 満塁
1回裏,5,5.0,大山 悠輔,1,満塁,ランナーフルベースの0-1からレフトへの犠牲フライを放つ阪神同点！ 神 1-1 広 2アウト一二塁0:53【1回裏】大山 犠牲フライですぐさま同点!! 2026/04/25 T-C
1回裏,6,6.0,髙寺 望夢,2,"1,2塁",高めのストレートを打つもレフトフライ 3アウト
2回表,1,7.0,勝田 成,0,,ど真ん中のストレートを打つもセンターフライ 1アウト
2回表,2,8.0,持丸 泰輝,1,,ピッチャー村上のグラブを襲う内野安打 一塁
2回表,3,9.0,ターノック,1,1塁,見事送りバントを成功させる 2アウト二塁
2回表,4,1.0,秋山 翔吾,2,2塁,ランナー二塁からレフトへのヒット 一三塁
2回表,5,2.0,大盛 穂,2,"1,3塁",カウント1-2から空振り三振でバッターアウト 3アウト
2回裏,1,7.0,坂本 誠志郎,0,,佐々木(三)のファンブルにより出塁する 一塁
2回裏,2,8.0,小幡 竜平,0,1塁,一塁走者坂本:盗塁成功 二塁空振り三振でバッターアウト 1アウト
2回裏,3,9.0,村上 頌樹,1,2塁,フォアボール 一二塁
2回裏,4,1.0,近本 光司,1,"1,2塁",1アウト一二塁から低めの変化球を打つもライトフライ 2アウト一三塁
2回裏,5,2.0,中野 拓夢,2,"1,3塁",ピッチャーゴロ 3アウト
3回表,1,3.0,小園 海斗,0,,外角高めのストレートをレフトへ打ってヒット 一塁
3回表,2,4.0,坂倉 将吾,0,1塁,セカンドゴロ 1アウト二塁
3回表,3,5.0,野間 峻祥,1,2塁,空振り三振でバッターアウト 2アウト
3回表,4,6.0,佐々木 泰,2,2塁,サードフライ 3アウト
3回裏,1,3.0,森下 翔太,0,,サードゴロ 1アウト
3回裏,2,4.0,佐藤 輝明,1,,ワンバウンドした球に空振り、三振を喫する 2アウト
3回裏,3,5.0,大山 悠輔,2,,ファウルフライを持丸(捕)がつかんでバッターアウト 3アウト
4回表,1,7.0,勝田 成,0,,ライトへの二塁打 二塁
4回表,2,8.0,持丸 泰輝,0,2塁,外角高めの球を打つもレフトフライ 1アウト
4回表,3,9.0,ターノック,1,2塁,ランナー二塁から外角の球を打つもセンターフライ 2アウト
4回表,4,1.0,秋山 翔吾,2,2塁,ショートフライ 3アウト
4回裏,1,6.0,髙寺 望夢,0,,たたきつける打球で内野安打 一塁
4回裏,2,7.0,坂本 誠志郎,0,1塁,ストレートのフォアボールで出塁 一二塁
4回裏,3,8.0,小幡 竜平,0,"1,2塁",空振りの三振を喫する 1アウト
4回裏,4,9.0,村上 頌樹,1,"1,2塁",スリーバントを試みるも失敗！ 2アウト
4回裏,5,1.0,近本 光司,2,"1,2塁",ファーストゴロ 3アウト
5回表,1,2.0,大盛 穂,0,,ファーストゴロ 1アウト
5回表,2,3.0,小園 海斗,1,,セカンドゴロ 2アウト
5回表,3,4.0,坂倉 将吾,2,,低めのカーブを打つもレフトフライ 3アウト
5回裏,1,2.0,中野 拓夢,0,,粘りを見せるも8球目を空振り、三振を喫する 1アウト
5回裏,2,3.0,森下 翔太,1,,ショートゴロ 2アウト
5回裏,3,4.0,佐藤 輝明,2,,高めのストレートを打つもライトフライ 3アウト
6回表,1,5.0,野間 峻祥,0,,ど真ん中の変化球を打つもセンターフライ 1アウト
6回表,2,6.0,佐々木 泰,1,,低めの球を打つもレフトフライ 2アウト
6回表,3,7.0,勝田 成,2,,外角の変化球を打つもピッチャーライナー 3アウト
6回裏,1,5.0,大山 悠輔,0,,センターへのヒットを放つ 一塁
6回裏,2,6.0,髙寺 望夢,0,1塁,一塁けん制:ランナー大山帰塁一塁けん制:ランナー大山帰塁空振り三振 1アウト
