イニング,打席順,打順,選手名,アウト,ランナー,本文
1回表,1,1.0,西川 愛也,0,,外角高めの真っ直ぐを打つもレフトフライ 1アウト
1回表,2,2.0,小島 大河,1,,空振り三振でバッターアウト 2アウト
1回表,3,3.0,渡部 聖弥,2,,空振りの三振を喫する 3アウト
1回裏,1,1.0,小深田 大翔,0,,ファーストゴロ 1アウト
1回裏,2,2.0,辰己 涼介,1,,空振り三振でバッターアウト 2アウト
1回裏,3,3.0,村林 一輝,2,,空振りの三振を喫する 3アウト
2回表,1,4.0,カナリオ,0,,全く手が出ず見逃し三振でバッターアウト 1アウト
2回表,2,5.0,林 安可,1,,セカンドゴロ 2アウト
2回表,3,6.0,平沢 大河,2,,空振り三振でバッターアウト 3アウト
2回裏,1,4.0,浅村 栄斗,0,,ピッチャーゴロ 1アウト
2回裏,2,5.0,伊藤 裕季也,1,,外角高めのストレートを打つもライトフライ 2アウト
2回裏,3,6.0,マッカスカー,2,,7球粘るも外角低めのスイーパーに空振り三振 3アウト
3回表,1,7.0,山村 崇嘉,0,,ライトへのヒットで出塁 一塁
3回表,2,8.0,源田 壮亮,0,1塁,一塁けん制:ランナー山村帰塁見事送りバントを成功させる 1アウト二塁
3回表,3,9.0,滝澤 夏央,1,2塁,ショートフライ 2アウト
3回表,4,1.0,西川 愛也,2,2塁,一打先制の場面で外角の球を打つもレフトフライ 3アウト
3回裏,1,7.0,太田 光,0,,四球を選ぶ 一塁
3回裏,2,8.0,ボイト,0,1塁,高めのストレートを打つもレフトフライ 1アウト
3回裏,3,9.0,武藤 敦貴,1,1塁,ファウルフライを小島(捕)が捕球してバッターアウト 2アウト
3回裏,4,1.0,小深田 大翔,2,1塁,見逃し三振でバッターアウト！ 3アウト
4回表,1,2.0,小島 大河,0,,ど真ん中のカットボールを打つもライトフライ 1アウト
4回表,2,3.0,渡部 聖弥,1,,ボテボテのピッチャーゴロ 2アウト
4回表,3,4.0,カナリオ,2,,空振りの三振を喫する 3アウト
4回裏,1,2.0,辰己 涼介,0,,見逃し三振でバッターアウト！ 1アウト
4回裏,2,3.0,村林 一輝,1,,ファーストゴロ 2アウト
4回裏,3,4.0,浅村 栄斗,2,,センターへのヒットを放つ 一塁
4回裏,4,5.0,伊藤 裕季也,2,1塁,ワンバウンドした球を空振り三振 3アウト
5回表,1,5.0,林 安可,0,,ハーフスイングを取られて空振りの三振を喫する 1アウト
5回表,2,6.0,平沢 大河,1,,空振り三振でバッターアウト 2アウト
5回表,3,7.0,山村 崇嘉,2,,レフトへのヒットを放つ 一塁
5回表,4,8.0,源田 壮亮,2,1塁,センターへのヒットで出塁 一二塁
5回表,5,9.0,滝澤 夏央,2,"1,2塁",－楽天:内野手マウンドへ集まる－一打先制の場面でショートゴロ 3アウト
5回裏,1,6.0,マッカスカー,0,,低めのストレートを打つもライトフライ 1アウト
5回裏,2,7.0,太田 光,1,,ハーフスイングを取られて三球三振 2アウト
5回裏,3,8.0,ボイト,2,,サードゴロ 3アウト
6回表,1,1.0,西川 愛也,0,,当てるだけのバッティングでショートゴロ 1アウト
6回表,2,2.0,小島 大河,1,,高めの真っ直ぐを打つもレフトフライ 2アウト
6回表,3,3.0,渡部 聖弥,2,,レフトへのヒットで出塁 一塁
6回表,4,4.0,カナリオ,2,1塁,空振りの三振を喫する 3アウト
6回裏,1,9.0,武藤 敦貴,0,,内角のカットボールを打つもライトフライ 1アウト
6回裏,2,1.0,小深田 大翔,1,,空振りの三振を喫する 2アウト
6回裏,3,2.0,辰己 涼介,2,,ファーストゴロ 3アウト
7回表,1,5.0,林 安可,0,,見逃し三振でバッターアウト！ 1アウト
7回表,2,6.0,平沢 大河,1,,ショートフライ 2アウト
7回表,3,7.0,山村 崇嘉,2,,セカンドゴロ 3アウト
7回裏,1,3.0,村林 一輝,0,,フォアボールを選ぶ 一塁
7回裏,2,4.0,浅村 栄斗,0,1塁,レフトへのヒットで出塁 一二塁
7回裏,3,5.0,伊藤 裕季也,0,"1,2塁",ピッチャーゴロ 1アウト二三塁
7回裏,4,6.0,マッカスカー,1,"2,3塁",高めのつり球に空振り三振 2アウト
7回裏,5,7.0,太田 光,2,"2,3塁",カウント1-2からワンバウンドした球に空振り、三振を喫する 3アウト0:21【7回裏】圧巻!! ライオンズ・平良海馬 ピンチの場面を今日10個目の三振で切り抜ける!! 2026年4月26日 東北楽天ゴールデンイーグルス 対 埼玉西武ライオンズ
8回表,1,8.0,源田 壮亮,0,,守備交代:レフト中島レフトへのツーベース 二塁
8回表,2,9.0,滝澤 夏央,0,2塁,見事送りバントを決める 1アウト三塁
8回表,3,,栗山 巧,1,3塁,西川→代打:栗山セカンドゴロ三塁走者源田は走塁死 2アウト二塁
8回表,4,2.0,小島 大河,2,2塁,二塁走者栗山→代走:岸2アウト二塁から外角のスライダーを打つもライトフライ 3アウト
8回裏,1,8.0,ボイト,0,,投手交代:平良→篠原守備交代:キャッチャー古賀悠守備変更:岸→センターセンターへのヒット 一塁
8回裏,2,9.0,武藤 敦貴,0,1塁,一塁走者ボイト→代走:小郷一塁けん制:ランナー小郷帰塁空振り三振に倒れるもスタートを切っていた一塁走者小郷が盗塁成功 1アウト二塁
8回裏,3,,黒川 史陽,1,2塁,小深田→代打:黒川ショートフライ 2アウト
