イニング,打席順,打順,選手名,アウト,ランナー,本文
1回表,1,1.0,福島 圭音,0,,内角高めのストレートを打つもレフトフライ 1アウト
1回表,2,2.0,中野 拓夢,1,,ど真ん中の真っ直ぐを打つもセンターフライ 2アウト
1回表,3,3.0,森下 翔太,2,,内角のカットボールを打つもレフトフライ 3アウト
1回裏,1,1.0,長岡 秀樹,0,,空振り三振でバッターアウト 1アウト
1回裏,2,2.0,丸山 和郁,1,,ライトへのヒットで出塁 一塁
1回裏,3,3.0,内山 壮真,1,1塁,一塁走者丸山和:盗塁成功 二塁フォアボールを選ぶ 一二塁
1回裏,4,4.0,サンタナ,1,"1,2塁",1アウト一二塁から6-4-3のダブルプレー 3アウト
2回表,1,4.0,佐藤 輝明,0,,ショートゴロ 1アウト
2回表,2,5.0,大山 悠輔,1,,ファーストフライ 2アウト
2回表,3,6.0,髙寺 望夢,2,,フォアボールを選ぶ 一塁
2回表,4,7.0,坂本 誠志郎,2,1塁,一塁けん制:ランナー髙寺帰塁一塁けん制:ランナー髙寺帰塁外角の球を打つもライトフライ 3アウト
2回裏,1,5.0,赤羽 由紘,0,,佐藤(三)の悪送球により出塁する 一塁
2回裏,2,6.0,岩田 幸宏,0,1塁,内角の球をライトへ打ってヒット 一二塁
2回裏,3,7.0,古賀 優大,0,"1,2塁",ランナー一二塁の2-1からセンターへの先制タイムリーヒット！ ヤ 1-0 神 一三塁
2回裏,4,8.0,武岡 龍世,0,"1,3塁",0アウト一三塁の1-0からタイムリーヒット ヤ 2-0 神 一二塁
2回裏,5,9.0,吉村 貢司郎,0,"1,2塁",四球を選ぶ。ピッチャー才木にとって痛いフォアボールとなる 満塁
2回裏,6,1.0,長岡 秀樹,0,満塁,ランナーフルベースの2-2からセンターへ2点タイムリーツーベース！ ヤ 4-0 神 二三塁
2回裏,7,2.0,丸山 和郁,0,"2,3塁",－阪神:コーチマウンドへむかう－ランナー二三塁からセカンドフライ 1アウト
2回裏,8,3.0,内山 壮真,1,"2,3塁",ランナー二三塁の2-1からセンターへのタイムリーヒット ヤ 6-0 神 一塁
2回裏,9,4.0,サンタナ,1,1塁,空振りの三振を喫する 2アウト
2回裏,10,5.0,赤羽 由紘,2,1塁,一塁走者内山:盗塁成功 二塁カウント2-2から空振り三振でバッターアウト 3アウト
3回表,1,8.0,小幡 竜平,0,,空振り三振 1アウト
3回表,2,,小野寺 暖,1,,才木→代打:小野寺サードゴロ 2アウト
3回表,3,1.0,福島 圭音,2,,サードゴロ 3アウト
3回裏,1,6.0,岩田 幸宏,0,,投手交代:才木→早川外角のツーシームを打つもレフトフライ 1アウト
3回裏,2,7.0,古賀 優大,1,,ピッチャーゴロ 2アウト
3回裏,3,8.0,武岡 龍世,2,,外角のツーシームを打つもレフトフライ 3アウト
4回表,1,2.0,中野 拓夢,0,,セカンドフライ 1アウト
4回表,2,3.0,森下 翔太,1,,ライトへのツーベース 二塁
4回表,3,4.0,佐藤 輝明,1,2塁,四球を選ぶ 一二塁
4回表,4,5.0,大山 悠輔,1,"1,2塁",－ヤクルト:内野手マウンドへ集まる－1アウト一二塁の0-2からバックスクリーン右に飛び込む3ランホームランを放つ ヤ 6-3 神
4回表,5,6.0,髙寺 望夢,1,,空振り三振でバッターアウト 2アウト
4回表,6,7.0,坂本 誠志郎,2,,ファウルフライを古賀(捕)がつかんでバッターアウト 3アウト
4回裏,1,9.0,吉村 貢司郎,0,,ショートゴロ 1アウト
4回裏,2,1.0,長岡 秀樹,1,,詰まった打球はセカンドゴロとなる 2アウト
4回裏,3,2.0,丸山 和郁,2,,早川のツーシームを引っかけセカンドゴロ 3アウト
5回表,1,8.0,小幡 竜平,0,,フェンス直撃の三塁打を放つ 三塁
5回表,2,,濱田 太貴,0,3塁,早川→代打:濱田内角低めの球を打つもライトフライ 1アウト
5回表,3,1.0,福島 圭音,1,3塁,1アウト三塁の3-2からセンターへタイムリーツーベース！ ヤ 6-4 神 二塁
5回表,4,2.0,中野 拓夢,1,2塁,外角の真っ直ぐを打つもライトフライ 2アウト
5回表,5,3.0,森下 翔太,2,2塁,外角高めの球を打つもライトフライ 3アウト
5回裏,1,3.0,内山 壮真,0,,投手交代:早川→石黒見逃し三振 1アウト
5回裏,2,4.0,サンタナ,1,,フェンス直撃の二塁打を放つ 二塁
5回裏,3,5.0,赤羽 由紘,1,2塁,空振りの三振を喫する 2アウト
5回裏,4,6.0,岩田 幸宏,2,2塁,カウント1-2から空振り三振 3アウト
6回表,1,4.0,佐藤 輝明,0,,投手交代:吉村→荘司ど真ん中のスライダーを打つもセンターフライ 1アウト
6回表,2,5.0,大山 悠輔,1,,サードゴロ 2アウト
6回表,3,6.0,髙寺 望夢,2,,ショートゴロ 3アウト
6回裏,1,7.0,古賀 優大,0,,全く手が出ず見逃し三振でバッターアウト 1アウト
6回裏,2,8.0,武岡 龍世,1,,2-2からバックスクリーンに飛び込むホームランを放つ ヤ 7-4 神
6回裏,3,,田中 陽翔,1,,荘司→代打:田中外角低めのフォークを引っかけてファーストゴロ 2アウト
6回裏,4,1.0,長岡 秀樹,2,,見逃し三振 3アウト
7回表,1,7.0,坂本 誠志郎,0,,ピッチャー荘司に代わって清水がマウンドにあがる外角低めの変化球を打つもセンターフライ 1アウト
7回表,2,8.0,小幡 竜平,1,,ショートゴロ 2アウト
7回表,3,,熊谷 敬宥,2,,石黒→代打:熊谷センターへのヒットを放つ 一塁
7回表,4,1.0,福島 圭音,2,1塁,一塁けん制:ランナー熊谷帰塁内山(二)のファンブルにより出塁する 一二塁
7回表,5,,前川 右京,2,"1,2塁",中野→代打:前川カウント0-2から空振り三振でバッターアウト 3アウト
7回裏,1,2.0,丸山 和郁,0,,投手交代:石黒→富田守備変更:熊谷→セカンドライトへのヒットを放つ 一塁
7回裏,2,3.0,内山 壮真,0,1塁,外角のストレートを打つもレフトフライ 1アウト
7回裏,3,4.0,サンタナ,1,1塁,レフトへのヒットで出塁 一二塁
