イニング,打席順,打順,選手名,アウト,ランナー,本文
1回表,1,1.0,野村 佑希,0,,ショートゴロ 1アウト
1回表,2,2.0,水野 達稀,1,,ファーストゴロ 2アウト
1回表,3,3.0,レイエス,2,,空振りの三振を喫する 3アウト
1回裏,1,1.0,岸 潤一郎,0,,外角高めの球を打つもセンターフライ 1アウト
1回裏,2,2.0,長谷川 信哉,1,,レフトスタンドへのホームランで西武先制！ 西 1-0 日0:46【1回裏】初球を捉えた!! ライオンズ・長谷川信哉 レフトへの今季第1号先制ソロHR!! 2026年4月28日 埼玉西武ライオンズ 対 北海道日本ハムファイターズ
1回裏,3,3.0,渡部 聖弥,1,,ピッチャーゴロ 2アウト
1回裏,4,4.0,カナリオ,2,,ど真ん中の真っ直ぐを打つもライトフライ 3アウト
2回表,1,4.0,郡司 裕也,0,,空振り三振 1アウト
2回表,2,5.0,清宮 幸太郎,1,,見逃し三振でバッターアウト！ 2アウト
2回表,3,6.0,カストロ,2,,サードゴロ 3アウト
2回裏,1,5.0,林 安可,0,,空振りの三振を喫する 1アウト
2回裏,2,6.0,平沢 大河,1,,フォアボールを選ぶ 一塁
2回裏,3,7.0,古賀 悠斗,1,1塁,一塁けん制:ランナー平沢帰塁一塁けん制:ランナー平沢帰塁また一塁けん制:ランナー平沢帰塁低めのスプリットを打つもライトフライ 2アウト
2回裏,4,8.0,源田 壮亮,2,1塁,ボテボテのセカンドゴロ 3アウト
3回表,1,7.0,万波 中正,0,,サードゴロ 1アウト
3回表,2,8.0,田宮 裕涼,1,,空振り三振でバッターアウト 2アウト
3回表,3,9.0,奈良間 大己,2,,外角低めの球を打つもレフトフライ 3アウト
3回裏,1,9.0,滝澤 夏央,0,,サードゴロ 1アウト
3回裏,2,1.0,岸 潤一郎,1,,空振りの三振を喫する 2アウト
3回裏,3,2.0,長谷川 信哉,2,,空振りの三振を喫する 3アウト
4回表,1,1.0,野村 佑希,0,,サードフライ 1アウト
4回表,2,2.0,水野 達稀,1,,ファウルフライを平沢(三)が捕球してバッターアウト 2アウト
4回表,3,3.0,レイエス,2,,3-0からセンターへのヒットを放つ 一塁
4回表,4,4.0,郡司 裕也,2,1塁,内角の球を打つもレフトフライ 3アウト
4回裏,1,3.0,渡部 聖弥,0,,ワンバウンドした球を空振り三振 1アウト
4回裏,2,4.0,カナリオ,1,,ショートフライ 2アウト
4回裏,3,5.0,林 安可,2,,内角の真っ直ぐを打つもセンターフライ 3アウト
5回表,1,5.0,清宮 幸太郎,0,,ライトへのヒットを放つ 一塁
5回表,2,6.0,カストロ,0,1塁,ライトへのタイムリーツーベースで日本ハム同点 西 1-1 日 二塁0:58【5回表】スタメン起用に応えた!! ファイターズ・カストロ 右中間を破る同点タイムリー2ベース!! 2026年4月28日 埼玉西武ライオンズ 対 北海道日本ハムファイターズ
5回表,3,7.0,万波 中正,0,2塁,ランナー二塁から内角低めのスプリットを打つもセンターフライ 1アウト三塁
5回表,4,8.0,田宮 裕涼,1,3塁,ファーストゴロ三塁走者カストロは走塁死 2アウト一塁
5回表,5,9.0,奈良間 大己,2,1塁,外角のスイーパーを打つもセンターフライ 3アウト
5回裏,1,6.0,平沢 大河,0,,セカンドゴロ 1アウト
5回裏,2,7.0,古賀 悠斗,1,,ショートゴロ 2アウト
5回裏,3,8.0,源田 壮亮,2,,全く手が出ず見逃し三振 3アウト
6回表,1,1.0,野村 佑希,0,,外角低めのカットボールを打つもセンターフライ 1アウト
6回表,2,2.0,水野 達稀,1,,空振り三振でバッターアウト 2アウト
6回表,3,3.0,レイエス,2,,セカンドゴロ 3アウト
6回裏,1,9.0,滝澤 夏央,0,,ストレートのフォアボールで出塁 一塁
6回裏,2,1.0,岸 潤一郎,0,1塁,一塁けん制:ランナー滝澤帰塁一塁けん制:ランナー滝澤帰塁送りバントを試みるもファウルフライとなりアウト 1アウト
6回裏,3,2.0,長谷川 信哉,1,1塁,5-4-3のダブルプレー 3アウト
7回表,1,4.0,郡司 裕也,0,,詰まりながらもライトへヒットを放つ 一塁
7回表,2,5.0,清宮 幸太郎,0,1塁,一塁走者郡司→代走:五十幡一塁けん制:ランナー五十幡帰塁一塁けん制:ランナー五十幡帰塁セカンドゴロ 1アウト二塁
7回表,3,6.0,カストロ,1,2塁,10球目の真っ直ぐを打つもセンターフライ 2アウト
7回表,4,7.0,万波 中正,2,2塁,－西武:コーチマウンドへむかう－一塁が空いているため敬遠で勝負を避けられる 一二塁
7回表,5,8.0,田宮 裕涼,2,"1,2塁",一打勝ち越しの場面でファーストゴロ 3アウト
7回裏,1,3.0,渡部 聖弥,0,,守備交代:サード大塚空振り三振でバッターアウト 1アウト
7回裏,2,4.0,カナリオ,1,,ファーストフライ 2アウト
7回裏,3,5.0,林 安可,2,,外角の変化球を打つもセンターフライ 3アウト
8回表,1,9.0,奈良間 大己,0,,平沢(三)の後逸により出塁する 二塁
8回表,2,1.0,野村 佑希,0,2塁,サードゴロ 1アウト
8回表,3,2.0,水野 達稀,1,2塁,ランナー二塁からど真ん中の変化球を打つもセンターフライ 2アウト三塁
8回表,4,3.0,レイエス,2,3塁,－西武:コーチマウンドへむかう－一打勝ち越しの場面で空振りの三振を喫する 3アウト
8回裏,1,6.0,平沢 大河,0,,ストレートのフォアボールで出塁 一塁
8回裏,2,7.0,古賀 悠斗,0,1塁,一塁けん制:ランナー平沢帰塁見事送りバントを成功させる 1アウト二塁
8回裏,3,,栗山 巧,1,2塁,源田→代打:栗山－日本ハム:コーチマウンドへむかう－セカンドゴロ 2アウト
8回裏,4,9.0,滝澤 夏央,2,2塁,すっぽ抜けの球に当たりデッドボールとなる 一二塁
8回裏,5,1.0,岸 潤一郎,2,"1,2塁",デッドボールを受ける 満塁
8回裏,6,2.0,長谷川 信哉,2,満塁,投手交代:細野→玉井一打勝ち越しの場面で内角の球を打つもレフトフライ 3アウト
9回表,1,4.0,大塚 瑠晏,0,,投手交代:渡邉→岩城守備交代:セカンド児玉守備変更:滝澤セカンド→ショート外角低めの球を打つもレフトフライ 1アウト
9回表,2,5.0,清宮 幸太郎,1,,ファーストゴロ 2アウト
9回表,3,6.0,カストロ,2,,2-1から左中間への勝ち越しホームラン！ 西 1-2 日1:05【9回表】確信の一発!! ファイターズ・カストロ 今日2打点目は均衡を破る勝ち越しのソロHR!! 2026年4月28日 埼玉西武ライオンズ 対 北海道日本ハムファイターズ
9回表,4,7.0,万波 中正,2,,ワンバウンドした球に空振り、三振を喫する 3アウト
9回裏,1,3.0,渡部 聖弥,0,,ピッチャー玉井に代わって柳川がマウンドにあがる　守備交代:レフト矢澤ボテボテのピッチャーゴロ 1アウト
9回裏,2,4.0,カナリオ,1,,大塚(三)の落球により出塁する 二塁
9回裏,3,5.0,林 安可,1,2塁,二塁走者カナリオ:盗塁成功 三塁ファーストゴロ 2アウト
9回裏,4,6.0,平沢 大河,2,3塁,一打同点の場面でセカンドフライ 3アウト試合終了
