イニング,打席順,打順,選手名,アウト,ランナー,本文
1回表,1,1.0,柳田 悠岐,0,,空振り三振でバッターアウト 1アウト
1回表,2,2.0,周東 佑京,1,,レフトへのヒットを放つ 一塁
1回表,3,3.0,栗原 陵矢,1,1塁,ダブルプレー 3アウト
1回裏,1,1.0,宗 佑磨,0,,ハーフスイングを取られて空振り三振でバッターアウト 1アウト
1回裏,2,2.0,渡部 遼人,1,,外角高めの球をレフトへ打ってヒット 一塁
1回裏,3,3.0,西川 龍馬,1,1塁,一塁けん制:ランナー渡部帰塁ライトへのツーベース 二三塁
1回裏,4,4.0,太田 椋,1,"2,3塁",内角のストレートを打つもショートライナー 2アウト
1回裏,5,5.0,森 友哉,2,"2,3塁",外角の変化球を引っかけてファーストゴロ 3アウト
2回表,1,4.0,近藤 健介,0,,当てるだけのバッティングでピッチャーゴロ 1アウト
2回表,2,5.0,牧原 大成,1,,センターへのヒットを放つ 一塁
2回表,3,6.0,今宮 健太,1,1塁,一塁けん制:ランナー牧原大帰塁一塁けん制:ランナー牧原大スタート一塁走者牧原大:けん制球に誘い出され盗塁失敗 2アウトファーストへのファウルフライに倒れる 3アウト
2回裏,1,6.0,中川 圭太,0,,フォアボールを選ぶ 一塁
2回裏,2,7.0,シーモア,0,1塁,外角のストレートを打つもセンターフライ 1アウト
2回裏,3,8.0,若月 健矢,1,1塁,一塁けん制:ランナー中川帰塁一塁けん制:ランナー中川帰塁また一塁けん制:ランナー中川帰塁レフトへのヒットで出塁 一二塁
2回裏,4,9.0,紅林 弘太郎,1,"1,2塁",栗原(三)のファンブルにより出塁する 満塁
2回裏,5,1.0,宗 佑磨,1,満塁,ショートフライ 2アウト
2回裏,6,2.0,渡部 遼人,2,満塁,ランナーフルベースの3-2から押し出しのフォアボール オ 1-0 ソ 満塁
2回裏,7,3.0,西川 龍馬,2,満塁,－ソフトバンク:コーチマウンドへむかう－カウント2-2から空振りの三振を喫する 3アウト
3回表,1,7.0,山川 穂高,0,,サードゴロ 1アウト
3回表,2,8.0,柳町 達,1,,高めの球を打つもライトフライ 2アウト
3回表,3,9.0,海野 隆司,2,,サードゴロ 3アウト
3回裏,1,4.0,太田 椋,0,,ツーベース 二塁
3回裏,2,5.0,森 友哉,0,2塁,セカンドゴロ 1アウト三塁
3回裏,3,6.0,中川 圭太,1,3塁,ランナー三塁の2-2からライトへのタイムリーヒット オ 2-0 ソ 一塁
3回裏,4,7.0,シーモア,1,1塁,一塁けん制:ランナー中川帰塁空振り三振でバッターアウト 2アウト
3回裏,5,8.0,若月 健矢,2,1塁,一塁けん制:ランナー中川帰塁一塁走者中川:盗塁を試みるもアウト 3アウト
4回表,1,1.0,柳田 悠岐,0,,7球粘るも外角高めの変化球に見逃し三振 1アウト
4回表,2,2.0,周東 佑京,1,,8球粘るも外角低めのストレートに見逃し三振 2アウト
4回表,3,3.0,栗原 陵矢,2,,外角高めの球を打つもセンターフライ 3アウト
4回裏,1,8.0,若月 健矢,0,,外角のストレートを打つもセカンドライナー 1アウト
4回裏,2,9.0,紅林 弘太郎,1,,カウント1-2から左中間へのホームラン オ 3-0 ソ0:55【4回裏】すくい上げた打球はスタンドへ!! バファローズ・紅林弘太郎 左中間へのソロHRで追加点!! 2026年4月29日 オリックス・バファローズ 対 福岡ソフトバンクホークス
4回裏,3,1.0,宗 佑磨,1,,フォアボールを選ぶ 一塁
4回裏,4,2.0,渡部 遼人,1,1塁,－ソフトバンク:コーチマウンドへむかう－一塁けん制:ランナー宗帰塁一塁けん制:ランナー宗帰塁ショートゴロ 2アウト一塁
4回裏,5,3.0,西川 龍馬,2,1塁,ファーストゴロ 3アウト
5回表,1,4.0,近藤 健介,0,,外角高めの変化球を打つもレフトフライ 1アウト
5回表,2,5.0,牧原 大成,1,,空振り三振でバッターアウト 2アウト
5回表,3,6.0,今宮 健太,2,,低めの球を打つもレフトフライ 3アウト
5回裏,1,4.0,太田 椋,0,,投手交代:大関→尾形空振りの三振を喫する 1アウト
5回裏,2,5.0,森 友哉,1,,高めのつり球に空振り三振 2アウト
5回裏,3,6.0,中川 圭太,2,,センターへのヒットで出塁 一塁
5回裏,4,7.0,シーモア,2,1塁,尾形(投):ワイルドピッチ 二塁カウント1-2から見逃し三振 3アウト
6回表,1,7.0,山川 穂高,0,,空振り三振でバッターアウト 1アウト
6回表,2,8.0,柳町 達,1,,空振り三振でバッターアウト 2アウト
6回表,3,9.0,海野 隆司,2,,レフトへのヒットを放つ 一塁
6回表,4,1.0,柳田 悠岐,2,1塁,フォアボールを選ぶ 一二塁
6回表,5,2.0,周東 佑京,2,"1,2塁",－オリックス:コーチマウンドへむかう－ランナー一二塁からピッチャーへの痛烈な打球の内野安打 満塁
