イニング,打席順,打順,選手名,アウト,ランナー,本文
1回表,1,1.0,キャベッジ,0,,見逃し三振でバッターアウト！ 1アウト
1回表,2,2.0,吉川 尚輝,1,,サードゴロ 2アウト
1回表,3,3.0,中山 礼都,2,,内角低めのカットボールを打つもライトフライ 3アウト
1回裏,1,1.0,岡城 快生,0,,空振り三振 1アウト
1回裏,2,2.0,福島 圭音,1,,センターへの二塁打 二塁0:49【1回裏】福島 俊足を飛ばして二塁へ!! 2026/05/01 T-G
1回裏,3,3.0,森下 翔太,1,2塁,ランナー二塁からショートへの内野安打 一二塁
1回裏,4,4.0,佐藤 輝明,1,"1,2塁",ランナー一二塁から外角低めの真っ直ぐをセンターへ打ってヒット 満塁
1回裏,5,5.0,大山 悠輔,1,満塁,阪神・福島の本塁アウトの判定を巡り、阪神がリクエストリプレー検証後判定変わらずランナーフルベースからピッチャーゴロ 2アウト満塁
1回裏,6,6.0,小幡 竜平,2,満塁,一打先制の場面でハーフスイングを取られて三球三振 3アウト
2回表,1,4.0,ダルベック,0,,フォアボールを選ぶ 一塁
2回表,2,5.0,大城 卓三,0,1塁,ストレートのフォアボールで出塁 一二塁
2回表,3,6.0,増田 陸,0,"1,2塁",デッドボール。阪神、満塁のピンチをまねく 満塁
2回表,4,7.0,平山 功太,0,満塁,ランナーフルベースの3-2からセンターへの先制タイムリーヒット！ 神 0-2 巨 一二塁
2回表,5,8.0,浦田 俊輔,0,"1,2塁",ショートフライ 1アウト
2回表,6,9.0,田中 将大,1,"1,2塁",見事送りバントを成功させる 2アウト二三塁
2回表,7,1.0,キャベッジ,2,"2,3塁",2アウト二三塁からピッチャーゴロ 3アウト
2回裏,1,7.0,坂本 誠志郎,0,,サードゴロ 1アウト
2回裏,2,8.0,熊谷 敬宥,1,,フォアボールを選ぶ 一塁
2回裏,3,9.0,村上 頌樹,1,1塁,見事送りバントを決める 2アウト二塁
2回裏,4,1.0,岡城 快生,2,2塁,セカンドゴロ 3アウト
3回表,1,2.0,吉川 尚輝,0,,ライトへのヒット 一塁
3回表,2,3.0,中山 礼都,0,1塁,一塁けん制:ランナー吉川帰塁レフトへのヒットを放つ 一二塁
3回表,3,4.0,ダルベック,0,"1,2塁",0アウト一二塁の1-0からレフトスタンドへの3ランホームラン 神 0-5 巨
3回表,4,5.0,大城 卓三,0,,外角低めのチェンジアップを打つもレフトフライ 1アウト
3回表,5,6.0,増田 陸,1,,見逃し三振でバッターアウト！ 2アウト
3回表,6,7.0,平山 功太,2,,低めの変化球を打つもレフトフライ 3アウト
3回裏,1,2.0,福島 圭音,0,,レフトへのヒット 一塁
3回裏,2,3.0,森下 翔太,0,1塁,6-4-3のダブルプレー 2アウト
3回裏,3,4.0,佐藤 輝明,2,,ライトへのヒットで出塁 一塁
3回裏,4,5.0,大山 悠輔,2,1塁,一塁けん制:ランナー佐藤帰塁一塁走者佐藤:盗塁成功 二塁四球を選ぶ 一二塁
3回裏,5,6.0,小幡 竜平,2,"1,2塁",フォアボールを選ぶ 満塁
3回裏,6,7.0,坂本 誠志郎,2,満塁,－巨人:コーチマウンドへむかう－ランナーフルベースの1-1からレフトへのタイムリーヒット 神 2-5 巨 一二塁0:55【3回裏】坂本 サードの横を抜けた!! 2点タイムリーヒット!! 2026/05/01 T-G
3回裏,7,8.0,熊谷 敬宥,2,"1,2塁",カウント1-2から見逃し三振 3アウト
4回表,1,8.0,浦田 俊輔,0,,ファウルフライを佐藤(三)がつかんでバッターアウト 1アウト
4回表,2,9.0,田中 将大,1,,ショートゴロ 2アウト
4回表,3,1.0,キャベッジ,2,,ワンバウンドした球に空振り、三振を喫する 3アウト
4回裏,1,9.0,村上 頌樹,0,,空振り三振でバッターアウト 1アウト
4回裏,2,1.0,岡城 快生,1,,空振りの三振を喫する 2アウト
4回裏,3,2.0,福島 圭音,2,,ピッチャーゴロ 3アウト
5回表,1,2.0,吉川 尚輝,0,,詰まった打球はサードゴロとなる 1アウト
5回表,2,3.0,中山 礼都,1,,フェンス直撃の二塁打を放つ 二塁
5回表,3,4.0,ダルベック,1,2塁,ワンバウンドした球を空振り三振 2アウト
5回表,4,5.0,大城 卓三,2,2塁,二塁けん制:ランナー中山帰塁一塁が空いているため敬遠で勝負を避けられる 一二塁
5回表,5,6.0,増田 陸,2,"1,2塁",－阪神:コーチマウンドへむかう－粘りを見せるも9球目を空振り三振でバッターアウト 3アウト
5回裏,1,3.0,森下 翔太,0,,外角高めの真っ直ぐを打つもセンターフライ 1アウト
5回裏,2,4.0,佐藤 輝明,1,,8球粘るも外角高めのストレートに空振り三振 2アウト
5回裏,3,5.0,大山 悠輔,2,,空振りの三振を喫する 3アウト
6回表,1,7.0,平山 功太,0,,投手交代:村上→湯浅巨人・平山の一塁アウトの判定を巡り、巨人がリクエストリプレー検証後判定覆るショートへの内野安打 一塁
6回表,2,8.0,浦田 俊輔,0,1塁,一塁けん制:ランナー平山帰塁巨人・平山の一塁けん制アウトの判定を巡り、巨人がリクエストリプレー検証後判定変わらず一塁けん制:ランナー平山戻りきれずタッチアウト！ 1アウト空振り三振でバッターアウト 2アウト
6回表,3,9.0,田中 将大,2,,空振りの三振を喫する 3アウト
6回裏,1,6.0,小幡 竜平,0,,詰まりながらもレフトへヒットを放つ 一塁
6回裏,2,7.0,坂本 誠志郎,0,1塁,ワンバウンドした球に空振り、三振を喫する 1アウト
6回裏,3,,髙寺 望夢,1,1塁,熊谷→代打:髙寺ライトへのヒットを放つ 一三塁
6回裏,4,,中野 拓夢,1,"1,3塁",－巨人:コーチマウンドへむかう－湯浅→代打:中野一塁走者髙寺:盗塁成功 二三塁フォアボールを選ぶ 満塁
6回裏,5,,前川 右京,1,満塁,－巨人:監督マウンドへむかう－投手交代:田中将→船迫岡城→代打:前川1アウト満塁の3-2から押し出し四球 神 3-5 巨 満塁
6回裏,6,2.0,福島 圭音,1,満塁,4-6-3のダブルプレー 3アウト
7回表,1,1.0,キャベッジ,0,,投手交代:湯浅→及川守備変更:前川→レフト　守備変更:髙寺→セカンドセカンドゴロ 1アウト
7回表,2,2.0,吉川 尚輝,1,,空振りの三振を喫する 2アウト
7回表,3,3.0,中山 礼都,2,,セカンドゴロ 3アウト0:24【7回表】及川 3人でピシャリ!! ナイスピッチング!! 2026/05/01 T-G
7回裏,1,3.0,森下 翔太,0,,ピッチャー船迫に代わって田中瑛がマウンドにあがる　守備交代:レフト松本セカンドゴロ 1アウト
7回裏,2,4.0,佐藤 輝明,1,,ライトへのヒットで出塁 一塁
7回裏,3,5.0,大山 悠輔,1,1塁,ど真ん中の球を打つもセンターフライ 2アウト
7回裏,4,6.0,小幡 竜平,2,1塁,外角低めの球を打つもショートライナー 3アウト
8回表,1,4.0,ダルベック,0,,投手交代:及川→工藤高めのストレートを打つもライトフライ 1アウト
8回表,2,5.0,大城 卓三,1,,センターへのヒットを放つ 一塁
8回表,3,6.0,増田 陸,1,1塁,ピッチャーゴロ 2アウト二塁
8回表,4,7.0,平山 功太,2,2塁,内角のカットボールを打つもレフトフライ 3アウト
8回裏,1,7.0,坂本 誠志郎,0,,ピッチャー田中瑛に代わって田和がマウンドにあがる　守備交代:サード門脇守備変更:ダルベックサード→ファーストデッドボールを受ける 一塁
8回裏,2,8.0,髙寺 望夢,0,1塁,センターへのヒットで出塁 一二塁
8回裏,3,,伏見 寅威,0,"1,2塁",工藤→代打:伏見二塁走者坂本→代走:小野寺見事送りバントを決める 1アウト二三塁
8回裏,4,1.0,前川 右京,1,"2,3塁",－巨人:監督マウンドへむかう－ピッチャー田和に代わって高梨がマウンドにあがる空振りの三振を喫する 2アウト
8回裏,5,2.0,福島 圭音,2,"2,3塁",一打同点の場面で見逃し三振でバッターアウト！ 3アウト
9回表,1,8.0,浦田 俊輔,0,,投手交代:工藤→津田守備変更:小野寺→レフト　守備変更:伏見→キャッチャーストレートのフォアボールで出塁 一塁
9回表,2,9.0,門脇 誠,0,1塁,一塁けん制:ランナー浦田帰塁一塁けん制:ランナー浦田帰塁一塁けん制:ランナー浦田帰塁巨人・浦田の二塁アウトの判定を巡り、巨人がリクエストリプレー検証後判定変わらず送りバント失敗 1アウト一塁
9回表,3,1.0,松本 剛,1,1塁,一塁けん制:ランナー門脇帰塁4-6-3のダブルプレー 3アウト
9回裏,1,3.0,森下 翔太,0,,ピッチャー高梨に代わってマルティネスがマウンドにあがる外角の球を打つもセンターフライ 1アウト
9回裏,2,4.0,佐藤 輝明,1,,ワンバウンドした球に空振り、三振を喫する 2アウト
9回裏,3,5.0,大山 悠輔,2,,空振りの三振を喫する 3アウト試合終了
