イニング,打席順,打順,選手名,アウト,ランナー,本文
1回表,1,1.0,カナリオ,0,,内角低めの球を打つもセンターフライ 1アウト
1回表,2,2.0,西川 愛也,1,,ピッチャー田中のグラブをはじくもピッチャーゴロに倒れる 2アウト
1回表,3,3.0,渡部 聖弥,2,,高めの真っ直ぐを打つもライトフライ 3アウト
1回裏,1,1.0,藤原 恭大,0,,死球を受ける 一塁
1回裏,2,2.0,西川 史礁,0,1塁,一塁けん制:ランナー藤原帰塁一塁けん制:ランナー藤原帰塁6-4-3のダブルプレー 2アウト
1回裏,3,3.0,寺地 隆成,2,,ショートゴロ 3アウト
2回表,1,4.0,ネビン,0,,レフトへのヒットで出塁 一塁
2回表,2,5.0,小島 大河,0,1塁,友杉(遊)のファンブルにより出塁する 一二塁
2回表,3,6.0,平沢 大河,0,"1,2塁",ランナー一二塁からライトへのヒットを放つ 満塁
2回表,4,7.0,石井 一成,0,満塁,ファウルフライを山本(左)がつかんでバッターアウト 1アウト
2回表,5,8.0,源田 壮亮,1,満塁,1アウト満塁の3-2から押し出しのフォアボール ロ 0-1 西 満塁
2回表,6,9.0,滝澤 夏央,1,満塁,ショートゴロの間に西武1点をあげる ロ 0-2 西 2アウト一二塁
2回表,7,1.0,カナリオ,2,"1,2塁",フォアボールを選ぶ 満塁
2回表,8,2.0,西川 愛也,2,満塁,－ロッテ:コーチマウンドへむかう－外角高めの球を打つもセンターフライ 3アウト
2回裏,1,4.0,ソト,0,,センターへの二塁打 二塁
2回裏,2,5.0,山本 大斗,0,2塁,空振りの三振を喫する 1アウト
2回裏,3,6.0,愛斗,1,2塁,ファーストへのファウルフライに倒れる 2アウト
2回裏,4,7.0,友杉 篤輝,2,2塁,2アウト二塁の2-2からセンターへのタイムリーヒット ロ 1-2 西 一塁0:48【2回裏】自らのバットで取り返す!! マリーンズ・友杉篤輝 センター前へのタイムリーヒット!! 2026年5月2日 千葉ロッテマリーンズ 対 埼玉西武ライオンズ
2回裏,5,8.0,佐藤 都志也,2,1塁,ロッテ・友杉の一塁けん制セーフの判定を巡り、西武がリクエストリプレー検証後判定覆る一塁けん制:ランナー友杉戻りきれずタッチアウト！ 3アウト
3回表,1,3.0,渡部 聖弥,0,,外角高めのストレートを打つもライトフライ 1アウト
3回表,2,4.0,ネビン,1,,レフトへのヒットを放つ 一塁
3回表,3,5.0,小島 大河,1,1塁,外角低めのフォークを打つもセンターフライ 2アウト
3回表,4,6.0,平沢 大河,2,1塁,外角低めのフォークを打つもレフトフライ 3アウト
3回裏,1,8.0,佐藤 都志也,0,,見逃し三振でバッターアウト！ 1アウト
3回裏,2,9.0,小川 龍成,1,,外角高めのストレートを打つもセンターフライ 2アウト
3回裏,3,1.0,藤原 恭大,2,,センターへのヒットで出塁 一塁
3回裏,4,2.0,西川 史礁,2,1塁,一塁けん制:ランナー藤原帰塁また一塁けん制:ランナー藤原帰塁ショートゴロ 3アウト
4回表,1,7.0,石井 一成,0,,セカンドゴロ 1アウト
4回表,2,8.0,源田 壮亮,1,,ライトへのヒットで出塁 一塁
4回表,3,9.0,滝澤 夏央,1,1塁,一塁けん制:ランナー源田帰塁高めのストレートを打つもセンターフライ 2アウト
4回表,4,1.0,カナリオ,2,1塁,一塁けん制:ランナー源田帰塁2-1からスタンド中段に飛び込む2ランホームランを放つ ロ 1-4 西0:45【4回表】来日初ホームラン!! ライオンズ・カナリオ 高めの直球を右中間スタンドへ運ぶ!! 2026年5月2日 千葉ロッテマリーンズ 対 埼玉西武ライオンズ
4回表,5,2.0,西川 愛也,2,,センターへのヒット 一塁
4回表,6,3.0,渡部 聖弥,2,1塁,一塁けん制:ランナー西川帰塁空振りの三振を喫する 3アウト
4回裏,1,3.0,寺地 隆成,0,,ファウルフライを小島(捕)がつかんでバッターアウト 1アウト
4回裏,2,4.0,ソト,1,,ショートゴロ 2アウト
4回裏,3,5.0,山本 大斗,2,,見逃し三振でバッターアウト！ 3アウト
5回表,1,4.0,ネビン,0,,空振り三振 1アウト
5回表,2,5.0,小島 大河,1,,ファウルフライを友杉(遊)がつかんでバッターアウト 2アウト
5回表,3,6.0,平沢 大河,2,,空振りの三振を喫する 3アウト
5回裏,1,6.0,愛斗,0,,内角低めの変化球を打つもショートライナー 1アウト
5回裏,2,7.0,友杉 篤輝,1,,センターへのヒット 一塁
5回裏,3,8.0,佐藤 都志也,1,1塁,一塁走者友杉:盗塁成功 二塁外角のストレートを打つもレフトフライ 2アウト
5回裏,4,9.0,小川 龍成,2,2塁,2アウト二塁の0-1からレフトへタイムリーツーベース！ ロ 2-4 西 二塁
5回裏,5,1.0,藤原 恭大,2,2塁,ランナー二塁からセカンドゴロ 3アウト
6回表,1,7.0,石井 一成,0,,守備交代:サード池田1-1からライトスタンドへのホームラン ロ 2-5 西0:41【6回表】高めを上手く捉えた!! ライオンズ・石井一成 移籍後初ホームランでリードを広げる!! 2026年5月2日 千葉ロッテマリーンズ 対 埼玉西武ライオンズ
6回表,2,8.0,源田 壮亮,0,,ピッチャーゴロ 1アウト
6回表,3,9.0,滝澤 夏央,1,,内角高めのストレートを打つもレフトフライ 2アウト
6回表,4,1.0,カナリオ,2,,ワンバウンドした球を空振り三振 3アウト
6回裏,1,2.0,西川 史礁,0,,ショートゴロ 1アウト
6回裏,2,3.0,池田 来翔,1,,外角のカーブを打つもセンターフライ 2アウト
6回裏,3,4.0,ソト,2,,空振り三振 3アウト
7回表,1,2.0,西川 愛也,0,,投手交代:田中→高野脩守備交代:キャッチャー田村空振り三振でバッターアウト 1アウト
7回表,2,3.0,渡部 聖弥,1,,ファウルフライを高野脩(投)がつかんでバッターアウト 2アウト
7回表,3,4.0,ネビン,2,,外角高めの球を打つもライトフライ 3アウト
7回裏,1,,井上 広大,0,,山本→代打:井上空振り三振でバッターアウト 1アウト
7回裏,2,6.0,愛斗,1,,センターへの二塁打 二塁
7回裏,3,7.0,友杉 篤輝,1,2塁,フォアボールを選ぶ 一二塁
7回裏,4,8.0,田村 龍弘,1,"1,2塁",ワンバウンドした球を空振り三振 2アウト
7回裏,5,9.0,小川 龍成,2,"1,2塁",2アウト一二塁の1-1からタイムリーヒット ロ 3-5 西 一三塁
7回裏,6,1.0,藤原 恭大,2,"1,3塁",ランナー一三塁の1-2からレフトへのタイムリーヒット ロ 4-5 西 一二塁
7回裏,7,2.0,西川 史礁,2,"1,2塁",－西武:監督マウンドへむかう－ピッチャー武内に代わって甲斐野がマウンドにあがる一塁けん制:ランナー藤原帰塁一打同点の場面で空振りの三振を喫する 3アウト
8回表,1,,林 安可,0,,投手交代:高野脩→ロング守備変更:井上→レフト小島→代打:林安可ファーストゴロ 1アウト
8回表,2,6.0,平沢 大河,1,,ショートフライ 2アウト
8回表,3,7.0,石井 一成,2,,センターへのヒット 一塁
8回表,4,8.0,源田 壮亮,2,1塁,一塁走者石井:積極的に初球から盗塁を試みるもアウト 3アウト
8回裏,1,3.0,池田 来翔,0,,ピッチャー甲斐野に代わって篠原がマウンドにあがる　守備交代:キャッチャー古賀悠見逃し三振でバッターアウト！ 1アウト
8回裏,2,4.0,ソト,1,,レフトへのヒットで出塁 一塁
8回裏,3,,ポランコ,1,1塁,井上→代打:ポランコ外角高めのチェンジアップを打つもライトフライ 2アウト
8回裏,4,6.0,愛斗,2,1塁,一塁走者ソト→代走:和田高めのストレートを打つもレフトフライ 3アウト
9回表,1,8.0,源田 壮亮,0,,守備交代:サード宮崎竜守備変更:池田サード→ファースト　守備変更:和田→レフト内角のストレートを打つもセンターフライ 1アウト
9回表,2,9.0,滝澤 夏央,1,,センターへのヒットを放つ 一塁
9回表,3,1.0,カナリオ,1,1塁,内角低めのストレートを打つもライトフライ 2アウト
9回表,4,2.0,西川 愛也,2,1塁,一塁けん制:ランナー滝澤帰塁また一塁けん制:ランナー滝澤帰塁またも一塁けん制:ランナー滝澤帰塁セカンドゴロ 3アウト
9回裏,1,7.0,友杉 篤輝,0,,ピッチャー篠原に代わって岩城がマウンドにあがる　守備交代:ライト長谷川守備交代:レフト岸空振りの三振を喫する 1アウト
9回裏,2,,石川 慎吾,1,,田村→代打:石川慎空振り三振 2アウト
9回裏,3,9.0,小川 龍成,2,,ショートへの内野安打 一塁
9回裏,4,1.0,藤原 恭大,2,1塁,一発出れば逆転サヨナラの場面で空振り三振 3アウト試合終了
