イニング,打席順,打順,選手名,アウト,ランナー,本文
1回表,1,1.0,カストロ,0,,詰まった打球はファーストゴロとなる 1アウト
1回表,2,2.0,淺間 大基,1,,内角の真っ直ぐを打つもセカンドライナー 2アウト
1回表,3,3.0,大塚 瑠晏,2,,低めの球を打つもセンターフライ 3アウト
1回裏,1,1.0,中島 大輔,0,,ファーストゴロ 1アウト
1回裏,2,2.0,辰己 涼介,1,,見逃し三振 2アウト
1回裏,3,3.0,黒川 史陽,2,,内角低めの球を打つもレフトフライ 3アウト
2回表,1,4.0,郡司 裕也,0,,ショートへの内野安打 一塁
2回表,2,5.0,レイエス,0,1塁,4-6-3のダブルプレー 2アウト
2回表,3,6.0,清宮 幸太郎,2,,外角低めの落ちる球を打つもライトフライ 3アウト
2回裏,1,4.0,浅村 栄斗,0,,見逃し三振 1アウト
2回裏,2,5.0,村林 一輝,1,,サードゴロ 2アウト
2回裏,3,6.0,平良 竜哉,2,,見逃し三振 3アウト
3回表,1,7.0,水野 達稀,0,,ファーストゴロ 1アウト
3回表,2,8.0,細川 凌平,1,,ライトへのヒットで出塁 一塁
3回表,3,9.0,進藤 勇也,1,1塁,一塁けん制:ランナー細川帰塁一塁けん制:ランナー細川帰塁また一塁けん制:ランナー細川帰塁低めの落ちる球を打つもレフトフライ 2アウト
3回表,4,1.0,カストロ,2,1塁,一塁けん制:ランナー細川帰塁一塁走者細川:盗塁を試みるもアウト 3アウト
3回裏,1,7.0,ゴンザレス,0,,低めの真っ直ぐを打つもライトフライ 1アウト
3回裏,2,8.0,伊藤 裕季也,1,,空振りの三振を喫する 2アウト
3回裏,3,9.0,太田 光,2,,サードへボテボテの内野安打 一塁
3回裏,4,1.0,中島 大輔,2,1塁,ファウルフライを水野(遊)が捕球してバッターアウト 3アウト
4回表,1,1.0,カストロ,0,,1-1からレフトスタンドへの先制ホームラン！ 楽 0-1 日0:58【4回表】確信の一振り!! ファイターズ・カストロ 完璧に捉え先制のソロホームランを放つ!! 2026年5月5日 東北楽天ゴールデンイーグルス 対 北海道日本ハムファイターズ
4回表,2,2.0,淺間 大基,0,,空振り三振でバッターアウト 1アウト
4回表,3,3.0,大塚 瑠晏,1,,見逃し三振 2アウト
4回表,4,4.0,郡司 裕也,2,,内角高めの真っ直ぐを打つもライトフライ 3アウト
4回裏,1,2.0,辰己 涼介,0,,外角のスライダーを打つもレフトフライ 1アウト
4回裏,2,3.0,黒川 史陽,1,,外角低めのスライダーを打つもレフトフライ 2アウト
4回裏,3,4.0,浅村 栄斗,2,,見逃し三振 3アウト
5回表,1,5.0,レイエス,0,,ショートゴロ 1アウト
5回表,2,6.0,清宮 幸太郎,1,,フルカウントからスタンド中段に飛び込むホームランを放つ 楽 0-2 日
5回表,3,7.0,水野 達稀,1,,高めの球を打つもセンターフライ 2アウト
5回表,4,8.0,細川 凌平,2,,ショートフライ 3アウト
5回裏,1,5.0,村林 一輝,0,,サードゴロ 1アウト
5回裏,2,6.0,平良 竜哉,1,,0-1からライトスタンドへのホームラン 楽 1-2 日0:55【5回裏】2試合連続アーチ!! 平良竜哉 逆方向へ反撃の一打となるソロホームランを放つ!! 2026年5月5日 東北楽天ゴールデンイーグルス 対 北海道日本ハムファイターズ
5回裏,3,7.0,ゴンザレス,1,,ワンバウンドした球に空振り、三振を喫する 2アウト
5回裏,4,8.0,伊藤 裕季也,2,,ワンバウンドした球を空振り三振 3アウト
6回表,1,9.0,進藤 勇也,0,,外角低めのストレートを打つもライトフライ 1アウト
6回表,2,1.0,カストロ,1,,ショートゴロ 2アウト
6回表,3,2.0,淺間 大基,2,,ワンバウンドした球に空振り、三振を喫する 3アウト
6回裏,1,9.0,太田 光,0,,サードゴロ 1アウト
6回裏,2,1.0,中島 大輔,1,,ワンバウンドした球に空振り、三振を喫する 2アウト
6回裏,3,2.0,辰己 涼介,2,,空振りの三振を喫する 3アウト
7回表,1,3.0,大塚 瑠晏,0,,空振り三振でバッターアウト 1アウト
7回表,2,4.0,郡司 裕也,1,,セカンドへの内野安打 一塁
7回表,3,5.0,レイエス,1,1塁,粘りを見せて8球目に四球を選ぶ 一二塁
7回表,4,6.0,清宮 幸太郎,1,"1,2塁",－楽天:コーチマウンドへむかう－内角のストレートを打つもセンターフライ 2アウト
7回表,5,7.0,水野 達稀,2,"1,2塁",四球を選ぶ 満塁
7回表,6,8.0,細川 凌平,2,満塁,低めの球を打つもレフトフライ 3アウト
7回裏,1,3.0,黒川 史陽,0,,低めのストレートをレフトへ打ってヒット 一塁
7回裏,2,4.0,浅村 栄斗,0,1塁,0-1からライトスタンドへの2ランホームランで楽天逆転！ 楽 3-2 日1:17【7回裏】逆方向へ運んだ!! イーグルス・浅村栄斗 試合をひっくり返す逆転2ランHR!! 2026年5月5日 東北楽天ゴールデンイーグルス 対 北海道日本ハムファイターズ
7回裏,3,5.0,村林 一輝,0,,見逃し三振 1アウト
7回裏,4,6.0,平良 竜哉,1,,セカンドゴロ 2アウト
7回裏,5,7.0,ゴンザレス,2,,空振りの三振を喫する 3アウト
8回表,1,9.0,進藤 勇也,0,,ピッチャー荘司に代わって加治屋がマウンドにあがる　守備交代:ライト小郷守備変更:中島ライト→レフトフォアボールを選ぶ 一塁
8回表,2,1.0,カストロ,0,1塁,一塁走者進藤→代走:矢澤一塁けん制:ランナー矢澤帰塁また一塁けん制:ランナー矢澤帰塁またも一塁けん制:ランナー矢澤帰塁日本ハム・矢澤の二塁盗塁セーフの判定を巡り、楽天がリクエストリプレー検証後判定覆る一塁走者矢澤:盗塁を試みるもアウト 1アウトワンバウンドした球を空振り三振 2アウト
8回表,3,,万波 中正,2,,淺間→代打:万波代打で登場するも見逃し三振に倒れる 3アウト
8回裏,1,8.0,小郷 裕哉,0,,守備交代:キャッチャー田宮守備変更:万波→ライト　守備変更:細川ライト→レフト低めのストレートを打つもレフトフライ 1アウト
8回裏,2,9.0,太田 光,1,,セカンドゴロ 2アウト
8回裏,3,1.0,中島 大輔,2,,セカンドゴロ 3アウト
9回表,1,3.0,大塚 瑠晏,0,,ピッチャー加治屋に代わって藤平がマウンドにあがる　守備交代:セカンド小深田サードへのファウルフライに倒れる 1アウト
9回表,2,4.0,郡司 裕也,1,,センターへのヒットを放つ 一塁
9回表,3,5.0,レイエス,1,1塁,一塁走者郡司→代走:五十幡一塁けん制:ランナー五十幡帰塁ダブルプレー 3アウト試合終了
