イニング,打席順,打順,選手名,アウト,ランナー,本文
1回表,1,1.0,周東 佑京,0,,ショートゴロ 1アウト
1回表,2,2.0,近藤 健介,1,,四球 一塁
1回表,3,3.0,牧原 大成,1,1塁,ワンバウンドした球を空振り三振 2アウト
1回表,4,4.0,栗原 陵矢,2,1塁,センターへのヒットで出塁 一三塁
1回表,5,5.0,柳町 達,2,"1,3塁",一打先制の場面でセカンドゴロ 3アウト
1回裏,1,1.0,カナリオ,0,,外角のストレートを打つもライトフライ 1アウト
1回裏,2,2.0,西川 愛也,1,,ハーフスイングを取られて三球三振 2アウト
1回裏,3,3.0,渡部 聖弥,2,,外角高めの真っ直ぐを打つもライトフライ 3アウト
2回表,1,6.0,山川 穂高,0,,見逃し三振でバッターアウト！ 1アウト
2回表,2,7.0,笹川 吉康,1,,フォアボールを選ぶ 一塁
2回表,3,8.0,海野 隆司,1,1塁,一塁けん制:ランナー笹川帰塁一塁走者笹川:盗塁を試みるもアウト 2アウト外角のカットボールを打つもセンターフライ 3アウト
2回裏,1,4.0,ネビン,0,,フォアボールを選ぶ 一塁
2回裏,2,5.0,林 安可,0,1塁,内角高めのカットボールを打つもライトフライ 1アウト
2回裏,3,6.0,平沢 大河,1,1塁,山川(一)のファンブルにより出塁する 一二塁
2回裏,4,7.0,古賀 悠斗,1,"1,2塁",1アウト一二塁の1-1からレフトスタンドへの先制3ランホームラン！ 西 3-0 ソ1:02【2回裏】今季第1号!! ライオンズ・古賀悠斗 レフトスタンドへの先制3ランホームラン!! 2026年5月5日 埼玉西武ライオンズ 対 福岡ソフトバンクホークス
2回裏,5,8.0,石井 一成,1,,高めの真っ直ぐを打つもセンターフライ 2アウト
2回裏,6,9.0,源田 壮亮,2,,空振り三振でバッターアウト 3アウト
3回表,1,9.0,庄子 雄大,0,,高めの真っ直ぐを打つもセンターフライ 1アウト
3回表,2,1.0,周東 佑京,1,,レフトへのヒットで出塁 一塁
3回表,3,2.0,近藤 健介,1,1塁,一塁走者周東:盗塁成功 二塁1アウト二塁の1-1から右中間への2ランホームラン 西 3-2 ソ0:50【3回表】完璧に捉えた!! ホークス・近藤健介 ライトスタンドへ運ぶ2ランホームラン!! 2026年5月5日 埼玉西武ライオンズ 対 福岡ソフトバンクホークス
3回表,4,3.0,牧原 大成,1,,ショートゴロ 2アウト
3回表,5,4.0,栗原 陵矢,2,,ライトへのヒット 一塁
3回表,6,5.0,柳町 達,2,1塁,見逃し三振 3アウト
3回裏,1,1.0,カナリオ,0,,センターへのヒットを放つ 一塁
3回裏,2,2.0,西川 愛也,0,1塁,一塁けん制:ランナーカナリオ帰塁一塁けん制:ランナーカナリオ帰塁ピッチャー松本晴のグラブをはじくもセカンドゴロに倒れる 1アウト一塁
3回裏,3,3.0,渡部 聖弥,1,1塁,西武・渡部の一塁アウトの判定を巡り、西武がリクエストリプレー検証後判定覆るサードゴロ 2アウト一塁
3回裏,4,4.0,ネビン,2,1塁,ワンバウンドした球に空振り、三振を喫する 3アウト
4回表,1,6.0,山川 穂高,0,,高めの球を打つもセンターフライ 1アウト
4回表,2,7.0,笹川 吉康,1,,空振り三振でバッターアウト 2アウト
4回表,3,8.0,海野 隆司,2,,空振り三振でバッターアウト 3アウト
4回裏,1,5.0,林 安可,0,,セカンドフライ 1アウト
4回裏,2,6.0,平沢 大河,1,,高めのスライダーを打つもライトフライ 2アウト
4回裏,3,7.0,古賀 悠斗,2,,四球を選ぶ 一塁
4回裏,4,8.0,石井 一成,2,1塁,ワンバウンドした球を空振り三振 3アウト
5回表,1,9.0,庄子 雄大,0,,センターへのツーベース 二塁
5回表,2,1.0,周東 佑京,0,2塁,0アウト二塁の1-2から同点のタイムリーツーベース！ 西 3-3 ソ 二塁
5回表,3,2.0,近藤 健介,0,2塁,ストレートのフォアボールで出塁 一二塁
5回表,4,3.0,牧原 大成,0,"1,2塁",見事送りバントを成功させる 1アウト二三塁
5回表,5,4.0,栗原 陵矢,1,"2,3塁",－西武:コーチマウンドへむかう－満塁策で敬遠される 満塁
5回表,6,5.0,柳町 達,1,満塁,1アウト満塁の3-1からセンターへの勝ち越しタイムリーツーベース！ 西 3-5 ソ 二三塁0:57【5回表】遂に勝ち越し!! ホークス・柳町達 右中間を破る2点タイムリー2ベースヒット!! 2026年5月5日 埼玉西武ライオンズ 対 福岡ソフトバンクホークス
5回表,7,6.0,山川 穂高,1,"2,3塁",ランナー二三塁からセンターへの犠牲フライを放つ 西 3-6 ソ 2アウト二塁
5回表,8,7.0,笹川 吉康,2,2塁,カウント0-2から空振りの三振を喫する 3アウト
5回裏,1,9.0,源田 壮亮,0,,粘りを見せて9球目にフォアボールを選ぶ 一塁
5回裏,2,1.0,カナリオ,0,1塁,一塁けん制:ランナー源田帰塁外角のチェンジアップを打つもセンターフライ 1アウト
5回裏,3,2.0,西川 愛也,1,1塁,センターへのヒットを放つ 一二塁
5回裏,4,3.0,渡部 聖弥,1,"1,2塁",－ソフトバンク:コーチマウンドへむかう－1アウト一二塁の0-1からセンターへタイムリーツーベース！ 西 4-6 ソ 二三塁
5回裏,5,4.0,ネビン,1,"2,3塁",－ソフトバンク:監督マウンドへむかう－投手交代:松本晴→上茶谷空振り三振 2アウト
5回裏,6,5.0,林 安可,2,"2,3塁",ストレートのフォアボールで出塁 満塁
5回裏,7,6.0,平沢 大河,2,満塁,－ソフトバンク:コーチマウンドへむかう－低めのスライダーを打つもレフトフライ 3アウト
6回表,1,8.0,海野 隆司,0,,投手交代:渡邉→中村祐空振り三振でバッターアウト 1アウト
6回表,2,9.0,庄子 雄大,1,,フォアボール 一塁
6回表,3,1.0,周東 佑京,1,1塁,一塁けん制:ランナー庄子帰塁また一塁けん制:ランナー庄子帰塁ピッチャーゴロ 2アウト二塁
6回表,4,2.0,近藤 健介,2,2塁,ストレートのフォアボールで出塁 一二塁
6回表,5,3.0,牧原 大成,2,"1,2塁",全く手が出ず見逃し三振でバッターアウト 3アウト
6回裏,1,7.0,古賀 悠斗,0,,投手交代:上茶谷→ヘルナンデス空振り三振でバッターアウト 1アウト
6回裏,2,8.0,石井 一成,1,,詰まった打球はセカンドゴロ 2アウト
6回裏,3,9.0,源田 壮亮,2,,ボテボテのセカンドゴロ 3アウト
