イニング,打席順,打順,選手名,アウト,ランナー,本文
1回表,1,1.0,並木 秀尊,0,,レフトスタンドへのホームランでヤクルト先制！ 巨 0-1 ヤ
1回表,2,2.0,サンタナ,0,,フォアボールを選ぶ 一塁
1回表,3,3.0,鈴木 叶,0,1塁,ショートゴロ 1アウト一塁
1回表,4,4.0,内山 壮真,1,1塁,フォアボールを選ぶ 一二塁
1回表,5,5.0,増田 珠,1,"1,2塁",1アウト一二塁の1-1からレフトへのタイムリーヒット 巨 0-2 ヤ 一二塁
1回表,6,6.0,武岡 龍世,1,"1,2塁",空振り三振でバッターアウト 2アウト
1回表,7,7.0,北村 恵吾,2,"1,2塁",カウント2-2から空振りの三振を喫する 3アウト
1回裏,1,1.0,キャベッジ,0,,ハーフスイングを取られて空振り三振でバッターアウト 1アウト
1回裏,2,2.0,松本 剛,1,,サードゴロ 2アウト
1回裏,3,3.0,泉口 友汰,2,,セカンドへの内野安打 一塁
1回裏,4,4.0,ダルベック,2,1塁,ど真ん中の変化球を打つもセンターフライ 3アウト
2回表,1,8.0,山野 太一,0,,ショートゴロ 1アウト
2回表,2,9.0,伊藤 琉偉,1,,内角高めのストレートを打つもレフトフライ 2アウト
2回表,3,1.0,並木 秀尊,2,,内角のストレートを打つもレフトフライ 3アウト
2回裏,1,5.0,大城 卓三,0,,ピッチャーゴロ 1アウト
2回裏,2,6.0,増田 陸,1,,空振りの三振を喫する 2アウト
2回裏,3,7.0,若林 楽人,2,,ショートへの内野安打 一塁
2回裏,4,8.0,吉川 尚輝,2,1塁,外角高めのストレートを打つもセンターフライ 3アウト
3回表,1,2.0,サンタナ,0,,ショートフライ 1アウト
3回表,2,3.0,鈴木 叶,1,,高めの球を打つもセンターフライ 2アウト
3回表,3,4.0,内山 壮真,2,,四球を選ぶ 一塁
3回表,4,5.0,増田 珠,2,1塁,ど真ん中のストレートを打つもライトフライ 3アウト
3回裏,1,9.0,竹丸 和幸,0,,空振りの三振を喫する 1アウト
3回裏,2,1.0,キャベッジ,1,,高めの変化球を打つもライトフライ 2アウト
3回裏,3,2.0,松本 剛,2,,空振りの三振を喫する 3アウト
4回表,1,6.0,武岡 龍世,0,,空振り三振でバッターアウト 1アウト
4回表,2,7.0,北村 恵吾,1,,セカンドゴロ 2アウト
4回表,3,8.0,山野 太一,2,,一度もバットを振ることなく三球三振 3アウト
4回裏,1,3.0,泉口 友汰,0,,センターへのヒットで出塁 一塁
4回裏,2,4.0,ダルベック,0,1塁,6-4-3のダブルプレー 2アウト
4回裏,3,5.0,大城 卓三,2,,フォアボールを選ぶ 一塁
4回裏,4,6.0,増田 陸,2,1塁,センターへのヒットを放つ 一二塁
4回裏,5,7.0,若林 楽人,2,"1,2塁",たたきつける打球で内野安打 満塁
4回裏,6,8.0,吉川 尚輝,2,満塁,山野のカットボールを引っかけファーストゴロ 3アウト
5回表,1,9.0,伊藤 琉偉,0,,サードゴロ 1アウト
5回表,2,1.0,並木 秀尊,1,,セカンドゴロ 2アウト
5回表,3,2.0,サンタナ,2,,サードゴロ 3アウト
5回裏,1,9.0,竹丸 和幸,0,,ボテボテのピッチャーゴロ 1アウト
5回裏,2,1.0,キャベッジ,1,,セカンドゴロ 2アウト
5回裏,3,2.0,松本 剛,2,,外角低めのフォークを打つもセンターフライ 3アウト
6回表,1,3.0,鈴木 叶,0,,全く手が出ず見逃し三振 1アウト
6回表,2,4.0,内山 壮真,1,,3-1からスタンド中段に飛び込むホームランを放つ 巨 0-3 ヤ
6回表,3,5.0,増田 珠,1,,レフトへのヒットで出塁 一塁
6回表,4,6.0,武岡 龍世,1,1塁,－巨人:コーチマウンドへむかう－外角高めのスライダーを打つもショートライナー 2アウト0:375/6【巨人vsヤクルト】6回表 泉口のファインプレー！左中間への強烈な一打をジャンプ一番で華麗にキャッチ！
6回表,5,7.0,北村 恵吾,2,1塁,低めのストレートを打つもレフトフライ 3アウト
6回裏,1,3.0,泉口 友汰,0,,高めの球を打つもライトフライ 1アウト
6回裏,2,4.0,ダルベック,1,,見逃し三振でバッターアウト！ 2アウト
6回裏,3,5.0,大城 卓三,2,,セカンドフライ 3アウト
7回表,1,,中村 悠平,0,,山野→代打:中村悠サードゴロ 1アウト
7回表,2,9.0,伊藤 琉偉,1,,レフトへのツーベース 二塁
7回表,3,1.0,並木 秀尊,1,2塁,ランナー二塁からレフトへのヒットを放つ 一三塁
7回表,4,2.0,サンタナ,1,"1,3塁",一塁けん制:ランナー並木帰塁一塁走者並木:盗塁成功 二三塁空振り三振でバッターアウト 2アウト
7回表,5,3.0,鈴木 叶,2,"2,3塁",2アウト二三塁の0-2からライトへのタイムリースリーベース！ 巨 0-5 ヤ 三塁
7回表,6,4.0,内山 壮真,2,3塁,投手交代:竹丸→田和外角低めのストレートを打つもライトフライ 3アウト
7回裏,1,6.0,増田 陸,0,,投手交代:山野→荘司守備交代:ライト丸山和守備変更:増田ライト→レフト空振り三振 1アウト
7回裏,2,7.0,若林 楽人,1,,ショートゴロ 2アウト
7回裏,3,8.0,吉川 尚輝,2,,ショートゴロ 3アウト
8回表,1,5.0,増田 珠,0,,投手交代:田和→宮原粘りを見せて8球目にフォアボールを選ぶ 一塁
8回表,2,6.0,武岡 龍世,0,1塁,レフトへのヒットを放つ 一二塁
8回表,3,7.0,北村 恵吾,0,"1,2塁",ダブルプレー 2アウト二塁
8回表,4,8.0,丸山 和郁,2,2塁,2アウト二塁からど真ん中の球を打つもショートライナー 3アウト
8回裏,1,,浦田 俊輔,0,,投手交代:荘司→廣澤宮原→代打:浦田セカンドゴロ 1アウト
8回裏,2,1.0,キャベッジ,1,,ライトへのヒットを放つ 一塁
8回裏,3,,佐々木 俊輔,1,1塁,松本→代打:佐々木空振りの三振を喫する 2アウト
8回裏,4,3.0,泉口 友汰,2,1塁,一塁走者キャベッジ:盗塁を試みるもアウト 3アウト
9回表,1,9.0,伊藤 琉偉,0,,投手交代:宮原→石川守備変更:佐々木→センター外角の球を打つもライトフライ 1アウト
9回表,2,1.0,並木 秀尊,1,,空振り三振でバッターアウト 2アウト
9回表,3,,澤井 廉,2,,廣澤→代打:澤井ショートへのファウルフライに倒れる 3アウト
9回裏,1,3.0,泉口 友汰,0,,投手交代:廣澤→星見逃し三振でバッターアウト！ 1アウト
9回裏,2,4.0,ダルベック,1,,高めの球を打つもライトフライ 2アウト
9回裏,3,5.0,大城 卓三,2,,空振りの三振を喫する 3アウト試合終了
