イニング,打席順,打順,選手名,アウト,ランナー,本文
1回表,1,1.0,並木 秀尊,0,,ボテボテのピッチャーゴロ 1アウト
1回表,2,2.0,サンタナ,1,,レフトへのヒットを放つ 一塁
1回表,3,3.0,古賀 優大,1,1塁,カウント0-1からライトへのタイムリースリーベースでヤクルト先制！ 広 0-1 ヤ 三塁
1回表,4,4.0,内山 壮真,1,3塁,空振りの三振を喫する 2アウト
1回表,5,5.0,武岡 龍世,2,3塁,2アウト三塁から外角の変化球を打つもセカンドライナー 3アウト
1回裏,1,1.0,秋山 翔吾,0,,当てるだけのバッティングでセカンドゴロ 1アウト
1回裏,2,2.0,菊池 涼介,1,,セカンドフライ 2アウト
1回裏,3,3.0,小園 海斗,2,,ど真ん中のストレートを打つもレフトフライ 3アウト
2回表,1,6.0,増田 珠,0,,ライトへのツーベース 二塁
2回表,2,7.0,澤井 廉,0,2塁,空振り三振でバッターアウト 1アウト
2回表,3,8.0,高梨 裕稔,1,2塁,空振りの三振を喫する 2アウト
2回表,4,9.0,田中 陽翔,2,2塁,セカンドゴロ 3アウト
2回裏,1,4.0,坂倉 将吾,0,,ファーストへの強烈な打球の内野安打 一塁
2回裏,2,5.0,野間 峻祥,0,1塁,田中(三)の後逸により出塁する 一二塁
2回裏,3,6.0,平川 蓮,0,"1,2塁",0アウト一二塁から外角の球を打つもレフトフライ 1アウト
2回裏,4,7.0,矢野 雅哉,1,"1,2塁",ど真ん中の球を打つもライトフライ 2アウト
2回裏,5,8.0,持丸 泰輝,2,"1,2塁",フルカウントからワンバウンドした球に空振り、三振を喫する 3アウト
3回表,1,1.0,並木 秀尊,0,,詰まった打球はファーストゴロ 1アウト
3回表,2,2.0,サンタナ,1,,空振り三振でバッターアウト 2アウト
3回表,3,3.0,古賀 優大,2,,内角の球を打つもレフトフライ 3アウト
3回裏,1,9.0,森下 暢仁,0,,ショートゴロ 1アウト
3回裏,2,1.0,秋山 翔吾,1,,ショートフライ 2アウト
3回裏,3,2.0,菊池 涼介,2,,泳ぎながらもレフトへヒットを放つ 一塁
3回裏,4,3.0,小園 海斗,2,1塁,一塁けん制:ランナー菊池帰塁外角のカーブを打つもレフトフライ 3アウト
4回表,1,4.0,内山 壮真,0,,レフトへのヒットを放つ 一塁
4回表,2,5.0,武岡 龍世,0,1塁,一塁けん制:ランナー内山帰塁一塁けん制:ランナー内山帰塁ボテボテのピッチャーゴロ 1アウト二塁
4回表,3,6.0,増田 珠,1,2塁,小園(三)のファンブルにより出塁する 一二塁
4回表,4,7.0,澤井 廉,1,"1,2塁",ショートフライ 2アウト
4回表,5,8.0,高梨 裕稔,2,"1,2塁",2アウト一二塁の0-1からセンターへのタイムリーヒット 広 0-2 ヤ 一二塁
4回表,6,9.0,田中 陽翔,2,"1,2塁",－広島:コーチマウンドへむかう－ランナー一二塁からセカンドゴロ 3アウト
4回裏,1,4.0,坂倉 将吾,0,,0-1から右中間へのホームラン 広 1-2 ヤ
4回裏,2,5.0,野間 峻祥,0,,ショートフライ 1アウト
4回裏,3,6.0,平川 蓮,1,,ファーストゴロ 2アウト
4回裏,4,7.0,矢野 雅哉,2,,ワンバウンドした球を空振り三振 3アウト
5回表,1,1.0,並木 秀尊,0,,外角のカットボールをセンターへ打ってヒット 一塁
5回表,2,2.0,サンタナ,0,1塁,一塁けん制:ランナー並木帰塁また一塁けん制:ランナー並木帰塁一塁けん制:ランナー並木帰塁一塁走者並木:盗塁成功 二塁空振り三振でバッターアウト 1アウト
5回表,3,3.0,古賀 優大,1,2塁,森下(投):暴投 三塁ランナー三塁の3-0からレフトへのタイムリーヒット 広 1-3 ヤ 一塁
5回表,4,4.0,内山 壮真,1,1塁,一塁けん制:ランナー古賀帰塁ライトへのヒットを放つ 一二塁
5回表,5,5.0,武岡 龍世,1,"1,2塁",－広島:コーチマウンドへむかう－四球を選ぶ。ピッチャー森下にとって痛いフォアボールとなる 満塁
5回表,6,6.0,増田 珠,1,満塁,サードゴロ 2アウト満塁
5回表,7,7.0,澤井 廉,2,満塁,外角高めのフォークを打つもレフトフライ 3アウト
5回裏,1,8.0,持丸 泰輝,0,,守備交代:ファースト茂木センターへのツーベース 二塁
5回裏,2,,林 晃汰,0,2塁,森下→代打:林ランナー二塁から外角高めの球を打つもレフトフライ 1アウト
5回裏,3,1.0,秋山 翔吾,1,2塁,当てるだけのバッティングでピッチャーゴロ 2アウト三塁
5回裏,4,2.0,菊池 涼介,2,3塁,カウント2-2からワンバウンドした球を空振り三振 3アウト
6回表,1,8.0,高梨 裕稔,0,,投手交代:森下→辻見逃し三振でバッターアウト！ 1アウト
6回表,2,9.0,田中 陽翔,1,,空振り三振でバッターアウト 2アウト
6回表,3,1.0,並木 秀尊,2,,ど真ん中のストレートを打つもショートライナー 3アウト
6回裏,1,3.0,小園 海斗,0,,守備交代:ショート伊藤守備変更:武岡ショート→サード外角低めのフォークをレフトへ打ってヒット 一塁
6回裏,2,4.0,坂倉 将吾,0,1塁,一塁けん制:ランナー小園帰塁見逃し三振！一塁走者小園も盗塁失敗でダブルプレー 2アウト
6回裏,3,5.0,野間 峻祥,2,,セカンドフライ 3アウト
7回表,1,2.0,サンタナ,0,,投手交代:辻→遠藤粘りを見せて8球目に四球を選ぶ 一塁
7回表,2,3.0,古賀 優大,0,1塁,一塁走者サンタナ→代走:岩田一塁けん制:ランナー岩田帰塁一塁けん制:ランナー岩田帰塁ど真ん中の球を打つもライトフライ 1アウト
7回表,3,4.0,内山 壮真,1,1塁,一塁走者岩田:盗塁を試みるもアウト 2アウト7球粘るも外角高めのストレートに空振り三振 3アウト
7回裏,1,6.0,平川 蓮,0,,ピッチャー高梨に代わって荘司がマウンドにあがる　守備変更:並木センター→レフト　守備変更:岩田→センター7球粘るも内角低めの変化球に空振り三振 1アウト
7回裏,2,7.0,矢野 雅哉,1,,空振りの三振を喫する 2アウト
7回裏,3,8.0,持丸 泰輝,2,,外角低めの球を打つもセンターフライ 3アウト
8回表,1,5.0,武岡 龍世,0,,内角のカットボールをレフトへ打ってヒット 一塁
8回表,2,6.0,増田 珠,0,1塁,一塁けん制:ランナー武岡帰塁空振り三振でバッターアウト 1アウト
8回表,3,7.0,茂木 栄五郎,1,1塁,一塁けん制:ランナー武岡帰塁見事送りバントを決める 2アウト二塁
8回表,4,,中村 悠平,2,2塁,荘司→代打:中村悠2アウト二塁からサードゴロ 3アウト
8回裏,1,,勝田 成,0,,ピッチャー荘司に代わって星がマウンドにあがる遠藤→代打:勝田センターへのヒットで出塁 一塁
8回裏,2,1.0,秋山 翔吾,0,1塁,ファウルフライを武岡(三)がつかんでバッターアウト 1アウト
8回裏,3,2.0,菊池 涼介,1,1塁,一塁けん制:ランナー勝田帰塁一塁けん制:ランナー勝田帰塁レフトへのヒットで出塁 一二塁
8回裏,4,3.0,小園 海斗,1,"1,2塁",－ヤクルト:コーチマウンドへむかう－ランナー一二塁から外角高めの球を打つもセンターフライ岩田(中):悪送球 2アウト二三塁
8回裏,5,4.0,坂倉 将吾,2,"2,3塁",満塁策で敬遠される 満塁
8回裏,6,5.0,野間 峻祥,2,満塁,一打同点の場面で高めのストレートを打つもセンターフライ 3アウト
9回表,1,9.0,伊藤 琉偉,0,,投手交代:遠藤→鈴木センターへの三塁打 三塁
9回表,2,1.0,並木 秀尊,0,3塁,詰まった打球はピッチャーゴロ 1アウト
9回表,3,2.0,岩田 幸宏,1,3塁,ランナー三塁の2-0から見事スクイズを成功させる 広 1-4 ヤ 一塁
9回表,4,3.0,古賀 優大,1,1塁,一塁けん制:ランナー岩田帰塁ヤクルト・岩田の二塁アウトの判定を巡り、ヤクルトがリクエストリプレー検証後判定変わらずショートゴロ 2アウト一塁
9回表,5,4.0,内山 壮真,2,1塁,ショートゴロ 3アウト
9回裏,1,6.0,平川 蓮,0,,ピッチャー星に代わってキハダがマウンドにあがる空振りの三振を喫する 1アウト
9回裏,2,,前川 誠太,1,,矢野→代打:前川低めの球を打つもライトフライ 2アウト
9回裏,3,8.0,持丸 泰輝,2,,四球を選ぶ 一塁
9回裏,4,,モンテロ,2,1塁,鈴木→代打:モンテロ内角のストレートを打つもレフトフライ 3アウト試合終了
