イニング,打席順,打順,選手名,アウト,ランナー,本文
1回表,1,1.0,カストロ,0,,ショートフライ 1アウト
1回表,2,2.0,郡司 裕也,1,,空振り三振でバッターアウト 2アウト
1回表,3,3.0,清宮 幸太郎,2,,センターへのヒットを放つ 一塁
1回表,4,4.0,レイエス,2,1塁,ショートゴロ 3アウト
1回裏,1,1.0,宗 佑磨,0,,ショートフライ 1アウト
1回裏,2,2.0,渡部 遼人,1,,見逃し三振 2アウト
1回裏,3,3.0,西川 龍馬,2,,ショートゴロ 3アウト
2回表,1,5.0,野村 佑希,0,,空振りの三振を喫する 1アウト
2回表,2,6.0,矢澤 宏太,1,,フェンス直撃のスリーベースを放つ 三塁
2回表,3,7.0,万波 中正,1,3塁,ワンバウンドした球に空振り、三振を喫する 2アウト
2回表,4,8.0,水野 達稀,2,3塁,一打先制の場面でサードフライ 3アウト
2回裏,1,4.0,中川 圭太,0,,空振り三振 1アウト
2回裏,2,5.0,森 友哉,1,,フォアボールを選ぶ 一塁
2回裏,3,6.0,太田 椋,1,1塁,バットを折りながらもセンターへヒットを放つ 一三塁
2回裏,4,7.0,シーモア,1,"1,3塁",1アウト一三塁の1-1からライトへの犠牲フライを放つオリックス先制！ オ 1-0 日 2アウト一塁
2回裏,5,8.0,若月 健矢,2,1塁,サードゴロ 3アウト
3回表,1,9.0,田宮 裕涼,0,,外角低めの球を打つもレフトフライ 1アウト
3回表,2,1.0,カストロ,1,,詰まりながらもセンターへヒットを放つ 一塁
3回表,3,2.0,郡司 裕也,1,1塁,一塁けん制:ランナーカストロ帰塁高めの球を打つもセンターフライ 2アウト
3回表,4,3.0,清宮 幸太郎,2,1塁,一塁けん制:ランナーカストロ帰塁セカンドへの痛烈な打球の内野安打 一三塁
3回表,5,4.0,レイエス,2,"1,3塁",－オリックス:コーチマウンドへむかう－2アウト一三塁の3-1からセンターへのタイムリーツーベースで日本ハム逆転！ オ 1-2 日 二塁0:59【3回表】逆転の一打!! ファイターズ・レイエス フェンス直撃の2点タイムリー2ベース!! 2026年5月8日 オリックス・バファローズ 対 北海道日本ハムファイターズ
3回表,6,5.0,野村 佑希,2,2塁,外角高めのストレートを引っかけてサードゴロ 3アウト
3回裏,1,9.0,紅林 弘太郎,0,,フェンス直撃のツーベースを放つ 二塁
