イニング,打席順,打順,選手名,アウト,ランナー,本文
1回表,1,1.0,鵜飼 航丞,0,,ワンバウンドした球を空振り三振 1アウト
1回表,2,2.0,高橋 周平,1,,7球粘るもど真ん中のストレートに見逃し三振 2アウト0:121回表、島田選手が150km/hのストレートで見逃し三振に斬って取る！
1回表,3,3.0,村松 開人,2,,全く反応できず見逃し三振でバッターアウト 3アウト0:121回表、島田選手が低めいっぱいのカーブで三者連続三振！
1回裏,1,1.0,蝦名 達夫,0,,外角のスライダーをレフトへ打ってヒット 一塁
1回裏,2,2.0,度会 隆輝,0,1塁,一塁けん制:ランナー蝦名帰塁センターへのヒットで出塁 一三塁
1回裏,3,3.0,筒香 嘉智,0,"1,3塁",0アウト一三塁の1-1から先制のタイムリーヒット！ デ 1-0 中 一二塁0:191回裏、筒香選手がセンター前へタイムリーヒットを放ち先制！
1回裏,4,4.0,佐野 恵太,0,"1,2塁",空振り三振 1アウト
1回裏,5,5.0,勝又 温史,1,"1,2塁",1アウト一二塁の1-0からレフトへ2点タイムリーツーベース！ デ 3-0 中 二塁0:181回裏、勝又選手の左中間を破るタイムリーツーベースヒットで追加点！
1回裏,6,6.0,京田 陽太,1,2塁,ランナー二塁からセカンドへの内野安打 一三塁
1回裏,7,7.0,林 琢真,1,"1,3塁",サードゴロの間にDeNA1点をあげる デ 4-0 中 2アウト一塁0:101回裏、林選手のサードゴロの間に3塁走者の勝又選手が生還！点差を広げる!!
1回裏,8,8.0,松尾 汐恩,2,1塁,一塁けん制:ランナー林帰塁一塁走者林:盗塁成功 二塁中西(投):暴投 三塁ランナー三塁の2-2からセカンドへのタイムリー内野安打 デ 5-0 中 一塁0:281回裏、松尾選手がセカンドへのタイムリー内野安打を放ち、1点を追加！
1回裏,9,9.0,島田 舜也,2,1塁,サードゴロ 3アウト
2回表,1,4.0,細川 成也,0,,レフトへのヒットを放つ 一塁
2回表,2,5.0,ボスラー,0,1塁,3-6-1のダブルプレー 2アウト
2回表,3,6.0,石伊 雄太,2,,ピッチャーゴロ 3アウト
2回裏,1,1.0,蝦名 達夫,0,,空振りの三振を喫する 1アウト
2回裏,2,2.0,度会 隆輝,1,,高めの球を打つもセンターフライ 2アウト
2回裏,3,3.0,筒香 嘉智,2,,7球粘った末に空振りの三振を喫する 3アウト
3回表,1,7.0,石川 昂弥,0,,ど真ん中のストレートを打つもライトフライ 1アウト
3回表,2,8.0,土田 龍空,1,,ファーストゴロ 2アウト
3回表,3,9.0,中西 聖輝,2,,空振り三振でバッターアウト 3アウト0:073回表、島田選手がインコースのストレートで空振り三振を奪う！
3回裏,1,4.0,佐野 恵太,0,,外角高めのストレートを引っかけてセカンドゴロ 1アウト
3回裏,2,5.0,勝又 温史,1,,外角低めの球を打つもセンターフライ 2アウト
3回裏,3,6.0,京田 陽太,2,,セカンドゴロ 3アウト
4回表,1,1.0,鵜飼 航丞,0,,レフトへのヒットで出塁 一塁
4回表,2,2.0,高橋 周平,0,1塁,低めのストレートを打つもレフトフライ 1アウト
4回表,3,3.0,村松 開人,1,1塁,一塁けん制:ランナー鵜飼帰塁併殺打 3アウト
4回裏,1,7.0,林 琢真,0,,ワンバウンドした球に空振り、三振を喫する 1アウト
4回裏,2,8.0,松尾 汐恩,1,,セカンドフライ 2アウト
4回裏,3,9.0,島田 舜也,2,,一度もバットを振ることなく三球三振 3アウト
5回表,1,4.0,細川 成也,0,,空振り三振でバッターアウト 1アウト0:205回表、島田選手がカーブを振らせて3球三振！
5回表,2,5.0,ボスラー,1,,空振りの三振を喫する 2アウト0:145回表、島田選手が落差のあるフォークで二者連続の3球三振‼
5回表,3,6.0,石伊 雄太,2,,空振り三振でバッターアウト 3アウト0:145回表、島田選手が低めのフォークを振らせて三者連続の3球三振‼イマキュレートイニング達成！
5回裏,1,1.0,蝦名 達夫,0,,フォアボールを選ぶ 一塁
5回裏,2,2.0,度会 隆輝,0,1塁,ピッチャーゴロ 1アウト二塁
5回裏,3,3.0,筒香 嘉智,1,2塁,見逃し三振でバッターアウト！ 2アウト
5回裏,4,4.0,佐野 恵太,2,2塁,セカンドフライ 3アウト
6回表,1,7.0,石川 昂弥,0,,ライトへポテンヒットを放つ 一塁
6回表,2,8.0,土田 龍空,0,1塁,ど真ん中のストレートを打つもライトフライ 1アウト
6回表,3,,カリステ,1,1塁,中西→代打:カリステセンターへのヒットを放つ 一二塁
6回表,4,1.0,鵜飼 航丞,1,"1,2塁",－DeNA:内野手マウンドへ集まる－ランナー一二塁からレフトへのヒットを放つ 満塁
6回表,5,2.0,高橋 周平,1,満塁,空振りの三振を喫する 2アウト0:196回表、島田選手がフォークで空振り三振を奪う！
6回表,6,3.0,村松 開人,2,満塁,カウント1-2から空振り三振！決定機を逃す 3アウト0:096回表、島田選手がフォークを振らせて二者連続の空振り三振！満塁のピンチを切り抜ける‼
