イニング,打席順,打順,選手名,アウト,ランナー,本文
1回表,1,1.0,三森 大貴,0,,セカンドゴロ 1アウト
1回表,2,2.0,度会 隆輝,1,,サードフライ 2アウト
1回表,3,3.0,筒香 嘉智,2,,カウント2-2から右中間へのホームランでDeNA先制！ 巨 0-1 デ
1回表,4,4.0,宮﨑 敏郎,2,,空振りの三振を喫する 3アウト
1回裏,1,1.0,平山 功太,0,,高めのつり球に空振り三振 1アウト
1回裏,2,2.0,泉口 友汰,1,,筒香(一)の後逸により出塁する 一塁
1回裏,3,3.0,吉川 尚輝,1,1塁,低めのカーブを打つもレフトフライ 2アウト
1回裏,4,4.0,ダルベック,2,1塁,ショートゴロ 3アウト
2回表,1,5.0,佐野 恵太,0,,空振りの三振を喫する 1アウト
2回表,2,6.0,蝦名 達夫,1,,見逃し三振でバッターアウト！ 2アウト
2回表,3,7.0,京田 陽太,2,,センターへのヒットを放つ 一塁
2回表,4,8.0,松尾 汐恩,2,1塁,ウィットリー(投):けん制球を悪送球 三塁ランナー三塁からピッチャーフライ 3アウト
2回裏,1,5.0,大城 卓三,0,,篠木のスライダーを引っかけファーストゴロ 1アウト
2回裏,2,6.0,キャベッジ,1,,ライトへのヒットで出塁 一塁
2回裏,3,7.0,佐々木 俊輔,1,1塁,ライトへのヒットを放つ 一二塁
2回裏,4,8.0,浦田 俊輔,1,"1,2塁",1アウト一二塁の1-2からセンターへのタイムリーヒットで巨人同点！ 巨 1-1 デ 一二塁
2回裏,5,9.0,ウィットリー,1,"1,2塁",送りバント失敗 2アウト一二塁
2回裏,6,1.0,平山 功太,2,"1,2塁",外角高めのスライダーを打つもセンターフライ 3アウト
3回表,1,9.0,篠木 健太郎,0,,四球を選ぶ 一塁
3回表,2,1.0,三森 大貴,0,1塁,空振り三振でバッターアウト 1アウト
3回表,3,2.0,度会 隆輝,1,1塁,打球がオーバーフェンスしたかどうかの判定を巡り、DeNAがリクエストリプレー検証後判定変わらずフェンス直撃の二塁打を放つ 二三塁
3回表,4,3.0,筒香 嘉智,1,"2,3塁",1アウト二三塁からレフトへの犠牲フライを放つDeNA勝ち越し！ 巨 1-2 デ 2アウト二塁
3回表,5,4.0,宮﨑 敏郎,2,2塁,2アウト二塁の1-2からライトへのタイムリーヒット打者走者宮﨑は走塁死 巨 1-3 デ 3アウト
3回裏,1,2.0,泉口 友汰,0,,空振りの三振を喫する 1アウト
3回裏,2,3.0,吉川 尚輝,1,,空振りの三振を喫する 2アウト
3回裏,3,4.0,ダルベック,2,,センターへのヒットを放つ 一塁
3回裏,4,5.0,大城 卓三,2,1塁,1-1からレフトへタイムリーツーベース！ 巨 2-3 デ 二塁
3回裏,5,6.0,キャベッジ,2,2塁,ランナー二塁の2-2からレフトへの同点タイムリーヒット！ 巨 3-3 デ 一塁1:045/16【巨人vsDeNA】3回裏 キャベッジ 同点に追いつくタイムリーヒット！
3回裏,6,7.0,佐々木 俊輔,2,1塁,センターへのヒットで出塁 一三塁
3回裏,7,8.0,浦田 俊輔,2,"1,3塁",一塁走者佐々木:盗塁成功 二三塁フルカウントからワンバウンドした球を空振り三振 3アウト
4回表,1,5.0,佐野 恵太,0,,ライトへのヒットを放つ 一塁
4回表,2,6.0,蝦名 達夫,0,1塁,内角高めのストレートを打つもレフトフライ 1アウト
4回表,3,7.0,京田 陽太,1,1塁,センターへのヒットを放つ 一二塁
4回表,4,8.0,松尾 汐恩,1,"1,2塁",ランナー一二塁から6-4-3のダブルプレー 3アウト
4回裏,1,9.0,ウィットリー,0,,守備交代:セカンド成瀬見逃し三振でバッターアウト！ 1アウト
4回裏,2,1.0,平山 功太,1,,高めのつり球に空振り三振 2アウト
4回裏,3,2.0,泉口 友汰,2,,外角低めのカットボールを引っかけてファーストゴロ 3アウト
5回表,1,9.0,篠木 健太郎,0,,ボテボテのサードゴロ 1アウト
5回表,2,1.0,成瀬 脩人,1,,空振りの三振を喫する 2アウト
5回表,3,2.0,度会 隆輝,2,,レフトへのヒットで出塁 一塁
5回表,4,3.0,筒香 嘉智,2,1塁,外角低めの真っ直ぐを打つもレフトフライ 3アウト
5回裏,1,3.0,吉川 尚輝,0,,セカンドゴロ 1アウト
5回裏,2,4.0,ダルベック,1,,ワンバウンドした球に空振り、三振を喫する 2アウト
5回裏,3,5.0,大城 卓三,2,,外角高めの球を打つもレフトフライ 3アウト
6回表,1,4.0,宮﨑 敏郎,0,,投手交代:ウィットリー→赤星ファーストゴロ 1アウト
6回表,2,5.0,佐野 恵太,1,,見逃し三振 2アウト
6回表,3,6.0,蝦名 達夫,2,,ショートへの内野安打 一塁
6回表,4,7.0,京田 陽太,2,1塁,一塁けん制:ランナー蝦名帰塁外角高めの変化球を打つもセンターフライ 3アウト
6回裏,1,6.0,キャベッジ,0,,投手交代:篠木→ルイーズセカンドゴロ 1アウト
6回裏,2,7.0,佐々木 俊輔,1,,高めのつり球に空振り三振 2アウト
6回裏,3,8.0,浦田 俊輔,2,,センターへのヒットで出塁 一塁
6回裏,4,,丸 佳浩,2,1塁,赤星→代打:丸ファーストゴロ 3アウト
7回表,1,8.0,松尾 汐恩,0,,投手交代:赤星→田中瑛サードゴロ 1アウト
7回表,2,,ヒュンメル,1,,ルイーズ→代打:ヒュンメル8球粘るも内角低めの真っ直ぐに空振り三振 2アウト
7回表,3,1.0,成瀬 脩人,2,,ライトへのヒットを放つ 一塁
7回表,4,2.0,度会 隆輝,2,1塁,－巨人:監督マウンドへむかう－投手交代:田中瑛→高梨レフトへのヒットで出塁 二三塁
7回表,5,3.0,筒香 嘉智,2,"2,3塁",一打勝ち越しの場面で空振りの三振を喫する 3アウト
7回裏,1,1.0,平山 功太,0,,投手交代:ルイーズ→中川虎センターへポテンヒットを放つ 一塁
7回裏,2,2.0,泉口 友汰,0,1塁,一塁けん制:ランナー平山帰塁一塁走者平山:すかさず初球から走って盗塁成功 二塁－DeNA:内野手マウンドへ集まる－空振り三振でバッターアウト 1アウト
7回裏,3,3.0,吉川 尚輝,1,2塁,ランナー二塁から外角の球をセンターへ打ってヒット 一三塁
7回裏,4,4.0,ダルベック,1,"1,3塁",ランナー一三塁の2-1から中川虎(投)のフィルダースチョイスで巨人1点をあげる 巨 4-3 デ 一二塁
7回裏,5,5.0,大城 卓三,1,"1,2塁",四球を選ぶ。ピッチャー中川虎にとって痛いフォアボールとなる 満塁
7回裏,6,6.0,キャベッジ,1,満塁,－DeNA:コーチマウンドへむかう－ショートフライ 2アウト
7回裏,7,7.0,佐々木 俊輔,2,満塁,カウント1-2からワンバウンドした球に空振り、三振を喫する 3アウト
8回表,1,4.0,宮﨑 敏郎,0,,ピッチャー高梨に代わって大勢がマウンドにあがる　守備交代:センター松本守備変更:佐々木センター→レフトショートゴロ 1アウト
