イニング,打席順,打順,選手名,アウト,ランナー,本文
1回表,1,1.0,正木 智也,0,,センターへのヒットで出塁 一塁
1回表,2,2.0,牧原 大成,0,1塁,見事送りバントを決める 1アウト二塁
1回表,3,3.0,近藤 健介,1,2塁,二塁けん制:ランナー正木帰塁ランナー二塁からファーストゴロ 2アウト三塁
1回表,4,4.0,栗原 陵矢,2,3塁,一打先制の場面で空振り三振！決定機を逃す 3アウト
1回裏,1,1.0,平良 竜哉,0,,粘りを見せて9球目にフォアボールを選ぶ 一塁
1回裏,2,2.0,黒川 史陽,0,1塁,一塁けん制:ランナー平良帰塁スチュワート・ジュニア(投):暴投 二塁0アウト二塁から10球目のストレートを打つもファーストゴロ 1アウト三塁
1回裏,3,3.0,辰己 涼介,1,3塁,1アウト三塁からショートフライ 2アウト
1回裏,4,4.0,浅村 栄斗,2,3塁,一打先制の場面でピッチャーゴロ 3アウト
2回表,1,5.0,柳田 悠岐,0,,空振り三振でバッターアウト 1アウト
2回表,2,6.0,山川 穂高,1,,フォアボールを選ぶ 一塁
2回表,3,7.0,山本 祐大,1,1塁,レフトへのヒットで出塁 一二塁0:37【2回表】待望の一打!! ホークス・山本祐大 出場2試合目で移籍後初安打!! 2026年5月16日 東北楽天ゴールデンイーグルス 対 福岡ソフトバンクホークス
2回表,4,8.0,周東 佑京,1,"1,2塁",1アウト一二塁からライトへのヒットで出塁 満塁
2回表,5,9.0,庄子 雄大,1,満塁,－楽天:コーチマウンドへむかう－ランナーフルベースの1-0からセンターへの犠牲フライを放つソフトバンク先制！ 楽 0-1 ソ 2アウト二三塁
2回表,6,1.0,正木 智也,2,"2,3塁",内角高めの真っ直ぐを打つもレフトフライ 3アウト
2回裏,1,5.0,渡邊 佳明,0,,レフトへポテンヒットを放つ 一塁
2回裏,2,6.0,ボイト,0,1塁,ファーストフライ 1アウト
2回裏,3,7.0,太田 光,1,1塁,高めの球を打つもセンターフライ 2アウト
2回裏,4,8.0,村林 一輝,2,1塁,ライトへのヒットを放つ 一二塁
2回裏,5,9.0,小郷 裕哉,2,"1,2塁",ランナー一二塁からセンターへのヒットを放つ 満塁
2回裏,6,1.0,平良 竜哉,2,満塁,－ソフトバンク:コーチマウンドへむかう－ピッチャーゴロ 3アウト
3回表,1,2.0,牧原 大成,0,,ライトへのヒットで出塁 一塁
3回表,2,3.0,近藤 健介,0,1塁,ど真ん中の球を打つもレフトフライ 1アウト
3回表,3,4.0,栗原 陵矢,1,1塁,空振り三振に倒れるもスタートを切っていた一塁走者牧原大が盗塁成功 2アウト二塁
3回表,4,5.0,柳田 悠岐,2,2塁,2アウト二塁の1-2からライトへのタイムリーヒット 楽 0-2 ソ 一塁
3回表,5,6.0,山川 穂高,2,1塁,低めの球を打つもレフトフライ 3アウト
3回裏,1,2.0,黒川 史陽,0,,セカンドゴロ 1アウト
3回裏,2,3.0,辰己 涼介,1,,四球を選ぶ 一塁
3回裏,3,4.0,浅村 栄斗,1,1塁,5-4-3のダブルプレー 3アウト
4回表,1,7.0,山本 祐大,0,,詰まった打球はセカンドゴロ 1アウト
4回表,2,8.0,周東 佑京,1,,外角の真っ直ぐを打つもショートライナー 2アウト
4回表,3,9.0,庄子 雄大,2,,空振りの三振を喫する 3アウト
4回裏,1,5.0,渡邊 佳明,0,,四球を選ぶ 一塁
4回裏,2,6.0,ボイト,0,1塁,ファウルフライを山川(一)がつかんでバッターアウト 1アウト
4回裏,3,7.0,太田 光,1,1塁,5-4-3のダブルプレー 3アウト
5回表,1,1.0,正木 智也,0,,ショートゴロ 1アウト
5回表,2,2.0,牧原 大成,1,,ライトへのヒットで出塁 一塁
5回表,3,3.0,近藤 健介,1,1塁,古謝(投):けん制球を悪送球 二塁空振り三振でバッターアウト 2アウト
5回表,4,4.0,栗原 陵矢,2,2塁,－楽天:コーチマウンドへむかう－カウント2-2から空振りの三振を喫する 3アウト
5回裏,1,8.0,村林 一輝,0,,レフトスタンドへのホームラン 楽 1-2 ソ0:55【5回裏】初球を捉えた!! イーグルス・村林一輝 1点差に迫るソロホームラン!! 2026年5月16日 東北楽天ゴールデンイーグルス 対 福岡ソフトバンクホークス
5回裏,2,9.0,小郷 裕哉,0,,7球粘るも外角高めの真っ直ぐに空振り三振 1アウト
5回裏,3,1.0,平良 竜哉,1,,センターへのヒット 一塁
5回裏,4,2.0,黒川 史陽,1,1塁,一塁けん制:ランナー平良帰塁また一塁けん制:ランナー平良帰塁一塁けん制:ランナー平良帰塁一塁走者平良:盗塁成功 二塁ランナー二塁の2-2からライトへの同点タイムリーツーベース！ 楽 2-2 ソ 二塁
5回裏,5,3.0,辰己 涼介,1,2塁,－ソフトバンク:監督マウンドへむかう－投手交代:スチュワート・ジュニア→上茶谷ランナー二塁からセンターへのヒットを放つ 一三塁
5回裏,6,4.0,浅村 栄斗,1,"1,3塁",ランナー一三塁の2-2から勝ち越しのタイムリーヒット！ 楽 3-2 ソ 一二塁
