イニング,打席順,打順,選手名,アウト,ランナー,本文
1回表,1,1.0,カナリオ,0,,外角低めのカーブを打つもライトフライ 1アウト
1回表,2,2.0,西川 愛也,1,,外角低めの真っ直ぐを打つもレフトフライ 2アウト
1回表,3,3.0,渡部 聖弥,2,,外角低めの球を打つもライトフライ 3アウト
1回裏,1,1.0,水野 達稀,0,,ど真ん中のスライダーを打つもレフトフライ 1アウト
1回裏,2,2.0,上川畑 大悟,1,,高めのストレートを打つもセンターフライ 2アウト
1回裏,3,3.0,万波 中正,2,,見逃し三振でバッターアウト！ 3アウト
2回表,1,4.0,ネビン,0,,粘りを見せて8球目にフォアボールを選ぶ 一塁
2回表,2,5.0,長谷川 信哉,0,1塁,空振り三振でバッターアウト 1アウト
2回表,3,6.0,平沢 大河,1,1塁,高めのストレートを打つもライトフライ 2アウト
2回表,4,7.0,古賀 悠斗,2,1塁,ライトへのヒットを放つ 一二塁
2回表,5,8.0,源田 壮亮,2,"1,2塁",一打先制の場面で内角低めのフォークを打つもライトフライ 3アウト
2回裏,1,4.0,レイエス,0,,ライトへのヒットで出塁 一塁
2回裏,2,5.0,清宮 幸太郎,0,1塁,デッドボールを受ける 一二塁
2回裏,3,6.0,野村 佑希,0,"1,2塁",－治療中－フォアボール。西武、満塁のピンチをまねく 満塁
2回裏,4,7.0,大塚 瑠晏,0,満塁,－西武:コーチマウンドへむかう－空振り三振でバッターアウト 1アウト
2回裏,5,8.0,進藤 勇也,1,満塁,4-6-3のダブルプレー 3アウト
3回表,1,9.0,滝澤 夏央,0,,粘りを見せて9球目に四球を選ぶ 一塁
3回表,2,1.0,カナリオ,0,1塁,全く反応できず見逃し三振でバッターアウト 1アウト
3回表,3,2.0,西川 愛也,1,1塁,ショートフライ 2アウト
3回表,4,3.0,渡部 聖弥,2,1塁,一塁走者滝澤:盗塁を試みるもアウト 3アウト
3回裏,1,9.0,五十幡 亮汰,0,,レフトへのヒットを放つ 一塁
3回裏,2,1.0,水野 達稀,0,1塁,外角低めの球を打つもセンターフライ 1アウト
3回裏,3,2.0,上川畑 大悟,1,1塁,一塁けん制:ランナー五十幡帰塁一塁けん制:ランナー五十幡帰塁1-1からレフトへの先制タイムリーツーベース！ 日 1-0 西 二塁1:11【3回裏】ランエンドヒット成功!! ファイターズ・上川畑大悟 先制タイムリー2ベースを放つ!! 2026年5月17日 北海道日本ハムファイターズ 対 埼玉西武ライオンズ
3回裏,4,3.0,万波 中正,1,2塁,ショートゴロ 2アウト三塁
3回裏,5,4.0,レイエス,2,3塁,2アウト三塁の2-1からレフトへのタイムリーヒット 日 2-0 西 一塁
3回裏,6,5.0,清宮 幸太郎,2,1塁,ピッチャーゴロ 3アウト
4回表,1,3.0,渡部 聖弥,0,,ワンバウンドした球を空振り三振 1アウト
4回表,2,4.0,ネビン,1,,サードゴロ 2アウト
4回表,3,5.0,長谷川 信哉,2,,二塁打 二塁
4回表,4,6.0,平沢 大河,2,2塁,低めの球を打つもセンターフライ 3アウト
4回裏,1,6.0,野村 佑希,0,,ワンバウンドした球を空振り三振 1アウト
4回裏,2,7.0,大塚 瑠晏,1,,空振り三振でバッターアウト 2アウト
4回裏,3,8.0,進藤 勇也,2,,空振り三振でバッターアウト 3アウト
5回表,1,7.0,古賀 悠斗,0,,センターへのヒットを放つ 一塁
5回表,2,8.0,源田 壮亮,0,1塁,見事送りバントを成功させる 1アウト二塁
5回表,3,9.0,滝澤 夏央,1,2塁,西武・滝澤の一塁セーフの判定を巡り、日本ハムがリクエストリプレー検証後判定変わらず1アウト二塁からファーストへの内野安打 一三塁
5回表,4,1.0,カナリオ,1,"1,3塁",－日本ハム:コーチマウンドへむかう－ストレートのフォアボールで出塁 満塁
5回表,5,2.0,西川 愛也,1,満塁,空振りの三振を喫する 2アウト
5回表,6,3.0,渡部 聖弥,2,満塁,西武・滝澤の本塁アウトの判定を巡り、西武がリクエストリプレー検証後判定変わらずランナーフルベースの0-1からライトへのタイムリーヒット二塁走者滝澤は走塁死 日 2-1 西 3アウト
5回裏,1,9.0,五十幡 亮汰,0,,ファーストへの内野安打 一塁
5回裏,2,1.0,水野 達稀,0,1塁,一塁けん制:ランナー五十幡帰塁一塁走者五十幡:積極的に初球から盗塁を試みるもアウト 1アウトセカンドゴロ 2アウト
5回裏,3,2.0,上川畑 大悟,2,,サードフライ 3アウト
6回表,1,4.0,ネビン,0,,投手交代:北山→島本外角高めのストレートを打つもレフトフライ 1アウト
6回表,2,5.0,長谷川 信哉,1,,セカンドゴロ 2アウト
6回表,3,6.0,平沢 大河,2,,レフトへのヒットを放つ 一塁
6回表,4,7.0,古賀 悠斗,2,1塁,一塁けん制:ランナー平沢帰塁一塁けん制:ランナー平沢帰塁空振りの三振を喫する 3アウト
6回裏,1,3.0,万波 中正,0,,空振りの三振を喫する 1アウト
6回裏,2,4.0,レイエス,1,,ファーストゴロ 2アウト
6回裏,3,5.0,清宮 幸太郎,2,,フォアボールを選ぶ 一塁
6回裏,4,6.0,野村 佑希,2,1塁,フォアボール 一二塁
6回裏,5,,淺間 大基,2,"1,2塁",－西武:コーチマウンドへむかう－大塚→代打:淺間一塁走者野村→代走:奈良間ファーストゴロ 3アウト
7回表,1,8.0,源田 壮亮,0,,ピッチャー島本に代わって上原がマウンドにあがる　守備変更:奈良間→サード　守備変更:淺間→レフトショートゴロ 1アウト
7回表,2,9.0,滝澤 夏央,1,,8球粘るも内角低めのストレートに見逃し三振 2アウト
7回表,3,1.0,カナリオ,2,,レフトへの二塁打 二塁
7回表,4,,岸 潤一郎,2,2塁,西川→代打:岸2アウト二塁からレフトスタンドへの逆転2ランホームラン！ 日 2-3 西0:53【7回表】代打起用に応える!! ライオンズ・岸潤一郎 逆転2ランホームランを放つ!! 2026年5月17日 北海道日本ハムファイターズ 対 埼玉西武ライオンズ
7回表,5,3.0,渡部 聖弥,2,,ヒット 一塁
7回表,6,4.0,ネビン,2,1塁,フルカウントから左中間への2ランホームラン 日 2-5 西1:40【7回表】ダメ押しの一発!! ライオンズ・ネビン センターへ2ランホームランを放つ!! 2026年5月17日 北海道日本ハムファイターズ 対 埼玉西武ライオンズ
7回表,7,5.0,長谷川 信哉,2,,投手交代:上原→生田目センターへのヒットを放つ 一塁
7回表,8,6.0,平沢 大河,2,1塁,ライトへのヒットで出塁 一三塁
7回表,9,7.0,古賀 悠斗,2,"1,3塁",2アウト一三塁からサードゴロ 3アウト
7回裏,1,,カストロ,0,,ピッチャーワイナンスに代わって佐藤隼がマウンドにあがる　守備変更:岸→センター進藤→代打:カストロファウルフライをネビン(一)がつかんでバッターアウト 1アウト
7回裏,2,9.0,五十幡 亮汰,1,,空振り三振でバッターアウト 2アウト
7回裏,3,1.0,水野 達稀,2,,センターへのヒットで出塁 一塁
7回裏,4,2.0,上川畑 大悟,2,1塁,佐藤隼(投)のファンブルにより出塁する 一二塁
7回裏,5,3.0,万波 中正,2,"1,2塁",ピッチャー佐藤隼に代わって甲斐野がマウンドにあがる二塁けん制:ランナー水野帰塁2アウト一二塁の2-1からセンターへのタイムリーヒット一塁走者上川畑は走塁死 日 3-5 西 3アウト
8回表,1,8.0,源田 壮亮,0,,投手交代:生田目→堀守備交代:キャッチャー清水優空振り三振 1アウト
8回表,2,9.0,滝澤 夏央,1,,フォアボールを選ぶ 一塁
8回表,3,1.0,カナリオ,1,1塁,詰まりながらもライトへヒットを放つ 一三塁
8回表,4,2.0,岸 潤一郎,1,"1,3塁",一塁走者カナリオ→代走:茶野一塁けん制:ランナー茶野帰塁一塁けん制:ランナー茶野帰塁ランナー一三塁の1-1から見事スクイズを成功させる 日 3-6 西 2アウト三塁
8回表,5,3.0,渡部 聖弥,2,3塁,高めのストレートを打つもレフトフライ 3アウト
8回裏,1,4.0,レイエス,0,,ピッチャー甲斐野に代わって篠原がマウンドにあがる　守備変更:茶野→レフト　守備変更:長谷川レフト→ライトショートゴロ 1アウト
8回裏,2,5.0,清宮 幸太郎,1,,空振りの三振を喫する 2アウト
8回裏,3,6.0,奈良間 大己,2,,見逃し三振 3アウト
9回表,1,4.0,ネビン,0,,投手交代:堀→山本外角低めのカットボールを打つもレフトフライ 1アウト
9回表,2,5.0,長谷川 信哉,1,,セカンドフライ 2アウト
9回表,3,6.0,平沢 大河,2,,外角のストレートを打つもセンターフライ 3アウト
9回裏,1,7.0,淺間 大基,0,,ピッチャー篠原に代わって岩城がマウンドにあがる　守備交代:サード佐藤太サードへのファウルフライに倒れる 1アウト
9回裏,2,8.0,清水 優心,1,,フォアボールを選ぶ 一塁
9回裏,3,,郡司 裕也,1,1塁,五十幡→代打:郡司空振り三振 2アウト
9回裏,4,1.0,水野 達稀,2,1塁,空振り三振でバッターアウト 3アウト試合終了
