イニング,打席順,打順,選手名,アウト,ランナー,本文
1回表,1,1.0,大島 洋平,0,,サードフライ 1アウト
1回表,2,2.0,板山 祐太郎,1,,空振り三振でバッターアウト 2アウト
1回表,3,3.0,村松 開人,2,,レフトへの二塁打 二塁
1回表,4,4.0,細川 成也,2,2塁,一打先制の場面で外角のスライダーを打つもライトフライ 3アウト
1回裏,1,1.0,岡城 快生,0,,レフトへの二塁打 二塁
1回裏,2,2.0,中野 拓夢,0,2塁,外角の落ちる球を打つもライトフライ 1アウト
1回裏,3,3.0,森下 翔太,1,2塁,ショートゴロ 2アウト
1回裏,4,4.0,佐藤 輝明,2,2塁,2アウト二塁の3-0からレフトへのタイムリーヒットで阪神先制！ 神 1-0 中 一塁0:52【1回裏】佐藤 痛烈な打球がサードを襲う!! タイムリーヒットで先制!! 2026/05/19 T-D
1回裏,5,5.0,大山 悠輔,2,1塁,サードゴロ 3アウト
2回表,1,5.0,ボスラー,0,,外角の球を打つもセンターフライ 1アウト
2回表,2,6.0,石伊 雄太,1,,ツーベース 二塁
2回表,3,7.0,高橋 周平,1,2塁,ファウルフライを佐藤(三)がつかんでバッターアウト 2アウト
2回表,4,8.0,田中 幹也,2,2塁,ファーストフライ 3アウト
2回裏,1,6.0,立石 正広,0,,センターへのヒットで出塁 一塁0:50【2回裏】立石 いきなり最初の打席いきなり初球!! プロ初ヒット!! 2026/05/19 T-D
2回裏,2,7.0,木浪 聖也,0,1塁,一塁けん制:ランナー立石帰塁打った打球はイレギュラーしレフトへのヒットとなる 一二塁
2回裏,3,8.0,伏見 寅威,0,"1,2塁",ランナー一二塁からレフトへのヒットを放つ 満塁
2回裏,4,9.0,西 勇輝,0,満塁,3-2-3のダブルプレー 2アウト二三塁
2回裏,5,1.0,岡城 快生,2,"2,3塁",当てるだけのバッティングでセカンドゴロ 3アウト
3回表,1,9.0,金丸 夢斗,0,,見逃し三振でバッターアウト！ 1アウト
3回表,2,1.0,大島 洋平,1,,ど真ん中のスライダーを打つもレフトフライ 2アウト
3回表,3,2.0,板山 祐太郎,2,,ファーストゴロ 3アウト
3回裏,1,2.0,中野 拓夢,0,,セカンドゴロ 1アウト
3回裏,2,3.0,森下 翔太,1,,センターへのヒットで出塁 一塁
3回裏,3,4.0,佐藤 輝明,1,1塁,右中間への2ランホームラン 神 3-0 中1:07【3回裏】佐藤 倉敷の空に大きな花火が!! 右中間スタンドへ飛び込んだ!! 第12号ツーラン!! 2026/05/19 T-D
3回裏,4,5.0,大山 悠輔,1,,ライトへのヒットを放つ 一塁
3回裏,5,6.0,立石 正広,1,1塁,6-4-3のダブルプレー 3アウト
4回表,1,3.0,村松 開人,0,,四球を選ぶ 一塁
4回表,2,4.0,細川 成也,0,1塁,デッドボールを受ける 一二塁
4回表,3,5.0,ボスラー,0,"1,2塁",ライン際への打球のファウル判定を巡り、中日がリクエストリプレー検証後判定変わらず四球を選ぶ。ピッチャー西勇にとって痛いフォアボールとなる 満塁
4回表,4,6.0,石伊 雄太,0,満塁,0アウト満塁からライトへ2点タイムリーツーベース！ 神 3-2 中 二三塁
4回表,5,7.0,高橋 周平,0,"2,3塁",ピッチャー西勇のグラブを襲う内野安打 満塁
4回表,6,8.0,田中 幹也,0,満塁,外角のスライダーを打つもセンターフライ 1アウト
4回表,7,9.0,金丸 夢斗,1,満塁,セカンドゴロ 2アウト満塁
4回表,8,,カリステ,2,満塁,大島→代打:カリステショートフライ 3アウト
4回裏,1,7.0,木浪 聖也,0,,守備変更:カリステ→ライト　守備変更:板山ライト→センター内角の落ちる球を打つもセンターフライ 1アウト
4回裏,2,8.0,伏見 寅威,1,,空振りの三振を喫する 2アウト
4回裏,3,9.0,西 勇輝,2,,外角低めのスプリットを打つもライトフライ 3アウト
5回表,1,2.0,板山 祐太郎,0,,センターへのヒットで出塁 一塁
5回表,2,3.0,村松 開人,0,1塁,一塁けん制:ランナー板山帰塁ショートフライ 1アウト
5回表,3,4.0,細川 成也,1,1塁,フォアボールを選ぶ 一二塁
5回表,4,5.0,ボスラー,1,"1,2塁",低めのスライダーを打つもライトフライ 2アウト
5回表,5,6.0,石伊 雄太,2,"1,2塁",一度もバットを振ることなく三球三振 3アウト
5回裏,1,1.0,岡城 快生,0,,高めのつり球に空振り三振 1アウト
5回裏,2,2.0,中野 拓夢,1,,ファーストゴロ 2アウト
5回裏,3,3.0,森下 翔太,2,,ストレートのフォアボールで出塁 一塁
5回裏,4,4.0,佐藤 輝明,2,1塁,内角のストレートをレフトへ打ってヒット 一二塁
5回裏,5,5.0,大山 悠輔,2,"1,2塁",ランナー一二塁の3-2からレフトへのタイムリーヒット 神 4-2 中 一三塁0:43【5回裏】大山 粘って粘って捉えた!! レフト前へ!! 5番の一打で追加点!! 2026/05/19 T-D
5回裏,6,6.0,立石 正広,2,"1,3塁",カウント1-2から空振りの三振を喫する 3アウト
6回表,1,7.0,高橋 周平,0,,投手交代:西勇→工藤ショートゴロ 1アウト
6回表,2,8.0,田中 幹也,1,,フォアボールを選ぶ 一塁
6回表,3,,鵜飼 航丞,1,1塁,金丸→代打:鵜飼セカンドフライ 2アウト
6回表,4,1.0,カリステ,2,1塁,空振り三振でバッターアウト 3アウト
6回裏,1,7.0,木浪 聖也,0,,投手交代:金丸→藤嶋セカンドゴロ 1アウト
6回裏,2,8.0,伏見 寅威,1,,ボテボテのショートゴロ 2アウト
6回裏,3,,福島 圭音,2,,工藤→代打:福島空振りの三振を喫する 3アウト
