イニング,打席順,打順,選手名,アウト,ランナー,本文
1回表,1,1,佐藤 直樹,0,,見逃し三振でバッターアウト！ 1アウト
1回表,2,2,黒川 史陽,1,,ショートゴロ 2アウト
1回表,3,3,辰己 涼介,2,,カウント1-2からライトスタンドへのホームランで楽天先制！ 日 0-1 楽0:45【1回表】先制弾!! イーグルス・辰己涼介 ライトスタンドへのソロホームランを放つ!! 2026年5月19日 北海道日本ハムファイターズ 対 東北楽天ゴールデンイーグルス
1回表,4,4,浅村 栄斗,2,,全く手が出ず見逃し三振 3アウト
1回裏,1,1,水野 達稀,0,,セカンドゴロ 1アウト
1回裏,2,2,カストロ,1,,ワンバウンドした球を空振り三振 2アウト
1回裏,3,3,清宮 幸太郎,2,,低めの球を打つもセンターフライ 3アウト
2回表,1,5,渡邊 佳明,0,,レフトへのヒットで出塁 一塁
2回表,2,6,平良 竜哉,0,1塁,一塁けん制:ランナー渡邊佳帰塁見事送りバントを決める 1アウト二塁
2回表,3,7,太田 光,1,2塁,ファウルフライを清宮幸(一)がつかんでバッターアウト 2アウト
2回表,4,8,村林 一輝,2,2塁,フォアボールを選ぶ 一二塁
2回表,5,9,小郷 裕哉,2,"1,2塁",2アウト一二塁からライトへのヒットを放つ二塁走者渡邊佳は走塁死 3アウト
2回裏,1,4,レイエス,0,,センターへのヒットで出塁 一塁
2回裏,2,5,郡司 裕也,0,1塁,カウント1-1から左中間への逆転2ランホームラン！ 日 2-1 楽1:01【2回裏】期待に応える一発!! ファイターズ・郡司裕也 逆転の2ランホームランを放つ!! 2026年5月19日 北海道日本ハムファイターズ 対 東北楽天ゴールデンイーグルス
2回裏,3,6,上川畑 大悟,0,,ショートゴロ 1アウト
2回裏,4,7,万波 中正,1,,フォアボールを選ぶ 一塁
2回裏,5,8,細川 凌平,1,1塁,一塁けん制:ランナー万波帰塁フォアボールを選ぶ 一二塁
2回裏,6,9,田宮 裕涼,1,"1,2塁",－楽天:コーチマウンドへむかう－ランナー一二塁からライトへのヒットで出塁 満塁
2回裏,7,1,水野 達稀,1,満塁,ランナーフルベースの3-1から押し出しのフォアボール 日 3-1 楽 満塁
2回裏,8,2,カストロ,1,満塁,空振り三振でバッターアウト 2アウト
2回裏,9,3,清宮 幸太郎,2,満塁,ランナーフルベースの3-2から押し出しのフォアボール 日 4-1 楽 満塁
2回裏,10,4,レイエス,2,満塁,ランナーフルベースからセカンドゴロ 3アウト
3回表,1,1,佐藤 直樹,0,,センターへの二塁打 二塁
3回表,2,2,黒川 史陽,0,2塁,0アウト二塁からセンターへのヒットを放つ 一三塁
3回表,3,3,辰己 涼介,0,"1,3塁",ワンバウンドした球を空振り三振 1アウト
3回表,4,4,浅村 栄斗,1,"1,3塁",1アウト一三塁からレフトへの犠牲フライを放つ 日 4-2 楽 2アウト一塁
3回表,5,5,渡邊 佳明,2,1塁,一塁けん制:ランナー黒川帰塁空振りの三振を喫する 3アウト
3回裏,1,5,郡司 裕也,0,,空振りの三振を喫する 1アウト
3回裏,2,6,上川畑 大悟,1,,センターへのヒットを放つ 一塁
