イニング,打席順,打順,選手名,アウト,ランナー,本文
1回表,1,1.0,蝦名 達夫,0,,レフトへのヒットを放つ 一塁
1回表,2,2.0,度会 隆輝,0,1塁,一塁けん制:ランナー蝦名帰塁一塁けん制:ランナー蝦名帰塁また一塁けん制:ランナー蝦名帰塁ボテボテのピッチャーゴロ 1アウト二塁
1回表,3,3.0,筒香 嘉智,1,2塁,低めのスライダーを打つもセンターフライ 2アウト
1回表,4,4.0,宮﨑 敏郎,2,2塁,代打勝又 温史二死二塁－治療中－宮﨑→代打:勝又ピッチャー森のグラブを襲う内野安打 一三塁
1回表,5,5.0,佐野 恵太,2,"1,3塁",一塁けん制:ランナー勝又帰塁一打先制の場面でセカンドゴロ 3アウト
1回裏,1,1.0,野間 峻祥,0,,守備変更:筒香ファースト→サード　守備変更:勝又→レフト　守備変更:佐野レフト→ファースト内角の球を打つもセンターフライ 1アウト
1回裏,2,2.0,菊池 涼介,1,,フォアボールを選ぶ 一塁
1回裏,3,3.0,小園 海斗,1,1塁,ど真ん中の球を打つもレフトフライ 2アウト
1回裏,4,4.0,坂倉 将吾,2,1塁,フォアボールを選ぶ 一二塁
1回裏,5,5.0,モンテロ,2,"1,2塁",一打先制の場面で外角低めの落ちる球を打つもセンターフライ 3アウト
2回表,1,6.0,宮下 朝陽,0,,内角低めのスライダーを打つもライトフライ 1アウト
2回表,2,7.0,成瀬 脩人,1,,内角のカットボールを打つもライトフライ 2アウト
2回表,3,8.0,松尾 汐恩,2,,ショートゴロ 3アウト
2回裏,1,6.0,持丸 泰輝,0,,一度もバットを振ることなく三球三振 1アウト
2回裏,2,7.0,大盛 穂,1,,エンタイトルツーベース 二塁
2回裏,3,8.0,佐々木 泰,1,2塁,セカンドゴロ 2アウト三塁
2回裏,4,9.0,森 翔平,2,3塁,一打先制の場面でサードフライ 3アウト
3回表,1,9.0,島田 舜也,0,,四球を選ぶ 一塁
3回表,2,1.0,蝦名 達夫,0,1塁,ファーストへのファウルフライに倒れる 1アウト
3回表,3,2.0,度会 隆輝,1,1塁,空振りの三振を喫する 2アウト
3回表,4,3.0,筒香 嘉智,2,1塁,フォアボールを選ぶ 一二塁
3回表,5,4.0,勝又 温史,2,"1,2塁",－広島:内野手マウンドへ集まる－持丸(捕):捕逸 二三塁2アウト二三塁の1-0から先制のタイムリーヒット！ 広 0-2 デ 二塁
3回表,6,5.0,佐野 恵太,2,2塁,森(投):けん制球を悪送球 三塁8球粘った末に四球を選ぶ 一三塁
3回表,7,6.0,宮下 朝陽,2,"1,3塁",－広島:コーチマウンドへむかう－カウント1-2から空振り三振でバッターアウト 3アウト
3回裏,1,1.0,野間 峻祥,0,,内角の球を打つもショートライナー 1アウト
3回裏,2,2.0,菊池 涼介,1,,ショートゴロ 2アウト
3回裏,3,3.0,小園 海斗,2,,ワンバウンドした球に空振り、三振を喫する 3アウト
4回表,1,7.0,成瀬 脩人,0,,内角低めの変化球を打つもライトフライ 1アウト
4回表,2,8.0,松尾 汐恩,1,,センターへのツーベース 二塁
4回表,3,9.0,島田 舜也,1,2塁,送りバント成功！さらに持丸(捕)のフィルダースチョイスによりオールセーフ！ 一三塁
4回表,4,1.0,蝦名 達夫,1,"1,3塁",ランナー一三塁の0-1からセンターへタイムリーツーベース！ 広 0-3 デ 二三塁
4回表,5,2.0,度会 隆輝,1,"2,3塁",－広島:内野手マウンドへ集まる－見逃し三振 2アウト
4回表,6,3.0,筒香 嘉智,2,"2,3塁",フルカウントから見逃し三振でバッターアウト！ 3アウト
4回裏,1,4.0,坂倉 将吾,0,,見逃し三振 1アウト
4回裏,2,5.0,モンテロ,1,,低めのストレートを打つもセンターフライ 2アウト
4回裏,3,6.0,持丸 泰輝,2,,外角高めの球を打つもライトフライ 3アウト
5回表,1,4.0,勝又 温史,0,,投手交代:森→塹江守備交代:キャッチャー石原DeNA・勝又の一塁セーフの判定を巡り、広島がリクエストリプレー検証後判定覆る詰まった打球はショートゴロ 1アウト
