イニング,打席順,打順,選手名,アウト,ランナー,本文
1回表,1,1.0,長岡 秀樹,0,,ライトへのヒットで出塁 一塁
1回表,2,2.0,サンタナ,0,1塁,一塁けん制:ランナー長岡帰塁また一塁けん制:ランナー長岡帰塁センターへのヒットを放つ 一二塁
1回表,3,3.0,内山 壮真,0,"1,2塁",5-4-3のダブルプレー 2アウト三塁
1回表,4,4.0,オスナ,2,3塁,一打先制の場面で外角低めのストレートを打つもセカンドライナー 3アウト
1回裏,1,1.0,三森 大貴,0,,ワンバウンドした球に空振り、三振を喫する 1アウト
1回裏,2,2.0,蝦名 達夫,1,,詰まりながらもセンターへヒットを放つ 一塁
1回裏,3,3.0,筒香 嘉智,1,1塁,一塁けん制:ランナー蝦名帰塁空振り三振に倒れるもスタートを切っていた一塁走者蝦名が盗塁成功 2アウト二塁
1回裏,4,4.0,宮﨑 敏郎,2,2塁,一打先制の場面でピッチャーゴロ 3アウト
2回表,1,5.0,岩田 幸宏,0,,ファーストゴロ 1アウト
2回表,2,6.0,増田 珠,1,,高めの真っ直ぐを打つもライトフライ 2アウト
2回表,3,7.0,鈴木 叶,2,,空振り三振 3アウト0:092回表、石田選手が149km/hのストレートで空振り三振を奪う！
2回裏,1,5.0,度会 隆輝,0,,センターへのヒットで出塁 一塁
2回裏,2,6.0,勝又 温史,0,1塁,一塁走者度会:すかさず初球から走って盗塁成功 二塁空振り三振でバッターアウト 1アウト
2回裏,3,7.0,石上 泰輝,1,2塁,1アウト二塁からレフトへのヒットで出塁 一三塁
2回裏,4,8.0,戸柱 恭孝,1,"1,3塁",一塁けん制:ランナー石上帰塁一塁走者石上:盗塁成功 二三塁1アウト二三塁の2-1からライトへの犠牲フライを放つDeNA先制！ デ 1-0 ヤ 2アウト三塁0:312回裏、1死2・3塁から戸柱選手の犠牲フライで先制！
2回裏,5,9.0,石田 裕太郎,2,3塁,ランナー三塁からファーストフライ 3アウト
3回表,1,8.0,奥川 恭伸,0,,空振り三振でバッターアウト 1アウト0:103回表、石田選手がノビのあるストレートで空振り三振！
3回表,2,9.0,武岡 龍世,1,,ワンバウンドした球に空振り、三振を喫する 2アウト0:113回表、石田選手が低めのシンカーでハーフスイングを誘う！
3回表,3,1.0,長岡 秀樹,2,,内角低めのストレートを打つもライトフライ 3アウト
3回裏,1,1.0,三森 大貴,0,,ピッチャーゴロ 1アウト
3回裏,2,2.0,蝦名 達夫,1,,外角低めの変化球を打つもライトフライ 2アウト
3回裏,3,3.0,筒香 嘉智,2,,セカンドゴロ 3アウト
4回表,1,2.0,サンタナ,0,,セカンドゴロ 1アウト
4回表,2,3.0,内山 壮真,1,,フェンス直撃のツーベースを放つ 二塁
4回表,3,4.0,オスナ,1,2塁,ボテボテのセカンドゴロ 2アウト三塁
4回表,4,5.0,岩田 幸宏,2,3塁,2アウト三塁からファーストゴロ 3アウト
4回裏,1,4.0,宮﨑 敏郎,0,,ショートゴロ 1アウト
4回裏,2,5.0,度会 隆輝,1,,ショートへの内野安打 一塁
4回裏,3,6.0,勝又 温史,1,1塁,一塁けん制:ランナー度会帰塁また一塁けん制:ランナー度会帰塁外角低めの球を打つもセンターフライ 2アウト
4回裏,4,7.0,石上 泰輝,2,1塁,ライトへのツーベース 二三塁
4回裏,5,8.0,戸柱 恭孝,2,"2,3塁",満塁策で敬遠される 満塁
4回裏,6,9.0,石田 裕太郎,2,満塁,低めの球を打つもライトフライ 3アウト
5回表,1,6.0,増田 珠,0,,ワンバウンドした球に空振り、三振を喫する 1アウト0:085回表、石田選手が低めのシンカーでハーフスイングを誘い空振り三振！
5回表,2,7.0,鈴木 叶,1,,ファーストゴロ 2アウト
5回表,3,8.0,奥川 恭伸,2,,見逃し三振でバッターアウト！ 3アウト0:075回表、石田選手がストレートをアウトロー一杯に決め見逃し三振に仕留める‼
5回裏,1,1.0,三森 大貴,0,,ファーストゴロ 1アウト
5回裏,2,2.0,蝦名 達夫,1,,7球粘るも外角低めの変化球に空振り三振 2アウト
5回裏,3,3.0,筒香 嘉智,2,,ボテボテのサードゴロ 3アウト
6回表,1,9.0,武岡 龍世,0,,ショートゴロ 1アウト
6回表,2,1.0,長岡 秀樹,1,,外角の真っ直ぐを打つもライトフライ 2アウト
6回表,3,2.0,サンタナ,2,,レフトへのヒットで出塁 一塁
6回表,4,3.0,内山 壮真,2,1塁,フォアボールを選ぶ 一二塁
6回表,5,4.0,オスナ,2,"1,2塁",－DeNA:監督マウンドへむかう－石田裕(投):暴投 二三塁一打逆転の場面でワンバウンドした球を空振り三振 3アウト0:106回表、石田選手が2死2・3塁のピンチを背負うも空振り三振を奪い切り抜ける！
6回裏,1,4.0,宮﨑 敏郎,0,,外角低めの変化球を打つもセカンドライナー 1アウト
6回裏,2,5.0,度会 隆輝,1,,高めのストレートを打つもセンターフライ 2アウト
6回裏,3,6.0,勝又 温史,2,,ピッチャーゴロ 3アウト
7回表,1,5.0,岩田 幸宏,0,,ピッチャー石田裕に代わって中川虎がマウンドにあがる空振りの三振を喫する 1アウト0:067回表、中川選手が鋭いフォークで空振り三振を奪う！
7回表,2,6.0,増田 珠,1,,セカンドフライ 2アウト
7回表,3,7.0,鈴木 叶,2,,外角低めの球をセンターへ打ってヒット 一塁
7回表,4,8.0,奥川 恭伸,2,1塁,見逃し三振 3アウト0:087回表、中川選手がストレートを三球続け、見逃し三振を奪う!!
7回裏,1,7.0,石上 泰輝,0,,ファーストゴロ 1アウト
7回裏,2,8.0,戸柱 恭孝,1,,高めの球を打つもセンターフライ 2アウト
7回裏,3,,ビシエド,2,,中川虎→代打:ビシエド空振りの三振を喫する 3アウト
8回表,1,9.0,武岡 龍世,0,,ピッチャー中川虎に代わってレイノルズがマウンドにあがるセカンドゴロ 1アウト
8回表,2,1.0,長岡 秀樹,1,,レフトへのツーベース 二塁
8回表,3,2.0,サンタナ,1,2塁,二塁走者長岡→代走:モンテル1アウト二塁からショートゴロ 2アウト
8回表,4,3.0,内山 壮真,2,2塁,－DeNA:コーチマウンドへむかう－一打同点の場面で空振り三振！決定機を逃す 3アウト0:138回表、S.レイノルズ選手の高めのカットボールで空振り三振！
8回裏,1,1.0,三森 大貴,0,,守備交代:ショート伊藤守備変更:モンテル→ライト　守備変更:増田ライト→レフト高めのつり球に空振り三振 1アウト
8回裏,2,2.0,蝦名 達夫,1,,ショートゴロ 2アウト
8回裏,3,3.0,筒香 嘉智,2,,外角高めの球を打つもセンターフライ 3アウト
9回表,1,4.0,オスナ,0,,ピッチャーレイノルズに代わって山﨑がマウンドにあがる　守備交代:セカンド成瀬守備変更:三森セカンド→ファーストレフトへのヒットで出塁 一塁
9回表,2,5.0,岩田 幸宏,0,1塁,一塁走者オスナ→代走:山野辺1-6-3のダブルプレー 2アウト
9回表,3,6.0,増田 珠,2,,一発出れば同点の場面で見逃し三振 3アウト試合終了0:119回表、山﨑選手がアウトローのストレートで見逃し三振に仕留める！
