イニング,打席順,打順,選手名,アウト,ランナー,本文
1回表,1,1.0,正木 智也,0,,すっぽ抜けの球に当たりデッドボールとなる 一塁
1回表,2,2.0,周東 佑京,0,1塁,ファウルフライを松本(左)がつかんでバッターアウト 1アウト0:435/27【巨人vsソフトバンク】1回表 松本剛のファインプレー！壁際のファウルフライをナイスキャッチ！
1回表,3,3.0,近藤 健介,1,1塁,高めの球を打つもセカンドライナー 2アウト
1回表,4,4.0,栗原 陵矢,2,1塁,センターへのヒット 一二塁
1回表,5,5.0,山本 恵大,2,"1,2塁",一打先制の場面でワンバウンドした球を空振り三振 3アウト
1回裏,1,1.0,泉口 友汰,0,,デッドボール 一塁
1回裏,2,2.0,吉川 尚輝,0,1塁,レフトへのヒットで出塁 一二塁
1回裏,3,3.0,坂本 勇人,0,"1,2塁",外角低めの球を打つもセンターフライ 1アウト
1回裏,4,4.0,ダルベック,1,"1,2塁",空振り三振でバッターアウト 2アウト
1回裏,5,5.0,大城 卓三,2,"1,2塁",一打先制の場面で空振り三振！決定機を逃す 3アウト
2回表,1,6.0,山本 祐大,0,,ショートゴロ 1アウト
2回表,2,7.0,牧原 大成,1,,見逃し三振 2アウト
2回表,3,8.0,庄子 雄大,2,,ライトへのヒットを放つ 一塁
2回表,4,9.0,アルメンタ,2,1塁,一度もバットを振ることなく三球三振 3アウト
2回裏,1,6.0,キャベッジ,0,,フォアボールを選ぶ 一塁
2回裏,2,7.0,丸 佳浩,0,1塁,一塁けん制:ランナーキャベッジ帰塁外角低めのストレートを打つもセンターフライ 1アウト
2回裏,3,8.0,松本 剛,1,1塁,ショートゴロ 2アウト一塁
2回裏,4,9.0,戸郷 翔征,2,1塁,ショートフライ 3アウト
3回表,1,1.0,正木 智也,0,,レフトへのヒットで出塁 一塁
3回表,2,2.0,周東 佑京,0,1塁,一塁けん制:ランナー正木帰塁見事送りバントを成功させる 1アウト二塁
3回表,3,3.0,近藤 健介,1,2塁,ランナー二塁からセカンドゴロ 2アウト三塁
3回表,4,4.0,栗原 陵矢,2,3塁,四球を選ぶ 一三塁
3回表,5,5.0,山本 恵大,2,"1,3塁",－巨人:コーチマウンドへむかう－2アウト一三塁からライトへの先制タイムリーヒット！ 巨 0-1 ソ 一二塁
3回表,6,6.0,山本 祐大,2,"1,2塁",内角高めのストレートを打つもライトフライ 3アウト
3回裏,1,1.0,泉口 友汰,0,,センターへのヒットで出塁 一塁
3回裏,2,2.0,吉川 尚輝,0,1塁,一塁けん制:ランナー泉口帰塁フォアボールを選ぶ 一二塁
3回裏,3,3.0,坂本 勇人,0,"1,2塁",ランナー一二塁からセンターへポテンヒットを放つ 満塁
3回裏,4,4.0,ダルベック,0,満塁,－ソフトバンク:コーチマウンドへむかう－0アウト満塁から低めのチェンジアップを打つもサードライナー 1アウト
3回裏,5,5.0,大城 卓三,1,満塁,1アウト満塁の3-1から押し出しのフォアボール 巨 1-1 ソ 満塁
3回裏,6,6.0,キャベッジ,1,満塁,1アウト満塁の2-0から勝ち越しのタイムリーヒット！ 巨 3-1 ソ 一三塁
3回裏,7,7.0,丸 佳浩,1,"1,3塁",投手交代:アルメンタ→上茶谷1アウト一三塁の3-2からライトへのタイムリーヒット 巨 4-1 ソ 一三塁
3回裏,8,8.0,松本 剛,1,"1,3塁",1アウト一三塁からピッチャーへの内野安打 満塁
3回裏,9,9.0,戸郷 翔征,1,満塁,ランナーフルベースの0-1からライトへのタイムリーヒット 巨 5-1 ソ 満塁
3回裏,10,1.0,泉口 友汰,1,満塁,－ソフトバンク:コーチマウンドへむかう－ランナーフルベースからど真ん中の球を打つもライトフライ 2アウト
3回裏,11,2.0,吉川 尚輝,2,満塁,ランナーフルベースから外角のスライダーを打つもレフトフライ 3アウト
4回表,1,7.0,牧原 大成,0,,外角低めの落ちる球を打つもセンターフライ 1アウト
4回表,2,8.0,庄子 雄大,1,,粘りを見せて9球目にフォアボールを選ぶ 一塁
4回表,3,,廣瀨 隆太,1,1塁,上茶谷→代打:廣瀨隆6-4-3のダブルプレー 3アウト
4回裏,1,3.0,坂本 勇人,0,,投手交代:上茶谷→鈴木豪ハーフスイングを取られて空振りの三振を喫する 1アウト
4回裏,2,4.0,ダルベック,1,,ショートゴロ 2アウト
4回裏,3,5.0,大城 卓三,2,,外角低めの球を打つもレフトフライ 3アウト
5回表,1,1.0,正木 智也,0,,ショートへの内野安打 一塁
5回表,2,2.0,周東 佑京,0,1塁,セカンドゴロ 1アウト一塁
5回表,3,3.0,近藤 健介,1,1塁,7球粘った末にフォアボールを選ぶ 一二塁
5回表,4,4.0,栗原 陵矢,1,"1,2塁",戸郷(投):暴投 一三塁ピッチャーゴロ三塁走者周東は走塁死 2アウト一二塁
5回表,5,5.0,山本 恵大,2,"1,2塁",カウント0-2から空振り三振でバッターアウト 3アウト
5回裏,1,6.0,キャベッジ,0,,空振り三振 1アウト
5回裏,2,7.0,丸 佳浩,1,,空振り三振でバッターアウト 2アウト
5回裏,3,8.0,松本 剛,2,,ファーストゴロ 3アウト
6回表,1,6.0,山本 祐大,0,,センターへのヒットを放つ 一塁
6回表,2,7.0,牧原 大成,0,1塁,ど真ん中のストレートを打つもセンターフライ 1アウト
6回表,3,8.0,庄子 雄大,1,1塁,高めの球を打つもレフトフライ 2アウト
6回表,4,,山川 穂高,2,1塁,鈴木豪→代打:山川空振り三振 3アウト
6回裏,1,9.0,戸郷 翔征,0,,投手交代:鈴木豪→ヘルナンデス見逃し三振 1アウト
6回裏,2,1.0,泉口 友汰,1,,死球を受ける 一塁
6回裏,3,2.0,吉川 尚輝,1,1塁,一塁けん制:ランナー泉口帰塁ショートゴロ 2アウト一塁
6回裏,4,3.0,坂本 勇人,2,1塁,一塁けん制:ランナー吉川帰塁空振りの三振を喫する 3アウト
7回表,1,1.0,正木 智也,0,,見逃し三振 1アウト
7回表,2,2.0,周東 佑京,1,,サードへボテボテの内野安打 一塁
7回表,3,3.0,近藤 健介,1,1塁,外角の真っ直ぐを打つもレフトフライ一塁走者周東も戻れずダブルプレー！ 3アウト
7回裏,1,4.0,ダルベック,0,,投手交代:ヘルナンデス→木村光空振り三振でバッターアウト 1アウト
7回裏,2,5.0,大城 卓三,1,,レフトへの二塁打 二塁
7回裏,3,6.0,キャベッジ,1,2塁,二塁走者大城→代走:佐々木ショートゴロ 2アウト三塁
7回裏,4,7.0,丸 佳浩,2,3塁,外角の球を打つもショートライナー 3アウト
8回表,1,4.0,栗原 陵矢,0,,投手交代:戸郷→大勢守備交代:キャッチャー小林守備変更:佐々木→ライトセンターへの二塁打 二塁
8回表,2,5.0,山本 恵大,0,2塁,死球を受ける 一二塁
8回表,3,6.0,山本 祐大,0,"1,2塁",ソフトバンク・山本祐の一塁アウトの判定を巡り、ソフトバンクがリクエストリプレー検証後判定変わらずダブルプレー 2アウト三塁
8回表,4,,柳田 悠岐,2,3塁,牧原大→代打:柳田フルカウントから空振り三振でバッターアウト 3アウト
8回裏,1,8.0,松本 剛,0,,投手交代:木村光→津森守備交代:セカンド野村レフトへのヒットを放つ 一塁
8回裏,2,,浦田 俊輔,0,1塁,大勢→代打:浦田一塁けん制:ランナー松本帰塁見事送りバントを決める 1アウト二塁
8回裏,3,1.0,泉口 友汰,1,2塁,ファーストゴロ 2アウト三塁
8回裏,4,2.0,吉川 尚輝,2,3塁,外角のストレートを打つもレフトフライ 3アウト
9回表,1,8.0,庄子 雄大,0,,投手交代:大勢→田中瑛ショートゴロ 1アウト
9回表,2,,中村 晃,1,,津森→代打:中村晃空振り三振でバッターアウト 2アウト
9回表,3,1.0,正木 智也,2,,二塁打 二塁
9回表,4,2.0,周東 佑京,2,2塁,外角低めの落ちる球を打つもセンターフライ 3アウト試合終了
