イニング,打席順,打順,選手名,アウト,ランナー,本文
1回表,1,1.0,小深田 大翔,0,,空振り三振でバッターアウト 1アウト
1回表,2,2.0,佐藤 直樹,1,,ショートへの内野安打 一塁
1回表,3,3.0,辰己 涼介,1,1塁,0-1からレフトスタンドへの2ランホームランで楽天先制！ 中 0-2 楽
1回表,4,4.0,浅村 栄斗,1,,サードゴロ 2アウト
1回表,5,5.0,黒川 史陽,2,,セカンドゴロ 3アウト
1回裏,1,1.0,鵜飼 航丞,0,,空振り三振 1アウト
1回裏,2,2.0,田中 幹也,1,,レフトへのヒットを放つ 一塁
1回裏,3,3.0,阿部 寿樹,1,1塁,一塁けん制:ランナー田中帰塁レフトへのヒットを放つ 一三塁
1回裏,4,4.0,細川 成也,1,"1,3塁",ショートゴロの間に中日1点をあげる 中 1-2 楽 2アウト一塁
1回裏,5,5.0,石伊 雄太,2,1塁,一塁けん制:ランナー細川帰塁デッドボールを受ける 一二塁
1回裏,6,6.0,石川 昂弥,2,"1,2塁",ショートゴロ 3アウト
2回表,1,6.0,村林 一輝,0,,低めのフォークをセンターへ打ってヒット 一塁
2回表,2,7.0,小郷 裕哉,0,1塁,一塁けん制:ランナー村林帰塁外角低めのチェンジアップを打つもセンターフライ 1アウト
2回表,3,8.0,太田 光,1,1塁,ど真ん中の球を打つもセンターフライ 2アウト
2回表,4,9.0,古謝 樹,2,1塁,ハーフスイングを取られて空振りの三振を喫する 3アウト
2回裏,1,7.0,花田 旭,0,,ワンバウンドした球を空振り三振 1アウト
2回裏,2,8.0,山本 泰寛,1,,セカンドゴロ 2アウト
2回裏,3,9.0,櫻井 頼之介,2,,見逃し三振 3アウト
3回表,1,1.0,小深田 大翔,0,,ライトへのヒットを放つ 一塁
3回表,2,2.0,佐藤 直樹,0,1塁,一塁けん制:ランナー小深田帰塁高めのチェンジアップを打つもレフトフライ 1アウト
3回表,3,3.0,辰己 涼介,1,1塁,空振りの三振を喫する 2アウト
3回表,4,4.0,浅村 栄斗,2,1塁,一塁けん制:ランナー小深田帰塁一塁走者小深田:盗塁を試みるもアウト 3アウト
3回裏,1,1.0,鵜飼 航丞,0,,1-2から右中間への同点ホームラン！ 中 2-2 楽
3回裏,2,2.0,田中 幹也,0,,高めの球を打つもレフトフライ 1アウト
3回裏,3,3.0,阿部 寿樹,1,,空振り三振 2アウト
3回裏,4,4.0,細川 成也,2,,セカンドゴロ 3アウト
4回表,1,4.0,浅村 栄斗,0,,空振り三振でバッターアウト 1アウト
4回表,2,5.0,黒川 史陽,1,,空振り三振でバッターアウト 2アウト
4回表,3,6.0,村林 一輝,2,,フォアボールを選ぶ 一塁
4回表,4,7.0,小郷 裕哉,2,1塁,内角の真っ直ぐを打つもレフトフライ 3アウト
4回裏,1,5.0,石伊 雄太,0,,ど真ん中の真っ直ぐを打つもライトフライ 1アウト
4回裏,2,6.0,石川 昂弥,1,,2-0からレフトスタンドへの勝ち越しホームラン！ 中 3-2 楽
4回裏,3,7.0,花田 旭,1,,ライトへのツーベース 二塁
4回裏,4,8.0,山本 泰寛,1,2塁,ランナー二塁の0-1からレフトへタイムリーツーベース！打者走者山本は走塁死 中 4-2 楽 2アウト
4回裏,5,9.0,櫻井 頼之介,2,,見逃し三振 3アウト
5回表,1,8.0,太田 光,0,,ライトへのヒットで出塁 一塁
5回表,2,,鈴木 大地,0,1塁,古謝→代打:鈴木大空振りの三振を喫する 1アウト
5回表,3,1.0,小深田 大翔,1,1塁,空振り三振でバッターアウト 2アウト
5回表,4,2.0,佐藤 直樹,2,1塁,フォアボールを選ぶ 一二塁
5回表,5,3.0,辰己 涼介,2,"1,2塁",－中日:コーチマウンドへむかう－カウント1-2から空振りの三振を喫する 3アウト
5回裏,1,1.0,鵜飼 航丞,0,,投手交代:古謝→内守備交代:レフト中島守備変更:佐藤レフト→ライト　守備変更:黒川サード→セカンド　守備変更:鈴木大→サードライトへのヒット 一塁
5回裏,2,2.0,田中 幹也,0,1塁,見事送りバントを決める 1アウト二塁
5回裏,3,3.0,阿部 寿樹,1,2塁,フォアボールを選ぶ 一二塁
5回裏,4,4.0,細川 成也,1,"1,2塁",ランナー一二塁から外角低めの落ちる球を打つもライトフライ 2アウト一三塁
5回裏,5,5.0,石伊 雄太,2,"1,3塁",ランナー一三塁からレフトへタイムリーツーベース！ 中 5-2 楽 二三塁
5回裏,6,6.0,石川 昂弥,2,"2,3塁",2アウト二三塁の1-0からセンターへ2点タイムリーツーベース！ 中 7-2 楽 二塁
5回裏,7,7.0,花田 旭,2,2塁,カウント0-2からワンバウンドした球を空振り三振 3アウト
6回表,1,4.0,浅村 栄斗,0,,外角高めの真っ直ぐを打つもセンターフライ 1アウト
6回表,2,5.0,黒川 史陽,1,,低めの球を打つもセンターフライ 2アウト
6回表,3,6.0,村林 一輝,2,,レフトへのヒットで出塁 一塁
6回表,4,7.0,中島 大輔,2,1塁,セカンドフライ 3アウト
6回裏,1,8.0,山本 泰寛,0,,投手交代:内→渡辺翔7球粘った末にフォアボールを選ぶ 一塁
6回裏,2,,ボスラー,0,1塁,櫻井→代打:ボスラー外角低めの落ちる球を打つもファーストライナー一塁走者山本は塁を飛び出しておりダブルプレー！ 2アウト
6回裏,3,1.0,鵜飼 航丞,2,,空振りの三振を喫する 3アウト
7回表,1,8.0,太田 光,0,,投手交代:櫻井→齋藤サードゴロ 1アウト
7回表,2,9.0,鈴木 大地,1,,空振り三振でバッターアウト 2アウト
7回表,3,,吉野 創士,2,,渡辺翔→代打:吉野外角のフォークを打つもライトフライ 3アウト
7回裏,1,2.0,田中 幹也,0,,投手交代:渡辺翔→九谷サードフライ 1アウト
7回裏,2,3.0,阿部 寿樹,1,,空振り三振 2アウト
7回裏,3,4.0,細川 成也,2,,内角低めの球を打つもショートライナー 3アウト
8回表,1,2.0,佐藤 直樹,0,,投手交代:齋藤→藤嶋守備交代:サード福永守備変更:石川昂サード→ファースト空振りの三振を喫する 1アウト
8回表,2,3.0,辰己 涼介,1,,7球粘った末に四球を選ぶ 一塁
8回表,3,4.0,浅村 栄斗,1,1塁,内角高めのストレートを打つもセンターフライ 2アウト
8回表,4,5.0,黒川 史陽,2,1塁,ファーストゴロ 3アウト
8回裏,1,5.0,石伊 雄太,0,,ショートゴロ 1アウト
8回裏,2,6.0,石川 昂弥,1,,フォアボールを選ぶ 一塁
8回裏,3,7.0,花田 旭,1,1塁,内角低めの球を打つもレフトフライ 2アウト
8回裏,4,8.0,山本 泰寛,2,1塁,詰まった打球はピッチャーゴロ 3アウト
9回表,1,6.0,村林 一輝,0,,投手交代:藤嶋→橋本守備交代:レフト土田ピッチャーゴロ 1アウト
9回表,2,7.0,中島 大輔,1,,空振りの三振を喫する 2アウト
9回表,3,8.0,太田 光,2,,レフトへのヒットを放つ 一塁
9回表,4,9.0,鈴木 大地,2,1塁,ファーストゴロ 3アウト試合終了
