イニング,打席順,打順,選手名,アウト,ランナー,本文
1回表,1,1.0,カナリオ,0,,フルカウントから右中間へのホームランで西武先制！ ヤ 0-1 西
1回表,2,2.0,滝澤 夏央,0,,セカンドゴロ 1アウト
1回表,3,3.0,桑原 将志,1,,レフトへのヒットを放つ 一塁
1回表,4,4.0,ネビン,1,1塁,一塁走者桑原:盗塁成功 二塁四球を選ぶ 一二塁
1回表,5,5.0,小島 大河,1,"1,2塁",－ヤクルト:コーチマウンドへむかう－四球を選ぶ。ピッチャー小川にとって痛いフォアボールとなる 満塁
1回表,6,6.0,渡部 聖弥,1,満塁,サードゴロの間に西武1点をあげる ヤ 0-2 西 2アウト二三塁
1回表,7,7.0,長谷川 信哉,2,"2,3塁",外角のストレートを打つもライトフライ 3アウト
1回裏,1,1.0,長岡 秀樹,0,,レフトへのヒットで出塁 一塁
1回裏,2,2.0,オスナ,0,1塁,ファウルフライをネビン(一)がつかんでバッターアウト 1アウト
1回裏,3,3.0,サンタナ,1,1塁,一塁けん制:ランナー長岡帰塁セカンドゴロ 2アウト二塁
1回裏,4,4.0,増田 珠,2,2塁,セカンドフライ 3アウト
2回表,1,8.0,石井 一成,0,,空振りの三振を喫する 1アウト
2回表,2,9.0,武内 夏暉,1,,空振り三振でバッターアウト 2アウト
2回表,3,1.0,カナリオ,2,,フォアボールを選ぶ 一塁
2回表,4,2.0,滝澤 夏央,2,1塁,ショートゴロ 3アウト
2回裏,1,5.0,岩田 幸宏,0,,粘りを見せて8球目にフォアボールを選ぶ 一塁
2回裏,2,6.0,内山 壮真,0,1塁,一塁けん制:ランナー岩田帰塁また一塁けん制:ランナー岩田帰塁一塁けん制:ランナー岩田スタート一塁走者岩田:けん制球に誘い出され盗塁失敗 1アウトハーフスイングを取られて空振り三振でバッターアウト 2アウト
2回裏,3,7.0,鈴木 叶,2,,泳ぎながらもレフトへヒットを放つ 一塁
2回裏,4,8.0,石井 巧,2,1塁,ショートフライ 3アウト
3回表,1,3.0,桑原 将志,0,,サードゴロ 1アウト
3回表,2,4.0,ネビン,1,,セカンドゴロ 2アウト
3回表,3,5.0,小島 大河,2,,ショートフライ 3アウト
3回裏,1,9.0,小川 泰弘,0,,空振りの三振を喫する 1アウト
3回裏,2,1.0,長岡 秀樹,1,,ど真ん中の真っ直ぐをレフトへ打ってヒット 一塁
