イニング,打席順,打順,選手名,アウト,ランナー,本文
1回表,1,1.0,西川 龍馬,0,,セカンドゴロ 1アウト
1回表,2,2.0,中川 圭太,1,,レフトへのヒットを放つ 一塁
1回表,3,3.0,森 友哉,1,1塁,空振りの三振を喫する 2アウト0:171回表、東選手が外に逃げるスライダーを振らせて三振に斬って取る!!
1回表,4,4.0,紅林 弘太郎,2,1塁,外角低めのチェンジアップを引っかけてサードゴロ 3アウト
1回裏,1,1.0,蝦名 達夫,0,,セカンドフライ 1アウト
1回裏,2,2.0,勝又 温史,1,,外角高めのツーシームを打つもセンターフライ 2アウト
1回裏,3,3.0,度会 隆輝,2,,ファーストゴロ 3アウト
2回表,1,5.0,宗 佑磨,0,,センターへのヒットで出塁 一塁
2回表,2,6.0,山中 稜真,0,1塁,一塁けん制:ランナー宗帰塁また一塁けん制:ランナー宗帰塁一塁けん制:ランナー宗帰塁ライトへのヒットで出塁 一二塁
2回表,3,7.0,野口 智哉,0,"1,2塁",空振り三振 1アウト0:172回表、東選手が外角低めのスライダーで空振り三振を奪う！
2回表,4,8.0,渡部 遼人,1,"1,2塁",ピッチャーゴロ 2アウト二三塁
2回表,5,9.0,エスピノーザ,2,"2,3塁",東(投):ワイルドピッチオリックス先制！ デ 0-1 オ 三塁カウント2-2から空振り三振 3アウト
2回裏,1,4.0,佐野 恵太,0,,内角低めの変化球を打つもライトフライ 1アウト
2回裏,2,5.0,ヒュンメル,1,,デッドボールを受ける 一塁
2回裏,3,6.0,石上 泰輝,1,1塁,内角低めの真っ直ぐを打つもレフトフライ 2アウト
2回裏,4,7.0,松尾 汐恩,2,1塁,ピッチャーゴロ 3アウト
3回表,1,1.0,西川 龍馬,0,,ピッチャーゴロ 1アウト
3回表,2,2.0,中川 圭太,1,,セカンドゴロ 2アウト
3回表,3,3.0,森 友哉,2,,ファーストゴロ 3アウト
3回裏,1,8.0,東 克樹,0,,ショートゴロ 1アウト
3回裏,2,9.0,三森 大貴,1,,内角のツーシームを打つもレフトフライ 2アウト
3回裏,3,1.0,蝦名 達夫,2,,レフトへのヒットで出塁 一塁
3回裏,4,2.0,勝又 温史,2,1塁,一塁走者蝦名:盗塁を試みるもアウト 3アウト
4回表,1,4.0,紅林 弘太郎,0,,低めの落ちる球を打つもセンターフライ 1アウト
4回表,2,5.0,宗 佑磨,1,,セカンドフライ 2アウト
4回表,3,6.0,山中 稜真,2,,サードへのファウルフライに倒れる 3アウト
4回裏,1,2.0,勝又 温史,0,,空振り三振でバッターアウト 1アウト
4回裏,2,3.0,度会 隆輝,1,,空振り三振 2アウト
4回裏,3,4.0,佐野 恵太,2,,ショートゴロ 3アウト
5回表,1,7.0,野口 智哉,0,,セカンドゴロ 1アウト
5回表,2,8.0,渡部 遼人,1,,ショートゴロ 2アウト
5回表,3,9.0,エスピノーザ,2,,空振りの三振を喫する 3アウト0:085回表、東選手が外角のツーシームで三振に仕留める！
5回裏,1,5.0,ヒュンメル,0,,見逃し三振 1アウト
5回裏,2,6.0,石上 泰輝,1,,セカンドゴロ 2アウト
5回裏,3,7.0,松尾 汐恩,2,,センターへのヒットで出塁 一塁
5回裏,4,8.0,東 克樹,2,1塁,レフトへのヒットを放つ 一二塁
5回裏,5,9.0,三森 大貴,2,"1,2塁",－オリックス:コーチマウンドへむかう－カウント1-2から空振り三振！決定機を逃す 3アウト
6回表,1,1.0,西川 龍馬,0,,外角の変化球を打つもライトフライ 1アウト
6回表,2,2.0,中川 圭太,1,,レフトへのヒットで出塁 一塁
6回表,3,3.0,森 友哉,1,1塁,ライトへのヒットで出塁 一二塁
6回表,4,4.0,紅林 弘太郎,1,"1,2塁",ランナー一二塁から4-6-3のダブルプレー 3アウト
6回裏,1,1.0,蝦名 達夫,0,,ワンバウンドした球を空振り三振 1アウト
6回裏,2,2.0,勝又 温史,1,,フォアボールを選ぶ 一塁
6回裏,3,3.0,度会 隆輝,1,1塁,レフトへのヒットを放つ 一二塁
6回裏,4,4.0,佐野 恵太,1,"1,2塁",－オリックス:コーチマウンドへむかう－見逃し三振でバッターアウト！ 2アウト
6回裏,5,5.0,ヒュンメル,2,"1,2塁",一打同点の場面で空振り三振！決定機を逃す 3アウト
7回表,1,5.0,宗 佑磨,0,,外角のスライダーを打つもセンターフライ 1アウト
7回表,2,6.0,山中 稜真,1,,低めのチェンジアップを打つもセンターフライ 2アウト
7回表,3,7.0,野口 智哉,2,,ライトへのヒットを放つ 一塁
7回表,4,8.0,渡部 遼人,2,1塁,一塁けん制:ランナー野口戻りきれずタッチアウト！ 3アウト0:087回表、東選手の巧みな牽制で1塁走者を刺す!!
7回裏,1,6.0,石上 泰輝,0,,ピッチャーエスピノーザに代わって吉田がマウンドにあがるセンターへの二塁打 二塁
7回裏,2,7.0,松尾 汐恩,0,2塁,高めのつり球に空振り三振 1アウト
7回裏,3,,宮﨑 敏郎,1,2塁,東→代打:宮﨑フォアボールを選ぶ 一二塁
