イニング,打席順,打順,選手名,アウト,ランナー,本文
1回表,1,1.0,水野 達稀,0,,ファーストゴロ 1アウト
1回表,2,2.0,田宮 裕涼,1,,ショートゴロ 2アウト
1回表,3,3.0,カストロ,2,,詰まった打球はセカンドゴロ 3アウト
1回裏,1,1.0,髙寺 望夢,0,,センターへのヒットで出塁 一塁
1回裏,2,2.0,中野 拓夢,0,1塁,見事送りバントを成功させる 1アウト二塁
1回裏,3,3.0,森下 翔太,1,2塁,詰まった打球はサードゴロとなる 2アウト
1回裏,4,4.0,佐藤 輝明,2,2塁,8球粘った末に四球を選ぶ 一二塁
1回裏,5,5.0,大山 悠輔,2,"1,2塁",ランナー一二塁の0-2からライトへの先制タイムリーヒット！ 神 1-0 日 一二塁0:50【1回裏】大山 1ｰ2塁間を抜けた!! タイムリーヒットで先制!! 2026/05/28 T-F
1回裏,6,6.0,立石 正広,2,"1,2塁",ショートフライ 3アウト
2回表,1,4.0,レイエス,0,,低めの変化球を打つもセンターフライ 1アウト
2回表,2,5.0,万波 中正,1,,空振り三振でバッターアウト 2アウト
2回表,3,6.0,清宮 幸太郎,2,,ショートへの内野安打 一塁
2回表,4,7.0,郡司 裕也,2,1塁,一塁けん制:ランナー清宮幸帰塁一塁けん制:ランナー清宮幸帰塁また一塁けん制:ランナー清宮幸帰塁空振り三振でバッターアウト 3アウト
2回裏,1,7.0,梅野 隆太郎,0,,ショートゴロ 1アウト
2回裏,2,8.0,熊谷 敬宥,1,,空振りの三振を喫する 2アウト
2回裏,3,9.0,木下 里都,2,,ファーストゴロ 3アウト
3回表,1,8.0,奈良間 大己,0,,粘りを見せて9球目にフォアボールを選ぶ 一塁
3回表,2,9.0,福島 蓮,0,1塁,送りバント失敗 1アウト一塁
3回表,3,1.0,水野 達稀,1,1塁,レフトへの二塁打 二三塁
3回表,4,2.0,田宮 裕涼,1,"2,3塁",1アウト二三塁からライトへの逆転タイムリーヒット！ 神 1-2 日 一塁
3回表,5,3.0,カストロ,1,1塁,一塁けん制:ランナー田宮帰塁詰まりながらもライトへヒットを放つ 一二塁
3回表,6,4.0,レイエス,1,"1,2塁",－阪神:コーチマウンドへむかう－1アウト一二塁から低めの真っ直ぐを打つもライトフライ 2アウト
3回表,7,5.0,万波 中正,2,"1,2塁",2アウト一二塁の2-2からセンターへのタイムリーヒット 神 1-3 日 一二塁
3回表,8,6.0,清宮 幸太郎,2,"1,2塁",セカンドゴロ 3アウト
3回裏,1,1.0,髙寺 望夢,0,,全く反応できず三球三振 1アウト
3回裏,2,2.0,中野 拓夢,1,,空振り三振 2アウト
3回裏,3,3.0,森下 翔太,2,,空振りの三振を喫する 3アウト
4回表,1,7.0,郡司 裕也,0,,フォアボールを選ぶ 一塁
4回表,2,8.0,奈良間 大己,0,1塁,ど真ん中の変化球を打つもライトフライ 1アウト
4回表,3,9.0,福島 蓮,1,1塁,見事送りバントを成功させる 2アウト二塁
4回表,4,1.0,水野 達稀,2,2塁,低めの球を打つもショートライナー 3アウト
4回裏,1,4.0,佐藤 輝明,0,,レフトへのヒットで出塁 一塁
4回裏,2,5.0,大山 悠輔,0,1塁,一塁けん制:ランナー佐藤帰塁見逃し三振 1アウト
4回裏,3,6.0,立石 正広,1,1塁,併殺打 3アウト
5回表,1,2.0,田宮 裕涼,0,,投手交代:木下→湯浅フォアボールを選ぶ 一塁
5回表,2,3.0,カストロ,0,1塁,一塁けん制:ランナー田宮帰塁一塁けん制:ランナー田宮帰塁6-4-3のダブルプレー 2アウト
5回表,3,4.0,レイエス,2,,外角高めのストレートを打つもライトフライ 3アウト
5回裏,1,7.0,梅野 隆太郎,0,,空振りの三振を喫する 1アウト
5回裏,2,8.0,熊谷 敬宥,1,,セーフティバントを試みるもファーストゴロとなる 2アウト
5回裏,3,,福島 圭音,2,,湯浅→代打:福島センターへのヒットを放つ 一塁0:41【5回裏】福島 走った!! 盗塁成功!! 今シーズン4個目!! 2026/05/28 T-F
5回裏,4,1.0,髙寺 望夢,2,1塁,一塁けん制:ランナー福島帰塁一塁走者福島:盗塁成功 二塁カウント2-2から空振り三振 3アウト
6回表,1,5.0,万波 中正,0,,投手交代:湯浅→門別ライトへのヒットを放つ 一塁
6回表,2,6.0,清宮 幸太郎,0,1塁,セカンドゴロ 1アウト一塁
6回表,3,7.0,郡司 裕也,1,1塁,ファウルフライを立石(三)がつかんでバッターアウト 2アウト
6回表,4,8.0,奈良間 大己,2,1塁,ピッチャーゴロ 3アウト
6回裏,1,2.0,中野 拓夢,0,,低めの球を打つもレフトフライ 1アウト
6回裏,2,3.0,森下 翔太,1,,ボテボテのセカンドゴロ 2アウト
6回裏,3,4.0,佐藤 輝明,2,,ファーストゴロ 3アウト
7回表,1,9.0,福島 蓮,0,,打つ気なく三振に倒れる 1アウト
7回表,2,1.0,水野 達稀,1,,ショートゴロ 2アウト0:47【7回表】熊谷 くるり一回転!! ストライク送球!! まさにプロのプレー!! 2026/05/28 T-F
7回表,3,2.0,田宮 裕涼,2,,セカンドゴロ 3アウト
7回裏,1,5.0,大山 悠輔,0,,守備交代:サード山縣外角高めのストレートをライトへ打ってヒット 一塁
7回裏,2,6.0,立石 正広,0,1塁,外角高めのカットボールを打つもライトフライ 1アウト
7回裏,3,7.0,梅野 隆太郎,1,1塁,低めのカットボールを打つもレフトフライ 2アウト
7回裏,4,8.0,熊谷 敬宥,2,1塁,サードゴロ 3アウト
8回表,1,3.0,カストロ,0,,投手交代:門別→モレッタ外角低めのストレートをセンターへ打ってヒット 一塁
8回表,2,4.0,レイエス,0,1塁,一塁走者カストロ→代走:五十幡空振り三振でバッターアウト 1アウト
8回表,3,5.0,万波 中正,1,1塁,日本ハム・五十幡の二塁盗塁アウトの判定を巡り、日本ハムがリクエストリプレー検証後判定変わらず一塁走者五十幡:盗塁を試みるもアウト 2アウトワンバウンドした球を空振り三振 3アウト0:57【8回表】梅野 梅ちゃんバズーカ炸裂!! 2026/05/28 T-F
8回裏,1,,ディベイニー,0,,ピッチャー福島に代わって島本がマウンドにあがる　守備交代:レフト細川守備変更:五十幡→センター　守備変更:清宮幸レフト→ファーストモレッタ→代打:ディベイニーワンバウンドした球に空振り、三振を喫する 1アウト
