イニング,打席順,打順,選手名,アウト,ランナー,本文
1回表,1,1.0,小川 龍成,0,,ライトへのファウルフライに倒れる 1アウト
1回表,2,2.0,友杉 篤輝,1,,サードゴロ 2アウト
1回表,3,3.0,西川 史礁,2,,空振り三振 3アウト
1回裏,1,1.0,大盛 穂,0,,全く手が出ず見逃し三振 1アウト
1回裏,2,2.0,名原 典彦,1,,ショートゴロ 2アウト
1回裏,3,3.0,菊池 涼介,2,,外角の球を打つもセンターフライ 3アウト
2回表,1,4.0,山口 航輝,0,,サードゴロ 1アウト
2回表,2,5.0,佐藤 都志也,1,,低めのシンカーを打つもピッチャーライナー 2アウト
2回表,3,6.0,ソト,2,,セカンドフライ 3アウト
2回裏,1,4.0,坂倉 将吾,0,,外角高めのストレートを打つもレフトフライ 1アウト
2回裏,2,5.0,モンテロ,1,,見逃し三振 2アウト
2回裏,3,6.0,持丸 泰輝,2,,全く反応できず見逃し三振 3アウト
3回表,1,7.0,寺地 隆成,0,,内角高めのスライダーを打つもライトフライ 1アウト
3回表,2,8.0,髙部 瑛斗,1,,ファーストゴロ 2アウト
3回表,3,9.0,廣池 康志郎,2,,セカンドゴロ 3アウト
3回裏,1,7.0,二俣 翔一,0,,ファーストへのファウルフライに倒れる 1アウト
3回裏,2,8.0,矢野 雅哉,1,,キャッチャーへボテボテの内野安打佐藤(捕):悪送球 二塁
3回裏,3,9.0,鈴木 健矢,1,2塁,ランナー二塁の0-1からライトへのタイムリーヒットで広島先制！ 広 1-0 ロ 一塁
3回裏,4,1.0,大盛 穂,1,1塁,併殺打 3アウト
4回表,1,1.0,小川 龍成,0,,死球を受ける 一塁
4回表,2,2.0,友杉 篤輝,0,1塁,ライトへのヒット 一二塁
4回表,3,3.0,西川 史礁,0,"1,2塁",デッドボール。広島、満塁のピンチをまねく 満塁
4回表,4,4.0,山口 航輝,0,満塁,－広島:コーチマウンドへむかう－セカンドゴロの間にロッテ1点をあげる 広 1-1 ロ 1アウト一三塁
4回表,5,5.0,佐藤 都志也,1,"1,3塁",ランナー一三塁の1-0からセンターへの勝ち越しタイムリーツーベース！ 広 1-3 ロ 二塁
4回表,6,6.0,ソト,1,2塁,内角低めのシンカーを打つもライトフライ 2アウト三塁
4回表,7,7.0,寺地 隆成,2,3塁,当てるだけのバッティングでショートゴロ 3アウト
4回裏,1,2.0,名原 典彦,0,,ショートフライ 1アウト
4回裏,2,3.0,菊池 涼介,1,,レフトへのツーベース 二塁
4回裏,3,4.0,坂倉 将吾,1,2塁,死球を受ける 一二塁
4回裏,4,5.0,モンテロ,1,"1,2塁",－ロッテ:コーチマウンドへむかう－空振り三振 2アウト
4回裏,5,6.0,持丸 泰輝,2,"1,2塁",ファウルフライを寺地(三)が捕球してバッターアウト 3アウト
5回表,1,8.0,髙部 瑛斗,0,,投手交代:鈴木→益田詰まりながらもライトへヒットを放つ 一塁
5回表,2,9.0,廣池 康志郎,0,1塁,一塁けん制:ランナー髙部帰塁一塁けん制:ランナー髙部帰塁見事送りバントを決める 1アウト二塁
5回表,3,1.0,小川 龍成,1,2塁,ランナー二塁の0-1からライトへのタイムリーヒット 広 1-4 ロ 二塁
5回表,4,2.0,友杉 篤輝,1,2塁,ファーストフライ 2アウト
5回表,5,3.0,西川 史礁,2,2塁,2アウト二塁からセカンドゴロ 3アウト
5回裏,1,7.0,二俣 翔一,0,,内角のストレートを打つもライトフライ 1アウト
