イニング,打席順,打順,選手名,アウト,ランナー,本文
1回表,1,1.0,中野 拓夢,0,,フォアボールを選ぶ 一塁
1回表,2,2.0,森下 翔太,0,1塁,一塁けん制:ランナー中野帰塁一塁けん制:ランナー中野帰塁内角のストレートを打つもレフトフライ 1アウト
1回表,3,3.0,佐藤 輝明,1,1塁,内角低めのカットボールを打つもレフトフライ 2アウト
1回表,4,4.0,大山 悠輔,2,1塁,センターへのヒットを放つ 一三塁
1回表,5,5.0,髙寺 望夢,2,"1,3塁",詰まった打球はセカンドゴロ 3アウト
1回裏,1,1.0,小川 龍成,0,,死球を受ける 一塁
1回裏,2,2.0,友杉 篤輝,0,1塁,4-6-3のダブルプレー 2アウト
1回裏,3,3.0,西川 史礁,2,,セカンドゴロ 3アウト
2回表,1,6.0,立石 正広,0,,レフトへのヒットで出塁 一塁
2回表,2,7.0,福島 圭音,0,1塁,送りバントを試みるもフライとなりアウト 1アウト
2回表,3,8.0,伏見 寅威,1,1塁,ライトへのヒットを放つ 一二塁
2回表,4,9.0,熊谷 敬宥,1,"1,2塁",フォアボール。ロッテ、満塁のピンチをまねく 満塁
2回表,5,1.0,中野 拓夢,1,満塁,－ロッテ:コーチマウンドへむかう－セカンドゴロの間に阪神1点をあげる ロ 0-1 神 2アウト一三塁
2回表,6,2.0,森下 翔太,2,"1,3塁",ファウルフライを佐藤(捕)が捕球してバッターアウト 3アウト
2回裏,1,4.0,山口 航輝,0,,サードゴロ 1アウト
2回裏,2,5.0,佐藤 都志也,1,,空振りの三振を喫する 2アウト
2回裏,3,6.0,池田 来翔,2,,レフトへのツーベース 二塁
2回裏,4,7.0,井上 広大,2,2塁,2アウト二塁から外角高めのストレートを打つもライトフライ 3アウト
3回表,1,3.0,佐藤 輝明,0,,ファーストゴロ 1アウト
3回表,2,4.0,大山 悠輔,1,,内角のカットボールを打つもレフトフライ 2アウト
3回表,3,5.0,髙寺 望夢,2,,ショートフライ 3アウト
3回裏,1,8.0,寺地 隆成,0,,ピッチャーゴロ 1アウト
3回裏,2,9.0,髙部 瑛斗,1,,見逃し三振 2アウト
3回裏,3,1.0,小川 龍成,2,,外角高めのストレートを打つもライトフライ 3アウト
4回表,1,6.0,立石 正広,0,,ショートゴロ 1アウト
4回表,2,7.0,福島 圭音,1,,セカンドゴロ 2アウト
4回表,3,8.0,伏見 寅威,2,,セカンドゴロ 3アウト0:20【4回表】スーパープレー!! マリーンズ・小川龍成 二遊間の打球に追いつきアウトを取る!! 2026年5月29日 千葉ロッテマリーンズ 対 阪神タイガース
4回裏,1,2.0,友杉 篤輝,0,,セーフティバントを試みるもキャッチャーゴロとなる 1アウト
4回裏,2,3.0,西川 史礁,1,,空振り三振でバッターアウト 2アウト
4回裏,3,4.0,山口 航輝,2,,低めのツーシームを打つもレフトフライ 3アウト
5回表,1,9.0,熊谷 敬宥,0,,空振り三振でバッターアウト 1アウト
5回表,2,1.0,中野 拓夢,1,,見逃し三振でバッターアウト！ 2アウト
5回表,3,2.0,森下 翔太,2,,ファウルフライを小川(二)が捕球してバッターアウト 3アウト
5回裏,1,5.0,佐藤 都志也,0,,センターへのヒットを放つ 一塁
5回裏,2,6.0,池田 来翔,0,1塁,ファーストフライ 1アウト
5回裏,3,7.0,井上 広大,1,1塁,ワンバウンドした球を空振り三振 2アウト
5回裏,4,8.0,寺地 隆成,2,1塁,空振り三振でバッターアウト 3アウト
6回表,1,3.0,佐藤 輝明,0,,外角低めのストレートを打つもレフトフライ 1アウト
6回表,2,4.0,大山 悠輔,1,,ショートゴロ 2アウト0:33【6回表】鉄壁の二遊間!! マリーンズ・友杉篤輝 三遊間の深い位置からアウトを奪う!! 2026年5月29日 千葉ロッテマリーンズ 対 阪神タイガース
6回表,3,5.0,髙寺 望夢,2,,空振りの三振を喫する 3アウト0:18【6回表】最後は三振!! マリーンズ・田中晴也 6回115球1失点と粘りの投球を見せる!! 2026年5月29日 千葉ロッテマリーンズ 対 阪神タイガース
6回裏,1,9.0,髙部 瑛斗,0,,ど真ん中の球を打つもレフトフライ 1アウト
6回裏,2,1.0,小川 龍成,1,,外角の球を打つもサードライナー 2アウト
6回裏,3,2.0,友杉 篤輝,2,,内角高めのストレートを打つもライトフライ 3アウト
7回表,1,6.0,立石 正広,0,,投手交代:田中→小野ショートフライ 1アウト
7回表,2,7.0,福島 圭音,1,,フォアボールを選ぶ 一塁
7回表,3,8.0,伏見 寅威,1,1塁,一塁走者福島:盗塁成功 二塁空振りの三振を喫する 2アウト
7回表,4,9.0,熊谷 敬宥,2,2塁,ランナー二塁から低めのストレートを打つもセンターフライ 3アウト
7回裏,1,3.0,西川 史礁,0,,セカンドゴロ 1アウト
7回裏,2,4.0,山口 航輝,1,,内角低めの球を打つもショートライナー 2アウト
7回裏,3,5.0,佐藤 都志也,2,,外角低めのカットボールを打つもショートライナー 3アウト
8回表,1,1.0,中野 拓夢,0,,内角高めの真っ直ぐを打つもレフトフライ 1アウト
8回表,2,2.0,森下 翔太,1,,セカンドフライ 2アウト
8回表,3,3.0,佐藤 輝明,2,,セカンドへの内野安打 一塁
8回表,4,4.0,大山 悠輔,2,1塁,セカンドフライ 3アウト
8回裏,1,6.0,池田 来翔,0,,空振り三振 1アウト
8回裏,2,7.0,井上 広大,1,,フォアボールを選ぶ 一塁
8回裏,3,,ソト,1,1塁,寺地→代打:ソト一塁走者井上→代走:和田一塁けん制:ランナー和田帰塁フォアボールを選ぶ 一二塁
8回裏,4,,ポランコ,1,"1,2塁",－阪神:コーチマウンドへむかう－髙部→代打:ポランコ一塁走者ソト→代走:宮崎竜低めのストレートを打つもライトフライ 2アウト一三塁
8回裏,5,1.0,小川 龍成,2,"1,3塁",一打同点の場面でセカンドゴロ 3アウト
9回表,1,5.0,髙寺 望夢,0,,投手交代:小野→益田守備交代:ライト山本守備変更:西川ライト→レフト　守備変更:和田→センター　守備変更:宮崎竜→サード低めの真っ直ぐを打つもレフトフライ 1アウト
9回表,2,6.0,立石 正広,1,,空振り三振 2アウト
9回表,3,7.0,福島 圭音,2,,フォアボールを選ぶ 一塁
9回表,4,8.0,伏見 寅威,2,1塁,ファウルフライを山本(右)が捕球してバッターアウト 3アウト
9回裏,1,2.0,友杉 篤輝,0,,ピッチャー髙橋に代わってドリスがマウンドにあがるロッテ・友杉の一塁アウトの判定を巡り、ロッテがリクエストリプレー検証後判定変わらずショートゴロ 1アウト
9回裏,2,3.0,西川 史礁,1,,ファーストゴロ 2アウト
9回裏,3,4.0,山口 航輝,2,,センターへの二塁打 二塁
9回裏,4,5.0,佐藤 都志也,2,2塁,二塁走者山口→代走:岡一塁が空いているため敬遠される 一二塁
9回裏,5,6.0,池田 来翔,2,"1,2塁",一打同点の場面でショートゴロ 3アウト試合終了
