イニング,打席順,打順,選手名,アウト,ランナー,本文
1回表,1,1.0,大盛 穂,0,,空振り三振でバッターアウト 1アウト
1回表,2,2.0,名原 典彦,1,,内角の変化球を打つもレフトフライ 2アウト0:41【1回表】球際の強さ!! ホークス・近藤健介 完璧なタイミングのダイビングキャッチ!! 2026年5月29日 福岡ソフトバンクホークス 対 広島東洋カープ
1回表,3,3.0,菊池 涼介,2,,低めの真っ直ぐを打つもセンターフライ 3アウト
1回裏,1,1.0,正木 智也,0,,空振り三振でバッターアウト 1アウト
1回裏,2,2.0,周東 佑京,1,,ショートゴロ 2アウト
1回裏,3,3.0,近藤 健介,2,,センターへのヒットで出塁 一塁
1回裏,4,4.0,栗原 陵矢,2,1塁,ど真ん中の球を打つもレフトフライ 3アウト
2回表,1,4.0,坂倉 将吾,0,,見逃し三振でバッターアウト！ 1アウト
2回表,2,5.0,モンテロ,1,,フォアボールを選ぶ 一塁
2回表,3,6.0,小園 海斗,1,1塁,ショートゴロ 2アウト一塁
2回表,4,7.0,ファビアン,2,1塁,一塁けん制:ランナー小園帰塁ど真ん中の球を打つもレフトフライ 3アウト
2回裏,1,5.0,柳田 悠岐,0,,センターへの二塁打 二塁
2回裏,2,6.0,山川 穂高,0,2塁,詰まった打球はセカンドゴロ 1アウト三塁
2回裏,3,7.0,山本 祐大,1,3塁,ショートゴロの間に三塁ランナー柳田が本塁生還 ソ 1-0 広 2アウト
2回裏,4,8.0,今宮 健太,2,,フォアボールを選ぶ 一塁
2回裏,5,9.0,庄子 雄大,2,1塁,一塁けん制:ランナー今宮帰塁ショートフライ 3アウト
3回表,1,8.0,持丸 泰輝,0,,外角の球を打つもレフトフライ 1アウト
3回表,2,9.0,矢野 雅哉,1,,セカンドゴロ 2アウト
3回表,3,1.0,大盛 穂,2,,外角のストレートを打つもセンターフライ 3アウト
3回裏,1,1.0,正木 智也,0,,2-1からバックスクリーン左に飛び込むホームランを放つ ソ 2-0 広0:55【3回裏】文句なしの一発!! ホークス・正木智也 センターへのソロホームランで追加点!! 2026年5月29日 福岡ソフトバンクホークス 対 広島東洋カープ
3回裏,2,2.0,周東 佑京,0,,セカンドゴロ 1アウト
3回裏,3,3.0,近藤 健介,1,,センターへのヒットを放つ 一塁
3回裏,4,4.0,栗原 陵矢,1,1塁,低めの球を打つもレフトフライ 2アウト
3回裏,5,5.0,柳田 悠岐,2,1塁,外角の球を打つもレフトフライ 3アウト
4回表,1,2.0,名原 典彦,0,,内角の真っ直ぐを打つもライトフライ 1アウト
4回表,2,3.0,菊池 涼介,1,,レフトへの二塁打 二塁
4回表,3,4.0,坂倉 将吾,1,2塁,ファーストゴロ 2アウト三塁
4回表,4,5.0,モンテロ,2,3塁,ピッチャーゴロ 3アウト
4回裏,1,6.0,山川 穂高,0,,ハーフスイングを取られて三球三振 1アウト
4回裏,2,7.0,山本 祐大,1,,ど真ん中の真っ直ぐを打つもレフトフライ 2アウト
4回裏,3,,牧原 大成,2,,今宮→代打:牧原大一塁側へセーフティバントを試み、一塁セーフ 一塁
4回裏,4,9.0,庄子 雄大,2,1塁,セカンドゴロ 3アウト
5回表,1,6.0,小園 海斗,0,,守備変更:牧原大→セカンド外角低めの変化球を引っかけてファーストゴロ 1アウト
5回表,2,7.0,ファビアン,1,,内角のストレートを打つもレフトフライ 2アウト
5回表,3,8.0,持丸 泰輝,2,,内角の球を打つもセカンドライナー 3アウト
5回裏,1,1.0,正木 智也,0,,センターへのヒットを放つ 一塁
5回裏,2,2.0,周東 佑京,0,1塁,空振り三振 1アウト
5回裏,3,3.0,近藤 健介,1,1塁,内角のシュートを打つもセンターフライ 2アウト
5回裏,4,4.0,栗原 陵矢,2,1塁,一塁けん制:ランナー正木帰塁セカンドゴロ 3アウト
6回表,1,9.0,矢野 雅哉,0,,空振り三振でバッターアウト 1アウト
6回表,2,1.0,大盛 穂,1,,見逃し三振でバッターアウト！ 2アウト
6回表,3,2.0,名原 典彦,2,,セカンドゴロ 3アウト
6回裏,1,5.0,柳田 悠岐,0,,ファーストゴロ 1アウト
6回裏,2,6.0,山川 穂高,1,,空振りの三振を喫する 2アウト
6回裏,3,7.0,山本 祐大,2,,デッドボールを受ける 一塁
6回裏,4,8.0,牧原 大成,2,1塁,低めのストレートを打つもライトフライ 3アウト
7回表,1,3.0,菊池 涼介,0,,ショートゴロ 1アウト
7回表,2,4.0,坂倉 将吾,1,,空振り三振 2アウト
7回表,3,5.0,モンテロ,2,,低めのストレートを打つもライトフライ 3アウト
7回裏,1,9.0,庄子 雄大,0,,フォアボール 一塁
7回裏,2,1.0,正木 智也,0,1塁,一塁けん制:ランナー庄子帰塁一塁けん制:ランナー庄子帰塁一塁けん制:ランナー庄子帰塁セカンドゴロ 1アウト二塁
7回裏,3,2.0,周東 佑京,1,2塁,－広島:内野手マウンドへ集まる－ランナー二塁からセカンドゴロ 2アウト三塁
7回裏,4,3.0,近藤 健介,2,3塁,ランナー三塁からセカンドゴロ 3アウト
8回表,1,6.0,小園 海斗,0,,セカンドゴロ 1アウト
8回表,2,7.0,ファビアン,1,,ピッチャーゴロ 2アウト
8回表,3,8.0,持丸 泰輝,2,,ショートフライ 3アウト
8回裏,1,4.0,栗原 陵矢,0,,投手交代:玉村→辻ファーストゴロ 1アウト
8回裏,2,5.0,柳田 悠岐,1,,四球を選ぶ 一塁
8回裏,3,6.0,山川 穂高,1,1塁,6-4-3のダブルプレー 3アウト
9回表,1,,前川 誠太,0,,守備交代:サード野村守備交代:ライト川村守備変更:栗原サード→ファースト矢野→代打:前川フォアボールを選ぶ 一塁
9回表,2,,中村 奨成,0,1塁,大盛→代打:中村奨ど真ん中のストレートを打つもライトフライ 1アウト
9回表,3,2.0,名原 典彦,1,1塁,セカンドゴロ 2アウト二塁
