イニング,打席順,打順,選手名,アウト,ランナー,本文
1回表,1,1.0,泉口 友汰,0,,セカンドゴロ 1アウト
1回表,2,2.0,浦田 俊輔,1,,センターへのヒットを放つ 一塁
1回表,3,3.0,松本 剛,1,1塁,一塁走者浦田:すかさず初球から走って盗塁成功 二塁1アウト二塁の0-1からレフトへの先制タイムリーツーベース！ 日 0-1 巨 二塁
1回表,4,4.0,ダルベック,1,2塁,フォアボールを選ぶ 一二塁
1回表,5,5.0,大城 卓三,1,"1,2塁",3-6-1のダブルプレー 3アウト
1回裏,1,1.0,水野 達稀,0,,セカンドゴロ 1アウト
1回裏,2,2.0,万波 中正,1,,レフトへのヒット 一塁
1回裏,3,3.0,レイエス,1,1塁,フォアボールを選ぶ 一二塁
1回裏,4,4.0,清宮 幸太郎,1,"1,2塁",外角低めの落ちる球を引っかけてファーストゴロ 2アウト二三塁
1回裏,5,5.0,矢澤 宏太,2,"2,3塁",カウント1-2から空振り三振！決定機を逃す 3アウト
2回表,1,6.0,キャベッジ,0,,カウント1-2からレフトスタンドへのホームラン 日 0-2 巨
2回表,2,7.0,岸田 行倫,0,,ライトスタンドへのホームラン 日 0-3 巨
2回表,3,8.0,ティマ,0,,空振り三振でバッターアウト 1アウト
2回表,4,9.0,佐々木 俊輔,1,,外角高めの球を打つもレフトフライ 2アウト
2回表,5,1.0,泉口 友汰,2,,ピッチャー有原のグラブをはじくもピッチャーゴロに倒れる 3アウト
2回裏,1,6.0,郡司 裕也,0,,内角低めの球を打つもレフトフライ 1アウト
2回裏,2,7.0,山縣 秀,1,,サードゴロ 2アウト
2回裏,3,8.0,五十幡 亮汰,2,,ライトへの二塁打 二塁
2回裏,4,9.0,梅林 優貴,2,2塁,2アウト二塁からショートゴロ 3アウト
3回表,1,2.0,浦田 俊輔,0,,水野(遊)のファンブルにより出塁する 一塁
3回表,2,3.0,松本 剛,0,1塁,一塁けん制:ランナー浦田帰塁また一塁けん制:ランナー浦田帰塁またも一塁けん制:ランナー浦田帰塁一塁けん制:ランナー浦田帰塁一塁走者浦田:盗塁成功 二塁全く反応できず三球三振 1アウト
3回表,3,4.0,ダルベック,1,2塁,二塁走者浦田:盗塁成功 三塁ランナー三塁の2-1からレフトへのタイムリーヒット 日 0-4 巨 一塁
3回表,4,5.0,大城 卓三,1,1塁,併殺打 3アウト
3回裏,1,1.0,水野 達稀,0,,セカンドゴロ 1アウト
3回裏,2,2.0,万波 中正,1,,見逃し三振でバッターアウト！ 2アウト
3回裏,3,3.0,レイエス,2,,空振りの三振を喫する 3アウト
4回表,1,6.0,キャベッジ,0,,空振りの三振を喫する 1アウト
4回表,2,7.0,岸田 行倫,1,,ストレートのフォアボールで出塁 一塁
4回表,3,8.0,ティマ,1,1塁,一塁けん制:ランナー岸田帰塁内角の落ちる球を打つもショートライナー一塁走者岸田は塁を飛び出しておりダブルプレー！ 3アウト
4回裏,1,4.0,清宮 幸太郎,0,,ライトへのヒットを放つ 一塁
4回裏,2,5.0,矢澤 宏太,0,1塁,ストレートのフォアボールで出塁 一二塁
4回裏,3,6.0,郡司 裕也,0,"1,2塁",ファウルフライをティマ(一)がつかんでバッターアウト 1アウト
4回裏,4,7.0,山縣 秀,1,"1,2塁",ワンバウンドした球を空振り三振 2アウト
4回裏,5,8.0,五十幡 亮汰,2,"1,2塁",二塁けん制:ランナー清宮幸帰塁粘りを見せて9球目に四球を選ぶ 満塁
4回裏,6,9.0,梅林 優貴,2,満塁,カウント1-2から空振り三振！決定機を逃す 3アウト
5回表,1,9.0,佐々木 俊輔,0,,ファーストゴロ 1アウト
5回表,2,1.0,泉口 友汰,1,,サードゴロ 2アウト
5回表,3,2.0,浦田 俊輔,2,,サードへのファウルフライに倒れる 3アウト
5回裏,1,1.0,水野 達稀,0,,8球粘った末に見逃し三振でバッターアウト！ 1アウト
5回裏,2,2.0,万波 中正,1,,低めのスライダーを打つもレフトフライ 2アウト
5回裏,3,3.0,レイエス,2,,空振り三振でバッターアウト 3アウト
6回表,1,3.0,松本 剛,0,,ワンバウンドした球に空振り、三振を喫する 1アウト
6回表,2,4.0,ダルベック,1,,詰まった打球はショートゴロとなる 2アウト
6回表,3,5.0,大城 卓三,2,,空振りの三振を喫する 3アウト
