イニング,打席順,打順,選手名,アウト,ランナー,本文
1回表,1,1.0,蝦名 達夫,0,,外角高めのストレートを打つもライトフライ 1アウト
1回表,2,2.0,度会 隆輝,1,,ファーストゴロ 2アウト
1回表,3,3.0,佐野 恵太,2,,サードへの内野安打 一塁
1回表,4,4.0,ヒュンメル,2,1塁,ハーフスイングを取られて三球三振 3アウト
1回裏,1,1.0,カナリオ,0,,低めの球を打つもセンターフライ 1アウト
1回裏,2,2.0,滝澤 夏央,1,,センターへのヒットを放つ 一塁
1回裏,3,3.0,桑原 将志,1,1塁,一塁けん制:ランナー滝澤帰塁フォアボールを選ぶ 一二塁
1回裏,4,4.0,ネビン,1,"1,2塁",ランナー一二塁の3-2からレフトへのタイムリーヒットで西武先制！ 西 1-0 デ 一二塁1:10【1回裏】頼れる4番の一打!! ライオンズ・ネビン レフトへの先制タイムリー!! 2026年5月30日 埼玉西武ライオンズ 対 横浜DeNAベイスターズ
1回裏,5,5.0,長谷川 信哉,1,"1,2塁",高めのチェンジアップを打つもセンターフライ 2アウト
1回裏,6,6.0,小島 大河,2,"1,2塁",内角高めのスライダーを打つもレフトフライ 3アウト
2回表,1,5.0,勝又 温史,0,,ショートゴロ 1アウト
2回表,2,6.0,成瀬 脩人,1,,空振り三振でバッターアウト 2アウト
2回表,3,7.0,石上 泰輝,2,,ライトへの二塁打 二塁
2回表,4,8.0,井上 朋也,2,2塁,フォアボールを選ぶ 一二塁
2回表,5,9.0,古市 尊,2,"1,2塁",ランナー一二塁から外角低めの球を打つもセンターフライ 3アウト
2回裏,1,7.0,渡部 聖弥,0,,高めの球を打つもレフトフライ 1アウト
2回裏,2,8.0,源田 壮亮,1,,フォアボールを選ぶ 一塁
2回裏,3,9.0,西川 愛也,1,1塁,成瀬(二)の悪送球により出塁する 一二塁
2回裏,4,1.0,カナリオ,1,"1,2塁",四球を選ぶ。ピッチャー武田にとって痛いフォアボールとなる 満塁
2回裏,5,2.0,滝澤 夏央,1,満塁,ショートゴロ 2アウト満塁
2回裏,6,3.0,桑原 将志,2,満塁,2アウト満塁の3-1から押し出し四球 西 2-0 デ 満塁
2回裏,7,4.0,ネビン,2,満塁,カウント1-2から空振り三振でバッターアウト 3アウト
3回表,1,1.0,蝦名 達夫,0,,レフトへのヒットを放つ 一塁
3回表,2,2.0,度会 隆輝,0,1塁,一塁けん制:ランナー蝦名帰塁一塁けん制:ランナー蝦名帰塁5-4-3のダブルプレー 2アウト
3回表,3,3.0,佐野 恵太,2,,レフトへのツーベース 二塁
3回表,4,4.0,ヒュンメル,2,2塁,カウント1-2から空振り三振！決定機を逃す 3アウト
3回裏,1,5.0,長谷川 信哉,0,,投手交代:武田→若松ファウルフライを井上朋(一)がつかんでバッターアウト 1アウト
3回裏,2,6.0,小島 大河,1,,センターへのヒットで出塁 一塁
3回裏,3,7.0,渡部 聖弥,1,1塁,2-1からセンターへタイムリーツーベース！ 西 3-0 デ 二塁
3回裏,4,8.0,源田 壮亮,1,2塁,セカンドゴロ 2アウト三塁
3回裏,5,9.0,西川 愛也,2,3塁,カウント0-2から空振り三振でバッターアウト 3アウト
4回表,1,5.0,勝又 温史,0,,ファーストゴロ 1アウト
4回表,2,6.0,成瀬 脩人,1,,センターへのヒットで出塁 一塁
4回表,3,7.0,石上 泰輝,1,1塁,DeNA・成瀬の二塁盗塁アウトの判定を巡り、DeNAがリクエストリプレー検証後判定変わらず一塁走者成瀬:すかさず初球から盗塁を試みるもアウト 2アウトセカンドゴロ 3アウト
4回裏,1,1.0,カナリオ,0,,レフトへのヒットを放つ 一塁
4回裏,2,2.0,滝澤 夏央,0,1塁,ショートへの内野安打 一二塁
4回裏,3,3.0,桑原 将志,0,"1,2塁",内角高めの球を打つもレフトフライ 1アウト
4回裏,4,4.0,ネビン,1,"1,2塁",デッドボール。DeNA、満塁のピンチをまねく 満塁
4回裏,5,5.0,長谷川 信哉,1,満塁,1アウト満塁の0-2からライトへのタイムリーヒット 西 5-0 デ 一二塁1:02【4回裏】止まらない打線!! ライオンズ・長谷川信哉 ライトへ技ありの2点タイムリーヒット!! 2026年5月30日 埼玉西武ライオンズ 対 横浜DeNAベイスターズ
4回裏,6,6.0,小島 大河,1,"1,2塁",高めのストレートを打つもセンターフライ 2アウト
4回裏,7,7.0,渡部 聖弥,2,"1,2塁",ショートゴロ 3アウト
