イニング,打席順,打順,選手名,アウト,ランナー,本文
1回表,1,1.0,村松 開人,0,,空振りの三振を喫する 1アウト
1回表,2,2.0,田中 幹也,1,,空振り三振でバッターアウト 2アウト
1回表,3,3.0,福永 裕基,2,,センターへのヒットで出塁 一塁
1回表,4,4.0,細川 成也,2,1塁,外角のスライダーを打つもセンターフライ 3アウト
1回裏,1,1.0,中川 圭太,0,,レフトへの二塁打 二塁
1回裏,2,2.0,渡部 遼人,0,2塁,ピッチャーゴロ 1アウト
1回裏,3,3.0,紅林 弘太郎,1,2塁,ランナー二塁の1-1からレフトスタンドへの2ランホームランでオリックス先制！ オ 2-0 中1:03【1回裏】初回から快音を響かせる!! バファローズ・紅林弘太郎 レフトへの2ランHRで先制!! 2026年5月30日 オリックス・バファローズ 対 中日ドラゴンズ
1回裏,4,4.0,西川 龍馬,1,,ファーストゴロ 2アウト
1回裏,5,5.0,宗 佑磨,2,,レフトへの二塁打 二塁
1回裏,6,6.0,西野 真弘,2,2塁,セカンドゴロ 3アウト
2回表,1,5.0,阿部 寿樹,0,,セカンドゴロ 1アウト
2回表,2,6.0,石伊 雄太,1,,外角のチェンジアップを打つもサードライナー 2アウト
2回表,3,7.0,石川 昂弥,2,,カウント2-1からレフトスタンドへのホームラン オ 2-1 中
2回表,4,8.0,鵜飼 航丞,2,,内角高めの変化球を打つもセンターフライ 3アウト
2回裏,1,7.0,杉本 裕太郎,0,,外角のストレートを打つもライトフライ 1アウト
2回裏,2,8.0,山中 稜真,1,,セカンドゴロ 2アウト
2回裏,3,9.0,若月 健矢,2,,内角低めの変化球を打つもセンターフライ 3アウト
3回表,1,9.0,花田 旭,0,,レフトへのヒットを放つ 一塁
3回表,2,1.0,村松 開人,0,1塁,3-6-3のダブルプレー 2アウト
3回表,3,2.0,田中 幹也,2,,ショートフライ 3アウト
3回裏,1,1.0,中川 圭太,0,,ショートフライ 1アウト
3回裏,2,2.0,渡部 遼人,1,,セカンドゴロ 2アウト
3回裏,3,3.0,紅林 弘太郎,2,,ライトへのヒットを放つ 一塁
3回裏,4,4.0,西川 龍馬,2,1塁,当てるだけのバッティングでショートゴロ 3アウト
4回表,1,3.0,福永 裕基,0,,内角低めのストレートを打つもセンターフライ 1アウト
4回表,2,4.0,細川 成也,1,,サードゴロ 2アウト
4回表,3,5.0,阿部 寿樹,2,,レフトへのヒットを放つ 一塁
4回表,4,6.0,石伊 雄太,2,1塁,内角低めの球を打つもセンターフライ 3アウト
4回裏,1,5.0,宗 佑磨,0,,ど真ん中の真っ直ぐを打つもレフトフライ 1アウト
4回裏,2,6.0,西野 真弘,1,,詰まりながらもライトへヒットを放つ 一塁
4回裏,3,7.0,杉本 裕太郎,1,1塁,外角の球を打つもレフトフライ 2アウト
4回裏,4,8.0,山中 稜真,2,1塁,センターへの二塁打 二三塁
4回裏,5,9.0,若月 健矢,2,"2,3塁",詰まった打球はサードゴロとなる 3アウト
5回表,1,7.0,石川 昂弥,0,,高めの球を打つもレフトフライ 1アウト
5回表,2,8.0,鵜飼 航丞,1,,ワンバウンドした球を空振り三振 2アウト
5回表,3,9.0,花田 旭,2,,ショートフライ 3アウト
5回裏,1,1.0,中川 圭太,0,,レフトへのヒットで出塁 一塁
5回裏,2,2.0,渡部 遼人,0,1塁,一塁けん制:ランナー中川帰塁見事送りバントを決める 1アウト二塁
5回裏,3,3.0,紅林 弘太郎,1,2塁,1アウト二塁からセカンドゴロ 2アウト三塁
5回裏,4,4.0,西川 龍馬,2,3塁,外角低めの変化球を打つもレフトフライ 3アウト
6回表,1,1.0,村松 開人,0,,高めの変化球を打つもセンターフライ 1アウト
6回表,2,2.0,田中 幹也,1,,空振り三振 2アウト
6回表,3,3.0,福永 裕基,2,,センターへの二塁打 二塁
6回表,4,4.0,細川 成也,2,2塁,一打同点の場面でショートゴロ 3アウト0:18【6回表】バファローズ・田嶋大樹 6回79球4奪三振1失点のナイスピッチングで今季2勝目を挙げる!! 2026年5月30日 オリックス・バファローズ 対 中日ドラゴンズ
6回裏,1,5.0,宗 佑磨,0,,レフトへのヒットで出塁 一塁
6回裏,2,6.0,西野 真弘,0,1塁,見事送りバントを成功させる 1アウト二塁
6回裏,3,7.0,杉本 裕太郎,1,2塁,空振り三振 2アウト
6回裏,4,8.0,山中 稜真,2,2塁,2アウト二塁からセンターへのタイムリーヒット オ 3-1 中 一塁0:53【6回裏】チャンスを逃さない!! バファローズ・山中稜真 センター前へのタイムリーで貴重な追加点!! 2026年5月30日 オリックス・バファローズ 対 中日ドラゴンズ
6回裏,5,9.0,若月 健矢,2,1塁,ショートゴロ 3アウト
7回表,1,5.0,阿部 寿樹,0,,ピッチャー田嶋大に代わって寺西がマウンドにあがる　守備交代:セカンド野口セカンドゴロ 1アウト
7回表,2,6.0,石伊 雄太,1,,内角低めの球を打つもセンターフライ 2アウト
7回表,3,7.0,石川 昂弥,2,,内角高めのストレートを打つもライトフライ 3アウト
7回裏,1,1.0,中川 圭太,0,,内角低めのカットボールをレフトへ打ってヒット 一塁
7回裏,2,2.0,渡部 遼人,0,1塁,一塁けん制:ランナー中川帰塁見事送りバントを決める 1アウト二塁
7回裏,3,3.0,紅林 弘太郎,1,2塁,一塁が空いているため敬遠で勝負を避けられる 一二塁
7回裏,4,4.0,西川 龍馬,1,"1,2塁",1アウト一二塁から4-6-3のダブルプレー 3アウト
