イニング,打席順,打順,選手名,アウト,ランナー,本文
1回表,1,1,長岡 秀樹,0,,外角低めの変化球を引っかけてセカンドゴロ 1アウト
1回表,2,2,サンタナ,1,,ライトへのツーベース 二塁
1回表,3,3,鈴木 叶,1,2塁,空振り三振でバッターアウト 2アウト
1回表,4,4,オスナ,2,2塁,2アウト二塁の3-2から先制のタイムリーヒット！ 楽 0-1 ヤ 二塁
1回表,5,5,塩見 泰隆,2,2塁,ピッチャーゴロ 3アウト
1回裏,1,1,平良 竜哉,0,,ショートゴロ 1アウト
1回裏,2,2,中島 大輔,1,,詰まった打球はセカンドゴロとなる 2アウト
1回裏,3,3,辰己 涼介,2,,見逃し三振 3アウト
2回表,1,6,増田 珠,0,,サードゴロ 1アウト
2回表,2,7,内山 壮真,1,,ショートゴロ 2アウト
2回表,3,8,武岡 龍世,2,,全く反応できず三球三振 3アウト
2回裏,1,4,浅村 栄斗,0,,外角低めの球を打つもライトフライ 1アウト
2回裏,2,5,村林 一輝,1,,見逃し三振でバッターアウト！ 2アウト
2回裏,3,6,黒川 史陽,2,,セカンドゴロ 3アウト
3回表,1,9,モンテル,0,,ど真ん中の球を打つもレフトフライ 1アウト
3回表,2,1,長岡 秀樹,1,,セカンドゴロ 2アウト
3回表,3,2,サンタナ,2,,レフトへのヒットで出塁 一塁
3回表,4,3,鈴木 叶,2,1塁,ファーストゴロ 3アウト
3回裏,1,7,マッカスカー,0,,外角高めの真っ直ぐを打つもレフトフライ 1アウト
3回裏,2,8,堀内 謙伍,1,,外角の球を打つもレフトフライ 2アウト
3回裏,3,9,佐藤 直樹,2,,外角低めの落ちる球をレフトへ打ってヒット 一塁
3回裏,4,1,平良 竜哉,2,1塁,一塁けん制:ランナー佐藤帰塁一塁走者佐藤:盗塁成功 二塁外角高めの球を打つもライトフライ 3アウト
4回表,1,4,オスナ,0,,セカンドゴロ 1アウト
4回表,2,5,塩見 泰隆,1,,ショートゴロ 2アウト
4回表,3,6,増田 珠,2,,外角低めの球を打つもライトフライ 3アウト
4回裏,1,2,中島 大輔,0,,ファーストゴロ 1アウト
4回裏,2,3,辰己 涼介,1,,レフトへのエンタイトルツーベース 二塁
4回裏,3,4,浅村 栄斗,1,2塁,1アウト二塁の0-1からレフトへの同点タイムリーヒット！ 楽 1-1 ヤ 一塁0:53【4回裏】同点タイムリー!! イーグルス・浅村栄斗 直球を打ち返し試合を振り出しに戻す!! 2026年5月31日 東北楽天ゴールデンイーグルス 対 東京ヤクルトスワローズ
4回裏,4,5,村林 一輝,1,1塁,センターへのヒットを放つ 一二塁
4回裏,5,6,黒川 史陽,1,"1,2塁",－ヤクルト:コーチマウンドへむかう－内角低めのストレートを打つもセンターフライ 2アウト
4回裏,6,7,マッカスカー,2,"1,2塁",フルカウントから見逃し三振でバッターアウト！ 3アウト
5回表,1,7,内山 壮真,0,,粘りを見せて8球目にフォアボールを選ぶ 一塁
5回表,2,8,武岡 龍世,0,1塁,一塁けん制:ランナー内山帰塁藤井(投):暴投 二塁0アウト二塁からライトへのヒットを放つ 一三塁
5回表,3,9,モンテル,0,"1,3塁",－楽天:コーチマウンドへむかう－ランナー一三塁の1-0からレフトへの勝ち越しタイムリーヒット！ 楽 1-2 ヤ 一二塁
5回表,4,1,長岡 秀樹,0,"1,2塁",ワンバウンドした球に空振り、三振を喫する 1アウト
