イニング,打席順,打順,選手名,アウト,ランナー,本文
1回表,1,1.0,宗 佑磨,0,,空振り三振でバッターアウト 1アウト
1回表,2,2.0,西川 龍馬,1,,ファーストゴロ 2アウト
1回表,3,3.0,中川 圭太,2,,ショートゴロ 3アウト
1回裏,1,1.0,松本 剛,0,,外角のストレートを打つもセンターフライ 1アウト
1回裏,2,2.0,浦田 俊輔,1,,粘りを見せて8球目に四球を選ぶ 一塁
1回裏,3,3.0,大城 卓三,1,1塁,一塁けん制:ランナー浦田帰塁また一塁けん制:ランナー浦田帰塁一塁けん制:ランナー浦田帰塁一塁走者浦田:盗塁成功 二塁空振りの三振を喫する 2アウト
1回裏,4,4.0,ダルベック,2,2塁,一打先制の場面で空振り三振！決定機を逃す 3アウト
2回表,1,4.0,紅林 弘太郎,0,,すっぽ抜けの球に当たりデッドボールとなる 一塁
2回表,2,5.0,山中 稜真,0,1塁,－治療中－－審判協議中－ピッチャー戸郷は危険球により退場！投手交代:戸郷→森田ショートフライ 1アウト
2回表,3,6.0,西野 真弘,1,1塁,セカンドゴロ 2アウト一塁
2回表,4,7.0,若月 健矢,2,1塁,一塁けん制:ランナー西野帰塁粘りを見せるも8球目を空振り三振でバッターアウト 3アウト
2回裏,1,5.0,坂本 勇人,0,,見逃し三振でバッターアウト！ 1アウト
2回裏,2,6.0,キャベッジ,1,,見逃し三振 2アウト
2回裏,3,7.0,吉川 尚輝,2,,ショートゴロ 3アウト
3回表,1,8.0,渡部 遼人,0,,セカンドゴロ 1アウト
3回表,2,9.0,曽谷 龍平,1,,見逃し三振でバッターアウト！ 2アウト
3回表,3,1.0,宗 佑磨,2,,四球を選ぶ 一塁
3回表,4,2.0,西川 龍馬,2,1塁,ど真ん中の変化球を引っかけてセカンドゴロ 3アウト
3回裏,1,8.0,佐々木 俊輔,0,,ど真ん中のフォークを打つもレフトフライ 1アウト
3回裏,2,9.0,森田 駿哉,1,,サードゴロ 2アウト
3回裏,3,1.0,松本 剛,2,,センターへのヒットを放つ 一塁
3回裏,4,2.0,浦田 俊輔,2,1塁,一塁けん制:ランナー松本帰塁一度もバットを振ることなく三球三振 3アウト
4回表,1,3.0,中川 圭太,0,,ファーストフライ 1アウト
4回表,2,4.0,紅林 弘太郎,1,,外角低めの球を打つもサードライナー 2アウト
4回表,3,5.0,山中 稜真,2,,セカンドゴロ 3アウト
4回裏,1,3.0,大城 卓三,0,,全く手が出ず見逃し三振でバッターアウト 1アウト
4回裏,2,4.0,ダルベック,1,,ショートゴロ 2アウト
4回裏,3,5.0,坂本 勇人,2,,全く手が出ず三球三振 3アウト
5回表,1,6.0,西野 真弘,0,,デッドボールを受ける 一塁
5回表,2,7.0,若月 健矢,0,1塁,セカンドフライ 1アウト
5回表,3,8.0,渡部 遼人,1,1塁,一塁けん制:ランナー西野帰塁一塁けん制:ランナー西野帰塁全く手が出ず見逃し三振 2アウト
