イニング,打席順,打順,選手名,アウト,ランナー,本文
1回表,1,1.0,小川 龍成,0,,低めの真っ直ぐを打つもライトフライ 1アウト
1回表,2,2.0,佐藤 都志也,1,,外角低めのストレートを打つもセンターフライ 2アウト
1回表,3,3.0,西川 史礁,2,,詰まりながらもセンターへヒットを放つ 一塁
1回表,4,4.0,山口 航輝,2,1塁,サードゴロ 3アウト
1回裏,1,1.0,長岡 秀樹,0,,ショートゴロ 1アウト
1回裏,2,2.0,サンタナ,1,,センターへのヒットを放つ 一塁
1回裏,3,3.0,内山 壮真,1,1塁,外角低めのストレートを打つもレフトフライ 2アウト
1回裏,4,4.0,オスナ,2,1塁,ショートフライ 3アウト
2回表,1,5.0,ソト,0,,サードゴロ 1アウト
2回表,2,6.0,友杉 篤輝,1,,ファーストゴロ 2アウト
2回表,3,7.0,安田 尚憲,2,,空振り三振でバッターアウト 3アウト
2回裏,1,5.0,増田 珠,0,,ライトへのヒットで出塁 一塁
2回裏,2,6.0,松下 歩叶,0,1塁,外角低めの真っ直ぐを打つもセンターフライ 1アウト
2回裏,3,7.0,中村 悠平,1,1塁,フォアボールを選ぶ 一二塁
2回裏,4,8.0,高橋 奎二,1,"1,2塁",空振り三振 2アウト
2回裏,5,9.0,モンテル,2,"1,2塁",ランナー一二塁からサードへの内野安打 満塁
2回裏,6,1.0,長岡 秀樹,2,満塁,一打先制の場面で空振り三振！決定機を逃す 3アウト
3回表,1,8.0,和田 康士朗,0,,詰まった打球はショートゴロ 1アウト
3回表,2,9.0,毛利 海大,1,,ショートゴロ 2アウト
3回表,3,1.0,小川 龍成,2,,全く反応できず見逃し三振でバッターアウト 3アウト
3回裏,1,2.0,サンタナ,0,,ピッチャー毛利のグラブをはじくもセカンドゴロに倒れる 1アウト
3回裏,2,3.0,内山 壮真,1,,ショートゴロ 2アウト
3回裏,3,4.0,オスナ,2,,レフトへのヒットを放つ 一塁
3回裏,4,5.0,増田 珠,2,1塁,低めのツーシームを打つもレフトフライ 3アウト
4回表,1,2.0,佐藤 都志也,0,,空振り三振 1アウト
4回表,2,3.0,西川 史礁,1,,外角の球を打つもライトフライ 2アウト
4回表,3,4.0,山口 航輝,2,,外角のストレートを打つもライトフライ 3アウト
4回裏,1,6.0,松下 歩叶,0,,セカンドフライ 1アウト
4回裏,2,7.0,中村 悠平,1,,センターへのヒットを放つ 一塁
4回裏,3,8.0,高橋 奎二,1,1塁,見事送りバントを成功させる 2アウト二塁
4回裏,4,9.0,モンテル,2,2塁,ボテボテのファーストゴロ 3アウト
5回表,1,5.0,ソト,0,,空振り三振 1アウト
5回表,2,6.0,友杉 篤輝,1,,空振りの三振を喫する 2アウト
5回表,3,7.0,安田 尚憲,2,,セカンドゴロ 3アウト
5回裏,1,1.0,長岡 秀樹,0,,空振りの三振を喫する 1アウト
5回裏,2,2.0,サンタナ,1,,フォアボールを選ぶ 一塁
5回裏,3,3.0,内山 壮真,1,1塁,セカンドへのファウルフライに倒れる 2アウト
5回裏,4,4.0,オスナ,2,1塁,8球粘った末に空振りの三振を喫する 3アウト
6回表,1,8.0,和田 康士朗,0,,外角の球を打つもレフトフライ 1アウト
6回表,2,,井上 広大,1,,毛利→代打:井上ショートへの内野安打 一塁
6回表,3,1.0,小川 龍成,1,1塁,一塁けん制:ランナー井上帰塁ショートゴロ 2アウト一塁
6回表,4,2.0,佐藤 都志也,2,1塁,一塁けん制:ランナー小川帰塁一塁けん制:ランナー小川帰塁また一塁けん制:ランナー小川帰塁高めのストレートを打つもライトフライ 3アウト
6回裏,1,5.0,増田 珠,0,,投手交代:毛利→高野脩カウント1-1から左中間へのホームランでヤクルト先制！ ヤ 1-0 ロ
6回裏,2,6.0,松下 歩叶,0,,ライトへポテンヒットを放つ 一塁
6回裏,3,7.0,中村 悠平,0,1塁,ファウルフライを佐藤(捕)が捕球してバッターアウト 1アウト
6回裏,4,8.0,高橋 奎二,1,1塁,送りバントを試みるもファウルフライとなりアウト 2アウト
6回裏,5,9.0,モンテル,2,1塁,一塁けん制:ランナー松下帰塁西川(右):ファウルフライを落球センターへのヒットで出塁 一二塁
6回裏,6,1.0,長岡 秀樹,2,"1,2塁",－ロッテ:コーチマウンドへむかう－フルカウントから空振りの三振を喫する 3アウト
7回表,1,3.0,西川 史礁,0,,守備交代:ショート伊藤低めの真っ直ぐを打つもセンターフライ 1アウト
7回表,2,4.0,山口 航輝,1,,空振り三振でバッターアウト 2アウト
7回表,3,5.0,ソト,2,,内角低めの真っ直ぐを打つもセンターフライ 3アウト
7回裏,1,2.0,サンタナ,0,,投手交代:高野脩→中森サードゴロ 1アウト
7回裏,2,3.0,内山 壮真,1,,ショートゴロ 2アウト
7回裏,3,4.0,オスナ,2,,レフトへのヒット 一塁
7回裏,4,5.0,増田 珠,2,1塁,一塁走者オスナ→代走:赤羽一塁けん制:ランナー赤羽帰塁一塁走者赤羽:盗塁成功 二塁フルカウントから空振り三振でバッターアウト 3アウト
8回表,1,6.0,友杉 篤輝,0,,ピッチャー高橋に代わって星がマウンドにあがる　守備交代:ファースト茂木守備変更:赤羽→レフトレフトへのヒットを放つ 一塁
8回表,2,7.0,安田 尚憲,0,1塁,ファーストゴロ 1アウト一塁
8回表,3,8.0,和田 康士朗,1,1塁,ファウルフライを赤羽(左)が捕球してバッターアウト 2アウト
8回表,4,,ポランコ,2,1塁,中森→代打:ポランコ－ヤクルト:内野手マウンドへ集まる－フォアボールを選ぶ 一二塁
