イニング,打席順,打順,選手名,アウト,ランナー,本文
1回表,1,1.0,佐藤 直樹,0,,カウント2-2から左中間への先制ホームラン！ デ 0-1 楽
1回表,2,2.0,辰己 涼介,0,,死球を受ける 一塁
1回表,3,3.0,平良 竜哉,0,1塁,一塁けん制:ランナー辰己帰塁ヒット 一二塁
1回表,4,4.0,浅村 栄斗,0,"1,2塁",0アウト一二塁の1-0からセンターへタイムリーツーベース！ デ 0-2 楽 二三塁
1回表,5,5.0,村林 一輝,0,"2,3塁",ストレートのフォアボールで出塁 満塁
1回表,6,6.0,黒川 史陽,0,満塁,ランナーフルベースの1-1からセンターへの犠牲フライを放つ デ 0-3 楽 1アウト一二塁
1回表,7,7.0,マッカスカー,1,"1,2塁",1アウト一二塁の3-2からセンターへのタイムリーヒット デ 0-4 楽 一二塁
1回表,8,8.0,太田 光,1,"1,2塁",ファウルフライを松尾(捕)が捕球してバッターアウト 2アウト
1回表,9,9.0,瀧中 瞭太,2,"1,2塁",7球粘った末にフォアボールを選ぶ 満塁
1回表,10,1.0,佐藤 直樹,2,満塁,－DeNA:内野手マウンドへ集まる－外角低めのチェンジアップを打つもライトフライ 3アウト
1回裏,1,1.0,蝦名 達夫,0,,フェンス直撃の二塁打を放つ 二塁
1回裏,2,2.0,牧 秀悟,0,2塁,ワンバウンドした球を空振り三振 1アウト
1回裏,3,3.0,佐野 恵太,1,2塁,ファーストゴロ 2アウト三塁
1回裏,4,4.0,筒香 嘉智,2,3塁,ショートゴロ 3アウト
2回表,1,2.0,辰己 涼介,0,,外角低めのスライダーを引っかけてセカンドゴロ 1アウト
2回表,2,3.0,平良 竜哉,1,,セカンドゴロ 2アウト
2回表,3,4.0,浅村 栄斗,2,,低めのスライダーを打つもセンターフライ 3アウト
2回裏,1,5.0,度会 隆輝,0,,外角高めの球を打つもライトフライ 1アウト
2回裏,2,6.0,勝又 温史,1,,外角低めの球を打つもレフトフライ 2アウト
2回裏,3,7.0,京田 陽太,2,,空振り三振でバッターアウト 3アウト
3回表,1,5.0,村林 一輝,0,,ファーストゴロ 1アウト
3回表,2,6.0,黒川 史陽,1,,内角高めのツーシームを打つもレフトフライ 2アウト0:163回表、東選手が外のストレートで見逃し三振を奪う！
3回表,3,7.0,マッカスカー,2,,見逃し三振 3アウト
3回裏,1,8.0,松尾 汐恩,0,,詰まった打球はピッチャーゴロ 1アウト
3回裏,2,9.0,東 克樹,1,,低めの球を打つもレフトフライ 2アウト
3回裏,3,1.0,蝦名 達夫,2,,センターへのヒットで出塁 一塁
3回裏,4,2.0,牧 秀悟,2,1塁,見逃し三振でバッターアウト！ 3アウト
4回表,1,8.0,太田 光,0,,内角低めのカットボールを打つもサードライナー 1アウト
4回表,2,9.0,瀧中 瞭太,1,,見逃し三振 2アウト
4回表,3,1.0,佐藤 直樹,2,,サードゴロ 3アウト
4回裏,1,3.0,佐野 恵太,0,,全く反応できず見逃し三振でバッターアウト 1アウト
4回裏,2,4.0,筒香 嘉智,1,,外角高めのスライダーを引っかけてファーストゴロ 2アウト
4回裏,3,5.0,度会 隆輝,2,,ライトへのツーベース 二塁
4回裏,4,6.0,勝又 温史,2,2塁,低めのスプリットを打つもセンターフライ 3アウト
5回表,1,2.0,辰己 涼介,0,,ファーストゴロ 1アウト
5回表,2,3.0,平良 竜哉,1,,セカンドゴロ 2アウト
5回表,3,4.0,浅村 栄斗,2,,キャッチャーへのファウルフライに倒れる 3アウト
5回裏,1,7.0,京田 陽太,0,,セカンドゴロ 1アウト
5回裏,2,8.0,松尾 汐恩,1,,ヒット 一塁
5回裏,3,,ヒュンメル,1,1塁,東→代打:ヒュンメル空振りの三振を喫する 2アウト
5回裏,4,1.0,蝦名 達夫,2,1塁,外角低めのカーブを打つもサードライナー 3アウト
6回表,1,5.0,村林 一輝,0,,投手交代:東→宮城外角のスライダーを打つもライトフライ 1アウト
6回表,2,6.0,黒川 史陽,1,,ファウルフライを筒香(三)が捕球してバッターアウト 2アウト
6回表,3,7.0,マッカスカー,2,,レフトへのヒットを放つ 一塁
6回表,4,8.0,太田 光,2,1塁,当てるだけのバッティングでサードゴロ 3アウト
6回裏,1,2.0,牧 秀悟,0,,ピッチャーゴロ 1アウト
6回裏,2,3.0,佐野 恵太,1,,セカンドゴロ 2アウト
6回裏,3,4.0,筒香 嘉智,2,,ライトへのヒットで出塁 一塁
6回裏,4,5.0,度会 隆輝,2,1塁,センターへの二塁打 二三塁
6回裏,5,6.0,勝又 温史,2,"2,3塁",ランナー二三塁から高めの変化球を打つもライトフライ 3アウト
7回表,1,,吉野 創士,0,,投手交代:宮城→坂本瀧中→代打:吉野外角のチェンジアップを打つもセンターフライ 1アウト
7回表,2,1.0,佐藤 直樹,1,,外角高めのストレートを打つもセカンドライナー 2アウト
7回表,3,2.0,辰己 涼介,2,,フェンス直撃の二塁打を放つ 二塁
7回表,4,3.0,平良 竜哉,2,2塁,ストレートのフォアボールで出塁 一二塁
7回表,5,4.0,浅村 栄斗,2,"1,2塁",－DeNA:内野手マウンドへ集まる－フォアボールを選ぶ 満塁
7回表,6,5.0,村林 一輝,2,満塁,ランナーフルベースからサードゴロ 3アウト
7回裏,1,7.0,京田 陽太,0,,投手交代:瀧中→九谷セカンドゴロ 1アウト
7回裏,2,8.0,松尾 汐恩,1,,外角低めの球を打つもセンターフライ 2アウト
7回裏,3,,戸柱 恭孝,2,,坂本→代打:戸柱セカンドゴロ 3アウト
8回表,1,6.0,黒川 史陽,0,,投手交代:坂本→堀岡フォアボールを選ぶ 一塁
8回表,2,7.0,マッカスカー,0,1塁,一塁走者黒川→代走:小深田センターへのヒットで出塁 一二塁
8回表,3,8.0,太田 光,0,"1,2塁",一塁走者マッカスカー→代走:中島0アウト一二塁からサードへの内野安打 満塁
8回表,4,,渡邊 佳明,0,満塁,九谷→代打:渡邊佳セカンドフライ 1アウト
8回表,5,1.0,佐藤 直樹,1,満塁,1アウト満塁の2-2からレフトへ走者一掃となるタイムリーツーベース！ デ 0-7 楽 二塁
8回表,6,2.0,辰己 涼介,1,2塁,1アウト二塁からセカンドゴロ 2アウト三塁
8回表,7,3.0,平良 竜哉,2,3塁,キャッチャーへのファウルフライに倒れる 3アウト
8回裏,1,1.0,蝦名 達夫,0,,投手交代:九谷→柴田守備変更:小深田→セカンド　守備変更:中島→レフトフェンス直撃のスリーベースを放つ 三塁0:148回裏、代打宮﨑選手がライト前へ2点差に迫るタイムリーヒット!!
8回裏,2,2.0,牧 秀悟,0,3塁,ランナー三塁の2-2からセンターへのタイムリーヒット デ 1-7 楽 一塁
8回裏,3,3.0,佐野 恵太,0,1塁,フォアボールを選ぶ 一二塁
8回裏,4,4.0,筒香 嘉智,0,"1,2塁",ランナー一二塁からセンターへのヒットを放つ 満塁0:148回裏、京田選手がセンター前にタイムリーヒットを放ち、さらに1点を返す!!
8回裏,5,5.0,度会 隆輝,0,満塁,投手交代:柴田→加治屋ランナーフルベースの1-1から押し出し死球！加治屋痛恨のデッドボールを与えてしまう デ 2-7 楽 満塁0:128回裏、ついに同点に追いつく牧選手のレフト前タイムリーヒット!!
8回裏,6,6.0,勝又 温史,0,満塁,－治療中－セカンドゴロの間にDeNA1点をあげる デ 3-7 楽 1アウト一三塁
8回裏,7,7.0,京田 陽太,1,"1,3塁",1アウト一三塁からセンターへのタイムリーヒット デ 4-7 楽 一二塁
8回裏,8,8.0,松尾 汐恩,1,"1,2塁",空振り三振でバッターアウト 2アウト
8回裏,9,,宮﨑 敏郎,2,"1,2塁",堀岡→代打:宮﨑2アウト一二塁の1-2からライトへのタイムリーヒット デ 5-7 楽 一二塁
8回裏,10,1.0,蝦名 達夫,2,"1,2塁",一塁走者宮﨑→代走:石上死球を受ける 満塁
8回裏,11,2.0,牧 秀悟,2,満塁,ピッチャー加治屋に代わって津留﨑がマウンドにあがるランナーフルベースからレフトへのタイムリーヒットでDeNA同点！ デ 7-7 楽 一二塁
8回裏,12,3.0,佐野 恵太,2,"1,2塁",死球を受ける 満塁
8回裏,13,4.0,筒香 嘉智,2,満塁,一打勝ち越しの場面でセカンドゴロ 3アウト
9回表,1,4.0,浅村 栄斗,0,,投手交代:堀岡→伊勢空振り三振 1アウト0:089回表、伊勢選手が空振り三振で三者凡退に抑える！
9回表,2,5.0,村林 一輝,1,,セカンドゴロ 2アウト
9回表,3,6.0,小深田 大翔,2,,空振り三振 3アウト
9回裏,1,5.0,度会 隆輝,0,,投手交代:津留﨑→西垣ストレートのフォアボールで出塁 一塁0:139回裏、三森選手が神走塁で執念のホームイン！サヨナラ勝ち!!
9回裏,2,6.0,勝又 温史,0,1塁,一塁走者度会→代走:三森一塁けん制:ランナー三森帰塁一塁走者三森:すかさず初球から走って盗塁成功 二塁内角高めの球を打つもセンターフライ 1アウト
9回裏,3,7.0,京田 陽太,1,2塁,死球を受ける 一二塁
9回裏,4,8.0,松尾 汐恩,1,"1,2塁",－楽天:コーチマウンドへむかう－1アウト一二塁から低めのカットボールを打つもセンターフライ 2アウト
9回裏,5,,神里 和毅,2,"1,2塁",伊勢→代打:神里DeNA・三森の本塁アウトの判定を巡り、DeNAがリクエストリプレー検証後判定覆る西垣(投):暴投二塁走者三森はさらに三塁も回って本塁生還DeNAサヨナラ勝ち！ デ 8-7 楽試合終了
