イニング,打席順,打順,選手名,アウト,ランナー,本文
1回表,1,1.0,正木 智也,0,,福永(三)の悪送球により出塁する 一塁
1回表,2,2.0,庄子 雄大,0,1塁,見事送りバントを成功させる 1アウト二塁
1回表,3,3.0,柳田 悠岐,1,2塁,詰まった打球はファーストゴロとなる 2アウト三塁
1回表,4,4.0,栗原 陵矢,2,3塁,2アウト三塁からライトスタンドへの2ランホームランでソフトバンク先制！ 中 0-2 ソ
1回表,5,5.0,廣瀨 隆太,2,,レフトへのツーベース 二塁
1回表,6,6.0,今宮 健太,2,2塁,ランナー二塁からショートゴロ 3アウト
1回裏,1,1.0,福永 裕基,0,,ボテボテのピッチャーゴロ 1アウト
1回裏,2,2.0,村松 開人,1,,フォアボールを選ぶ 一塁
1回裏,3,3.0,阿部 寿樹,1,1塁,当てるだけのバッティングでピッチャーゴロ 2アウト二塁
1回裏,4,4.0,細川 成也,2,2塁,サードゴロ 3アウト
2回表,1,7.0,周東 佑京,0,,レフトへのヒット 一塁
2回表,2,8.0,海野 隆司,0,1塁,レフトへのヒットで出塁 一二塁
2回表,3,9.0,スチュワート・ジュニア,0,"1,2塁",0アウト一二塁から送りバント失敗 1アウト一二塁
2回表,4,1.0,正木 智也,1,"1,2塁",内角のストレートを打つもレフトフライ 2アウト
2回表,5,2.0,庄子 雄大,2,"1,2塁",セカンドゴロ 3アウト
2回裏,1,5.0,板山 祐太郎,0,,フェンス直撃のツーベースを放つ 二塁
2回裏,2,6.0,ボスラー,0,2塁,ショートゴロ二塁走者板山は走塁死 1アウト一塁
2回裏,3,7.0,石伊 雄太,1,1塁,空振り三振でバッターアウト 2アウト
2回裏,4,8.0,田中 幹也,2,1塁,サードゴロ 3アウト
3回表,1,3.0,柳田 悠岐,0,,見逃し三振でバッターアウト！ 1アウト
3回表,2,4.0,栗原 陵矢,1,,ハーフスイングを取られて空振りの三振を喫する 2アウト
3回表,3,5.0,廣瀨 隆太,2,,空振りの三振を喫する 3アウト
3回裏,1,9.0,金丸 夢斗,0,,スリーバントを試みるも失敗！ 1アウト
3回裏,2,1.0,福永 裕基,1,,サードゴロ 2アウト
3回裏,3,2.0,村松 開人,2,,フォアボールを選ぶ 一塁
3回裏,4,3.0,阿部 寿樹,2,1塁,高めの球を打つもセンターフライ 3アウト
4回表,1,6.0,今宮 健太,0,,外角高めのチェンジアップを打つもライトフライ 1アウト
4回表,2,7.0,周東 佑京,1,,見逃し三振でバッターアウト！ 2アウト
4回表,3,8.0,海野 隆司,2,,セカンドフライ 3アウト
4回裏,1,4.0,細川 成也,0,,内角のストレートを打つもライトフライ 1アウト
4回裏,2,5.0,板山 祐太郎,1,,外角の落ちる球を打つもレフトフライ 2アウト
4回裏,3,6.0,ボスラー,2,,空振りの三振を喫する 3アウト
5回表,1,9.0,スチュワート・ジュニア,0,,ファーストゴロ 1アウト
5回表,2,1.0,正木 智也,1,,7球粘った末にフォアボールを選ぶ 一塁
5回表,3,2.0,庄子 雄大,1,1塁,一塁けん制:ランナー正木帰塁一塁けん制:ランナー正木帰塁一塁けん制:ランナー正木帰塁ショートフライ 2アウト
5回表,4,3.0,柳田 悠岐,2,1塁,泳ぎながらもライトへヒットを放つ 一三塁
5回表,5,4.0,栗原 陵矢,2,"1,3塁",－中日:コーチマウンドへむかう－サードゴロ 3アウト
5回裏,1,7.0,石伊 雄太,0,,空振り三振でバッターアウト 1アウト
5回裏,2,8.0,田中 幹也,1,,空振り三振でバッターアウト 2アウト
5回裏,3,9.0,金丸 夢斗,2,,空振り三振 3アウト
6回表,1,5.0,廣瀨 隆太,0,,ショートゴロ 1アウト
6回表,2,6.0,今宮 健太,1,,サードフライ 2アウト
6回表,3,7.0,周東 佑京,2,,外角の変化球を引っかけてセカンドゴロ 3アウト
6回裏,1,1.0,福永 裕基,0,,守備交代:セカンド牧原大ショートへの内野安打 一塁
6回裏,2,2.0,村松 開人,0,1塁,セカンドゴロ 1アウト一塁
6回裏,3,3.0,阿部 寿樹,1,1塁,レフトへのヒットで出塁 一二塁
6回裏,4,4.0,細川 成也,1,"1,2塁",－ソフトバンク:コーチマウンドへむかう－スチュワート・ジュニア(投):ワイルドピッチ 二三塁1アウト二三塁の3-2からショートへのタイムリー内野安打 中 1-2 ソ 一二塁
6回裏,5,5.0,板山 祐太郎,1,"1,2塁",投手交代:スチュワート・ジュニア→木村光ランナー一二塁からライトへのヒットで出塁 満塁
6回裏,6,6.0,ボスラー,1,満塁,ハーフスイングを取られて空振り三振でバッターアウト 2アウト
6回裏,7,7.0,石伊 雄太,2,満塁,一打逆転の場面で空振り三振でバッターアウト 3アウト
7回表,1,8.0,海野 隆司,0,,センターへのツーベース 二塁
7回表,2,,中村 晃,0,2塁,木村光→代打:中村晃セカンドフライ 1アウト
7回表,3,1.0,正木 智也,1,2塁,ワンバウンドした球を空振り三振 2アウト
7回表,4,2.0,庄子 雄大,2,2塁,セカンドゴロ 3アウト
7回裏,1,8.0,田中 幹也,0,,ピッチャー木村光に代わってヘルナンデスがマウンドにあがる高めの球を打つもライトフライ 1アウト
7回裏,2,,鵜飼 航丞,1,,金丸→代打:鵜飼サードゴロ 2アウト
7回裏,3,1.0,福永 裕基,2,,見逃し三振 3アウト
8回表,1,3.0,柳田 悠岐,0,,投手交代:金丸→橋本セカンドゴロ 1アウト
8回表,2,4.0,栗原 陵矢,1,,内角の真っ直ぐを打つもセンターフライ 2アウト
8回表,3,5.0,廣瀨 隆太,2,,空振りの三振を喫する 3アウト
8回裏,1,2.0,村松 開人,0,,ピッチャーヘルナンデスに代わってオスナがマウンドにあがる　守備交代:ライト川村守備変更:正木ライト→レフト7球粘った末にフォアボールを選ぶ 一塁
8回裏,2,3.0,阿部 寿樹,0,1塁,一塁けん制:ランナー村松帰塁空振りの三振を喫する 1アウト
8回裏,3,4.0,細川 成也,1,1塁,一塁けん制:ランナー村松帰塁空振りの三振を喫する 2アウト
8回裏,4,5.0,板山 祐太郎,2,1塁,中日・村松の二塁盗塁セーフの判定を巡り、ソフトバンクがリクエストリプレー検証後判定覆る一塁走者村松:盗塁を試みるもアウト 3アウト
9回表,1,6.0,牧原 大成,0,,投手交代:橋本→藤嶋ライトへのヒットで出塁 一塁
9回表,2,7.0,周東 佑京,0,1塁,一塁けん制:ランナー牧原大帰塁センターへのツーベース 二三塁
9回表,3,8.0,海野 隆司,0,"2,3塁",空振りの三振を喫する 1アウト
9回表,4,,近藤 健介,1,"2,3塁",オスナ→代打:近藤満塁策で敬遠される 満塁
9回表,5,1.0,正木 智也,1,満塁,－中日:コーチマウンドへむかう－内角低めのストレートを打つもレフトフライ 2アウト
9回表,6,2.0,庄子 雄大,2,満塁,内角のストレートを打つもレフトフライ 3アウト
9回裏,1,5.0,板山 祐太郎,0,,ピッチャーオスナに代わって杉山がマウンドにあがる　守備交代:ライト谷川原守備変更:川村ライト→レフト当てるだけのバッティングでサードゴロ 1アウト
9回裏,2,6.0,ボスラー,1,,空振りの三振を喫する 2アウト
9回裏,3,,高橋 周平,2,,石伊→代打:高橋周代打で登場するも空振り三振に倒れる 3アウト試合終了
