イニング,打席順,打順,選手名,アウト,ランナー,本文
1回表,1,1.0,カナリオ,0,,空振りの三振を喫する 1アウト
1回表,2,2.0,滝澤 夏央,1,,フォアボールを選ぶ 一塁
1回表,3,3.0,桑原 将志,1,1塁,一塁けん制:ランナー滝澤帰塁また一塁けん制:ランナー滝澤帰塁レフトへのヒットを放つ 一三塁
1回表,4,4.0,ネビン,1,"1,3塁",ランナー一三塁の1-1からレフトへの犠牲フライを放つ西武先制！ 神 0-1 西 2アウト一塁
1回表,5,5.0,小島 大河,2,1塁,外角低めの変化球を打つもレフトフライ 3アウト
1回裏,1,1.0,立石 正広,0,,ショートフライ 1アウト
1回裏,2,2.0,中野 拓夢,1,,ライトへのヒットで出塁 一塁
1回裏,3,3.0,森下 翔太,1,1塁,5-4-3のダブルプレー 3アウト
2回表,1,6.0,渡部 聖弥,0,,ピッチャーゴロ 1アウト
2回表,2,7.0,西川 愛也,1,,ど真ん中の変化球を打つもライトフライ 2アウト
2回表,3,8.0,源田 壮亮,2,,たたきつける打球で内野安打 一塁
2回表,4,9.0,平良 海馬,2,1塁,見逃し三振 3アウト
2回裏,1,4.0,佐藤 輝明,0,,外角低めの球を打つもセンターフライ 1アウト
2回裏,2,5.0,大山 悠輔,1,,9球粘った末に四球を選ぶ 一塁
2回裏,3,6.0,髙寺 望夢,1,1塁,外角高めの変化球を打つもライトフライ 2アウト
2回裏,4,7.0,伏見 寅威,2,1塁,ショートゴロ 3アウト
3回表,1,1.0,カナリオ,0,,全く手が出ず見逃し三振でバッターアウト 1アウト0:30【3回表】西勇 1500奪三振達成!! 2026/06/04 T-L
3回表,2,2.0,滝澤 夏央,1,,デッドボール 一塁
3回表,3,3.0,桑原 将志,1,1塁,一塁走者滝澤:盗塁を試みるもアウト 2アウトショートゴロ 3アウト
3回裏,1,8.0,熊谷 敬宥,0,,平良のスライダーを引っかけサードゴロ 1アウト
3回裏,2,9.0,西 勇輝,1,,サードフライ 2アウト
3回裏,3,1.0,立石 正広,2,,空振りの三振を喫する 3アウト
4回表,1,4.0,ネビン,0,,レフトへのヒットを放つ 一塁
4回表,2,5.0,小島 大河,0,1塁,内角低めのスライダーを打つもライトフライ 1アウト
4回表,3,6.0,渡部 聖弥,1,1塁,レフトへのツーベース 二三塁
4回表,4,7.0,西川 愛也,1,"2,3塁",ランナー二三塁の2-0から外角のチェンジアップをライトへ打ってヒット佐藤(右):ファンブル佐藤(右):悪送球 神 0-3 西 二塁
4回表,5,8.0,源田 壮亮,1,2塁,内角のスライダーを打つもライトフライ 2アウト三塁
4回表,6,9.0,平良 海馬,2,3塁,ショートゴロ 3アウト
4回裏,1,2.0,中野 拓夢,0,,レフトへのヒットを放つ 一塁
4回裏,2,3.0,森下 翔太,0,1塁,外角高めの真っ直ぐを打つもライトフライ 1アウト
4回裏,3,4.0,佐藤 輝明,1,1塁,一塁けん制:ランナー中野帰塁高めのつり球に空振り三振 2アウト
4回裏,4,5.0,大山 悠輔,2,1塁,空振り三振でバッターアウト 3アウト
5回表,1,1.0,カナリオ,0,,投手交代:西勇→木下空振り三振でバッターアウト 1アウト
5回表,2,2.0,滝澤 夏央,1,,サードゴロ 2アウト
5回表,3,3.0,桑原 将志,2,,見逃し三振でバッターアウト！ 3アウト
5回裏,1,6.0,髙寺 望夢,0,,ライトへのヒットで出塁 一塁
5回裏,2,7.0,伏見 寅威,0,1塁,一塁けん制:ランナー髙寺帰塁空振りの三振を喫する 1アウト
5回裏,3,8.0,熊谷 敬宥,1,1塁,一塁けん制:ランナー髙寺帰塁ボテボテのピッチャーゴロ 2アウト二塁
5回裏,4,,嶋村 麟士朗,2,2塁,木下→代打:嶋村2アウト二塁の0-1からセンターへのタイムリーヒット 神 1-3 西 一塁1:00【5回裏】嶋村 センター前に落ちた!! 上手さを感じるタイムリーヒット!! 2026/06/04 T-L
5回裏,5,1.0,立石 正広,2,1塁,外角のスイーパーを打つもレフトフライ 3アウト
6回表,1,4.0,ネビン,0,,投手交代:木下→門別守備変更:嶋村→キャッチャーワンバウンドした球を空振り三振 1アウト
6回表,2,5.0,小島 大河,1,,センターへのヒットを放つ 一塁
6回表,3,6.0,渡部 聖弥,1,1塁,一塁けん制:ランナー小島帰塁2-1からレフトへタイムリーツーベース！ 神 1-4 西 二塁
6回表,4,7.0,西川 愛也,1,2塁,ランナー二塁からセカンドゴロ 2アウト三塁
6回表,5,8.0,源田 壮亮,2,3塁,ショートゴロ 3アウト
6回裏,1,2.0,中野 拓夢,0,,ネビン(一)の後逸により出塁する 一塁
6回裏,2,3.0,森下 翔太,0,1塁,6-4-3のダブルプレー 2アウト
6回裏,3,4.0,佐藤 輝明,2,,セカンドゴロ 3アウト
7回表,1,9.0,平良 海馬,0,,見逃し三振でバッターアウト！ 1アウト
7回表,2,1.0,カナリオ,1,,セカンドフライ 2アウト
7回表,3,2.0,滝澤 夏央,2,,ショートゴロ 3アウト
7回裏,1,5.0,大山 悠輔,0,,守備交代:ライト長谷川セカンドゴロ 1アウト
7回裏,2,6.0,髙寺 望夢,1,,ファーストゴロ 2アウト
7回裏,3,,元山 飛優,2,,門別→代打:元山詰まった打球はショートゴロ 3アウト
8回表,1,3.0,桑原 将志,0,,投手交代:門別→工藤外角高めのカットボールを打つもライトフライ 1アウト
8回表,2,4.0,ネビン,1,,サードゴロ 2アウト0:21【8回表】工藤 161キロ!! 自己最速!! 2026/06/04 T-L
8回表,3,5.0,小島 大河,2,,ショートゴロ 3アウト
8回裏,1,8.0,熊谷 敬宥,0,,ピッチャー平良に代わって篠原がマウンドにあがる　守備交代:キャッチャー古賀悠空振り三振でバッターアウト 1アウト
8回裏,2,9.0,嶋村 麟士朗,1,,ワンバウンドした球に空振り、三振を喫する 2アウト
8回裏,3,1.0,立石 正広,2,,ショートゴロ 3アウト
9回表,1,6.0,渡部 聖弥,0,,投手交代:工藤→及川10球目のツーシームを打つもショートゴロ 1アウト
9回表,2,7.0,西川 愛也,1,,ショートゴロ 2アウト
9回表,3,8.0,源田 壮亮,2,,見逃し三振でバッターアウト！ 3アウト
9回裏,1,2.0,中野 拓夢,0,,ピッチャー篠原に代わって岩城がマウンドにあがるフォアボールを選ぶ 一塁
9回裏,2,3.0,森下 翔太,0,1塁,内角のストレートを打つもライトフライ 1アウト
9回裏,3,4.0,佐藤 輝明,1,1塁,フォアボールを選ぶ 一二塁
9回裏,4,5.0,大山 悠輔,1,"1,2塁",－西武:内野手マウンドへ集まる－ピッチャーゴロ滝澤(二):捕球ミス 満塁
9回裏,5,6.0,髙寺 望夢,1,満塁,一塁走者大山→代走:植田ファーストゴロの間に阪神1点をあげる 神 2-4 西 2アウト二三塁
9回裏,6,,坂本 誠志郎,2,"2,3塁",及川→代打:坂本代打で登場するも空振り三振に倒れる 3アウト試合終了
