イニング,打席順,打順,選手名,アウト,ランナー,本文
1回表,1,1.0,水野 達稀,0,,センターへのヒットで出塁 一塁
1回表,2,2.0,野村 佑希,0,1塁,一塁けん制:ランナー水野帰塁レフトへのヒット 一二塁
1回表,3,3.0,レイエス,0,"1,2塁",0アウト一二塁から6-4-3のダブルプレー 2アウト三塁
1回表,4,4.0,郡司 裕也,2,3塁,一打先制の場面で外角低めの球を打つもレフトフライ 3アウト
1回裏,1,1.0,名原 典彦,0,,ファーストゴロ 1アウト
1回裏,2,2.0,菊池 涼介,1,,全く反応できず見逃し三振 2アウト
1回裏,3,3.0,小園 海斗,2,,外角高めの落ちる球を打つもファーストライナー 3アウト
2回表,1,5.0,万波 中正,0,,全く反応できず見逃し三振 1アウト
2回表,2,6.0,カストロ,1,,空振り三振でバッターアウト 2アウト
2回表,3,7.0,柴田 獅子,2,,外角低めの球を打つもレフトフライ 3アウト
2回裏,1,4.0,坂倉 将吾,0,,外角のストレートを打つもレフトフライ 1アウト
2回裏,2,5.0,ファビアン,1,,カウント1-1からレフトスタンドへのホームランで広島先制！ 広 1-0 日
2回裏,3,6.0,持丸 泰輝,1,,フォアボールを選ぶ 一塁
2回裏,4,7.0,平川 蓮,1,1塁,一塁けん制:ランナー持丸帰塁また一塁けん制:ランナー持丸帰塁ライトへのヒットで出塁 一二塁
2回裏,5,8.0,矢野 雅哉,1,"1,2塁",セカンドゴロ 2アウト一三塁
2回裏,6,9.0,森 翔平,2,"1,3塁",一塁けん制:ランナー矢野帰塁ファウルフライを野村(左)がつかんでバッターアウト 3アウト
3回表,1,8.0,奈良間 大己,0,,レフトへのヒットで出塁 一塁
3回表,2,9.0,梅林 優貴,0,1塁,一塁けん制:ランナー奈良間帰塁また一塁けん制:ランナー奈良間帰塁ワンバウンドした球を空振り三振 1アウト
3回表,3,1.0,水野 達稀,1,1塁,一塁けん制:ランナー奈良間帰塁一塁走者奈良間:盗塁成功 二塁フォアボールを選ぶ 一二塁
3回表,4,2.0,野村 佑希,1,"1,2塁",－広島:内野手マウンドへ集まる－二塁けん制:ランナー奈良間戻りきれずタッチアウト！ 2アウト一塁一塁けん制:ランナー水野帰塁レフトへのヒットで出塁 一二塁
3回表,5,3.0,レイエス,2,"1,2塁",ストレートのフォアボールで出塁 満塁
