イニング,打席順,打順,選手名,アウト,ランナー,本文
1回表,1,1.0,小川 龍成,0,,ボテボテのピッチャーゴロ 1アウト
1回表,2,2.0,佐藤 都志也,1,,泉口(遊)の悪送球により出塁する 一塁
1回表,3,3.0,西川 史礁,1,1塁,内角低めのストレートを打つもセンターフライ 2アウト
1回表,4,4.0,山口 航輝,2,1塁,一塁けん制:ランナー佐藤戻りきれずタッチアウト！ 3アウト
1回裏,1,1.0,泉口 友汰,0,,高めのストレートを打つもセンターフライ 1アウト
1回裏,2,2.0,浦田 俊輔,1,,センターへのヒット 一塁
1回裏,3,3.0,佐々木 俊輔,1,1塁,一塁けん制:ランナー浦田帰塁一塁けん制:ランナー浦田帰塁一塁走者浦田:盗塁成功 二塁ピッチャーゴロ二塁走者浦田は走塁死 2アウト一塁
1回裏,4,4.0,ダルベック,2,1塁,一塁けん制:ランナー佐々木帰塁一塁走者佐々木:盗塁を試みるもアウト 3アウト
2回表,1,4.0,山口 航輝,0,,ショートゴロ 1アウト
2回表,2,5.0,ソト,1,,空振り三振でバッターアウト 2アウト
2回表,3,6.0,友杉 篤輝,2,,セカンドフライ 3アウト
2回裏,1,4.0,ダルベック,0,,セカンドフライ 1アウト
2回裏,2,5.0,岸田 行倫,1,,空振り三振でバッターアウト 2アウト
2回裏,3,6.0,キャベッジ,2,,全く手が出ず見逃し三振でバッターアウト 3アウト
3回表,1,7.0,寺地 隆成,0,,空振りの三振を喫する 1アウト
3回表,2,8.0,山本 大斗,1,,ショートゴロ 2アウト
3回表,3,9.0,廣池 康志郎,2,,空振り三振でバッターアウト 3アウト
3回裏,1,7.0,吉川 尚輝,0,,セカンドゴロ 1アウト
3回裏,2,8.0,中山 礼都,1,,フォアボールを選ぶ 一塁
3回裏,3,9.0,井上 温大,1,1塁,一塁けん制:ランナー中山帰塁送りバント失敗 2アウト一塁
3回裏,4,1.0,泉口 友汰,2,1塁,高めのストレートを打つもセンターフライ 3アウト
4回表,1,1.0,小川 龍成,0,,セカンドゴロ 1アウト
4回表,2,2.0,佐藤 都志也,1,,内角高めの球を打つもライトフライ 2アウト
4回表,3,3.0,西川 史礁,2,,ワンバウンドした球に空振り、三振を喫する 3アウト
4回裏,1,2.0,浦田 俊輔,0,,ショートゴロ 1アウト
4回裏,2,3.0,佐々木 俊輔,1,,内角低めのスライダーを打つもライトフライ 2アウト
4回裏,3,4.0,ダルベック,2,,サードゴロ 3アウト
5回表,1,4.0,山口 航輝,0,,サードゴロ 1アウト
5回表,2,5.0,ソト,1,,見逃し三振 2アウト
5回表,3,6.0,友杉 篤輝,2,,低めのストレートを打つもセンターフライ 3アウト
5回裏,1,5.0,岸田 行倫,0,,デッドボールを受ける 一塁
5回裏,2,6.0,キャベッジ,0,1塁,フォアボールを選ぶ 一二塁
5回裏,3,7.0,吉川 尚輝,0,"1,2塁",－ロッテ:コーチマウンドへむかう－セカンドゴロ 1アウト一三塁
5回裏,4,8.0,中山 礼都,1,"1,3塁",1アウト一三塁の1-0からレフトへの犠牲フライを放つ巨人先制！ 巨 1-0 ロ 2アウト一塁0:456/5【巨人vsロッテ】5回裏 均衡を破る！中山の犠牲フライで巨人先制！
5回裏,5,9.0,井上 温大,2,1塁,見逃し三振 3アウト
6回表,1,7.0,寺地 隆成,0,,外角低めのカットボールをライトへ打ってヒット 一塁
6回表,2,8.0,山本 大斗,0,1塁,－巨人:コーチマウンドへむかう－レフトへのヒットを放つ 一二塁
6回表,3,9.0,廣池 康志郎,0,"1,2塁",見事送りバントを決める 1アウト二三塁
6回表,4,1.0,小川 龍成,1,"2,3塁",サードゴロ 2アウト
6回表,5,2.0,佐藤 都志也,2,"2,3塁",一打逆転の場面でセカンドフライ 3アウト
6回裏,1,1.0,泉口 友汰,0,,レフトへのヒットで出塁 一塁
6回裏,2,2.0,浦田 俊輔,0,1塁,巨人・泉口の二塁盗塁セーフの判定を巡り、ロッテがリクエストリプレー検証後判定変わらず一塁走者泉口:盗塁成功 二塁0アウト二塁からライトへのヒットで出塁 一三塁
6回裏,3,3.0,佐々木 俊輔,0,"1,3塁",一塁けん制:ランナー浦田帰塁ランナー一三塁の1-0からセンターへのタイムリーヒット 巨 2-0 ロ 一二塁
