イニング,打席順,打順,選手名,アウト,ランナー,本文
1回表,1,1.0,正木 智也,0,,外角低めのカーブを引っかけてサードゴロ 1アウト
1回表,2,2.0,庄子 雄大,1,,セカンドゴロ 2アウト
1回表,3,3.0,近藤 健介,2,,ショートゴロ 3アウト
1回裏,1,1.0,蝦名 達夫,0,,センターへのヒットを放つ 一塁
1回裏,2,2.0,牧 秀悟,0,1塁,一塁けん制:ランナー蝦名帰塁一塁けん制:ランナー蝦名帰塁外角低めの真っ直ぐを引っかけてショートゴロ 1アウト一塁
1回裏,3,3.0,度会 隆輝,1,1塁,一塁けん制:ランナー牧帰塁6-4-3のダブルプレー 3アウト
2回表,1,4.0,栗原 陵矢,0,,ファーストゴロ 1アウト
2回表,2,5.0,牧原 大成,1,,ファーストゴロ 2アウト
2回表,3,6.0,廣瀨 隆太,2,,高めのつり球に空振り三振 3アウト
2回裏,1,4.0,筒香 嘉智,0,,外角高めのストレートを打つもレフトフライ 1アウト
2回裏,2,5.0,宮﨑 敏郎,1,,詰まった打球はセカンドゴロとなる 2アウト
2回裏,3,6.0,ヒュンメル,2,,センターへの二塁打 二塁
2回裏,4,7.0,京田 陽太,2,2塁,フォアボールを選ぶ 一二塁
2回裏,5,8.0,松尾 汐恩,2,"1,2塁",一打先制の場面で内角高めの球を打つもレフトフライ 3アウト
3回表,1,7.0,周東 佑京,0,,レフトへのヒットで出塁 一塁
3回表,2,8.0,渡邉 陸,0,1塁,一塁けん制:ランナー周東帰塁一塁けん制:ランナー周東帰塁1-0からレフトへの先制タイムリーツーベース！ デ 0-1 ソ 二塁
3回表,3,9.0,大関 友久,0,2塁,ショートゴロ 1アウト
3回表,4,1.0,正木 智也,1,2塁,ストレートのフォアボールで出塁 一二塁
3回表,5,2.0,庄子 雄大,1,"1,2塁",－DeNA:内野手マウンドへ集まる－ショートフライ 2アウト
3回表,6,3.0,近藤 健介,2,"1,2塁",ランナー一二塁からセカンドフライ 3アウト
3回裏,1,9.0,篠木 健太郎,0,,セカンドへボテボテの内野安打 一塁
3回裏,2,1.0,蝦名 達夫,0,1塁,泳ぎながらもレフトへヒットを放つ 一二塁
3回裏,3,2.0,牧 秀悟,0,"1,2塁",ランナー一二塁からセンターへの逆転3ランホームラン！ デ 3-1 ソ
3回裏,4,3.0,度会 隆輝,0,,外角高めの球を打つもレフトフライ 1アウト
3回裏,5,4.0,筒香 嘉智,1,,ライトへのヒット 一塁
3回裏,6,5.0,宮﨑 敏郎,1,1塁,セカンドフライ 2アウト
3回裏,7,6.0,ヒュンメル,2,1塁,7球粘った末に空振り三振でバッターアウト 3アウト
4回表,1,4.0,栗原 陵矢,0,,内角低めのストレートを打つもレフトフライ 1アウト
4回表,2,5.0,牧原 大成,1,,空振り三振でバッターアウト 2アウト
4回表,3,6.0,廣瀨 隆太,2,,高めのスライダーをレフトへ打ってヒット 一塁
4回表,4,7.0,周東 佑京,2,1塁,篠木(投)のファンブルにより出塁する 一二塁
4回表,5,8.0,渡邉 陸,2,"1,2塁",カウント1-2から空振り三振 3アウト
4回裏,1,7.0,京田 陽太,0,,空振り三振でバッターアウト 1アウト
4回裏,2,8.0,松尾 汐恩,1,,ストレートのフォアボールで出塁 一塁
4回裏,3,9.0,篠木 健太郎,1,1塁,一塁けん制:ランナー松尾帰塁見事送りバントを決める 2アウト二塁
