イニング,打席順,打順,選手名,アウト,ランナー,本文
1回表,1,1.0,カナリオ,0,,見逃し三振 1アウト
1回表,2,2.0,石井 一成,1,,セカンドゴロ 2アウト
1回表,3,3.0,桑原 将志,2,,ど真ん中の球を打つもセンターフライ 3アウト
1回裏,1,1.0,岡林 勇希,0,,－治療中－外角低めの球を打つもセンターフライ 1アウト
1回裏,2,2.0,福永 裕基,1,,センターへのヒットで出塁 一塁
1回裏,3,3.0,村松 開人,1,1塁,6-4-3のダブルプレー 3アウト
2回表,1,4.0,ネビン,0,,レフトへの二塁打 二塁
2回表,2,5.0,渡部 聖弥,0,2塁,ランナー二塁からセンターへのヒットを放つ 一三塁
2回表,3,6.0,古賀 悠斗,0,"1,3塁",外角高めの真っ直ぐを打つもライトフライ三塁走者ネビンはタッチアップで本塁を狙うもアウトとなってしまいダブルプレー！ 2アウト一塁
2回表,4,7.0,西川 愛也,2,1塁,セカンドゴロ 3アウト
2回裏,1,4.0,細川 成也,0,,外角高めの変化球を打つもライトフライ 1アウト
2回裏,2,5.0,板山 祐太郎,1,,セカンドゴロ 2アウト
2回裏,3,6.0,石川 昂弥,2,,サードゴロ 3アウト
3回表,1,8.0,源田 壮亮,0,,内角高めの球を打つもレフトフライ 1アウト
3回表,2,9.0,髙橋 光成,1,,全く手が出ず三球三振 2アウト
3回表,3,1.0,カナリオ,2,,ショートゴロ 3アウト
3回裏,1,7.0,石伊 雄太,0,,センターへのヒットで出塁 一塁
3回裏,2,8.0,山本 泰寛,0,1塁,ライトへのヒットで出塁 一二塁
3回裏,3,9.0,柳 裕也,0,"1,2塁",見事送りバントを成功させる 1アウト二三塁
3回裏,4,1.0,岡林 勇希,1,"2,3塁",ストレートのフォアボールで出塁 満塁
3回裏,5,2.0,福永 裕基,1,満塁,－西武:内野手マウンドへ集まる－サードゴロ 2アウト満塁
3回裏,6,3.0,村松 開人,2,満塁,一打先制の場面で高めの球を打つもセンターフライ 3アウト
