イニング,打席順,打順,選手名,アウト,ランナー,本文
1回表,1,1.0,佐藤 直樹,0,,空振り三振でバッターアウト 1アウト
1回表,2,2.0,辰己 涼介,1,,内角のストレートを打つもレフトフライ 2アウト
1回表,3,3.0,平良 竜哉,2,,ど真ん中の球を打つもレフトフライ 3アウト
1回裏,1,1.0,立石 正広,0,,サードゴロ 1アウト
1回裏,2,2.0,中野 拓夢,1,,高めのストレートを打つもライトフライ 2アウト
1回裏,3,3.0,森下 翔太,2,,サードゴロ 3アウト
2回表,1,4.0,浅村 栄斗,0,,空振り三振 1アウト
2回表,2,5.0,村林 一輝,1,,センターへのヒットを放つ 一塁
2回表,3,6.0,黒川 史陽,1,1塁,ショートゴロ 2アウト一塁
2回表,4,7.0,マッカスカー,2,1塁,空振り三振でバッターアウト 3アウト
2回裏,1,4.0,佐藤 輝明,0,,四球を選ぶ 一塁
2回裏,2,5.0,大山 悠輔,0,1塁,一塁走者佐藤:盗塁成功 二塁ピッチャーゴロ 1アウト
2回裏,3,6.0,髙寺 望夢,1,2塁,空振りの三振を喫する 2アウト
2回裏,4,7.0,伏見 寅威,2,2塁,一打先制の場面でショートゴロ 3アウト
3回表,1,8.0,伊藤 光,0,,低めの球を打つもショートライナー 1アウト
3回表,2,9.0,岸 孝之,1,,ピッチャーゴロ 2アウト
3回表,3,1.0,佐藤 直樹,2,,セカンドゴロ 3アウト
3回裏,1,8.0,熊谷 敬宥,0,,センターへのヒットで出塁 一塁
3回裏,2,9.0,髙橋 遥人,0,1塁,一塁けん制:ランナー熊谷帰塁見事送りバントを成功させる 1アウト二塁
3回裏,3,1.0,立石 正広,1,2塁,ハーフスイングを取られて空振り三振でバッターアウト 2アウト
3回裏,4,2.0,中野 拓夢,2,2塁,一打先制の場面で外角低めの球を打つもレフトフライ 3アウト
4回表,1,2.0,辰己 涼介,0,,見逃し三振でバッターアウト！ 1アウト
4回表,2,3.0,平良 竜哉,1,,楽天・平良の一塁アウトの判定を巡り、楽天がリクエストリプレー検証後判定覆るショートへの内野安打 一塁
4回表,3,4.0,浅村 栄斗,1,1塁,外角の真っ直ぐを打つもライトフライ 2アウト
4回表,4,5.0,村林 一輝,2,1塁,一塁けん制:ランナー平良帰塁また一塁けん制:ランナー平良帰塁セカンドゴロ 3アウト
4回裏,1,3.0,森下 翔太,0,,フォアボールを選ぶ 一塁
4回裏,2,4.0,佐藤 輝明,0,1塁,一塁けん制:ランナー森下帰塁ど真ん中のチェンジアップを打つもライトフライ 1アウト
4回裏,3,5.0,大山 悠輔,1,1塁,外角の球を打つもレフトフライ 2アウト
4回裏,4,6.0,髙寺 望夢,2,1塁,一塁けん制:ランナー森下帰塁一塁走者森下:盗塁成功 二塁フォアボールを選ぶ 一二塁
4回裏,5,7.0,伏見 寅威,2,"1,2塁",フォアボールを選ぶ 満塁
4回裏,6,8.0,熊谷 敬宥,2,満塁,－楽天:コーチマウンドへむかう－一打先制の場面で空振り三振！決定機を逃す 3アウト
5回表,1,6.0,黒川 史陽,0,,セカンドゴロ 1アウト
5回表,2,7.0,マッカスカー,1,,空振りの三振を喫する 2アウト
5回表,3,8.0,伊藤 光,2,,サードゴロ 3アウト
5回裏,1,9.0,髙橋 遥人,0,,レフトへのヒットを放つ 一塁
5回裏,2,1.0,立石 正広,0,1塁,外角高めの真っ直ぐを打つもライトフライ 1アウト
5回裏,3,2.0,中野 拓夢,1,1塁,低めのカーブを打つもライトフライ 2アウト
5回裏,4,3.0,森下 翔太,2,1塁,死球を受ける 一二塁
5回裏,5,4.0,佐藤 輝明,2,"1,2塁",ランナー一二塁の3-1からライトへのタイムリーツーベースで阪神先制！ 神 2-0 楽 二塁1:14【5回裏】佐藤 右中間真っ二つ!! 4番のバットで先制!! 2点タイムリーツーベース!! 2026/06/05 T-E
5回裏,6,5.0,大山 悠輔,2,2塁,－楽天:コーチマウンドへむかう－ど真ん中の球を打つもライトフライ 3アウト
6回表,1,,吉野 創士,0,,岸→代打:吉野全く反応できず見逃し三振 1アウト
6回表,2,1.0,佐藤 直樹,1,,空振り三振 2アウト
6回表,3,2.0,辰己 涼介,2,,空振り三振 3アウト
6回裏,1,6.0,髙寺 望夢,0,,投手交代:岸→渡辺翔泳ぎながらもライトへヒットを放つ 一塁
6回裏,2,7.0,伏見 寅威,0,1塁,一塁けん制:ランナー髙寺帰塁また一塁けん制:ランナー髙寺帰塁ショートゴロ 1アウト三塁0:40【6回裏】髙寺 好走塁で得点チャンス!! 2026/06/05 T-E
6回裏,3,8.0,熊谷 敬宥,1,3塁,1アウト三塁の1-1からセンターへのタイムリーヒット 神 3-0 楽 一塁0:50【6回裏】熊谷 ピッチャー返し!! センター前へタイムリー!! 2026/06/05 T-E
6回裏,4,9.0,髙橋 遥人,1,1塁,一塁走者熊谷:すかさず初球から走って盗塁成功 二塁セカンドゴロ 2アウト三塁
6回裏,5,1.0,立石 正広,2,3塁,2アウト三塁の0-2からライトへのタイムリーヒット 神 4-0 楽 一塁1:03【6回裏】立石 甲子園での初タイムリー!! 2026/06/05 T-E
6回裏,6,2.0,中野 拓夢,2,1塁,一塁けん制:ランナー立石帰塁村林(遊)のファンブルにより出塁する 一二塁
6回裏,7,,嶋村 麟士朗,2,"1,2塁",森下→代打:嶋村高めのストレートを打つもライトフライ 3アウト
7回表,1,3.0,平良 竜哉,0,,守備交代:レフト島田ライトへのヒットで出塁 一塁
7回表,2,4.0,浅村 栄斗,0,1塁,一塁けん制:ランナー平良帰塁レフトへのヒットを放つ 一二塁
7回表,3,5.0,村林 一輝,0,"1,2塁",ランナー一二塁からセンターへのヒットで出塁 満塁
7回表,4,6.0,黒川 史陽,0,満塁,－阪神:コーチマウンドへむかう－ランナーフルベースの0-1からセンターへのタイムリーヒット 神 4-1 楽 満塁
7回表,5,7.0,マッカスカー,0,満塁,空振り三振 1アウト
7回表,6,8.0,伊藤 光,1,満塁,ワンバウンドした球に空振り、三振を喫する 2アウト
7回表,7,,渡邊 佳明,2,満塁,渡辺翔→代打:渡邊佳セカンドゴロ 3アウト
7回裏,1,4.0,佐藤 輝明,0,,投手交代:渡辺翔→伊藤樹フォアボールを選ぶ 一塁
7回裏,2,5.0,大山 悠輔,0,1塁,一塁けん制:ランナー佐藤帰塁また一塁けん制:ランナー佐藤帰塁センターへのヒットで出塁 一二塁
7回裏,3,6.0,髙寺 望夢,0,"1,2塁",フォアボール。楽天、満塁のピンチをまねく 満塁
7回裏,4,7.0,伏見 寅威,0,満塁,－楽天:コーチマウンドへむかう－0アウト満塁からセンターへのタイムリーヒット 神 5-1 楽 満塁
7回裏,5,8.0,熊谷 敬宥,0,満塁,ランナーフルベースの1-0からレフトへ走者一掃となるタイムリーツーベース！ 神 8-1 楽 二塁1:11【7回裏】熊谷 試合を決める一本!! 走者一掃!! 本日4打点!! 2026/06/05 T-E
7回裏,6,,木浪 聖也,0,2塁,髙橋→代打:木浪空振り三振 1アウト
7回裏,7,1.0,立石 正広,1,2塁,外角低めの変化球を引っかけてサードゴロ 2アウト
7回裏,8,2.0,中野 拓夢,2,2塁,2アウト二塁からライトへのヒットを放つ二塁走者熊谷は走塁死 3アウト
8回表,1,1.0,佐藤 直樹,0,,投手交代:髙橋→畠10球目のカットボールを打つもショートゴロ 1アウト
8回表,2,2.0,辰己 涼介,1,,ファーストゴロ 2アウト
8回表,3,3.0,平良 竜哉,2,,粘りを見せるも10球目を見逃し三振でバッターアウト！ 3アウト
8回裏,1,3.0,島田 海吏,0,,守備交代:センター中島ハーフスイングを取られて三球三振 1アウト
8回裏,2,4.0,佐藤 輝明,1,,7球粘った末に空振り三振でバッターアウト 2アウト
8回裏,3,5.0,大山 悠輔,2,,セカンドフライ 3アウト
9回表,1,4.0,浅村 栄斗,0,,投手交代:畠→湯浅外角のストレートを打つもセンターフライ 1アウト
9回表,2,5.0,村林 一輝,1,,空振り三振 2アウト
9回表,3,6.0,黒川 史陽,2,,セカンドゴロ 3アウト試合終了
